symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT$N,M15,2024-04-23 09:00:00,1713862800,342500.0,344380.0,341900.0,343880.0,345,2000,397
BIT$N,M15,2024-04-23 09:15:00,1713863700,343960.0,344560.0,343620.0,344240.0,226,2000,227
BIT$N,M15,2024-04-23 09:30:00,1713864600,344140.0,344320.0,343000.0,343300.0,323,2000,392
BIT$N,M15,2024-04-23 09:45:00,1713865500,343320.0,344240.0,342600.0,343840.0,509,2000,555
BIT$N,M15,2024-04-23 10:00:00,1713866400,343580.0,344900.0,342740.0,344120.0,691,2000,829
BIT$N,M15,2024-04-23 10:15:00,1713867300,344140.0,344840.0,343820.0,344420.0,340,2000,395
BIT$N,M15,2024-04-23 10:30:00,1713868200,344520.0,345580.0,344460.0,345100.0,448,2000,473
BIT$N,M15,2024-04-23 10:45:00,1713869100,345160.0,345540.0,344500.0,345180.0,258,2000,275
BIT$N,M15,2024-04-23 11:00:00,1713870000,345160.0,345660.0,345060.0,345440.0,311,2000,338
BIT$N,M15,2024-04-23 11:15:00,1713870900,345560.0,345880.0,345380.0,345460.0,155,2000,170
BIT$N,M15,2024-04-23 11:30:00,1713871800,345480.0,346020.0,344820.0,345160.0,264,2000,302
BIT$N,M15,2024-04-23 11:45:00,1713872700,345260.0,345880.0,345000.0,345480.0,182,2000,195
BIT$N,M15,2024-04-23 12:00:00,1713873600,345560.0,345640.0,344940.0,345080.0,166,2000,183
BIT$N,M15,2024-04-23 12:15:00,1713874500,345160.0,345160.0,344660.0,345120.0,108,2000,116
BIT$N,M15,2024-04-23 12:30:00,1713875400,345140.0,345500.0,344140.0,344320.0,265,2000,292
BIT$N,M15,2024-04-23 12:45:00,1713876300,344400.0,345060.0,344200.0,344440.0,218,2000,233
BIT$N,M15,2024-04-23 13:00:00,1713877200,344360.0,345180.0,344320.0,345080.0,155,2000,161
BIT$N,M15,2024-04-23 13:15:00,1713878100,345060.0,345420.0,344720.0,345060.0,170,2000,177
BIT$N,M15,2024-04-23 13:30:00,1713879000,345140.0,345580.0,344940.0,345520.0,143,2000,157
BIT$N,M15,2024-04-23 13:45:00,1713879900,345480.0,345520.0,345160.0,345260.0,128,2000,138
BIT$N,M15,2024-04-23 14:00:00,1713880800,345300.0,345420.0,345160.0,345160.0,109,2000,113
BIT$N,M15,2024-04-23 14:15:00,1713881700,345160.0,345440.0,345080.0,345360.0,113,2000,126
BIT$N,M15,2024-04-23 14:30:00,1713882600,345360.0,345460.0,345220.0,345300.0,67,2000,70
BIT$N,M15,2024-04-23 14:45:00,1713883500,345360.0,345360.0,344300.0,344640.0,280,2000,300
BIT$N,M15,2024-04-23 15:00:00,1713884400,344720.0,344740.0,343180.0,343660.0,376,2000,413
BIT$N,M15,2024-04-23 15:15:00,1713885300,343600.0,344320.0,343580.0,344020.0,112,2000,115
BIT$N,M15,2024-04-23 15:30:00,1713886200,343980.0,343980.0,342960.0,343580.0,240,2000,281
BIT$N,M15,2024-04-23 15:45:00,1713887100,343580.0,344760.0,343540.0,344520.0,278,2000,285
BIT$N,M15,2024-04-23 16:00:00,1713888000,344540.0,344720.0,343120.0,343700.0,231,2000,246
BIT$N,M15,2024-04-23 16:15:00,1713888900,343680.0,343940.0,343180.0,343680.0,148,2000,160
BIT$N,M15,2024-04-23 16:30:00,1713889800,343640.0,343680.0,342520.0,342660.0,124,2000,138
BIT$N,M15,2024-04-23 16:45:00,1713890700,342680.0,343580.0,342680.0,343380.0,210,2000,240
BIT$N,M15,2024-04-23 17:00:00,1713891600,343320.0,343420.0,342800.0,343340.0,86,2000,90
BIT$N,M15,2024-04-23 17:15:00,1713892500,343320.0,343340.0,342240.0,342440.0,176,2000,180
BIT$N,M15,2024-04-23 17:30:00,1713893400,342520.0,342860.0,342220.0,342360.0,98,2000,103
BIT$N,M15,2024-04-23 17:45:00,1713894300,342340.0,342680.0,340000.0,340920.0,170,2000,182
BIT$N,M15,2024-04-23 18:00:00,1713895200,340900.0,341580.0,340300.0,340760.0,113,2000,128
BIT$N,M15,2024-04-23 18:15:00,1713896100,340480.0,341040.0,339400.0,340500.0,67,2000,109
BIT$N,M15,2024-04-24 09:00:00,1713949200,342980.0,343760.0,342160.0,343760.0,269,2000,294
BIT$N,M15,2024-04-24 09:15:00,1713950100,343760.0,343960.0,343140.0,343640.0,246,2000,262
BIT$N,M15,2024-04-24 09:30:00,1713951000,343640.0,344000.0,343240.0,343280.0,251,2000,277
BIT$N,M15,2024-04-24 09:45:00,1713951900,343280.0,343740.0,343160.0,343600.0,234,2000,248
BIT$N,M15,2024-04-24 10:00:00,1713952800,343580.0,343580.0,341500.0,342100.0,732,2000,784
BIT$N,M15,2024-04-24 10:15:00,1713953700,341960.0,342400.0,341640.0,341860.0,203,2000,224
BIT$N,M15,2024-04-24 10:30:00,1713954600,341880.0,342120.0,341000.0,341860.0,419,2000,451
BIT$N,M15,2024-04-24 10:45:00,1713955500,341840.0,343040.0,341640.0,342460.0,372,2000,402
BIT$N,M15,2024-04-24 11:00:00,1713956400,342560.0,343500.0,342400.0,342860.0,429,2000,489
BIT$N,M15,2024-04-24 11:15:00,1713957300,342700.0,342860.0,341260.0,341360.0,409,2000,457
BIT$N,M15,2024-04-24 11:30:00,1713958200,341360.0,341540.0,339400.0,339400.0,649,2000,763
BIT$N,M15,2024-04-24 11:45:00,1713959100,339380.0,339840.0,338000.0,338920.0,490,2000,616
BIT$N,M15,2024-04-24 12:00:00,1713960000,338920.0,340340.0,337200.0,338140.0,564,2000,692
BIT$N,M15,2024-04-24 12:15:00,1713960900,338060.0,339240.0,337660.0,338340.0,294,2000,372
BIT$N,M15,2024-04-24 12:30:00,1713961800,338220.0,338900.0,336260.0,337220.0,334,2000,389
BIT$N,M15,2024-04-24 12:45:00,1713962700,337080.0,339200.0,336500.0,337680.0,295,2000,365
BIT$N,M15,2024-04-24 13:00:00,1713963600,337520.0,339000.0,336460.0,337240.0,247,2000,347
BIT$N,M15,2024-04-24 13:15:00,1713964500,337260.0,337780.0,336520.0,336980.0,195,2000,252
BIT$N,M15,2024-04-24 13:30:00,1713965400,337180.0,338640.0,336860.0,337900.0,313,2000,425
BIT$N,M15,2024-04-24 13:45:00,1713966300,337960.0,337980.0,337080.0,337620.0,98,2000,113
BIT$N,M15,2024-04-24 14:00:00,1713967200,337480.0,338300.0,336960.0,337720.0,221,2000,268
BIT$N,M15,2024-04-24 14:15:00,1713968100,337840.0,338520.0,337720.0,338240.0,61,2000,80
BIT$N,M15,2024-04-24 14:30:00,1713969000,338300.0,339180.0,337440.0,337660.0,240,2000,295
BIT$N,M15,2024-04-24 14:45:00,1713969900,337460.0,338480.0,337060.0,337500.0,174,2000,213
BIT$N,M15,2024-04-24 15:00:00,1713970800,337460.0,337620.0,336500.0,336700.0,243,2000,290
BIT$N,M15,2024-04-24 15:15:00,1713971700,336640.0,336960.0,336220.0,336720.0,301,2000,360
BIT$N,M15,2024-04-24 15:30:00,1713972600,336720.0,336940.0,335100.0,335440.0,360,2000,458
BIT$N,M15,2024-04-24 15:45:00,1713973500,335360.0,335660.0,334240.0,334620.0,587,2000,721
BIT$N,M15,2024-04-24 16:00:00,1713974400,334720.0,335120.0,333860.0,334420.0,582,2000,726
BIT$N,M15,2024-04-24 16:15:00,1713975300,334420.0,334980.0,333880.0,334660.0,234,2000,290
BIT$N,M15,2024-04-24 16:30:00,1713976200,334780.0,334960.0,334420.0,334660.0,97,2000,113
BIT$N,M15,2024-04-24 16:45:00,1713977100,334680.0,335000.0,334300.0,334360.0,135,2000,142
BIT$N,M15,2024-04-24 17:00:00,1713978000,334560.0,334820.0,334340.0,334480.0,104,2000,105
BIT$N,M15,2024-04-24 17:15:00,1713978900,334420.0,334660.0,332060.0,332660.0,434,2000,492
BIT$N,M15,2024-04-24 17:30:00,1713979800,332600.0,332740.0,332180.0,332380.0,100,2000,104
BIT$N,M15,2024-04-24 17:45:00,1713980700,332400.0,332460.0,332260.0,332300.0,75,2000,78
BIT$N,M15,2024-04-24 18:00:00,1713981600,332320.0,332400.0,331000.0,331760.0,205,2000,243
BIT$N,M15,2024-04-24 18:15:00,1713982500,331880.0,331900.0,329180.0,330700.0,198,2000,270
BIT$N,M15,2024-04-25 09:00:00,1714035600,330780.0,331720.0,329420.0,330900.0,367,2000,391
BIT$N,M15,2024-04-25 09:15:00,1714036500,330880.0,331440.0,329840.0,330400.0,265,2000,275
BIT$N,M15,2024-04-25 09:30:00,1714037400,330440.0,331260.0,328620.0,330820.0,568,2000,624
BIT$N,M15,2024-04-25 09:45:00,1714038300,330700.0,331680.0,330400.0,331160.0,473,2000,525
BIT$N,M15,2024-04-25 10:00:00,1714039200,331300.0,333940.0,329100.0,330100.0,707,2000,819
BIT$N,M15,2024-04-25 10:15:00,1714040100,330080.0,330620.0,329160.0,329880.0,258,2000,283
BIT$N,M15,2024-04-25 10:30:00,1714041000,329700.0,329940.0,327980.0,328720.0,481,2000,550
BIT$N,M15,2024-04-25 10:45:00,1714041900,328720.0,329300.0,328000.0,328920.0,263,2000,278
BIT$N,M15,2024-04-25 11:00:00,1714042800,329040.0,332780.0,328900.0,331640.0,488,2000,537
BIT$N,M15,2024-04-25 11:15:00,1714043700,331800.0,331860.0,329820.0,330540.0,252,2000,290
BIT$N,M15,2024-04-25 11:30:00,1714044600,330540.0,331600.0,328960.0,330860.0,412,2000,455
BIT$N,M15,2024-04-25 11:45:00,1714045500,330880.0,331080.0,329240.0,329600.0,210,2000,233
BIT$N,M15,2024-04-25 12:00:00,1714046400,329520.0,329800.0,328160.0,328840.0,359,2000,398
BIT$N,M15,2024-04-25 12:15:00,1714047300,328820.0,330540.0,328720.0,329740.0,285,2000,321
BIT$N,M15,2024-04-25 12:30:00,1714048200,329820.0,331340.0,329160.0,330560.0,267,2000,303
BIT$N,M15,2024-04-25 12:45:00,1714049100,330780.0,331860.0,330260.0,331700.0,226,2000,251
BIT$N,M15,2024-04-25 13:00:00,1714050000,331600.0,332500.0,331020.0,331680.0,304,2000,330
BIT$N,M15,2024-04-25 13:15:00,1714050900,331700.0,332520.0,330960.0,332200.0,245,2000,275
BIT$N,M15,2024-04-25 13:30:00,1714051800,332060.0,332280.0,331740.0,332100.0,129,2000,155
BIT$N,M15,2024-04-25 13:45:00,1714052700,332100.0,333380.0,332100.0,333120.0,227,2000,285
BIT$N,M15,2024-04-25 14:00:00,1714053600,333200.0,334320.0,332340.0,334240.0,432,2000,482
BIT$N,M15,2024-04-25 14:15:00,1714054500,334340.0,334540.0,333680.0,334400.0,232,2000,261
BIT$N,M15,2024-04-25 14:30:00,1714055400,334240.0,334520.0,333780.0,333800.0,158,2000,176
BIT$N,M15,2024-04-25 14:45:00,1714056300,333820.0,334320.0,333040.0,334040.0,311,2000,370
BIT$N,M15,2024-04-25 15:00:00,1714057200,333840.0,335600.0,333400.0,335300.0,342,2000,383
BIT$N,M15,2024-04-25 15:15:00,1714058100,335240.0,335840.0,334740.0,335180.0,190,2000,217
BIT$N,M15,2024-04-25 15:30:00,1714059000,335020.0,335320.0,334420.0,334460.0,164,2000,194
BIT$N,M15,2024-04-25 15:45:00,1714059900,334520.0,335240.0,334440.0,334780.0,155,2000,164
BIT$N,M15,2024-04-25 16:00:00,1714060800,334840.0,335000.0,334260.0,334360.0,171,2000,205
BIT$N,M15,2024-04-25 16:15:00,1714061700,334540.0,334980.0,334280.0,334860.0,192,2000,205
BIT$N,M15,2024-04-25 16:30:00,1714062600,334840.0,335160.0,334360.0,334600.0,145,2000,159
BIT$N,M15,2024-04-25 16:45:00,1714063500,334580.0,335460.0,334580.0,335220.0,78,2000,91
BIT$N,M15,2024-04-25 17:00:00,1714064400,335080.0,335640.0,334960.0,335160.0,132,2000,148
BIT$N,M15,2024-04-25 17:15:00,1714065300,335100.0,335220.0,334840.0,334840.0,61,2000,67
BIT$N,M15,2024-04-25 17:30:00,1714066200,334820.0,335500.0,334260.0,334860.0,198,2000,207
BIT$N,M15,2024-04-25 17:45:00,1714067100,334860.0,335140.0,334520.0,334940.0,93,2000,105
BIT$N,M15,2024-04-25 18:00:00,1714068000,334780.0,335400.0,334700.0,335200.0,50,2000,50
BIT$N,M15,2024-04-25 18:15:00,1714068900,335080.0,335960.0,333580.0,334480.0,137,2000,156
BIT$N,M15,2024-04-26 09:00:00,1714122000,335240.0,337680.0,335240.0,335500.0,9,2000,10
BIT$N,M15,2024-04-26 09:15:00,1714122900,336140.0,336900.0,336000.0,336640.0,15,2000,15
BIT$N,M15,2024-04-26 09:30:00,1714123800,336540.0,337340.0,336540.0,337080.0,36,2000,52
BIT$N,M15,2024-04-26 09:45:00,1714124700,337080.0,337740.0,336600.0,336600.0,44,2000,63
BIT$N,M15,2024-04-26 10:00:00,1714125600,336880.0,336920.0,334220.0,334540.0,40,2000,43
