symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WDO$N,H1,2020-10-01 09:00:00,1601542800,5578.0,5647.5,5577.5,5643.5,264810,500,734263
WDO$N,H1,2020-10-01 10:00:00,1601546400,5643.5,5663.0,5632.5,5647.5,206764,500,632631
WDO$N,H1,2020-10-01 11:00:00,1601550000,5647.0,5656.0,5635.5,5639.5,130082,500,419361
WDO$N,H1,2020-10-01 12:00:00,1601553600,5639.0,5659.5,5638.5,5651.0,89204,500,287316
WDO$N,H1,2020-10-01 13:00:00,1601557200,5651.0,5659.5,5640.5,5645.0,66871,500,213628
WDO$N,H1,2020-10-01 14:00:00,1601560800,5645.5,5655.0,5642.0,5652.0,62490,500,188940
WDO$N,H1,2020-10-01 15:00:00,1601564400,5652.0,5657.0,5641.0,5648.5,67786,500,238191
WDO$N,H1,2020-10-01 16:00:00,1601568000,5649.0,5669.0,5643.0,5656.5,79185,500,267507
WDO$N,H1,2020-10-01 17:00:00,1601571600,5656.5,5668.5,5646.5,5646.5,32770,500,106295
WDO$N,H1,2020-10-02 09:00:00,1601629200,5660.5,5666.0,5623.0,5635.0,267463,500,720981
WDO$N,H1,2020-10-02 10:00:00,1601632800,5635.0,5656.0,5611.5,5622.5,210818,500,633471
WDO$N,H1,2020-10-02 11:00:00,1601636400,5622.5,5645.0,5618.5,5642.5,118092,500,401642
WDO$N,H1,2020-10-02 12:00:00,1601640000,5643.0,5689.5,5641.5,5687.5,148877,500,533998
WDO$N,H1,2020-10-02 13:00:00,1601643600,5687.5,5691.5,5654.0,5666.0,121620,500,389017
WDO$N,H1,2020-10-02 14:00:00,1601647200,5665.5,5681.0,5660.5,5677.5,78151,500,261324
WDO$N,H1,2020-10-02 15:00:00,1601650800,5678.0,5678.0,5651.5,5661.0,89446,500,287932
WDO$N,H1,2020-10-02 16:00:00,1601654400,5661.0,5672.5,5654.0,5671.0,61434,500,215534
WDO$N,H1,2020-10-02 17:00:00,1601658000,5671.0,5697.5,5669.5,5690.5,45670,500,187693
WDO$N,H1,2020-10-05 09:00:00,1601888400,5660.0,5682.0,5648.0,5665.0,233029,500,610696
WDO$N,H1,2020-10-05 10:00:00,1601892000,5665.0,5671.5,5624.5,5635.0,209454,500,620074
WDO$N,H1,2020-10-05 11:00:00,1601895600,5635.5,5635.5,5614.5,5626.5,135077,500,401699
WDO$N,H1,2020-10-05 12:00:00,1601899200,5626.0,5644.0,5618.5,5623.0,113880,500,357321
WDO$N,H1,2020-10-05 13:00:00,1601902800,5623.0,5623.5,5585.5,5590.5,118730,500,389724
WDO$N,H1,2020-10-05 14:00:00,1601906400,5590.5,5593.5,5580.5,5593.0,79236,500,265015
WDO$N,H1,2020-10-05 15:00:00,1601910000,5593.0,5595.5,5561.5,5567.0,87164,500,303945
WDO$N,H1,2020-10-05 16:00:00,1601913600,5567.0,5578.0,5556.0,5572.5,77159,500,262671
WDO$N,H1,2020-10-05 17:00:00,1601917200,5572.0,5591.0,5563.0,5580.0,36535,500,136202
WDO$N,H1,2020-10-06 09:00:00,1601974800,5543.0,5553.0,5525.5,5539.0,242119,500,667342
WDO$N,H1,2020-10-06 10:00:00,1601978400,5539.0,5548.0,5519.0,5529.0,210704,500,599938
WDO$N,H1,2020-10-06 11:00:00,1601982000,5529.5,5531.0,5487.5,5495.0,184444,500,584821
WDO$N,H1,2020-10-06 12:00:00,1601985600,5495.5,5548.0,5489.5,5545.0,143203,500,514339
WDO$N,H1,2020-10-06 13:00:00,1601989200,5544.5,5562.5,5540.0,5547.5,98077,500,343612
WDO$N,H1,2020-10-06 14:00:00,1601992800,5547.5,5577.0,5546.0,5566.0,100912,500,337159
WDO$N,H1,2020-10-06 15:00:00,1601996400,5566.0,5622.0,5555.0,5606.0,153924,500,538111
WDO$N,H1,2020-10-06 16:00:00,1602000000,5606.0,5614.5,5594.5,5602.5,115519,500,416397
WDO$N,H1,2020-10-06 17:00:00,1602003600,5602.5,5606.0,5590.0,5595.5,35640,500,126688
WDO$N,H1,2020-10-07 09:00:00,1602061200,5565.0,5586.0,5555.0,5570.5,260074,500,740788
WDO$N,H1,2020-10-07 10:00:00,1602064800,5571.0,5623.5,5565.5,5622.5,240010,500,752811
WDO$N,H1,2020-10-07 11:00:00,1602068400,5622.5,5644.0,5612.0,5623.5,189727,500,669616
WDO$N,H1,2020-10-07 12:00:00,1602072000,5623.5,5624.0,5592.0,5617.5,140650,500,482525
WDO$N,H1,2020-10-07 13:00:00,1602075600,5617.5,5620.0,5596.0,5598.0,82609,500,280186
WDO$N,H1,2020-10-07 14:00:00,1602079200,5598.0,5616.0,5582.0,5596.0,125713,500,436065
WDO$N,H1,2020-10-07 15:00:00,1602082800,5595.5,5629.0,5590.5,5622.0,100904,500,366394
WDO$N,H1,2020-10-07 16:00:00,1602086400,5622.0,5629.5,5617.0,5628.0,58583,500,210810
WDO$N,H1,2020-10-07 17:00:00,1602090000,5628.0,5638.5,5611.5,5615.0,47491,500,163054
WDO$N,H1,2020-10-08 09:00:00,1602147600,5595.5,5642.5,5593.0,5632.0,216225,500,599782
WDO$N,H1,2020-10-08 10:00:00,1602151200,5632.0,5651.5,5616.0,5632.0,220107,500,656072
WDO$N,H1,2020-10-08 11:00:00,1602154800,5632.0,5640.5,5611.5,5617.0,176615,500,577254
WDO$N,H1,2020-10-08 12:00:00,1602158400,5617.5,5623.0,5586.0,5600.0,132467,500,431908
WDO$N,H1,2020-10-08 13:00:00,1602162000,5599.5,5602.5,5586.5,5594.0,79979,500,267169
WDO$N,H1,2020-10-08 14:00:00,1602165600,5593.5,5605.5,5591.5,5602.5,61832,500,208485
WDO$N,H1,2020-10-08 15:00:00,1602169200,5602.5,5608.0,5589.0,5605.0,78027,500,279063
WDO$N,H1,2020-10-08 16:00:00,1602172800,5605.0,5605.5,5581.5,5592.5,76107,500,268035
WDO$N,H1,2020-10-08 17:00:00,1602176400,5593.0,5607.5,5590.5,5604.5,30241,500,109421
WDO$N,H1,2020-10-09 09:00:00,1602234000,5585.0,5587.5,5552.5,5554.0,191764,500,534791
WDO$N,H1,2020-10-09 10:00:00,1602237600,5553.5,5557.0,5531.0,5549.0,192634,500,595240
WDO$N,H1,2020-10-09 11:00:00,1602241200,5549.0,5554.5,5521.0,5531.5,137166,500,452096
WDO$N,H1,2020-10-09 12:00:00,1602244800,5531.5,5541.0,5514.5,5526.5,96674,500,334737
WDO$N,H1,2020-10-09 13:00:00,1602248400,5526.5,5544.5,5525.5,5537.5,66779,500,229197
WDO$N,H1,2020-10-09 14:00:00,1602252000,5538.0,5550.0,5524.0,5547.5,70306,500,226143
WDO$N,H1,2020-10-09 15:00:00,1602255600,5548.0,5549.0,5531.5,5537.5,72593,500,237791
WDO$N,H1,2020-10-09 16:00:00,1602259200,5537.5,5542.5,5527.5,5529.5,47004,500,157003
WDO$N,H1,2020-10-09 17:00:00,1602262800,5529.5,5543.0,5523.0,5542.0,35196,500,126579
WDO$N,H1,2020-10-13 09:00:00,1602579600,5527.5,5574.0,5523.5,5570.0,240153,500,671839
WDO$N,H1,2020-10-13 10:00:00,1602583200,5570.5,5606.0,5569.0,5594.5,194755,500,644853
WDO$N,H1,2020-10-13 11:00:00,1602586800,5595.0,5629.5,5586.5,5591.5,167871,500,598649
WDO$N,H1,2020-10-13 12:00:00,1602590400,5591.0,5608.0,5588.5,5598.0,100396,500,347782
WDO$N,H1,2020-10-13 13:00:00,1602594000,5598.0,5599.0,5563.5,5569.5,101873,500,341055
WDO$N,H1,2020-10-13 14:00:00,1602597600,5569.0,5586.5,5558.5,5582.0,92110,500,300684
WDO$N,H1,2020-10-13 15:00:00,1602601200,5582.0,5585.5,5571.0,5584.0,75674,500,243926
WDO$N,H1,2020-10-13 16:00:00,1602604800,5584.0,5586.5,5573.5,5583.5,60801,500,195264
WDO$N,H1,2020-10-13 17:00:00,1602608400,5583.0,5584.0,5565.5,5565.5,29447,500,97225
WDO$N,H1,2020-10-14 09:00:00,1602666000,5595.5,5595.5,5538.0,5552.5,220079,500,575928
WDO$N,H1,2020-10-14 10:00:00,1602669600,5553.0,5568.5,5545.5,5564.0,178419,500,482278
WDO$N,H1,2020-10-14 11:00:00,1602673200,5564.0,5587.5,5562.0,5565.0,163446,500,490453
WDO$N,H1,2020-10-14 12:00:00,1602676800,5564.5,5584.0,5560.0,5583.5,76861,500,248047
WDO$N,H1,2020-10-14 13:00:00,1602680400,5583.5,5591.5,5576.0,5581.5,89044,500,276615
WDO$N,H1,2020-10-14 14:00:00,1602684000,5581.0,5594.5,5577.5,5594.5,69539,500,218889
WDO$N,H1,2020-10-14 15:00:00,1602687600,5594.5,5604.0,5589.0,5596.5,64828,500,205570
WDO$N,H1,2020-10-14 16:00:00,1602691200,5596.5,5608.0,5591.0,5605.5,63349,500,225066
WDO$N,H1,2020-10-14 17:00:00,1602694800,5605.5,5606.5,5593.0,5597.0,33165,500,120389
WDO$N,H1,2020-10-15 09:00:00,1602752400,5633.0,5651.0,5625.0,5640.0,226443,500,636318
WDO$N,H1,2020-10-15 10:00:00,1602756000,5640.0,5641.0,5607.5,5616.0,204933,500,595160
WDO$N,H1,2020-10-15 11:00:00,1602759600,5615.5,5628.0,5609.0,5616.0,139943,500,422260
WDO$N,H1,2020-10-15 12:00:00,1602763200,5616.0,5620.5,5601.0,5619.0,86860,500,289368
WDO$N,H1,2020-10-15 13:00:00,1602766800,5619.0,5620.5,5594.0,5598.0,81731,500,275865
WDO$N,H1,2020-10-15 14:00:00,1602770400,5597.5,5612.5,5592.0,5611.5,74972,500,222210
WDO$N,H1,2020-10-15 15:00:00,1602774000,5611.5,5611.5,5595.0,5602.5,61151,500,197432
WDO$N,H1,2020-10-15 16:00:00,1602777600,5602.0,5628.5,5601.5,5625.0,70839,500,244792
WDO$N,H1,2020-10-15 17:00:00,1602781200,5625.0,5635.0,5612.0,5616.0,46111,500,169451
WDO$N,H1,2020-10-16 09:00:00,1602838800,5610.0,5640.0,5600.5,5613.5,222616,500,624276
WDO$N,H1,2020-10-16 10:00:00,1602842400,5614.0,5635.0,5607.0,5634.0,168065,500,486165
WDO$N,H1,2020-10-16 11:00:00,1602846000,5634.0,5643.5,5624.0,5637.5,119786,500,386327
WDO$N,H1,2020-10-16 12:00:00,1602849600,5638.0,5643.5,5624.0,5625.5,78069,500,263190
WDO$N,H1,2020-10-16 13:00:00,1602853200,5625.0,5637.0,5624.0,5635.0,46066,500,159535
WDO$N,H1,2020-10-16 14:00:00,1602856800,5635.5,5644.5,5632.5,5644.0,54243,500,186937
WDO$N,H1,2020-10-16 15:00:00,1602860400,5643.5,5648.0,5633.0,5647.0,60300,500,221502
WDO$N,H1,2020-10-16 16:00:00,1602864000,5647.5,5650.5,5643.0,5644.0,43790,500,157651
WDO$N,H1,2020-10-16 17:00:00,1602867600,5644.0,5657.0,5643.0,5647.5,37501,500,160310
WDO$N,H1,2020-10-19 09:00:00,1603098000,5622.0,5634.5,5594.5,5632.0,235226,500,682309
WDO$N,H1,2020-10-19 10:00:00,1603101600,5631.5,5637.0,5597.0,5605.0,201790,500,617999
WDO$N,H1,2020-10-19 11:00:00,1603105200,5605.0,5616.5,5594.5,5602.0,129144,500,401913
WDO$N,H1,2020-10-19 12:00:00,1603108800,5602.0,5604.5,5573.5,5580.5,113903,500,408988
WDO$N,H1,2020-10-19 13:00:00,1603112400,5580.0,5584.0,5569.0,5578.5,66505,500,234859
WDO$N,H1,2020-10-19 14:00:00,1603116000,5579.0,5588.0,5572.0,5586.5,53010,500,169096
WDO$N,H1,2020-10-19 15:00:00,1603119600,5586.5,5601.0,5582.0,5600.5,72131,500,245166
WDO$N,H1,2020-10-19 16:00:00,1603123200,5600.0,5613.0,5596.0,5607.0,68024,500,240609
WDO$N,H1,2020-10-19 17:00:00,1603126800,5607.0,5615.0,5601.0,5611.0,36762,500,132144
WDO$N,H1,2020-10-20 09:00:00,1603184400,5607.0,5629.0,5581.5,5585.0,247782,500,684763
WDO$N,H1,2020-10-20 10:00:00,1603188000,5585.0,5601.5,5577.5,5588.5,161831,500,472003
WDO$N,H1,2020-10-20 11:00:00,1603191600,5588.5,5592.5,5571.0,5579.5,129358,500,401303
WDO$N,H1,2020-10-20 12:00:00,1603195200,5579.5,5588.0,5573.0,5579.0,72253,500,227303
WDO$N,H1,2020-10-20 13:00:00,1603198800,5579.0,5588.0,5564.5,5568.5,94878,500,320962
WDO$N,H1,2020-10-20 14:00:00,1603202400,5568.0,5568.5,5550.0,5560.5,95795,500,299317
WDO$N,H1,2020-10-20 15:00:00,1603206000,5560.5,5593.5,5556.0,5588.5,97728,500,338582
WDO$N,H1,2020-10-20 16:00:00,1603209600,5588.5,5619.0,5586.5,5613.5,103589,500,375724
WDO$N,H1,2020-10-20 17:00:00,1603213200,5613.0,5616.5,5604.0,5609.5,36775,500,137293
WDO$N,H1,2020-10-21 09:00:00,1603270800,5601.5,5606.0,5573.0,5594.0,235470,500,629208
WDO$N,H1,2020-10-21 10:00:00,1603274400,5593.5,5615.0,5585.5,5589.0,210387,500,649696
WDO$N,H1,2020-10-21 11:00:00,1603278000,5589.5,5602.0,5580.5,5600.0,126071,500,390402
WDO$N,H1,2020-10-21 12:00:00,1603281600,5600.0,5630.0,5599.5,5610.5,116509,500,401086
WDO$N,H1,2020-10-21 13:00:00,1603285200,5610.5,5614.0,5572.5,5605.0,122528,500,423395
WDO$N,H1,2020-10-21 14:00:00,1603288800,5605.0,5628.0,5593.0,5609.5,91929,500,294123
WDO$N,H1,2020-10-21 15:00:00,1603292400,5609.5,5615.5,5593.0,5613.0,78667,500,264315
WDO$N,H1,2020-10-21 16:00:00,1603296000,5613.5,5618.5,5606.0,5617.5,54256,500,183767
WDO$N,H1,2020-10-21 17:00:00,1603299600,5617.5,5617.5,5603.0,5610.0,37811,500,129854
WDO$N,H1,2020-10-22 09:00:00,1603357200,5616.0,5628.0,5587.0,5598.0,266903,500,701459
WDO$N,H1,2020-10-22 10:00:00,1603360800,5598.5,5606.0,5576.0,5587.0,194937,500,564568
WDO$N,H1,2020-10-22 11:00:00,1603364400,5587.5,5602.0,5575.0,5579.5,154365,500,489077
WDO$N,H1,2020-10-22 12:00:00,1603368000,5579.0,5591.0,5574.0,5586.0,84626,500,273256
WDO$N,H1,2020-10-22 13:00:00,1603371600,5586.5,5588.0,5564.0,5575.5,74828,500,259351
WDO$N,H1,2020-10-22 14:00:00,1603375200,5575.0,5586.5,5566.5,5585.0,76923,500,259935
WDO$N,H1,2020-10-22 15:00:00,1603378800,5585.5,5604.0,5579.5,5602.5,82531,500,282900
WDO$N,H1,2020-10-22 16:00:00,1603382400,5602.5,5607.0,5593.5,5596.0,47521,500,159965
WDO$N,H1,2020-10-22 17:00:00,1603386000,5595.5,5603.5,5590.0,5601.0,28123,500,111052
WDO$N,H1,2020-10-23 09:00:00,1603443600,5576.0,5593.0,5567.0,5587.5,197147,500,575577
WDO$N,H1,2020-10-23 10:00:00,1603447200,5588.0,5619.5,5585.0,5617.5,183640,500,570938
WDO$N,H1,2020-10-23 11:00:00,1603450800,5617.5,5624.0,5614.0,5620.0,88092,500,288479
WDO$N,H1,2020-10-23 12:00:00,1603454400,5620.5,5636.5,5613.5,5616.0,96813,500,332150
WDO$N,H1,2020-10-23 13:00:00,1603458000,5615.5,5624.0,5610.5,5619.0,62965,500,218034
WDO$N,H1,2020-10-23 14:00:00,1603461600,5619.0,5632.0,5614.5,5626.0,61166,500,218847
WDO$N,H1,2020-10-23 15:00:00,1603465200,5625.5,5627.0,5618.5,5626.0,42590,500,152871
WDO$N,H1,2020-10-23 16:00:00,1603468800,5626.0,5633.5,5624.0,5629.0,40185,500,144301
WDO$N,H1,2020-10-23 17:00:00,1603472400,5628.5,5631.5,5610.0,5621.5,30917,500,123642
