symbol,tf,time,open,high,low,close,tick_volume,spread,real_volume
BIT$D,D1,1713830400,499040.0,502560.0,495940.0,497040.0,8403,20,9284
BIT$D,D1,1713916800,499520.0,500540.0,485720.0,487240.0,11394,20,13470
BIT$D,D1,1714003200,487320.0,492500.0,484520.0,491020.0,10027,20,11218
BIT$D,D1,1714089600,486240.0,490380.0,481120.0,485300.0,742,20,872
BIT$D,D1,1714348800,476960.0,480040.0,472060.0,480040.0,9560,20,10680
BIT$D,D1,1714435200,470700.0,472560.0,449000.0,454000.0,11670,20,13425
BIT$D,D1,1714608000,456000.0,458980.0,450700.0,453980.0,11726,20,13760
BIT$D,D1,1714694400,455680.0,477940.0,454080.0,477000.0,12739,20,14854
BIT$D,D1,1714953600,478140.0,481340.0,471520.0,473800.0,14204,20,16188
BIT$D,D1,1715040000,475380.0,478060.0,471260.0,471400.0,15910,20,18197
BIT$D,D1,1715126400,469120.0,473240.0,465560.0,469140.0,15557,20,18880
BIT$D,D1,1715212800,466900.0,476960.0,466480.0,473580.0,15822,20,19288
BIT$D,D1,1715299200,477340.0,479160.0,463400.0,464620.0,23516,20,29533
BIT$D,D1,1715558400,474300.0,480300.0,472960.0,479580.0,20496,20,23969
BIT$D,D1,1715644800,473160.0,473160.0,466000.0,466500.0,19542,20,23028
BIT$D,D1,1715731200,473000.0,494480.0,472620.0,492600.0,26306,20,33379
BIT$D,D1,1715817600,492600.0,495840.0,484560.0,490340.0,23788,20,29516
BIT$D,D1,1715904000,493240.0,497640.0,489480.0,492900.0,23228,20,30534
BIT$D,D1,1716163200,495000.0,511780.0,492580.0,506940.0,32109,20,41370
BIT$D,D1,1716249600,513960.0,516840.0,506020.0,508300.0,32766,20,40123
BIT$D,D1,1716336000,509180.0,515900.0,508120.0,509000.0,28445,20,35905
BIT$D,D1,1716422400,512620.0,513280.0,495000.0,499580.0,36247,20,46853
BIT$D,D1,1716508800,498680.0,510620.0,496620.0,510600.0,32072,20,40911
BIT$D,D1,1716768000,506180.0,517240.0,504420.0,513880.0,45997,20,57725
BIT$D,D1,1716854400,506840.0,507300.0,498660.0,502500.0,58902,20,85239
BIT$D,D1,1716940800,500720.0,505640.0,499400.0,499400.0,35462,20,48385
BIT$D,D1,1717113600,503240.0,512040.0,501640.0,508340.0,21026,20,25911
BIT$D,D1,1717372800,512740.0,521140.0,510440.0,515600.0,45207,20,55464
