symbol,tf,time,open,high,low,close,tick_volume,spread,real_volume
BIT$D,M15,1713862800,499040.0,500920.0,498440.0,500420.0,345,20,397
BIT$D,M15,1713863700,500500.0,501100.0,500160.0,500780.0,226,20,227
BIT$D,M15,1713864600,500680.0,500860.0,499540.0,499840.0,323,20,392
BIT$D,M15,1713865500,499860.0,500780.0,499140.0,500380.0,509,20,555
BIT$D,M15,1713866400,500120.0,501440.0,499280.0,500660.0,691,20,829
BIT$D,M15,1713867300,500680.0,501380.0,500360.0,500960.0,340,20,395
BIT$D,M15,1713868200,501060.0,502120.0,501000.0,501640.0,448,20,473
BIT$D,M15,1713869100,501700.0,502080.0,501040.0,501720.0,258,20,275
BIT$D,M15,1713870000,501700.0,502200.0,501600.0,501980.0,311,20,338
BIT$D,M15,1713870900,502100.0,502420.0,501920.0,502000.0,155,20,170
BIT$D,M15,1713871800,502020.0,502560.0,501360.0,501700.0,264,20,302
BIT$D,M15,1713872700,501800.0,502420.0,501540.0,502020.0,182,20,195
BIT$D,M15,1713873600,502100.0,502180.0,501480.0,501620.0,166,20,183
BIT$D,M15,1713874500,501700.0,501700.0,501200.0,501660.0,108,20,116
BIT$D,M15,1713875400,501680.0,502040.0,500680.0,500860.0,265,20,292
BIT$D,M15,1713876300,500940.0,501600.0,500740.0,500980.0,218,20,233
BIT$D,M15,1713877200,500900.0,501720.0,500860.0,501620.0,155,20,161
BIT$D,M15,1713878100,501600.0,501960.0,501260.0,501600.0,170,20,177
BIT$D,M15,1713879000,501680.0,502120.0,501480.0,502060.0,143,20,157
BIT$D,M15,1713879900,502020.0,502060.0,501700.0,501800.0,128,20,138
BIT$D,M15,1713880800,501840.0,501960.0,501700.0,501700.0,109,20,113
BIT$D,M15,1713881700,501700.0,501980.0,501620.0,501900.0,113,20,126
BIT$D,M15,1713882600,501900.0,502000.0,501760.0,501840.0,67,20,70
BIT$D,M15,1713883500,501900.0,501900.0,500840.0,501180.0,280,20,300
BIT$D,M15,1713884400,501260.0,501280.0,499720.0,500200.0,376,20,413
BIT$D,M15,1713885300,500140.0,500860.0,500120.0,500560.0,112,20,115
BIT$D,M15,1713886200,500520.0,500520.0,499500.0,500120.0,240,20,281
BIT$D,M15,1713887100,500120.0,501300.0,500080.0,501060.0,278,20,285
BIT$D,M15,1713888000,501080.0,501260.0,499660.0,500240.0,231,20,246
BIT$D,M15,1713888900,500220.0,500480.0,499720.0,500220.0,148,20,160
BIT$D,M15,1713889800,500180.0,500220.0,499060.0,499200.0,124,20,138
BIT$D,M15,1713890700,499220.0,500120.0,499220.0,499920.0,210,20,240
BIT$D,M15,1713891600,499860.0,499960.0,499340.0,499880.0,86,20,90
BIT$D,M15,1713892500,499860.0,499880.0,498780.0,498980.0,176,20,180
BIT$D,M15,1713893400,499060.0,499400.0,498760.0,498900.0,98,20,103
BIT$D,M15,1713894300,498880.0,499220.0,496540.0,497460.0,170,20,182
BIT$D,M15,1713895200,497440.0,498120.0,496840.0,497300.0,113,20,128
BIT$D,M15,1713896100,497020.0,497580.0,495940.0,497040.0,67,20,109
BIT$D,M15,1713949200,499520.0,500300.0,498700.0,500300.0,269,20,294
BIT$D,M15,1713950100,500300.0,500500.0,499680.0,500180.0,246,20,262
BIT$D,M15,1713951000,500180.0,500540.0,499780.0,499820.0,251,20,277
BIT$D,M15,1713951900,499820.0,500280.0,499700.0,500140.0,234,20,248
BIT$D,M15,1713952800,500120.0,500120.0,498040.0,498640.0,732,20,784
BIT$D,M15,1713953700,498500.0,498940.0,498180.0,498400.0,203,20,224
BIT$D,M15,1713954600,498420.0,498660.0,497540.0,498400.0,419,20,451
BIT$D,M15,1713955500,498380.0,499580.0,498180.0,499000.0,372,20,402
BIT$D,M15,1713956400,499100.0,500040.0,498940.0,499400.0,429,20,489
BIT$D,M15,1713957300,499240.0,499400.0,497800.0,497900.0,409,20,457
BIT$D,M15,1713958200,497900.0,498080.0,495940.0,495940.0,649,20,763
BIT$D,M15,1713959100,495920.0,496380.0,494540.0,495460.0,490,20,616
BIT$D,M15,1713960000,495460.0,496880.0,493740.0,494680.0,564,20,692
BIT$D,M15,1713960900,494600.0,495780.0,494200.0,494880.0,294,20,372
BIT$D,M15,1713961800,494760.0,495440.0,492800.0,493760.0,334,20,389
BIT$D,M15,1713962700,493620.0,495740.0,493040.0,494220.0,295,20,365
BIT$D,M15,1713963600,494060.0,495540.0,493000.0,493780.0,247,20,347
BIT$D,M15,1713964500,493800.0,494320.0,493060.0,493520.0,195,20,252
BIT$D,M15,1713965400,493720.0,495180.0,493400.0,494440.0,313,20,425
BIT$D,M15,1713966300,494500.0,494520.0,493620.0,494160.0,98,20,113
BIT$D,M15,1713967200,494020.0,494840.0,493500.0,494260.0,221,20,268
BIT$D,M15,1713968100,494380.0,495060.0,494260.0,494780.0,61,20,80
BIT$D,M15,1713969000,494840.0,495720.0,493980.0,494200.0,240,20,295
BIT$D,M15,1713969900,494000.0,495020.0,493600.0,494040.0,174,20,213
BIT$D,M15,1713970800,494000.0,494160.0,493040.0,493240.0,243,20,290
BIT$D,M15,1713971700,493180.0,493500.0,492760.0,493260.0,301,20,360
BIT$D,M15,1713972600,493260.0,493480.0,491640.0,491980.0,360,20,458
BIT$D,M15,1713973500,491900.0,492200.0,490780.0,491160.0,587,20,721
BIT$D,M15,1713974400,491260.0,491660.0,490400.0,490960.0,582,20,726
BIT$D,M15,1713975300,490960.0,491520.0,490420.0,491200.0,234,20,290
BIT$D,M15,1713976200,491320.0,491500.0,490960.0,491200.0,97,20,113
BIT$D,M15,1713977100,491220.0,491540.0,490840.0,490900.0,135,20,142
BIT$D,M15,1713978000,491100.0,491360.0,490880.0,491020.0,104,20,105
BIT$D,M15,1713978900,490960.0,491200.0,488600.0,489200.0,434,20,492
BIT$D,M15,1713979800,489140.0,489280.0,488720.0,488920.0,100,20,104
BIT$D,M15,1713980700,488940.0,489000.0,488800.0,488840.0,75,20,78
BIT$D,M15,1713981600,488860.0,488940.0,487540.0,488300.0,205,20,243
BIT$D,M15,1713982500,488420.0,488440.0,485720.0,487240.0,198,20,270
BIT$D,M15,1714035600,487320.0,488260.0,485960.0,487440.0,367,20,391
BIT$D,M15,1714036500,487420.0,487980.0,486380.0,486940.0,265,20,275
BIT$D,M15,1714037400,486980.0,487800.0,485160.0,487360.0,568,20,624
BIT$D,M15,1714038300,487240.0,488220.0,486940.0,487700.0,473,20,525
BIT$D,M15,1714039200,487840.0,490480.0,485640.0,486640.0,707,20,819
BIT$D,M15,1714040100,486620.0,487160.0,485700.0,486420.0,258,20,283
BIT$D,M15,1714041000,486240.0,486480.0,484520.0,485260.0,481,20,550
BIT$D,M15,1714041900,485260.0,485840.0,484540.0,485460.0,263,20,278
BIT$D,M15,1714042800,485580.0,489320.0,485440.0,488180.0,488,20,537
BIT$D,M15,1714043700,488340.0,488400.0,486360.0,487080.0,252,20,290
