symbol,tf,time,open,high,low,close,tick_volume,spread,real_volume
WSP$D,M30,1617613200,4822.25,4824.25,4821.25,4824.25,75,1,223
WSP$D,M30,1617615000,4824.5,4829.75,4824.5,4828.25,246,1,643
WSP$D,M30,1617616800,4828.5,4830.5,4827.75,4830.5,51,1,132
WSP$D,M30,1617618600,4829.5,4841.0,4829.5,4840.25,121,1,595
WSP$D,M30,1617620400,4841.0,4850.25,4838.5,4847.25,111,1,516
WSP$D,M30,1617622200,4848.0,4855.75,4848.0,4851.0,301,1,866
WSP$D,M30,1617624000,4850.25,4854.5,4849.5,4851.5,21,1,102
WSP$D,M30,1617625800,4851.75,4859.5,4851.75,4856.5,64,1,261
WSP$D,M30,1617627600,4858.75,4861.5,4857.75,4861.0,42,1,86
WSP$D,M30,1617629400,4861.75,4864.0,4856.5,4858.5,96,1,317
WSP$D,M30,1617631200,4858.0,4860.75,4856.5,4856.75,32,1,157
WSP$D,M30,1617633000,4858.75,4860.5,4855.75,4860.5,46,1,143
WSP$D,M30,1617634800,4860.0,4860.25,4858.0,4858.0,31,1,208
WSP$D,M30,1617636600,4858.0,4863.0,4856.25,4856.25,74,1,173
WSP$D,M30,1617638400,4856.25,4860.25,4853.0,4856.0,146,1,531
WSP$D,M30,1617640200,4854.75,4863.5,4854.25,4860.25,82,1,301
WSP$D,M30,1617642000,4857.75,4865.0,4857.0,4863.75,64,1,566
WSP$D,M30,1617643800,4863.75,4863.75,4861.25,4862.5,29,1,326
WSP$D,M30,1617699600,4854.75,4856.25,4853.75,4855.75,45,1,91
WSP$D,M30,1617701400,4855.25,4858.0,4849.75,4852.25,97,1,536
WSP$D,M30,1617703200,4852.75,4854.75,4852.0,4854.0,53,1,99
WSP$D,M30,1617705000,4853.25,4864.0,4851.25,4862.75,104,1,284
WSP$D,M30,1617706800,4863.75,4867.25,4862.25,4863.75,75,1,236
WSP$D,M30,1617708600,4863.75,4864.75,4861.0,4864.25,33,1,168
WSP$D,M30,1617710400,4863.75,4866.25,4860.75,4863.25,27,1,125
WSP$D,M30,1617712200,4863.25,4866.75,4862.75,4866.0,15,1,136
WSP$D,M30,1617714000,4866.25,4867.5,4865.25,4865.25,29,1,154
WSP$D,M30,1617715800,4864.75,4864.75,4862.75,4863.5,30,1,90
WSP$D,M30,1617717600,4862.75,4862.75,4854.75,4856.25,63,1,166
WSP$D,M30,1617719400,4855.25,4862.25,4855.25,4862.25,23,1,37
WSP$D,M30,1617721200,4862.75,4864.75,4862.25,4863.5,27,1,365
WSP$D,M30,1617723000,4863.25,4865.0,4860.25,4862.75,48,1,183
WSP$D,M30,1617724800,4863.75,4863.75,4856.25,4860.25,58,1,138
WSP$D,M30,1617726600,4858.75,4860.25,4851.75,4858.25,89,1,462
WSP$D,M30,1617728400,4857.75,4858.75,4856.75,4857.75,17,1,111
WSP$D,M30,1617730200,4857.75,4861.25,4857.75,4861.25,33,1,479
WSP$D,M30,1617786000,4857.5,4858.75,4853.75,4854.75,58,1,261
WSP$D,M30,1617787800,4855.0,4855.0,4850.25,4850.75,28,1,62
WSP$D,M30,1617789600,4851.0,4856.25,4851.0,4856.25,46,1,644
WSP$D,M30,1617791400,4856.75,4862.25,4856.5,4860.0,76,1,301
WSP$D,M30,1617793200,4858.75,4864.75,4858.0,4864.75,29,1,110
WSP$D,M30,1617795000,4865.25,4866.75,4863.75,4863.75,69,1,223
WSP$D,M30,1617796800,4864.75,4866.25,4858.75,4860.25,35,1,113
WSP$D,M30,1617798600,4858.75,4859.25,4853.75,4856.25,51,1,180
WSP$D,M30,1617800400,4857.75,4859.25,4852.25,4852.25,34,1,80
WSP$D,M30,1617802200,4851.75,4860.0,4851.0,4858.0,27,1,146
WSP$D,M30,1617804000,4858.0,4860.25,4857.25,4857.25,12,1,18
WSP$D,M30,1617805800,4858.75,4862.75,4858.5,4862.5,33,1,442
WSP$D,M30,1617807600,4863.25,4866.25,4862.25,4863.75,51,1,238
WSP$D,M30,1617809400,4863.75,4864.75,4861.75,4861.75,15,1,23
WSP$D,M30,1617811200,4863.75,4864.75,4856.75,4856.75,35,1,292
WSP$D,M30,1617813000,4857.25,4864.5,4855.75,4863.75,43,1,232
WSP$D,M30,1617814800,4864.5,4867.0,4864.0,4865.0,25,1,75
WSP$D,M30,1617816600,4866.5,4870.5,4866.5,4870.5,33,1,342
WSP$D,M30,1617872400,4874.75,4878.0,4874.75,4876.25,61,1,290
WSP$D,M30,1617874200,4876.75,4878.25,4873.5,4874.75,51,1,112
WSP$D,M30,1617876000,4874.75,4877.25,4873.5,4877.25,32,1,147
WSP$D,M30,1617877800,4875.75,4877.0,4869.0,4873.25,53,1,200
WSP$D,M30,1617879600,4874.75,4875.0,4866.25,4871.25,74,1,278
WSP$D,M30,1617881400,4871.75,4876.0,4871.25,4872.25,36,1,130
WSP$D,M30,1617883200,4873.75,4875.5,4872.5,4875.5,15,1,64
WSP$D,M30,1617885000,4876.25,4877.5,4874.0,4876.5,23,1,153
WSP$D,M30,1617886800,4875.75,4880.75,4875.0,4878.5,33,1,68
WSP$D,M30,1617888600,4878.5,4880.25,4876.5,4876.5,38,1,91
WSP$D,M30,1617890400,4877.25,4878.25,4876.5,4877.75,13,1,16
WSP$D,M30,1617892200,4878.75,4879.0,4875.0,4877.75,20,1,37
WSP$D,M30,1617894000,4877.25,4881.5,4877.25,4880.75,29,1,131
WSP$D,M30,1617895800,4880.25,4882.25,4879.75,4881.0,24,1,73
WSP$D,M30,1617897600,4882.0,4882.5,4879.5,4879.5,51,1,294
WSP$D,M30,1617899400,4879.75,4882.75,4878.5,4882.75,54,1,330
WSP$D,M30,1617901200,4882.5,4888.5,4882.0,4888.25,62,1,357
WSP$D,M30,1617903000,4888.25,4891.25,4888.25,4891.25,42,1,295
WSP$D,M30,1617958800,4888.5,4889.0,4883.75,4884.75,59,1,419
WSP$D,M30,1617960600,4884.75,4886.25,4877.25,4878.75,58,1,107
WSP$D,M30,1617962400,4877.75,4881.5,4875.0,4881.5,38,1,170
WSP$D,M30,1617964200,4881.5,4888.5,4881.5,4887.5,60,1,419
WSP$D,M30,1617966000,4887.5,4889.75,4884.25,4884.25,41,1,356
WSP$D,M30,1617967800,4883.75,4887.75,4882.25,4883.75,35,1,167
WSP$D,M30,1617969600,4886.25,4888.25,4883.75,4887.25,15,1,47
WSP$D,M30,1617971400,4887.0,4892.0,4887.0,4890.25,38,1,133
WSP$D,M30,1617973200,4890.75,4891.25,4888.75,4890.75,13,1,93
WSP$D,M30,1617975000,4891.75,4892.75,4891.25,4891.25,12,1,34
WSP$D,M30,1617976800,4892.0,4892.75,4892.0,4892.75,5,1,14
WSP$D,M30,1617978600,4892.0,4896.75,4892.0,4895.0,33,1,162
WSP$D,M30,1617980400,4895.5,4896.25,4893.75,4895.75,16,1,51
WSP$D,M30,1617982200,4893.75,4895.75,4893.75,4895.0,19,1,131
WSP$D,M30,1617984000,4894.25,4902.25,4893.0,4902.25,41,1,283
WSP$D,M30,1617985800,4903.75,4913.75,4903.75,4911.25,98,1,993
WSP$D,M30,1617987600,4912.75,4913.0,4904.5,4904.75,49,1,260
WSP$D,M30,1617989400,4906.0,4908.0,4905.5,4908.0,32,1,388
WSP$D,M30,1618218000,4905.0,4906.75,4904.75,4906.75,31,1,83
WSP$D,M30,1618219800,4906.75,4908.5,4906.25,4907.5,16,1,62
WSP$D,M30,1618221600,4907.25,4910.75,4906.25,4906.25,31,1,79
WSP$D,M30,1618223400,4906.25,4911.75,4902.0,4905.25,61,1,252
WSP$D,M30,1618225200,4906.25,4908.75,4904.5,4904.5,17,1,108
WSP$D,M30,1618227000,4903.75,4904.75,4899.75,4904.75,41,1,261
WSP$D,M30,1618228800,4905.25,4906.75,4902.75,4906.25,18,1,24
WSP$D,M30,1618230600,4907.0,4908.25,4903.75,4907.5,16,1,78
WSP$D,M30,1618232400,4907.75,4909.75,4906.25,4909.5,18,1,62
WSP$D,M30,1618234200,4910.25,4914.75,4910.25,4914.75,42,1,112
