symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
@MJNK,M30,2008-10-28 04:30:00,1225168200,7620.0,7630.0,7560.0,7595.0,630,0,9500
@MJNK,M30,2008-10-28 05:00:00,1225170000,7595.0,7625.0,7575.0,7600.0,600,0,6397
@MJNK,M30,2008-10-28 05:30:00,1225171800,7595.0,7640.0,7530.0,7640.0,660,0,9584
@MJNK,M30,2008-10-28 19:00:00,1225220400,8185.0,8255.0,8125.0,8185.0,1452,0,70032
@MJNK,M30,2008-10-28 19:30:00,1225222200,8185.0,8240.0,8105.0,8125.0,1130,0,45219
@MJNK,M30,2008-10-28 20:00:00,1225224000,8120.0,8180.0,8065.0,8115.0,930,0,38475
@MJNK,M30,2008-10-28 20:30:00,1225225800,8120.0,8180.0,8075.0,8100.0,860,0,27732
@MJNK,M30,2008-10-28 22:30:00,1225233000,8140.0,8200.0,7900.0,7965.0,1170,0,81846
@MJNK,M30,2008-10-28 23:00:00,1225234800,7960.0,7970.0,7770.0,7815.0,1575,0,82725
@MJNK,M30,2008-10-28 23:30:00,1225236600,7810.0,7965.0,7805.0,7845.0,1360,0,50602
@MJNK,M30,2008-10-29 00:00:00,1225238400,7850.0,7930.0,7745.0,7895.0,1470,0,67311
@MJNK,M30,2008-10-29 00:30:00,1225240200,7890.0,8220.0,7890.0,8200.0,1770,0,85395
@MJNK,M30,2008-10-29 01:00:00,1225242000,8205.0,8380.0,8195.0,8300.0,700,0,34575
@MJNK,M30,2008-10-29 02:30:00,1225247400,8165.0,8280.0,8115.0,8175.0,1164,0,19938
@MJNK,M30,2008-10-29 03:00:00,1225249200,8180.0,8225.0,8100.0,8175.0,1020,0,18241
@MJNK,M30,2008-10-29 03:30:00,1225251000,8175.0,8215.0,8140.0,8160.0,755,0,10782
@MJNK,M30,2008-10-29 04:00:00,1225252800,8155.0,8185.0,8140.0,8165.0,605,0,6575
@MJNK,M30,2008-10-29 04:30:00,1225254600,8165.0,8180.0,8120.0,8170.0,700,0,8226
@MJNK,M30,2008-10-29 05:00:00,1225256400,8175.0,8245.0,8165.0,8240.0,625,0,9388
@MJNK,M30,2008-10-29 05:30:00,1225258200,8245.0,8345.0,8235.0,8290.0,725,0,9618
@MJNK,M30,2008-10-29 19:00:00,1225306800,8485.0,8545.0,8420.0,8455.0,1434,0,69968
@MJNK,M30,2008-10-29 19:30:00,1225308600,8460.0,8460.0,8320.0,8445.0,1300,0,57150
@MJNK,M30,2008-10-29 20:00:00,1225310400,8445.0,8585.0,8430.0,8550.0,1300,0,59774
@MJNK,M30,2008-10-29 20:30:00,1225312200,8555.0,8615.0,8470.0,8555.0,1205,0,53921
@MJNK,M30,2008-10-29 22:30:00,1225319400,8635.0,8815.0,8565.0,8805.0,1500,0,77105
@MJNK,M30,2008-10-29 23:00:00,1225321200,8810.0,8990.0,8765.0,8985.0,1550,0,69372
@MJNK,M30,2008-10-29 23:30:00,1225323000,8985.0,9030.0,8870.0,8960.0,1520,0,68660
@MJNK,M30,2008-10-30 00:00:00,1225324800,8955.0,9075.0,8850.0,9055.0,1405,0,55551
@MJNK,M30,2008-10-30 00:30:00,1225326600,9060.0,9135.0,8955.0,9085.0,1765,0,71652
@MJNK,M30,2008-10-30 01:00:00,1225328400,9080.0,9095.0,8985.0,9030.0,650,0,37757
@MJNK,M30,2008-10-30 02:30:00,1225333800,9060.0,9065.0,8900.0,8945.0,1080,0,20908
@MJNK,M30,2008-10-30 03:00:00,1225335600,8950.0,8975.0,8915.0,8915.0,810,0,12481
@MJNK,M30,2008-10-30 03:30:00,1225337400,8910.0,8950.0,8875.0,8895.0,775,0,10305
@MJNK,M30,2008-10-30 04:00:00,1225339200,8895.0,9000.0,8865.0,8950.0,755,0,13136
@MJNK,M30,2008-10-30 04:30:00,1225341000,8945.0,8965.0,8910.0,8955.0,555,0,8430
@MJNK,M30,2008-10-30 05:00:00,1225342800,8955.0,8990.0,8925.0,8990.0,535,0,7842
@MJNK,M30,2008-10-30 05:30:00,1225344600,8990.0,9050.0,8980.0,9000.0,640,0,10701
@MJNK,M30,2008-10-30 19:00:00,1225393200,8790.0,8820.0,8660.0,8775.0,1359,0,76321
@MJNK,M30,2008-10-30 19:30:00,1225395000,8770.0,8820.0,8675.0,8765.0,1265,0,57772
@MJNK,M30,2008-10-30 20:00:00,1225396800,8760.0,8855.0,8740.0,8775.0,1085,0,43386
@MJNK,M30,2008-10-30 20:30:00,1225398600,8775.0,8840.0,8740.0,8805.0,945,0,31407
@MJNK,M30,2008-10-30 22:30:00,1225405800,8840.0,9045.0,8805.0,8965.0,1605,0,76459
@MJNK,M30,2008-10-30 23:00:00,1225407600,8960.0,9000.0,8855.0,8930.0,1370,0,37583
@MJNK,M30,2008-10-30 23:30:00,1225409400,8930.0,9035.0,8880.0,8950.0,1500,0,47494
@MJNK,M30,2008-10-31 00:00:00,1225411200,8940.0,8995.0,8750.0,8950.0,1990,0,53954
@MJNK,M30,2008-10-31 00:30:00,1225413000,8945.0,8955.0,8580.0,8600.0,1615,0,77852
@MJNK,M30,2008-10-31 01:00:00,1225414800,8600.0,8650.0,8440.0,8450.0,820,0,30875
@MJNK,M30,2008-10-31 02:30:00,1225420200,8410.0,8565.0,8400.0,8530.0,1260,0,18711
@MJNK,M30,2008-10-31 03:00:00,1225422000,8540.0,8570.0,8400.0,8440.0,990,0,14991
@MJNK,M30,2008-10-31 03:30:00,1225423800,8440.0,8485.0,8340.0,8410.0,1040,0,11821
@MJNK,M30,2008-10-31 04:00:00,1225425600,8400.0,8410.0,8325.0,8395.0,790,0,7844
@MJNK,M30,2008-10-31 04:30:00,1225427400,8395.0,8445.0,8350.0,8440.0,630,0,6769
@MJNK,M30,2008-10-31 05:00:00,1225429200,8440.0,8475.0,8420.0,8445.0,635,0,6625
@MJNK,M30,2008-10-31 05:30:00,1225431000,8445.0,8455.0,8395.0,8430.0,610,0,6601
@MJNK,M30,2008-11-03 18:00:00,1225735200,8975.0,9030.0,8945.0,9000.0,921,0,43824
@MJNK,M30,2008-11-03 18:30:00,1225737000,9000.0,9015.0,8885.0,8965.0,1045,0,39292
@MJNK,M30,2008-11-03 19:00:00,1225738800,8970.0,9000.0,8900.0,8930.0,855,0,34106
@MJNK,M30,2008-11-03 19:30:00,1225740600,8930.0,8955.0,8875.0,8905.0,715,0,27281
@MJNK,M30,2008-11-03 21:30:00,1225747800,8975.0,9025.0,8940.0,8965.0,1100,0,46353
@MJNK,M30,2008-11-03 22:00:00,1225749600,8970.0,9005.0,8950.0,8980.0,875,0,29480
@MJNK,M30,2008-11-03 22:30:00,1225751400,8980.0,9085.0,8935.0,9060.0,830,0,46297
@MJNK,M30,2008-11-03 23:00:00,1225753200,9065.0,9105.0,9050.0,9090.0,800,0,35757
@MJNK,M30,2008-11-03 23:30:00,1225755000,9090.0,9155.0,9055.0,9070.0,830,0,43952
@MJNK,M30,2008-11-04 00:00:00,1225756800,9075.0,9125.0,9055.0,9100.0,455,0,21903
@MJNK,M30,2008-11-04 01:30:00,1225762200,9125.0,9135.0,9050.0,9070.0,580,0,8630
@MJNK,M30,2008-11-04 02:00:00,1225764000,9070.0,9100.0,9040.0,9090.0,585,0,8859
@MJNK,M30,2008-11-04 02:30:00,1225765800,9090.0,9125.0,9075.0,9110.0,570,0,7837
@MJNK,M30,2008-11-04 03:00:00,1225767600,9115.0,9145.0,9095.0,9125.0,495,0,5652
@MJNK,M30,2008-11-04 03:30:00,1225769400,9130.0,9160.0,9110.0,9145.0,565,0,8124
@MJNK,M30,2008-11-04 04:00:00,1225771200,9150.0,9245.0,9140.0,9195.0,750,0,9943
@MJNK,M30,2008-11-04 04:30:00,1225773000,9195.0,9260.0,9185.0,9260.0,605,0,8163
@MJNK,M30,2008-11-04 18:00:00,1225821600,9430.0,9440.0,9305.0,9335.0,1013,0,59363
@MJNK,M30,2008-11-04 18:30:00,1225823400,9335.0,9440.0,9330.0,9410.0,900,0,46414
@MJNK,M30,2008-11-04 19:00:00,1225825200,9415.0,9415.0,9280.0,9320.0,925,0,49348
@MJNK,M30,2008-11-04 19:30:00,1225827000,9325.0,9400.0,9315.0,9370.0,910,0,35486
@MJNK,M30,2008-11-04 21:30:00,1225834200,9490.0,9490.0,9380.0,9385.0,885,0,51976
@MJNK,M30,2008-11-04 22:00:00,1225836000,9385.0,9405.0,9240.0,9385.0,1060,0,70710
@MJNK,M30,2008-11-04 22:30:00,1225837800,9385.0,9390.0,9300.0,9340.0,950,0,34916
@MJNK,M30,2008-11-04 23:00:00,1225839600,9340.0,9425.0,9305.0,9400.0,960,0,45286
@MJNK,M30,2008-11-04 23:30:00,1225841400,9405.0,9495.0,9350.0,9490.0,985,0,57029
@MJNK,M30,2008-11-05 00:00:00,1225843200,9495.0,9570.0,9485.0,9520.0,550,0,35857
@MJNK,M30,2008-11-05 01:30:00,1225848600,9485.0,9540.0,9450.0,9470.0,815,0,16906
@MJNK,M30,2008-11-05 02:00:00,1225850400,9465.0,9490.0,9385.0,9395.0,785,0,15911
@MJNK,M30,2008-11-05 02:30:00,1225852200,9395.0,9400.0,9350.0,9355.0,630,0,11531
@MJNK,M30,2008-11-05 03:00:00,1225854000,9355.0,9360.0,9285.0,9310.0,585,0,11774
@MJNK,M30,2008-11-05 03:30:00,1225855800,9310.0,9385.0,9305.0,9330.0,520,0,7552
@MJNK,M30,2008-11-05 04:00:00,1225857600,9330.0,9375.0,9295.0,9370.0,590,0,9074
@MJNK,M30,2008-11-05 04:30:00,1225859400,9370.0,9385.0,9305.0,9305.0,710,0,11778
@MJNK,M30,2008-11-05 18:00:00,1225908000,9010.0,9075.0,8950.0,8985.0,896,0,58180
@MJNK,M30,2008-11-05 18:30:00,1225909800,8980.0,9085.0,8970.0,9040.0,1010,0,40026
@MJNK,M30,2008-11-05 19:00:00,1225911600,9035.0,9075.0,9005.0,9065.0,880,0,34473
@MJNK,M30,2008-11-05 19:30:00,1225913400,9065.0,9080.0,8970.0,8985.0,855,0,34295
@MJNK,M30,2008-11-05 21:30:00,1225920600,8950.0,9035.0,8910.0,9005.0,980,0,48362
@MJNK,M30,2008-11-05 22:00:00,1225922400,9005.0,9035.0,8975.0,9015.0,640,0,26900
@MJNK,M30,2008-11-05 22:30:00,1225924200,9015.0,9025.0,8925.0,8930.0,750,0,26698
@MJNK,M30,2008-11-05 23:00:00,1225926000,8930.0,8935.0,8835.0,8875.0,1170,0,65883
@MJNK,M30,2008-11-05 23:30:00,1225927800,8875.0,8895.0,8775.0,8880.0,1060,0,56116
@MJNK,M30,2008-11-06 00:00:00,1225929600,8880.0,8895.0,8795.0,8800.0,475,0,28546
@MJNK,M30,2008-11-06 01:30:00,1225935000,8800.0,8805.0,8715.0,8765.0,915,0,16404
@MJNK,M30,2008-11-06 02:00:00,1225936800,8765.0,8890.0,8740.0,8830.0,870,0,14727
@MJNK,M30,2008-11-06 02:30:00,1225938600,8825.0,8835.0,8765.0,8805.0,755,0,10870
@MJNK,M30,2008-11-06 03:00:00,1225940400,8805.0,8840.0,8755.0,8770.0,565,0,8287
@MJNK,M30,2008-11-06 03:30:00,1225942200,8765.0,8785.0,8715.0,8735.0,570,0,6912
@MJNK,M30,2008-11-06 04:00:00,1225944000,8730.0,8735.0,8675.0,8705.0,630,0,8955
@MJNK,M30,2008-11-06 04:30:00,1225945800,8705.0,8715.0,8685.0,8695.0,505,0,7214
@MJNK,M30,2008-11-06 18:00:00,1225994400,8345.0,8405.0,8330.0,8355.0,932,0,54262
@MJNK,M30,2008-11-06 18:30:00,1225996200,8355.0,8360.0,8240.0,8320.0,1060,0,50900
@MJNK,M30,2008-11-06 19:00:00,1225998000,8320.0,8430.0,8310.0,8375.0,1040,0,58467
@MJNK,M30,2008-11-06 19:30:00,1225999800,8375.0,8565.0,8360.0,8535.0,1055,0,50420
@MJNK,M30,2008-11-06 21:30:00,1226007000,8590.0,8790.0,8580.0,8745.0,1215,0,81935
@MJNK,M30,2008-11-06 22:00:00,1226008800,8740.0,8830.0,8680.0,8820.0,1130,0,63189
@MJNK,M30,2008-11-06 22:30:00,1226010600,8820.0,8870.0,8690.0,8740.0,1240,0,60858
@MJNK,M30,2008-11-06 23:00:00,1226012400,8740.0,8780.0,8450.0,8570.0,1255,0,77771
@MJNK,M30,2008-11-06 23:30:00,1226014200,8570.0,8680.0,8510.0,8555.0,1460,0,70866
@MJNK,M30,2008-11-07 00:00:00,1226016000,8555.0,8690.0,8545.0,8660.0,570,0,25305
@MJNK,M30,2008-11-07 01:30:00,1226021400,8660.0,8740.0,8630.0,8670.0,1015,0,13589
@MJNK,M30,2008-11-07 02:00:00,1226023200,8670.0,8795.0,8670.0,8760.0,870,0,11912
@MJNK,M30,2008-11-07 02:30:00,1226025000,8760.0,8780.0,8690.0,8705.0,675,0,8874
@MJNK,M30,2008-11-07 03:00:00,1226026800,8700.0,8720.0,8610.0,8640.0,690,0,10222
@MJNK,M30,2008-11-07 03:30:00,1226028600,8640.0,8675.0,8615.0,8655.0,680,0,8361
@MJNK,M30,2008-11-07 04:00:00,1226030400,8650.0,8720.0,8650.0,8695.0,550,0,5857
@MJNK,M30,2008-11-07 04:30:00,1226032200,8695.0,8755.0,8655.0,8755.0,635,0,8459
@MJNK,M30,2008-11-09 18:00:00,1226253600,8995.0,9095.0,8970.0,9095.0,1083,0,54152
@MJNK,M30,2008-11-09 18:30:00,1226255400,9090.0,9120.0,9020.0,9085.0,1020,0,44527
@MJNK,M30,2008-11-09 19:00:00,1226257200,9085.0,9105.0,8990.0,9015.0,1000,0,37965
@MJNK,M30,2008-11-09 19:30:00,1226259000,9015.0,9065.0,8985.0,9060.0,745,0,31667
@MJNK,M30,2008-11-09 21:30:00,1226266200,8985.0,9000.0,8925.0,8985.0,850,0,41903
@MJNK,M30,2008-11-09 22:00:00,1226268000,8985.0,9050.0,8980.0,9010.0,785,0,35430
