symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
MBTc1,H1,2024-02-28 10:00:00,1709114400,58610.0,58670.0,58590.0,58665.0,15,5,31
MBTc1,H1,2024-02-28 11:00:00,1709118000,58665.0,58945.0,57930.0,58365.0,810,5,1530
MBTc1,H1,2024-02-28 12:00:00,1709121600,58365.0,58780.0,58285.0,58715.0,444,5,802
MBTc1,H1,2024-02-28 13:00:00,1709125200,58715.0,60330.0,58680.0,59920.0,2848,0,5457
MBTc1,H1,2024-02-28 14:00:00,1709128800,59920.0,60680.0,59255.0,60500.0,3519,0,7137
MBTc1,H1,2024-02-28 15:00:00,1709132400,60500.0,60865.0,60045.0,60450.0,1927,5,3575
MBTc1,H1,2024-02-28 16:00:00,1709136000,60440.0,62055.0,60425.0,62005.0,3071,0,5751
MBTc1,H1,2024-02-28 17:00:00,1709139600,61985.0,63705.0,58715.0,60720.0,15023,0,27631
MBTc1,H1,2024-02-28 18:00:00,1709143200,60810.0,60905.0,58730.0,60555.0,5468,5,9521
MBTc1,H1,2024-02-28 19:00:00,1709146800,60570.0,60965.0,59950.0,60310.0,2045,5,3490
MBTc1,H1,2024-02-28 20:00:00,1709150400,60235.0,60425.0,59050.0,59715.0,4220,0,7917
MBTc1,H1,2024-02-28 21:00:00,1709154000,59690.0,60105.0,59145.0,59980.0,1135,5,2650
MBTc1,H1,2024-02-28 23:00:00,1709161200,60215.0,62185.0,60215.0,61825.0,972,5,1963
MBTc1,H1,2024-02-29 00:00:00,1709164800,61795.0,61840.0,60420.0,60550.0,1229,5,2575
MBTc1,H1,2024-02-29 01:00:00,1709168400,60610.0,60720.0,60165.0,60540.0,581,5,995
MBTc1,H1,2024-02-29 02:00:00,1709172000,60505.0,60990.0,60240.0,60990.0,483,0,812
MBTc1,H1,2024-02-29 03:00:00,1709175600,60925.0,60925.0,60380.0,60805.0,331,0,524
MBTc1,H1,2024-02-29 04:00:00,1709179200,60780.0,61950.0,60570.0,61795.0,860,5,1620
MBTc1,H1,2024-02-29 05:00:00,1709182800,61675.0,61830.0,61080.0,61695.0,691,5,1071
MBTc1,H1,2024-02-29 06:00:00,1709186400,61720.0,62855.0,61645.0,62145.0,1025,5,1622
MBTc1,H1,2024-02-29 07:00:00,1709190000,62125.0,62295.0,61650.0,61790.0,556,5,829
MBTc1,H1,2024-02-29 08:00:00,1709193600,61840.0,62330.0,61505.0,62060.0,722,5,1076
MBTc1,H1,2024-02-29 09:00:00,1709197200,62025.0,62305.0,61500.0,61980.0,589,5,1204
MBTc1,H1,2024-02-29 10:00:00,1709200800,61950.0,62065.0,61410.0,62015.0,356,5,560
MBTc1,H1,2024-02-29 11:00:00,1709204400,61940.0,62670.0,61915.0,62290.0,569,5,954
MBTc1,H1,2024-02-29 12:00:00,1709208000,62245.0,62375.0,61515.0,61965.0,750,0,1266
MBTc1,H1,2024-02-29 13:00:00,1709211600,61990.0,62405.0,61295.0,62345.0,1546,5,2525
MBTc1,H1,2024-02-29 14:00:00,1709215200,62335.0,63050.0,62120.0,62285.0,3558,0,6627
