symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
MBTc1,M15,2024-02-28 10:45:00,1709117100,58610.0,58670.0,58590.0,58665.0,15,5,31
MBTc1,M15,2024-02-28 11:00:00,1709118000,58665.0,58735.0,58580.0,58580.0,59,5,110
MBTc1,M15,2024-02-28 11:15:00,1709118900,58630.0,58825.0,58605.0,58755.0,77,5,167
MBTc1,M15,2024-02-28 11:30:00,1709119800,58760.0,58945.0,58570.0,58570.0,120,5,222
MBTc1,M15,2024-02-28 11:45:00,1709120700,58570.0,58570.0,57930.0,58365.0,554,5,1031
MBTc1,M15,2024-02-28 12:00:00,1709121600,58365.0,58540.0,58285.0,58520.0,165,5,277
MBTc1,M15,2024-02-28 12:15:00,1709122500,58550.0,58630.0,58460.0,58610.0,83,5,155
MBTc1,M15,2024-02-28 12:30:00,1709123400,58655.0,58780.0,58630.0,58760.0,134,5,236
MBTc1,M15,2024-02-28 12:45:00,1709124300,58765.0,58780.0,58640.0,58715.0,62,5,134
MBTc1,M15,2024-02-28 13:00:00,1709125200,58715.0,59355.0,58680.0,59170.0,503,5,929
MBTc1,M15,2024-02-28 13:15:00,1709126100,59180.0,60330.0,59005.0,59640.0,1080,0,2042
MBTc1,M15,2024-02-28 13:30:00,1709127000,59700.0,59980.0,59520.0,59625.0,715,5,1363
MBTc1,M15,2024-02-28 13:45:00,1709127900,59615.0,60025.0,59565.0,59920.0,550,0,1123
MBTc1,M15,2024-02-28 14:00:00,1709128800,59920.0,60090.0,59745.0,59825.0,821,0,1780
MBTc1,M15,2024-02-28 14:15:00,1709129700,59845.0,59935.0,59255.0,59605.0,925,0,1774
MBTc1,M15,2024-02-28 14:30:00,1709130600,59600.0,59830.0,59295.0,59800.0,668,5,1472
MBTc1,M15,2024-02-28 14:45:00,1709131500,59810.0,60680.0,59690.0,60500.0,1105,0,2111
MBTc1,M15,2024-02-28 15:00:00,1709132400,60500.0,60815.0,60045.0,60690.0,830,5,1523
MBTc1,M15,2024-02-28 15:15:00,1709133300,60670.0,60865.0,60330.0,60615.0,547,5,988
MBTc1,M15,2024-02-28 15:30:00,1709134200,60615.0,60710.0,60265.0,60380.0,318,5,618
MBTc1,M15,2024-02-28 15:45:00,1709135100,60445.0,60595.0,60310.0,60450.0,232,5,446
MBTc1,M15,2024-02-28 16:00:00,1709136000,60440.0,60920.0,60425.0,60580.0,684,5,1193
MBTc1,M15,2024-02-28 16:15:00,1709136900,60575.0,61055.0,60495.0,60895.0,609,5,1123
MBTc1,M15,2024-02-28 16:30:00,1709137800,60890.0,61280.0,60800.0,61185.0,829,0,1702
MBTc1,M15,2024-02-28 16:45:00,1709138700,61195.0,62055.0,61105.0,62005.0,949,5,1733
MBTc1,M15,2024-02-28 17:00:00,1709139600,61985.0,63500.0,61745.0,63325.0,2371,5,4214
MBTc1,M15,2024-02-28 17:15:00,1709140500,63290.0,63705.0,61150.0,61400.0,4637,5,8241
MBTc1,M15,2024-02-28 17:30:00,1709141400,61420.0,61435.0,58715.0,60640.0,6077,0,11353
MBTc1,M15,2024-02-28 17:45:00,1709142300,60630.0,61075.0,60085.0,60720.0,1938,5,3823
MBTc1,M15,2024-02-28 18:00:00,1709143200,60810.0,60905.0,59860.0,60200.0,1643,5,3257
MBTc1,M15,2024-02-28 18:15:00,1709144100,60210.0,60235.0,58730.0,59755.0,2407,5,3780
MBTc1,M15,2024-02-28 18:30:00,1709145000,59755.0,60280.0,59580.0,60095.0,863,5,1514
