symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
NZDUSD,H1,2007-09-03 09:00:00,1188810000,0.7034,0.7045,0.7025,0.7032,171,40,0
NZDUSD,H1,2007-09-03 10:00:00,1188813600,0.7031,0.7037,0.7025,0.7032,111,40,0
NZDUSD,H1,2007-09-03 11:00:00,1188817200,0.703,0.7031,0.7018,0.7026,139,40,0
NZDUSD,H1,2007-09-03 12:00:00,1188820800,0.7025,0.7028,0.7021,0.7021,145,40,0
NZDUSD,H1,2007-09-03 13:00:00,1188824400,0.7022,0.7028,0.702,0.7023,106,40,0
NZDUSD,H1,2007-09-03 14:00:00,1188828000,0.7024,0.7028,0.7005,0.7014,138,40,0
NZDUSD,H1,2007-09-03 15:00:00,1188831600,0.7016,0.7028,0.7014,0.7027,136,40,0
NZDUSD,H1,2007-09-03 16:00:00,1188835200,0.702,0.7028,0.7014,0.7021,93,40,0
NZDUSD,H1,2007-09-03 17:00:00,1188838800,0.7019,0.7032,0.7016,0.7019,55,40,0
NZDUSD,H1,2007-09-03 18:00:00,1188842400,0.7018,0.7021,0.7012,0.7017,47,40,0
NZDUSD,H1,2007-09-03 19:00:00,1188846000,0.7016,0.7023,0.7016,0.7022,22,40,0
NZDUSD,H1,2007-09-03 20:00:00,1188849600,0.7023,0.7046,0.702,0.7041,104,40,0
NZDUSD,H1,2007-09-03 21:00:00,1188853200,0.704,0.7048,0.7027,0.7035,108,40,0
NZDUSD,H1,2007-09-03 22:00:00,1188856800,0.7034,0.7048,0.694,0.7025,4266,40,0
NZDUSD,H1,2007-09-03 23:00:00,1188860400,0.7023,0.7028,0.7003,0.7003,140,40,0
NZDUSD,H1,2007-09-04 00:00:00,1188864000,0.7002,0.7019,0.7001,0.7012,181,40,0
NZDUSD,H1,2007-09-04 01:00:00,1188867600,0.7014,0.7041,0.7002,0.7032,242,40,0
NZDUSD,H1,2007-09-04 02:00:00,1188871200,0.703,0.7034,0.702,0.7021,122,40,0
NZDUSD,H1,2007-09-04 03:00:00,1188874800,0.7023,0.7028,0.7021,0.7025,70,40,0
NZDUSD,H1,2007-09-04 04:00:00,1188878400,0.7023,0.7028,0.7019,0.7027,111,40,0
NZDUSD,H1,2007-09-04 05:00:00,1188882000,0.7025,0.7048,0.702,0.7041,151,40,0
NZDUSD,H1,2007-09-04 06:00:00,1188885600,0.7039,0.7043,0.7027,0.7035,154,40,0
NZDUSD,H1,2007-09-04 07:00:00,1188889200,0.7034,0.7035,0.6985,0.6996,330,40,0
NZDUSD,H1,2007-09-04 08:00:00,1188892800,0.6994,0.7005,0.6976,0.6989,364,40,0
NZDUSD,H1,2007-09-04 09:00:00,1188896400,0.6991,0.7003,0.6981,0.6994,239,40,0
NZDUSD,H1,2007-09-04 10:00:00,1188900000,0.6992,0.6998,0.6981,0.6989,224,40,0
NZDUSD,H1,2007-09-04 11:00:00,1188903600,0.6991,0.6998,0.6984,0.6989,115,40,0
NZDUSD,H1,2007-09-04 12:00:00,1188907200,0.6991,0.6996,0.6973,0.6981,177,40,0
NZDUSD,H1,2007-09-04 13:00:00,1188910800,0.6984,0.7,0.6981,0.6994,134,40,0
NZDUSD,H1,2007-09-04 14:00:00,1188914400,0.6996,0.7019,0.6982,0.6984,370,40,0
NZDUSD,H1,2007-09-04 15:00:00,1188918000,0.6985,0.6989,0.6967,0.6982,286,40,0
NZDUSD,H1,2007-09-04 16:00:00,1188921600,0.6984,0.6984,0.6955,0.696,169,40,0
NZDUSD,H1,2007-09-04 17:00:00,1188925200,0.6959,0.696,0.6944,0.6944,132,40,0
NZDUSD,H1,2007-09-04 18:00:00,1188928800,0.6946,0.6953,0.694,0.6949,101,40,0
NZDUSD,H1,2007-09-04 19:00:00,1188932400,0.6951,0.6958,0.6941,0.6946,107,40,0
NZDUSD,H1,2007-09-04 20:00:00,1188936000,0.6948,0.6969,0.6948,0.6967,83,40,0
NZDUSD,H1,2007-09-04 21:00:00,1188939600,0.6969,0.6971,0.6951,0.6958,70,40,0
NZDUSD,H1,2007-09-04 22:00:00,1188943200,0.696,0.6969,0.6958,0.6966,82,40,0
NZDUSD,H1,2007-09-04 23:00:00,1188946800,0.6964,0.6973,0.696,0.6973,130,40,0
NZDUSD,H1,2007-09-05 00:00:00,1188950400,0.6971,0.6973,0.6964,0.6967,70,40,0
NZDUSD,H1,2007-09-05 01:00:00,1188954000,0.6969,0.6973,0.6964,0.6964,80,40,0
NZDUSD,H1,2007-09-05 02:00:00,1188957600,0.6966,0.6967,0.6935,0.6935,162,40,0
NZDUSD,H1,2007-09-05 03:00:00,1188961200,0.6933,0.6949,0.693,0.6944,220,40,0
NZDUSD,H1,2007-09-05 04:00:00,1188964800,0.6942,0.6944,0.6917,0.6937,268,40,0
NZDUSD,H1,2007-09-05 05:00:00,1188968400,0.694,0.694,0.6922,0.6928,211,40,0
NZDUSD,H1,2007-09-05 06:00:00,1188972000,0.693,0.694,0.691,0.6935,280,40,0
NZDUSD,H1,2007-09-05 07:00:00,1188975600,0.6933,0.6937,0.6917,0.6922,218,40,0
NZDUSD,H1,2007-09-05 08:00:00,1188979200,0.6923,0.6949,0.6922,0.6949,261,40,0
NZDUSD,H1,2007-09-05 09:00:00,1188982800,0.6948,0.6949,0.6926,0.6928,163,40,0
NZDUSD,H1,2007-09-05 10:00:00,1188986400,0.693,0.6942,0.6928,0.693,163,40,0
NZDUSD,H1,2007-09-05 11:00:00,1188990000,0.6928,0.6931,0.6917,0.6922,198,40,0
NZDUSD,H1,2007-09-05 12:00:00,1188993600,0.6923,0.6924,0.6877,0.6895,394,40,0
NZDUSD,H1,2007-09-05 13:00:00,1188997200,0.6894,0.6906,0.6883,0.6883,318,40,0
NZDUSD,H1,2007-09-05 14:00:00,1189000800,0.6881,0.6894,0.6863,0.6879,407,40,0
NZDUSD,H1,2007-09-05 15:00:00,1189004400,0.6877,0.69,0.6876,0.6895,278,40,0
NZDUSD,H1,2007-09-05 16:00:00,1189008000,0.6897,0.6909,0.6892,0.6902,258,40,0
NZDUSD,H1,2007-09-05 17:00:00,1189011600,0.6903,0.6909,0.6876,0.6879,248,40,0
NZDUSD,H1,2007-09-05 18:00:00,1189015200,0.6878,0.6882,0.685,0.6867,404,40,0
NZDUSD,H1,2007-09-05 19:00:00,1189018800,0.6865,0.6876,0.6853,0.6865,240,40,0
NZDUSD,H1,2007-09-05 20:00:00,1189022400,0.6867,0.6874,0.6859,0.6865,82,40,0
NZDUSD,H1,2007-09-05 21:00:00,1189026000,0.6863,0.6883,0.6861,0.6874,86,40,0
NZDUSD,H1,2007-09-05 22:00:00,1189029600,0.687,0.6937,0.6834,0.6881,3894,40,0
NZDUSD,H1,2007-09-05 23:00:00,1189033200,0.6879,0.6883,0.6834,0.6849,255,40,0
NZDUSD,H1,2007-09-06 00:00:00,1189036800,0.6851,0.6859,0.6847,0.6856,169,40,0
NZDUSD,H1,2007-09-06 01:00:00,1189040400,0.6858,0.6874,0.6852,0.687,221,40,0
NZDUSD,H1,2007-09-06 02:00:00,1189044000,0.6869,0.689,0.6869,0.6885,155,40,0
NZDUSD,H1,2007-09-06 03:00:00,1189047600,0.6887,0.6895,0.6879,0.6887,196,40,0
NZDUSD,H1,2007-09-06 04:00:00,1189051200,0.6888,0.6905,0.6885,0.6894,138,40,0
NZDUSD,H1,2007-09-06 05:00:00,1189054800,0.6895,0.6901,0.689,0.6897,120,40,0
NZDUSD,H1,2007-09-06 06:00:00,1189058400,0.6895,0.6908,0.689,0.6894,170,40,0
NZDUSD,H1,2007-09-06 07:00:00,1189062000,0.6892,0.6937,0.6892,0.6917,332,40,0
NZDUSD,H1,2007-09-06 08:00:00,1189065600,0.6915,0.6933,0.6912,0.6931,210,40,0
NZDUSD,H1,2007-09-06 09:00:00,1189069200,0.6933,0.6935,0.6923,0.6926,160,40,0
NZDUSD,H1,2007-09-06 10:00:00,1189072800,0.6928,0.6928,0.6894,0.6895,191,40,0
