symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
NZDUSD,M5,2022-10-03 18:00:00,1664820000,0.57104,0.57136,0.5708,0.57131,121,4,0
NZDUSD,M5,2022-10-03 18:05:00,1664820300,0.57129,0.57158,0.57126,0.57133,117,6,0
NZDUSD,M5,2022-10-03 18:10:00,1664820600,0.57137,0.57172,0.57132,0.57147,127,7,0
NZDUSD,M5,2022-10-03 18:15:00,1664820900,0.57144,0.57174,0.57141,0.57174,139,7,0
NZDUSD,M5,2022-10-03 18:20:00,1664821200,0.57172,0.57183,0.57161,0.57169,94,7,0
NZDUSD,M5,2022-10-03 18:25:00,1664821500,0.57169,0.57202,0.57156,0.57199,125,6,0
NZDUSD,M5,2022-10-03 18:30:00,1664821800,0.57198,0.57223,0.57191,0.57217,124,6,0
NZDUSD,M5,2022-10-03 18:35:00,1664822100,0.57217,0.57246,0.57213,0.57226,127,7,0
NZDUSD,M5,2022-10-03 18:40:00,1664822400,0.57226,0.57242,0.57223,0.5724,86,8,0
NZDUSD,M5,2022-10-03 18:45:00,1664822700,0.5724,0.57242,0.57209,0.5721,101,8,0
NZDUSD,M5,2022-10-03 18:50:00,1664823000,0.57214,0.5722,0.57174,0.57197,106,7,0
NZDUSD,M5,2022-10-03 18:55:00,1664823300,0.57197,0.57204,0.57182,0.57183,86,4,0
NZDUSD,M5,2022-10-03 19:00:00,1664823600,0.57184,0.57184,0.57129,0.57135,91,4,0
NZDUSD,M5,2022-10-03 19:05:00,1664823900,0.57135,0.57177,0.57116,0.57137,71,4,0
NZDUSD,M5,2022-10-03 19:10:00,1664824200,0.57137,0.57181,0.57103,0.57108,116,6,0
NZDUSD,M5,2022-10-03 19:15:00,1664824500,0.57108,0.57108,0.57073,0.57093,87,6,0
NZDUSD,M5,2022-10-03 19:20:00,1664824800,0.57093,0.57131,0.57083,0.57123,103,7,0
NZDUSD,M5,2022-10-03 19:25:00,1664825100,0.57123,0.57161,0.57123,0.57135,129,7,0
NZDUSD,M5,2022-10-03 19:30:00,1664825400,0.57134,0.57157,0.57127,0.5715,157,8,0
NZDUSD,M5,2022-10-03 19:35:00,1664825700,0.57147,0.57178,0.57142,0.57156,121,7,0
NZDUSD,M5,2022-10-03 19:40:00,1664826000,0.57156,0.57217,0.57131,0.57143,166,6,0
NZDUSD,M5,2022-10-03 19:45:00,1664826300,0.57142,0.57149,0.57117,0.57132,144,7,0
NZDUSD,M5,2022-10-03 19:50:00,1664826600,0.57131,0.57167,0.57121,0.57157,146,8,0
NZDUSD,M5,2022-10-03 19:55:00,1664826900,0.57159,0.57172,0.57127,0.57172,108,6,0
NZDUSD,M5,2022-10-03 20:00:00,1664827200,0.57176,0.57196,0.57158,0.57172,122,7,0
NZDUSD,M5,2022-10-03 20:05:00,1664827500,0.57171,0.57184,0.57169,0.57178,87,7,0
NZDUSD,M5,2022-10-03 20:10:00,1664827800,0.57178,0.5719,0.57175,0.57188,49,6,0
NZDUSD,M5,2022-10-03 20:15:00,1664828100,0.57188,0.57227,0.57186,0.57217,58,5,0
NZDUSD,M5,2022-10-03 20:20:00,1664828400,0.57215,0.57215,0.57169,0.57178,70,7,0
NZDUSD,M5,2022-10-03 20:25:00,1664828700,0.57177,0.57195,0.57171,0.57172,88,8,0
NZDUSD,M5,2022-10-03 20:30:00,1664829000,0.57172,0.57198,0.57171,0.57196,49,7,0
NZDUSD,M5,2022-10-03 20:35:00,1664829300,0.57197,0.57212,0.57196,0.57202,29,9,0
NZDUSD,M5,2022-10-03 20:40:00,1664829600,0.57202,0.57217,0.57195,0.57217,41,6,0
NZDUSD,M5,2022-10-03 20:45:00,1664829900,0.57217,0.57221,0.57214,0.57214,43,8,0
NZDUSD,M5,2022-10-03 20:50:00,1664830200,0.57211,0.57217,0.57202,0.57217,38,11,0
NZDUSD,M5,2022-10-03 20:55:00,1664830500,0.57216,0.57216,0.57175,0.57176,32,8,0
NZDUSD,M5,2022-10-03 21:05:00,1664831100,0.57222,0.57222,0.57176,0.57214,18,19,0
NZDUSD,M5,2022-10-03 21:10:00,1664831400,0.57214,0.57216,0.57209,0.57216,11,21,0
NZDUSD,M5,2022-10-03 21:15:00,1664831700,0.57216,0.57216,0.57214,0.57215,10,17,0
NZDUSD,M5,2022-10-03 21:20:00,1664832000,0.57214,0.57215,0.57187,0.57213,16,1,0
NZDUSD,M5,2022-10-03 21:25:00,1664832300,0.57213,0.57226,0.57183,0.57192,17,4,0
NZDUSD,M5,2022-10-03 21:30:00,1664832600,0.57192,0.57213,0.57188,0.57213,16,7,0
NZDUSD,M5,2022-10-03 21:35:00,1664832900,0.57213,0.57213,0.57188,0.5719,23,7,0
NZDUSD,M5,2022-10-03 21:40:00,1664833200,0.5719,0.57213,0.57188,0.57192,25,5,0
NZDUSD,M5,2022-10-03 21:45:00,1664833500,0.5719,0.57204,0.5719,0.57195,27,20,0
NZDUSD,M5,2022-10-03 21:50:00,1664833800,0.57195,0.57217,0.5719,0.5719,33,6,0
NZDUSD,M5,2022-10-03 21:55:00,1664834100,0.5721,0.5721,0.57189,0.57194,22,6,0
NZDUSD,M5,2022-10-03 22:00:00,1664834400,0.57194,0.57195,0.57182,0.57182,45,7,0
NZDUSD,M5,2022-10-03 22:05:00,1664834700,0.57183,0.5719,0.57156,0.57185,38,14,0
NZDUSD,M5,2022-10-03 22:10:00,1664835000,0.57184,0.57203,0.5716,0.57163,54,1,0
NZDUSD,M5,2022-10-03 22:15:00,1664835300,0.5716,0.57166,0.57148,0.57148,38,7,0
NZDUSD,M5,2022-10-03 22:20:00,1664835600,0.57148,0.5717,0.57139,0.57148,44,3,0
NZDUSD,M5,2022-10-03 22:25:00,1664835900,0.57144,0.57154,0.57139,0.57145,51,5,0
NZDUSD,M5,2022-10-03 22:30:00,1664836200,0.57146,0.57158,0.57125,0.57133,67,15,0
NZDUSD,M5,2022-10-03 22:35:00,1664836500,0.57134,0.57155,0.57124,0.57144,55,4,0
NZDUSD,M5,2022-10-03 22:40:00,1664836800,0.57144,0.57172,0.57139,0.57165,80,11,0
NZDUSD,M5,2022-10-03 22:45:00,1664837100,0.57166,0.5717,0.57151,0.57154,65,12,0
NZDUSD,M5,2022-10-03 22:50:00,1664837400,0.57152,0.57169,0.57152,0.57169,47,2,0
NZDUSD,M5,2022-10-03 22:55:00,1664837700,0.57169,0.57171,0.5715,0.57159,65,0,0
NZDUSD,M5,2022-10-03 23:00:00,1664838000,0.57156,0.57226,0.57156,0.57222,112,8,0
NZDUSD,M5,2022-10-03 23:05:00,1664838300,0.57223,0.57229,0.57189,0.5721,88,11,0
NZDUSD,M5,2022-10-03 23:10:00,1664838600,0.57209,0.57215,0.57202,0.57207,80,11,0
NZDUSD,M5,2022-10-03 23:15:00,1664838900,0.57209,0.57235,0.57209,0.57223,78,11,0
NZDUSD,M5,2022-10-03 23:20:00,1664839200,0.57223,0.57265,0.57222,0.57244,96,10,0
NZDUSD,M5,2022-10-03 23:25:00,1664839500,0.57243,0.57243,0.5721,0.5722,95,10,0
NZDUSD,M5,2022-10-03 23:30:00,1664839800,0.57215,0.57227,0.57199,0.57203,117,9,0
NZDUSD,M5,2022-10-03 23:35:00,1664840100,0.57204,0.5721,0.57181,0.57181,84,4,0
NZDUSD,M5,2022-10-03 23:40:00,1664840400,0.57181,0.57194,0.57166,0.57181,82,8,0
NZDUSD,M5,2022-10-03 23:45:00,1664840700,0.57182,0.57208,0.57179,0.57207,111,9,0
NZDUSD,M5,2022-10-03 23:50:00,1664841000,0.57207,0.5721,0.57183,0.57198,115,9,0
NZDUSD,M5,2022-10-03 23:55:00,1664841300,0.57199,0.57202,0.57181,0.57197,80,9,0
NZDUSD,M5,2022-10-04 00:00:00,1664841600,0.57197,0.57213,0.57146,0.57146,143,6,0
NZDUSD,M5,2022-10-04 00:05:00,1664841900,0.57144,0.57186,0.57144,0.57178,124,9,0
NZDUSD,M5,2022-10-04 00:10:00,1664842200,0.57178,0.572,0.57164,0.57196,112,7,0
NZDUSD,M5,2022-10-04 00:15:00,1664842500,0.57196,0.57237,0.57186,0.57226,137,7,0
NZDUSD,M5,2022-10-04 00:20:00,1664842800,0.57226,0.57231,0.57176,0.57176,84,7,0
NZDUSD,M5,2022-10-04 00:25:00,1664843100,0.57176,0.57176,0.57124,0.57124,111,7,0
NZDUSD,M5,2022-10-04 00:30:00,1664843400,0.57122,0.57154,0.57122,0.57136,133,9,0
NZDUSD,M5,2022-10-04 00:35:00,1664843700,0.57137,0.57139,0.57106,0.57122,124,9,0
NZDUSD,M5,2022-10-04 00:40:00,1664844000,0.57122,0.57128,0.57101,0.57115,94,5,0
NZDUSD,M5,2022-10-04 00:45:00,1664844300,0.57115,0.5713,0.5711,0.57117,78,9,0
NZDUSD,M5,2022-10-04 00:50:00,1664844600,0.57118,0.57142,0.57102,0.57141,142,5,0
NZDUSD,M5,2022-10-04 00:55:00,1664844900,0.57136,0.57141,0.57106,0.57136,71,9,0
NZDUSD,M5,2022-10-04 01:00:00,1664845200,0.57136,0.57156,0.57126,0.57151,82,9,0
NZDUSD,M5,2022-10-04 01:05:00,1664845500,0.57155,0.57176,0.57151,0.57176,98,5,0
NZDUSD,M5,2022-10-04 01:10:00,1664845800,0.57176,0.57181,0.57162,0.57176,84,7,0
NZDUSD,M5,2022-10-04 01:15:00,1664846100,0.57176,0.57191,0.57166,0.57177,117,5,0
NZDUSD,M5,2022-10-04 01:20:00,1664846400,0.57178,0.57196,0.57137,0.57139,123,5,0
NZDUSD,M5,2022-10-04 01:25:00,1664846700,0.57137,0.57164,0.57137,0.57147,129,5,0
NZDUSD,M5,2022-10-04 01:30:00,1664847000,0.57146,0.57147,0.57091,0.57094,130,6,0
NZDUSD,M5,2022-10-04 01:35:00,1664847300,0.57094,0.57127,0.57091,0.5712,96,6,0
NZDUSD,M5,2022-10-04 01:40:00,1664847600,0.5712,0.57131,0.57102,0.5711,105,6,0
NZDUSD,M5,2022-10-04 01:45:00,1664847900,0.5711,0.57139,0.57102,0.5712,117,7,0
NZDUSD,M5,2022-10-04 01:50:00,1664848200,0.5712,0.57122,0.57071,0.57077,119,9,0
NZDUSD,M5,2022-10-04 01:55:00,1664848500,0.57077,0.57078,0.57001,0.57001,86,6,0
NZDUSD,M5,2022-10-04 02:00:00,1664848800,0.57002,0.57015,0.56992,0.57,111,5,0
NZDUSD,M5,2022-10-04 02:05:00,1664849100,0.56997,0.57,0.56953,0.56955,99,8,0
NZDUSD,M5,2022-10-04 02:10:00,1664849400,0.56956,0.56965,0.56936,0.56962,116,6,0
