continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
BP6,BP6U18,M30,2018-04-30 06:30:00,1525069800,1.3860000000000001,1.3860000000000001,1.3860000000000001,1.3860000000000001,1,0,3,3.0
BP6,BP6U18,M30,2018-04-30 10:30:00,1525084200,1.3808,1.3808,1.3808,1.3808,1,0,1,2.0
BP6,BP6U18,M30,2018-04-30 12:30:00,1525091400,1.384,1.384,1.384,1.384,1,0,45,16.0
BP6,BP6U18,M30,2018-04-30 13:00:00,1525093200,1.3838,1.3838,1.3827,1.3827,3,0,13,16.0
BP6,BP6U18,M30,2018-04-30 13:30:00,1525095000,1.3835,1.3838,1.3835,1.3838,4,0,15,15.0
BP6,BP6U18,M30,2018-04-30 14:30:00,1525098600,1.3856,1.3856,1.3856,1.3856,1,0,2,13.0
BP6,BP6U18,M30,2018-04-30 15:00:00,1525100400,1.3853,1.3853,1.3853,1.3853,1,0,125,29.0
BP6,BP6U18,M30,2018-04-30 18:00:00,1525111200,1.3854,1.3854,1.3854,1.3854,1,0,1,26.0
BP6,BP6U18,M30,2018-04-30 18:30:00,1525113000,1.3837,1.3837,1.3837,1.3837,1,0,0,23.0
BP6,BP6U18,M30,2018-04-30 23:30:00,1525131000,1.3862,1.3862,1.3862,1.3862,1,0,1,21.0
BP6,BP6U18,M30,2018-05-01 08:00:00,1525161600,1.381,1.3811,1.381,1.3811,2,0,4,19.0
BP6,BP6U18,M30,2018-05-01 08:30:00,1525163400,1.3796,1.3801999999999999,1.3795,1.3801999999999999,10,0,58,22.0
BP6,BP6U18,M30,2018-05-01 09:00:00,1525165200,1.3764,1.3773,1.3761999999999999,1.3773,3,0,3,21.0
BP6,BP6U18,M30,2018-05-01 09:30:00,1525167000,1.3785,1.3785,1.3785,1.3785,2,0,3,20.0
BP6,BP6U18,M30,2018-05-01 10:00:00,1525168800,1.3780999999999999,1.3780999999999999,1.3780999999999999,1.3780999999999999,1,0,1,18.0
BP6,BP6U18,M30,2018-05-01 11:00:00,1525172400,1.3773,1.3773,1.3773,1.3773,1,0,1,17.0
BP6,BP6U18,M30,2018-05-01 11:30:00,1525174200,1.3769,1.3769,1.3769,1.3769,1,0,1,16.0
BP6,BP6U18,M30,2018-05-01 12:00:00,1525176000,1.376,1.376,1.375,1.3752,3,0,18,16.0
BP6,BP6U18,M30,2018-05-01 12:30:00,1525177800,1.3756,1.3756,1.3756,1.3756,1,0,1,16.0
BP6,BP6U18,M30,2018-05-01 13:00:00,1525179600,1.3748,1.3748,1.3726,1.3726,2,0,2,15.0
BP6,BP6U18,M30,2018-05-01 13:30:00,1525181400,1.3733,1.3733,1.3733,1.3733,1,0,20,15.0
BP6,BP6U18,M30,2018-05-01 14:30:00,1525185000,1.3709,1.3711,1.3694,1.3695,8,0,12,15.0
BP6,BP6Z18,M30,2018-05-01 16:00:00,1525190400,1.3777,1.3777,1.3777,1.3777,1,0,1,1.0
BP6,BP6U18,M30,2018-05-01 16:30:00,1525192200,1.3713,1.3714,1.3713,1.3714,2,0,2,14.0
BP6,BP6Z18,M30,2018-05-01 17:00:00,1525194000,1.377,1.377,1.377,1.377,1,0,3,2.0
BP6,BP6U18,M30,2018-05-01 18:30:00,1525199400,1.371,1.371,1.3707,1.3707,2,0,1,14.0
BP6,BP6U18,M30,2018-05-01 20:00:00,1525204800,1.3703,1.3703,1.3703,1.3703,1,0,1,13.0
BP6,BP6U18,M30,2018-05-01 23:00:00,1525215600,1.3696,1.3696,1.3696,1.3696,1,0,1,13.0
BP6,BP6U18,M30,2018-05-02 00:30:00,1525221000,1.3692,1.3692,1.3692,1.3692,2,0,2,12.0
BP6,BP6U18,M30,2018-05-02 02:00:00,1525226400,1.3703,1.3703,1.3703,1.3703,1,0,1,12.0
BP6,BP6U18,M30,2018-05-02 04:00:00,1525233600,1.3703,1.3703,1.3703,1.3703,1,0,1,12.0
BP6,BP6U18,M30,2018-05-02 05:00:00,1525237200,1.3695,1.3695,1.3695,1.3695,1,0,1,11.0
BP6,BP6U18,M30,2018-05-02 06:30:00,1525242600,1.3697,1.3697,1.3697,1.3697,1,0,10,12.0
BP6,BP6U18,M30,2018-05-02 07:00:00,1525244400,1.3713,1.3713,1.3713,1.3713,1,0,1,12.0
BP6,BP6U18,M30,2018-05-02 07:30:00,1525246200,1.3726,1.3726,1.3726,1.3726,1,0,1,10.0
BP6,BP6U18,M30,2018-05-02 08:00:00,1525248000,1.3721,1.3721,1.3721,1.3721,1,0,1,10.0
BP6,BP6U18,M30,2018-05-02 09:00:00,1525251600,1.3736,1.3736,1.3736,1.3736,1,0,5,9.0
BP6,BP6U18,M30,2018-05-02 10:00:00,1525255200,1.3745,1.3745,1.3745,1.3745,1,0,6,10.0
BP6,BP6U18,M30,2018-05-02 13:30:00,1525267800,1.3698000000000001,1.3698000000000001,1.3698000000000001,1.3698000000000001,1,0,1,5.0
BP6,BP6U18,M30,2018-05-02 14:30:00,1525271400,1.3691,1.3691,1.3691,1.3691,1,0,1,5.0
BP6,BP6U18,M30,2018-05-02 15:00:00,1525273200,1.3685,1.3685,1.3685,1.3685,1,0,1,5.0
BP6,BP6U18,M30,2018-05-02 16:00:00,1525276800,1.3696,1.3696,1.3696,1.3696,1,0,1,5.0
BP6,BP6U18,M30,2018-05-02 18:30:00,1525285800,1.3692,1.3693,1.3691,1.3692,5,0,34,6.0
BP6,BP6U18,M30,2018-05-02 19:30:00,1525289400,1.3647,1.3647,1.3647,1.3647,1,0,1,4.0
BP6,BP6U18,M30,2018-05-02 20:00:00,1525291200,1.365,1.365,1.365,1.365,1,0,1,4.0
BP6,BP6U18,M30,2018-05-03 01:30:00,1525311000,1.3679000000000001,1.3682,1.3679000000000001,1.3682,2,0,16,5.0
BP6,BP6U18,M30,2018-05-03 02:00:00,1525312800,1.3681,1.3681,1.3676,1.3676,2,0,16,5.0
BP6,BP6U18,M30,2018-05-03 04:00:00,1525320000,1.3684,1.3684,1.3684,1.3684,1,0,1,5.0
BP6,BP6U18,M30,2018-05-03 05:30:00,1525325400,1.369,1.369,1.369,1.369,1,0,1,5.0
BP6,BP6U18,M30,2018-05-03 07:00:00,1525330800,1.3686,1.3686,1.3686,1.3686,1,0,10,5.0
BP6,BP6U18,M30,2018-05-03 07:30:00,1525332600,1.3696,1.3696,1.3696,1.3696,1,0,10,5.0
BP6,BP6U18,M30,2018-05-03 08:00:00,1525334400,1.371,1.371,1.3702,1.3703,8,0,4,5.0
BP6,BP6U18,M30,2018-05-03 08:30:00,1525336200,1.3679999999999999,1.3693,1.3679999999999999,1.3693,4,0,14,5.0
BP6,BP6U18,M30,2018-05-03 09:00:00,1525338000,1.367,1.3675,1.367,1.3675,4,0,3,5.0
BP6,BP6U18,M30,2018-05-03 09:30:00,1525339800,1.3687,1.3687,1.3679999999999999,1.3679999999999999,2,0,2,5.0
BP6,BP6U18,M30,2018-05-03 12:30:00,1525350600,1.3691,1.3691,1.3691,1.3691,1,0,1,5.0
BP6,BP6U18,M30,2018-05-03 13:30:00,1525354200,1.3674,1.3675,1.3672,1.3672,3,0,40,6.0
BP6,BP6U18,M30,2018-05-03 14:00:00,1525356000,1.366,1.366,1.3654,1.3657,3,0,5,6.0
BP6,BP6U18,M30,2018-05-03 14:30:00,1525357800,1.3647,1.3647,1.3629,1.3629,2,0,3,6.0
BP6,BP6U18,M30,2018-05-03 15:30:00,1525361400,1.3636,1.3638,1.3636,1.3636,5,0,4,7.0
BP6,BP6U18,M30,2018-05-03 18:30:00,1525372200,1.3656,1.3656,1.3656,1.3656,1,0,0,6.0
BP6,BP6U18,M30,2018-05-03 19:00:00,1525374000,1.3660999999999999,1.3660999999999999,1.3660999999999999,1.3660999999999999,1,0,1,6.0
BP6,BP6Z18,M30,2018-05-03 19:30:00,1525375800,1.3723,1.3723,1.3723,1.3723,1,0,1,2.0
BP6,BP6U18,M30,2018-05-03 20:00:00,1525377600,1.3655,1.3655,1.3655,1.3655,1,0,1,6.0
BP6,BP6U18,M30,2018-05-04 01:00:00,1525395600,1.3665,1.3665,1.3665,1.3665,1,0,4,6.0
BP6,BP6U18,M30,2018-05-04 10:00:00,1525428000,1.365,1.365,1.365,1.365,1,0,1,6.0
BP6,BP6U18,M30,2018-05-04 12:00:00,1525435200,1.3654,1.3654,1.3639999999999999,1.3639999999999999,4,0,37,8.0
BP6,BP6U18,M30,2018-05-04 12:30:00,1525437000,1.366,1.3667,1.3639999999999999,1.3639999999999999,13,0,5,8.0
BP6,BP6U18,M30,2018-05-04 13:00:00,1525438800,1.3639999999999999,1.3639999999999999,1.3575,1.3584,29,0,12,8.0
BP6,BP6U18,M30,2018-05-04 13:30:00,1525440600,1.3595,1.3595,1.3585,1.359,19,0,32,9.0
BP6,BP6U18,M30,2018-05-04 14:00:00,1525442400,1.3592,1.3604,1.3592,1.3601,16,0,52,10.0
BP6,BP6U18,M30,2018-05-04 14:30:00,1525444200,1.3606,1.3606,1.3606,1.3606,1,0,2,10.0
