continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
CA6,CA6U18,M30,2018-04-30 08:30:00,1525077000,0.78035,0.78035,0.78035,0.78035,1,0,1,1.0
CA6,CA6U18,M30,2018-04-30 10:30:00,1525084200,0.78035,0.78035,0.7801,0.78015,6,0,6,4.0
CA6,CA6U18,M30,2018-04-30 11:30:00,1525087800,0.77905,0.77925,0.77905,0.77925,2,0,2,3.0
CA6,CA6U18,M30,2018-04-30 12:00:00,1525089600,0.77955,0.7797,0.7795,0.7797,33,0,5,4.0
CA6,CA6U18,M30,2018-04-30 12:30:00,1525091400,0.78005,0.78005,0.78,0.78005,11,0,2,3.0
CA6,CA6U18,M30,2018-04-30 13:30:00,1525095000,0.7806,0.781,0.7806,0.781,2,0,23,6.0
CA6,CA6U18,M30,2018-04-30 14:00:00,1525096800,0.7809,0.7809,0.7809,0.7809,2,0,9,7.0
CA6,CA6U18,M30,2018-04-30 14:30:00,1525098600,0.7823,0.7825,0.7823,0.7825,2,0,2,6.0
CA6,CA6U18,M30,2018-04-30 15:00:00,1525100400,0.78255,0.78255,0.7822,0.7822,2,0,6,6.0
CA6,CA6U18,M30,2018-04-30 15:30:00,1525102200,0.782,0.78215,0.782,0.78215,2,0,3,6.0
CA6,CA6U18,M30,2018-04-30 16:00:00,1525104000,0.78235,0.78305,0.7823,0.78305,12,0,3,6.0
CA6,CA6U18,M30,2018-04-30 16:30:00,1525105800,0.78295,0.78295,0.7828,0.7828,3,0,13,6.0
CA6,CA6U18,M30,2018-04-30 17:00:00,1525107600,0.78255,0.78255,0.78255,0.78255,1,0,1,6.0
CA6,CA6U18,M30,2018-04-30 17:30:00,1525109400,0.7817,0.782,0.7817,0.782,3,0,5,6.0
CA6,CA6U18,M30,2018-04-30 18:00:00,1525111200,0.78135,0.78135,0.78135,0.78135,2,0,2,6.0
CA6,CA6U18,M30,2018-04-30 18:30:00,1525113000,0.7811,0.7811,0.78085,0.7809,12,0,16,6.0
CA6,CA6U18,M30,2018-04-30 19:00:00,1525114800,0.78075,0.7812,0.78075,0.7812,22,0,7,6.0
CA6,CA6U18,M30,2018-05-01 01:30:00,1525138200,0.78125,0.78125,0.78125,0.78125,1,0,1,6.0
CA6,CA6U18,M30,2018-05-01 06:30:00,1525156200,0.78115,0.78115,0.78115,0.78115,1,0,1,6.0
CA6,CA6U18,M30,2018-05-01 08:00:00,1525161600,0.7803,0.7803,0.7803,0.7803,1,0,1,5.0
CA6,CA6U18,M30,2018-05-01 09:30:00,1525167000,0.7797,0.7797,0.7797,0.7797,1,0,2,5.0
CA6,CA6Z18,M30,2018-05-01 10:30:00,1525170600,0.781,0.781,0.781,0.781,1,0,4,4.0
CA6,CA6U18,M30,2018-05-01 12:00:00,1525176000,0.7792,0.7792,0.7787,0.77895,6,0,16,6.0
CA6,CA6U18,M30,2018-05-01 12:30:00,1525177800,0.7804,0.78045,0.7804,0.78045,2,0,6,6.0
CA6,CA6U18,M30,2018-05-01 13:30:00,1525181400,0.7795,0.7795,0.7785,0.7785,4,0,12,6.0
CA6,CA6Z18,M30,2018-05-01 14:00:00,1525183200,0.78,0.78,0.77865,0.77865,6,0,17,7.0
CA6,CA6U18,M30,2018-05-01 14:30:00,1525185000,0.777,0.777,0.777,0.777,1,0,3,7.0
CA6,CA6Z18,M30,2018-05-01 15:00:00,1525186800,0.77845,0.78,0.77845,0.77985,5,0,25,9.0
CA6,CA6Z18,M30,2018-05-01 15:30:00,1525188600,0.7801,0.7801,0.7801,0.7801,1,0,1,8.0
CA6,CA6U18,M30,2018-05-01 16:00:00,1525190400,0.77925,0.78005,0.77925,0.78005,67,0,32,9.0
CA6,CA6U18,M30,2018-05-01 16:30:00,1525192200,0.7799,0.78035,0.7799,0.78035,2,0,4,9.0
CA6,CA6U18,M30,2018-05-01 17:00:00,1525194000,0.78005,0.78005,0.78005,0.78005,1,0,1,9.0
CA6,CA6U18,M30,2018-05-01 17:30:00,1525195800,0.77895,0.77895,0.77895,0.77895,1,0,7,9.0
CA6,CA6U18,M30,2018-05-01 18:00:00,1525197600,0.7789,0.7789,0.77885,0.7789,11,0,2,9.0
CA6,CA6U18,M30,2018-05-01 18:30:00,1525199400,0.77995,0.78085,0.77965,0.78045,155,0,37,10.0
CA6,CA6U18,M30,2018-05-01 19:00:00,1525201200,0.7803,0.7803,0.7803,0.7803,1,0,1,10.0
CA6,CA6Z18,M30,2018-05-01 19:30:00,1525203000,0.7813,0.7813,0.7812,0.7812,2,0,3,5.0
CA6,CA6U18,M30,2018-05-01 20:00:00,1525204800,0.7803,0.7803,0.7803,0.7803,1,0,1,9.0
CA6,CA6U18,M30,2018-05-02 00:00:00,1525219200,0.78065,0.78065,0.78065,0.78065,1,0,5,9.0
CA6,CA6U18,M30,2018-05-02 03:00:00,1525230000,0.7818,0.7818,0.78175,0.7818,11,0,2,9.0
CA6,CA6U18,M30,2018-05-02 07:00:00,1525244400,0.7825,0.7825,0.7825,0.7825,1,0,1,9.0
CA6,CA6U18,M30,2018-05-02 08:30:00,1525249800,0.782,0.782,0.782,0.782,1,0,3,9.0
CA6,CA6U18,M30,2018-05-02 09:00:00,1525251600,0.7819,0.7819,0.7819,0.7819,1,0,1,9.0
CA6,CA6Z18,M30,2018-05-02 12:00:00,1525262400,0.78325,0.78325,0.78325,0.78325,1,0,1,5.0
CA6,CA6Z18,M30,2018-05-02 12:30:00,1525264200,0.7825,0.7825,0.7825,0.7825,1,0,3,5.0
CA6,CA6Z18,M30,2018-05-02 13:30:00,1525267800,0.78115,0.78115,0.78,0.7806,3,0,10,5.0
CA6,CA6Z18,M30,2018-05-02 14:00:00,1525269600,0.78,0.78105,0.78,0.78105,5,0,9,6.0
CA6,CA6U18,M30,2018-05-02 14:30:00,1525271400,0.7794,0.77965,0.7793,0.77965,23,0,19,9.0
CA6,CA6Z18,M30,2018-05-02 15:00:00,1525273200,0.782,0.782,0.782,0.782,1,0,2,5.0
CA6,CA6Z18,M30,2018-05-02 15:30:00,1525275000,0.7819,0.7819,0.7819,0.7819,2,0,2,5.0
CA6,CA6Z18,M30,2018-05-02 16:00:00,1525276800,0.7815,0.7815,0.7815,0.7815,1,0,5,5.0
CA6,CA6U18,M30,2018-05-02 16:30:00,1525278600,0.78,0.78,0.78,0.78,1,0,2,9.0
CA6,CA6U18,M30,2018-05-02 17:00:00,1525280400,0.77985,0.78,0.77985,0.77995,12,0,12,10.0
CA6,CA6U18,M30,2018-05-02 17:30:00,1525282200,0.7799,0.7802,0.7799,0.7802,2,0,2,10.0
CA6,CA6U18,M30,2018-05-02 18:00:00,1525284000,0.78155,0.78255,0.78155,0.78255,63,0,14,9.0
CA6,CA6U18,M30,2018-05-02 18:30:00,1525285800,0.78015,0.78015,0.78015,0.78015,1,0,0,9.0
CA6,CA6U18,M30,2018-05-02 19:00:00,1525287600,0.78025,0.78025,0.78025,0.78025,1,0,1,9.0
CA6,CA6Z18,M30,2018-05-02 19:30:00,1525289400,0.7804,0.7804,0.7804,0.7804,1,0,2,5.0
CA6,CA6U18,M30,2018-05-02 20:00:00,1525291200,0.7783,0.7783,0.7783,0.7783,1,0,6,9.0
CA6,CA6U18,M30,2018-05-02 20:30:00,1525293000,0.7783,0.77835,0.7783,0.77835,2,0,2,9.0
CA6,CA6U18,M30,2018-05-03 06:30:00,1525329000,0.78025,0.78025,0.78025,0.78025,1,0,1,9.0
CA6,CA6U18,M30,2018-05-03 08:30:00,1525336200,0.78095,0.78115,0.7809,0.78115,12,0,7,9.0
CA6,CA6U18,M30,2018-05-03 12:00:00,1525348800,0.78055,0.78055,0.78055,0.78055,1,0,1,9.0
CA6,CA6U18,M30,2018-05-03 12:30:00,1525350600,0.7792,0.7792,0.77905,0.77905,12,0,9,9.0
CA6,CA6U18,M30,2018-05-03 13:00:00,1525352400,0.7791,0.7791,0.7791,0.7791,1,0,1,8.0
CA6,CA6Z18,M30,2018-05-03 13:30:00,1525354200,0.7813,0.78175,0.7813,0.78175,3,0,5,5.0
CA6,CA6Z18,M30,2018-05-03 14:00:00,1525356000,0.7819,0.7819,0.7819,0.7819,1,0,1,5.0
CA6,CA6U18,M30,2018-05-03 14:30:00,1525357800,0.7775,0.7775,0.777,0.777,5,0,10,8.0
CA6,CA6U18,M30,2018-05-03 15:00:00,1525359600,0.77745,0.77845,0.7774,0.77845,14,0,12,8.0
CA6,CA6U18,M30,2018-05-03 15:30:00,1525361400,0.7783,0.7783,0.7783,0.7783,1,0,1,7.0
CA6,CA6U18,M30,2018-05-03 16:00:00,1525363200,0.7785,0.7785,0.77845,0.77845,2,0,2,6.0
CA6,CA6U18,M30,2018-05-03 16:30:00,1525365000,0.779,0.7804,0.77885,0.7803,25,0,21,6.0
CA6,CA6U18,M30,2018-05-03 17:00:00,1525366800,0.7798,0.7798,0.7798,0.7798,1,0,5,6.0
CA6,CA6Z18,M30,2018-05-03 17:30:00,1525368600,0.78185,0.78185,0.78185,0.78185,1,0,1,4.0
CA6,CA6U18,M30,2018-05-03 18:00:00,1525370400,0.77975,0.77975,0.77975,0.77975,1,0,1,6.0
