continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
DA6,DA6U18,M30,2018-04-30 06:30:00,1525069800,0.7564,0.7564,0.7564,0.7564,1,0,1,1.0
DA6,DA6U18,M30,2018-04-30 08:00:00,1525075200,0.7557,0.7557,0.7557,0.7557,1,0,1,1.0
DA6,DA6U18,M30,2018-04-30 11:00:00,1525086000,0.7552,0.7552,0.755,0.755,2,0,2,1.0
DA6,DA6U18,M30,2018-04-30 11:30:00,1525087800,0.7543,0.7543,0.7543,0.7543,1,0,1,1.0
DA6,DA6U18,M30,2018-04-30 13:30:00,1525095000,0.7543,0.7543,0.7543,0.7543,1,0,160,33.0
DA6,DA6U18,M30,2018-04-30 14:00:00,1525096800,0.7554,0.7554,0.7545,0.7545,2,0,2,28.0
DA6,DA6U18,M30,2018-04-30 14:30:00,1525098600,0.7543,0.7545,0.7543,0.7545,2,0,2,24.0
DA6,DA6U18,M30,2018-04-30 16:00:00,1525104000,0.755,0.7556,0.755,0.7554,3,0,3,22.0
DA6,DA6U18,M30,2018-04-30 17:30:00,1525109400,0.754,0.7544,0.754,0.7544,4,0,14,21.0
DA6,DA6U18,M30,2018-04-30 18:00:00,1525111200,0.7543,0.7543,0.7543,0.7543,1,0,1,19.0
DA6,DA6U18,M30,2018-04-30 18:30:00,1525113000,0.7535,0.7537,0.7535,0.7535,5,0,8,18.0
DA6,DA6U18,M30,2018-04-30 19:00:00,1525114800,0.7533,0.7533,0.7533,0.7533,1,0,2,16.0
DA6,DA6U18,M30,2018-04-30 22:30:00,1525127400,0.7533,0.7533,0.7533,0.7533,1,0,1,15.0
DA6,DA6U18,M30,2018-05-01 01:30:00,1525138200,0.7538,0.7538,0.7537,0.7537,2,0,2,14.0
DA6,DA6U18,M30,2018-05-01 02:00:00,1525140000,0.7544,0.7545,0.7544,0.7545,2,0,3,14.0
DA6,DA6U18,M30,2018-05-01 03:00:00,1525143600,0.7545,0.7545,0.7545,0.7545,1,0,5,13.0
DA6,DA6U18,M30,2018-05-01 04:30:00,1525149000,0.755,0.755,0.755,0.755,1,0,1,12.0
DA6,DA6U18,M30,2018-05-01 05:00:00,1525150800,0.7546,0.7546,0.7546,0.7546,1,0,1,12.0
DA6,DA6U18,M30,2018-05-01 05:30:00,1525152600,0.7545,0.7545,0.7545,0.7545,1,0,3,11.0
DA6,DA6U18,M30,2018-05-01 06:00:00,1525154400,0.7544,0.7544,0.7544,0.7544,1,0,5,11.0
DA6,DA6U18,M30,2018-05-01 07:00:00,1525158000,0.7533,0.7533,0.7531,0.7531,2,0,12,11.0
DA6,DA6U18,M30,2018-05-01 07:30:00,1525159800,0.7526,0.7528,0.7526,0.7528,2,0,2,11.0
DA6,DA6U18,M30,2018-05-01 08:00:00,1525161600,0.7525,0.7526,0.7522,0.7526,3,0,4,10.0
DA6,DA6U18,M30,2018-05-01 08:30:00,1525163400,0.7522,0.7522,0.7522,0.7522,1,0,2,10.0
DA6,DA6U18,M30,2018-05-01 09:00:00,1525165200,0.7514,0.7517,0.7514,0.7517,7,0,5,10.0
DA6,DA6U18,M30,2018-05-01 09:30:00,1525167000,0.7518,0.752,0.7518,0.752,2,0,15,10.0
DA6,DA6U18,M30,2018-05-01 10:30:00,1525170600,0.7512,0.7512,0.7512,0.7512,1,0,4,10.0
DA6,DA6U18,M30,2018-05-01 11:30:00,1525174200,0.7513,0.7513,0.7513,0.7513,1,0,1,9.0
DA6,DA6U18,M30,2018-05-01 12:00:00,1525176000,0.751,0.751,0.7507,0.7508,3,0,29,10.0
DA6,DA6U18,M30,2018-05-01 12:30:00,1525177800,0.7518,0.7518,0.7515,0.7515,2,0,11,10.0
DA6,DA6U18,M30,2018-05-01 13:30:00,1525181400,0.75,0.75,0.75,0.75,1,0,2,10.0
DA6,DA6U18,M30,2018-05-01 14:00:00,1525183200,0.7497,0.7497,0.7484,0.7484,6,0,8,10.0
DA6,DA6U18,M30,2018-05-01 14:30:00,1525185000,0.7485,0.7485,0.748,0.748,4,0,14,11.0
DA6,DA6U18,M30,2018-05-01 15:00:00,1525186800,0.7494,0.7494,0.7493,0.7494,3,0,3,11.0
DA6,DA6U18,M30,2018-05-01 15:30:00,1525188600,0.7494,0.7494,0.7494,0.7494,2,0,11,6.0
DA6,DA6U18,M30,2018-05-01 16:00:00,1525190400,0.7501,0.7501,0.75,0.75,2,0,11,6.0
DA6,DA6U18,M30,2018-05-01 16:30:00,1525192200,0.75,0.75,0.75,0.75,1,0,1,6.0
DA6,DA6U18,M30,2018-05-01 17:30:00,1525195800,0.7499,0.7499,0.7499,0.7499,1,0,1,6.0
DA6,DA6U18,M30,2018-05-01 18:30:00,1525199400,0.7497,0.7497,0.7497,0.7497,1,0,0,6.0
DA6,DA6U18,M30,2018-05-01 19:00:00,1525201200,0.7492,0.7492,0.7492,0.7492,1,0,4,6.0
DA6,DA6U18,M30,2018-05-01 19:30:00,1525203000,0.7488,0.7488,0.7488,0.7488,1,0,1,5.0
DA6,DA6U18,M30,2018-05-01 23:00:00,1525215600,0.7493,0.7493,0.7492,0.7492,2,0,2,5.0
DA6,DA6U18,M30,2018-05-02 00:30:00,1525221000,0.7483,0.7486,0.7483,0.7486,2,0,6,6.0
DA6,DA6U18,M30,2018-05-02 02:00:00,1525226400,0.75,0.75,0.75,0.75,1,0,1,6.0
DA6,DA6U18,M30,2018-05-02 02:30:00,1525228200,0.7503,0.7503,0.7503,0.7503,2,0,7,6.0
DA6,DA6U18,M30,2018-05-02 04:00:00,1525233600,0.7506,0.7506,0.7506,0.7506,1,0,1,6.0
DA6,DA6U18,M30,2018-05-02 06:00:00,1525240800,0.7507,0.7517,0.7507,0.7517,3,0,3,6.0
DA6,DA6U18,M30,2018-05-02 06:30:00,1525242600,0.7516,0.7517,0.7516,0.7517,2,0,2,6.0
DA6,DA6U18,M30,2018-05-02 07:00:00,1525244400,0.7532,0.7532,0.7532,0.7532,1,0,1,6.0
DA6,DA6U18,M30,2018-05-02 07:30:00,1525246200,0.7529,0.7529,0.7529,0.7529,1,0,17,6.0
DA6,DA6U18,M30,2018-05-02 08:00:00,1525248000,0.7526,0.7526,0.7526,0.7526,1,0,1,6.0
DA6,DA6U18,M30,2018-05-02 08:30:00,1525249800,0.752,0.752,0.752,0.752,1,0,1,6.0
DA6,DA6U18,M30,2018-05-02 09:00:00,1525251600,0.7521,0.7521,0.7521,0.7521,1,0,1,6.0
DA6,DA6U18,M30,2018-05-02 10:30:00,1525257000,0.7515,0.7515,0.7515,0.7515,1,0,1,6.0
DA6,DA6U18,M30,2018-05-02 11:30:00,1525260600,0.7508,0.7508,0.7508,0.7508,1,0,1,5.0
DA6,DA6U18,M30,2018-05-02 12:00:00,1525262400,0.7514,0.7514,0.7514,0.7514,1,0,1,5.0
DA6,DA6U18,M30,2018-05-02 12:30:00,1525264200,0.751,0.751,0.751,0.751,1,0,1,5.0
DA6,DA6U18,M30,2018-05-02 13:30:00,1525267800,0.7496,0.7498,0.7496,0.7496,5,0,6,5.0
