continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
DD,DDU18,H1,2018-05-02 06:00:00,1525240800,12620.0,12620.0,12600.0,12600.0,2,0,2,2.0
DD,DDZ18,H1,2018-05-02 07:00:00,1525244400,12651.0,12707.0,12650.0,12707.0,82,0,32,32.0
DD,DDZ18,H1,2018-05-02 08:00:00,1525248000,12735.0,12735.0,12730.0,12730.0,13,0,62,47.0
DD,DDZ18,H1,2018-05-02 09:00:00,1525251600,12760.0,12760.0,12757.0,12757.0,3,0,60,51.0
DD,DDU18,H1,2018-05-02 10:00:00,1525255200,12749.0,12749.0,12732.0,12737.0,4,0,5,9.0
DD,DDU18,H1,2018-05-02 11:00:00,1525258800,12759.0,12762.0,12748.0,12762.0,4,0,4,8.0
DD,DDU18,H1,2018-05-02 12:00:00,1525262400,12765.0,12786.0,12765.0,12786.0,127,0,9,8.0
DD,DDZ18,H1,2018-05-02 13:00:00,1525266000,12790.0,12802.0,12790.0,12802.0,2,0,9,41.0
DD,DDZ18,H1,2018-05-02 14:00:00,1525269600,12807.0,12807.0,12807.0,12807.0,1,0,30,39.0
DD,DDZ18,H1,2018-05-02 15:00:00,1525273200,12793.0,12793.0,12760.0,12760.0,2,0,1,32.0
DD,DDU18,H1,2018-05-02 16:00:00,1525276800,12801.0,12801.0,12801.0,12801.0,1,0,1,9.0
DD,DDU18,H1,2018-05-02 17:00:00,1525280400,12805.0,12805.0,12805.0,12805.0,1,0,1,8.0
DD,DDU18,H1,2018-05-02 18:00:00,1525284000,12793.0,12793.0,12793.0,12793.0,1,0,1,7.0
DD,DDU18,H1,2018-05-02 19:00:00,1525287600,12767.0,12767.0,12767.0,12767.0,1,0,1,7.0
DD,DDU18,H1,2018-05-03 06:00:00,1525327200,12759.0,12759.0,12757.0,12758.0,43,0,5,7.0
DD,DDZ18,H1,2018-05-03 07:00:00,1525330800,12775.0,12775.0,12775.0,12775.0,1,0,30,32.0
DD,DDU18,H1,2018-05-03 08:00:00,1525334400,12770.0,12770.0,12763.0,12765.0,3,0,3,6.0
DD,DDZ18,H1,2018-05-03 09:00:00,1525338000,12758.0,12779.0,12758.0,12779.0,2,0,4,28.0
DD,DDU18,H1,2018-05-03 10:00:00,1525341600,12765.0,12765.0,12765.0,12765.0,1,0,1,6.0
DD,DDU18,H1,2018-05-03 11:00:00,1525345200,12771.0,12771.0,12743.0,12743.0,103,0,4,6.0
DD,DDU18,H1,2018-05-03 12:00:00,1525348800,12755.0,12755.0,12755.0,12755.0,1,0,1,5.0
DD,DDU18,H1,2018-05-03 13:00:00,1525352400,12748.0,12753.0,12746.0,12746.0,3,0,3,5.0
DD,DDU18,H1,2018-05-03 14:00:00,1525356000,12740.0,12747.0,12670.0,12670.0,48,0,39,7.0
DD,DDZ18,H1,2018-05-03 15:00:00,1525359600,12676.0,12697.0,12676.0,12697.0,3,0,30,29.0
DD,DDZ18,H1,2018-05-03 16:00:00,1525363200,12717.0,12717.0,12717.0,12717.0,1,0,30,29.0
DD,DDZ18,H1,2018-05-03 17:00:00,1525366800,12710.0,12710.0,12710.0,12710.0,2,0,30,29.0
DD,DDU18,H1,2018-05-03 19:00:00,1525374000,12734.0,12738.0,12734.0,12738.0,2,0,2,6.0
DD,DDZ18,H1,2018-05-04 07:00:00,1525417200,12740.0,12740.0,12740.0,12740.0,1,0,30,29.0
DD,DDZ18,H1,2018-05-04 08:00:00,1525420800,12715.0,12715.0,12703.0,12703.0,2,0,31,29.0
DD,DDZ18,H1,2018-05-04 09:00:00,1525424400,12730.0,12730.0,12730.0,12730.0,1,0,30,29.0
DD,DDU18,H1,2018-05-04 10:00:00,1525428000,12750.0,12750.0,12735.0,12735.0,2,0,2,6.0
DD,DDZ18,H1,2018-05-04 11:00:00,1525431600,12737.0,12737.0,12737.0,12737.0,1,0,30,29.0
DD,DDU18,H1,2018-05-04 12:00:00,1525435200,12733.0,12737.0,12721.0,12721.0,15,0,6,6.0
DD,DDZ18,H1,2018-05-04 13:00:00,1525438800,12747.0,12747.0,12747.0,12747.0,1,0,30,29.0
DD,DDZ18,H1,2018-05-04 14:00:00,1525442400,12772.0,12772.0,12770.0,12772.0,41,0,30,29.0
DD,DDZ18,H1,2018-05-04 15:00:00,1525446000,12799.0,12799.0,12799.0,12799.0,1,0,0,28.0
DD,DDU18,H1,2018-05-04 16:00:00,1525449600,12823.0,12823.0,12823.0,12823.0,1,0,1,5.0
DD,DDZ18,H1,2018-05-04 17:00:00,1525453200,12815.0,12815.0,12815.0,12815.0,1,0,30,28.0
DD,DDZ18,H1,2018-05-04 18:00:00,1525456800,12833.0,12833.0,12833.0,12833.0,1,0,30,28.0
DD,DDU18,H1,2018-05-07 06:00:00,1525672800,12859.0,12859.0,12830.0,12830.0,3,0,4,5.0
DD,DDU18,H1,2018-05-07 07:00:00,1525676400,12839.0,12839.0,12833.0,12833.0,2,0,2,5.0
DD,DDZ18,H1,2018-05-07 08:00:00,1525680000,12825.0,12840.0,12825.0,12840.0,3,0,60,29.0
DD,DDU18,H1,2018-05-07 10:00:00,1525687200,12873.0,12873.0,12873.0,12873.0,1,0,1,4.0
DD,DDZ18,H1,2018-05-07 12:00:00,1525694400,12900.0,12900.0,12900.0,12900.0,1,0,2,28.0
DD,DDZ18,H1,2018-05-07 13:00:00,1525698000,12900.0,12940.0,12900.0,12940.0,4,0,68,30.0
DD,DDZ18,H1,2018-05-07 14:00:00,1525701600,12940.0,12940.0,12921.0,12922.0,13,0,50,31.0
DD,DDZ18,H1,2018-05-07 15:00:00,1525705200,12935.0,12935.0,12935.0,12935.0,1,0,0,30.0
