continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
MCLE,MCLEZ21,M15,2021-07-09 18:15:00,1625854500,70.75,70.75,70.75,70.75,1,0,0,0.0
MCLE,MCLEQ21,M15,2021-07-11 22:00:00,1626040800,74.9,74.9,74.85,74.85,2,0,2,1.0
MCLE,MCLEQ21,M15,2021-07-11 22:15:00,1626041700,74.85,74.9,74.85,74.9,3,0,3,2.0
MCLE,MCLEQ21,M15,2021-07-11 22:30:00,1626042600,74.85,74.85,74.8,74.85,7,0,7,3.0
MCLE,MCLEQ21,M15,2021-07-11 22:45:00,1626043500,74.75,74.75,74.75,74.75,4,0,4,3.0
MCLE,MCLEQ21,M15,2021-07-11 23:00:00,1626044400,74.75,74.75,74.7,74.7,3,0,3,3.0
MCLE,MCLEQ21,M15,2021-07-11 23:15:00,1626045300,74.7,74.7,74.65,74.65,4,0,4,3.0
MCLE,MCLEQ21,M15,2021-07-11 23:30:00,1626046200,74.65,74.71,74.65,74.71,5,0,5,4.0
MCLE,MCLEQ21,M15,2021-07-11 23:45:00,1626047100,74.75,74.75,74.7,74.7,4,0,4,4.0
MCLE,MCLEQ21,M15,2021-07-12 00:00:00,1626048000,74.65,74.75,74.6,74.65,27,0,32,6.0
MCLE,MCLEQ21,M15,2021-07-12 00:15:00,1626048900,74.65,74.65,74.55,74.55,6,0,6,6.0
MCLE,MCLEQ21,M15,2021-07-12 00:30:00,1626049800,74.55,74.6,74.55,74.6,2,0,2,6.0
MCLE,MCLEQ21,M15,2021-07-12 00:45:00,1626050700,74.6,74.65,74.6,74.65,6,0,6,6.0
MCLE,MCLEQ21,M15,2021-07-12 01:00:00,1626051600,74.65,74.75,74.65,74.75,7,0,7,6.0
MCLE,MCLEQ21,M15,2021-07-12 01:15:00,1626052500,74.65,74.7,74.65,74.65,7,0,7,6.0
MCLE,MCLEQ21,M15,2021-07-12 01:30:00,1626053400,74.7,74.7,74.65,74.65,3,0,3,6.0
MCLE,MCLEQ21,M15,2021-07-12 01:45:00,1626054300,74.6,74.6,74.5,74.55,5,0,5,6.0
MCLE,MCLEQ21,M15,2021-07-12 02:00:00,1626055200,74.55,74.55,74.45,74.45,25,0,29,7.0
MCLE,MCLEQ21,M15,2021-07-12 02:15:00,1626056100,74.5,74.5,74.45,74.5,21,0,23,8.0
MCLE,MCLEQ21,M15,2021-07-12 02:30:00,1626057000,74.53,74.6,74.5,74.55,7,0,7,8.0
MCLE,MCLEQ21,M15,2021-07-12 02:45:00,1626057900,74.6,74.6,74.5,74.5,7,0,7,8.0
MCLE,MCLEQ21,M15,2021-07-12 03:00:00,1626058800,74.5,74.55,74.5,74.55,4,0,5,8.0
MCLE,MCLEQ21,M15,2021-07-12 03:15:00,1626059700,74.55,74.55,74.5,74.5,4,0,4,8.0
MCLE,MCLEQ21,M15,2021-07-12 03:30:00,1626060600,74.5,74.5,74.5,74.5,1,5,1,7.0
MCLE,MCLEQ21,M15,2021-07-12 03:45:00,1626061500,74.45,74.45,74.4,74.4,8,0,10,7.0
MCLE,MCLEQ21,M15,2021-07-12 04:00:00,1626062400,74.45,74.47,74.45,74.47,3,0,3,7.0
MCLE,MCLEQ21,M15,2021-07-12 04:15:00,1626063300,74.45,74.45,74.4,74.45,10,0,12,7.0
MCLE,MCLEQ21,M15,2021-07-12 04:30:00,1626064200,74.45,74.5,74.4,74.5,4,0,4,7.0
MCLE,MCLEQ21,M15,2021-07-12 04:45:00,1626065100,74.45,74.5,74.45,74.5,6,0,6,7.0
MCLE,MCLEQ21,M15,2021-07-12 05:00:00,1626066000,74.54,74.54,74.4,74.4,12,0,13,7.0
MCLE,MCLEQ21,M15,2021-07-12 05:15:00,1626066900,74.35,74.4,74.3,74.3,11,0,12,8.0
MCLE,MCLEQ21,M15,2021-07-12 05:30:00,1626067800,74.3,74.3,74.2,74.2,48,0,60,10.0
MCLE,MCLEQ21,M15,2021-07-12 05:45:00,1626068700,74.2,74.4,74.2,74.35,28,0,36,11.0
MCLE,MCLEQ21,M15,2021-07-12 06:00:00,1626069600,74.4,74.4,74.35,74.35,12,0,18,11.0
MCLE,MCLEQ21,M15,2021-07-12 06:15:00,1626070500,74.35,74.35,74.2,74.25,29,0,33,12.0
MCLE,MCLEQ21,M15,2021-07-12 06:30:00,1626071400,74.25,74.3,74.15,74.15,12,0,14,13.0
MCLE,MCLEQ21,M15,2021-07-12 06:45:00,1626072300,74.2,74.25,74.15,74.2,16,0,17,13.0
MCLE,MCLEQ21,M15,2021-07-12 07:00:00,1626073200,74.2,74.3,74.15,74.3,30,0,31,14.0
MCLE,MCLEQ21,M15,2021-07-12 07:15:00,1626074100,74.3,74.3,74.0,74.1,42,0,43,15.0
MCLE,MCLEQ21,M15,2021-07-12 07:30:00,1626075000,74.1,74.1,74.0,74.0,19,0,28,15.0
MCLE,MCLEQ21,M15,2021-07-12 07:45:00,1626075900,73.95,74.0,73.9,73.9,14,0,15,15.0
MCLE,MCLEQ21,M15,2021-07-12 08:00:00,1626076800,73.85,74.1,73.85,74.05,30,0,35,16.0
MCLE,MCLEQ21,M15,2021-07-12 08:15:00,1626077700,74.0,74.05,73.85,73.95,20,0,22,17.0
MCLE,MCLEQ21,M15,2021-07-12 08:30:00,1626078600,73.95,74.1,73.9,74.0,27,0,28,18.0
MCLE,MCLEQ21,M15,2021-07-12 08:45:00,1626079500,74.05,74.05,73.8,73.8,33,0,43,19.0
MCLE,MCLEQ21,M15,2021-07-12 09:00:00,1626080400,73.8,73.8,73.45,73.45,78,0,95,22.0
MCLE,MCLEQ21,M15,2021-07-12 09:15:00,1626081300,73.5,73.55,73.45,73.55,30,0,42,23.0
