continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
MES,MESU19,H1,2019-05-03 20:00:00,1556913600,2953.5,2953.5,2953.5,2953.5,1,0,0,0.0
MES,MESM19,H1,2019-05-05 22:00:00,1557093600,2925.75,2926.75,2894.75,2908.5,158,25,202,101.0
MES,MESM19,H1,2019-05-05 23:00:00,1557097200,2909.0,2909.0,2892.75,2893.75,458,25,585,262.0
MES,MESM19,H1,2019-05-06 00:00:00,1557100800,2895.25,2900.0,2888.0,2888.0,816,25,1324,528.0
MES,MESM19,H1,2019-05-06 01:00:00,1557104400,2888.0,2894.5,2883.75,2894.0,585,25,815,585.0
MES,MESM19,H1,2019-05-06 02:00:00,1557108000,2894.0,2896.0,2890.0,2891.0,503,25,762,615.0
MES,MESM19,H1,2019-05-06 03:00:00,1557111600,2891.0,2893.75,2885.25,2886.75,341,25,682,624.0
MES,MESM19,H1,2019-05-06 04:00:00,1557115200,2886.75,2902.0,2886.25,2901.0,473,25,1062,679.0
MES,MESM19,H1,2019-05-06 05:00:00,1557118800,2901.25,2903.0,2895.5,2899.75,643,25,2473,878.0
MES,MESM19,H1,2019-05-06 06:00:00,1557122400,2899.5,2902.5,2891.25,2892.5,547,25,1743,965.0
MES,MESM19,H1,2019-05-06 07:00:00,1557126000,2892.75,2903.5,2891.0,2896.75,718,25,1902,1050.0
MES,MESM19,H1,2019-05-06 08:00:00,1557129600,2897.5,2899.5,2891.0,2892.75,309,25,607,1013.0
MES,MESM19,H1,2019-05-06 09:00:00,1557133200,2893.0,2896.5,2891.75,2895.75,250,25,604,982.0
MES,MESM19,H1,2019-05-06 10:00:00,1557136800,2895.5,2900.25,2893.75,2899.0,368,25,581,953.0
MES,MESM19,H1,2019-05-06 11:00:00,1557140400,2899.0,2902.0,2896.75,2900.25,592,25,1136,965.0
MES,MESM19,H1,2019-05-06 12:00:00,1557144000,2900.0,2904.75,2899.5,2902.25,1343,25,3185,1104.0
MES,MESM19,H1,2019-05-06 13:00:00,1557147600,2902.0,2914.5,2894.0,2914.25,6244,25,23193,2403.0
MES,MESM19,H1,2019-05-06 14:00:00,1557151200,2914.25,2921.25,2909.5,2920.25,7708,25,33102,4109.0
