continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
MGC,MGCZ18,D1,2018-04-30,1525046400,1342.8,1342.9,1330.0,1334.8,303,0,811,811.0
MGC,MGCZ18,D1,2018-05-01,1525132800,1334.6,1334.9,1321.3,1324.6,318,0,1033,922.0
MGC,MGCZ18,D1,2018-05-02,1525219200,1325.6,1332.5,1323.9,1325.6,381,0,965,936.0
MGC,MGCZ18,D1,2018-05-03,1525305600,1325.1,1337.2,1325.1,1332.7,270,0,616,856.0
MGC,MGCZ18,D1,2018-05-04,1525392000,1332.0,1336.0,1327.7,1334.5,289,0,627,810.0
MGC,MGCZ18,D1,2018-05-06,1525564800,1334.2,1334.2,1334.2,1334.2,1,0,2,676.0
MGC,MGCZ18,D1,2018-05-07,1525651200,1336.8,1338.8,1330.0,1335.0,161,0,403,637.0
MGC,MGCZ18,D1,2018-05-08,1525737600,1335.4,1337.1,1325.5,1335.1,417,0,995,682.0
MGC,MGCZ18,D1,2018-05-09,1525824000,1331.8,1336.1,1323.4,1331.5,367,0,1058,723.0
MGC,MGCZ18,D1,2018-05-10,1525910400,1331.7,1341.4,1329.9,1340.5,313,0,571,708.0
MGC,MGCZ18,D1,2018-05-11,1525996800,1340.0,1344.4,1336.3,1336.4,93,0,120,655.0
MGC,MGCZ18,D1,2018-05-13,1526169600,1339.6,1339.6,1337.3,1338.2,5,0,7,601.0
MGC,MGCZ18,D1,2018-05-14,1526256000,1339.0,1340.9,1331.9,1333.0,85,0,315,579.0
MGC,MGCZ18,D1,2018-05-15,1526342400,1333.0,1333.3,1307.4,1311.4,609,0,1511,645.0
MGC,MGCZ18,D1,2018-05-16,1526428800,1311.3,1314.4,1304.5,1309.1,276,0,725,651.0
MGC,MGCZ18,D1,2018-05-17,1526515200,1309.4,1312.2,1302.9,1307.9,272,0,713,654.0
MGC,MGCZ18,D1,2018-05-18,1526601600,1307.0,1311.6,1303.8,1310.5,208,0,472,644.0
MGC,MGCZ18,D1,2018-05-20,1526774400,1306.0,1309.2,1306.0,1309.0,70,0,48,611.0
MGC,MGCZ18,D1,2018-05-21,1526860800,1307.2,1310.7,1299.7,1310.4,332,0,1019,632.0
MGC,MGCZ18,D1,2018-05-22,1526947200,1310.2,1313.9,1306.0,1311.0,217,0,516,626.0
MGC,MGCZ18,D1,2018-05-23,1527033600,1311.6,1316.1,1305.2,1312.1,314,0,890,639.0
