continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
MGC,MGCZ18,H1,2018-04-30 02:00:00,1525053600,1342.8,1342.9,1342.4,1342.5,7,0,20,20.0
MGC,MGCZ18,H1,2018-04-30 03:00:00,1525057200,1342.0,1342.2,1341.5,1341.5,7,0,24,22.0
MGC,MGCZ18,H1,2018-04-30 04:00:00,1525060800,1341.3,1341.4,1341.2,1341.2,3,0,10,18.0
MGC,MGCZ18,H1,2018-04-30 05:00:00,1525064400,1341.6,1342.2,1341.6,1342.2,2,0,4,14.0
MGC,MGCZ18,H1,2018-04-30 06:00:00,1525068000,1340.0,1340.7,1338.3,1338.3,30,0,86,29.0
MGC,MGCZ18,H1,2018-04-30 07:00:00,1525071600,1337.7,1337.7,1337.3,1337.3,19,0,31,29.0
MGC,MGCZ18,H1,2018-04-30 08:00:00,1525075200,1337.3,1337.6,1336.8,1337.0,7,0,10,26.0
MGC,MGCZ18,H1,2018-04-30 09:00:00,1525078800,1336.7,1336.7,1336.1,1336.5,15,0,34,27.0
MGC,MGCZ18,H1,2018-04-30 10:00:00,1525082400,1337.3,1337.3,1335.3,1336.5,4,0,9,25.0
MGC,MGCZ18,H1,2018-04-30 11:00:00,1525086000,1336.0,1336.0,1332.8,1333.4,40,0,123,35.0
MGC,MGCZ18,H1,2018-04-30 12:00:00,1525089600,1333.0,1334.0,1333.0,1334.0,3,0,5,32.0
MGC,MGCZ18,H1,2018-04-30 13:00:00,1525093200,1333.1,1333.1,1330.0,1330.0,45,0,132,41.0
MGC,MGCZ18,H1,2018-04-30 14:00:00,1525096800,1334.4,1335.5,1333.9,1334.1,15,0,61,42.0
MGC,MGCZ18,H1,2018-04-30 15:00:00,1525100400,1333.1,1335.5,1332.9,1335.0,11,0,30,41.0
MGC,MGCZ18,H1,2018-04-30 16:00:00,1525104000,1334.9,1337.5,1334.9,1337.2,28,0,79,44.0
MGC,MGCZ18,H1,2018-04-30 17:00:00,1525107600,1339.4,1339.4,1337.3,1337.5,17,0,52,44.0
MGC,MGCZ18,H1,2018-04-30 18:00:00,1525111200,1337.3,1338.7,1337.3,1338.6,5,0,11,42.0
MGC,MGCZ18,H1,2018-04-30 19:00:00,1525114800,1337.7,1337.7,1334.4,1334.6,32,0,73,44.0
MGC,MGCZ18,H1,2018-04-30 20:00:00,1525118400,1335.5,1336.2,1335.1,1335.1,7,0,8,42.0
MGC,MGCZ18,H1,2018-04-30 22:00:00,1525125600,1335.8,1335.8,1335.7,1335.7,2,0,4,40.0
MGC,MGCZ18,H1,2018-04-30 23:00:00,1525129200,1335.5,1335.5,1334.8,1334.8,4,0,5,39.0
MGC,MGCZ18,H1,2018-05-01 00:00:00,1525132800,1334.6,1334.9,1334.6,1334.9,4,0,6,37.0
