continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
MHG,MHGK24,H1,2024-01-10 01:00:00,1704848400,3.8,3.8005,3.8,3.8005,2,0,2,2.0
MHG,MHGK24,H1,2024-01-10 02:00:00,1704852000,3.8085,3.8085,3.805,3.805,2,0,2,2.0
MHG,MHGK24,H1,2024-01-10 03:00:00,1704855600,3.7935,3.7935,3.7935,3.7935,1,0,2,2.0
MHG,MHGK24,H1,2024-01-10 06:00:00,1704866400,3.7945,3.7945,3.7945,3.7945,1,0,1,2.0
MHG,MHGK24,H1,2024-01-10 07:00:00,1704870000,3.7965,3.7995,3.7965,3.7995,4,0,8,3.0
MHG,MHGK24,H1,2024-01-10 08:00:00,1704873600,3.797,3.797,3.7965,3.7965,6,0,3,3.0
MHG,MHGK24,H1,2024-01-10 09:00:00,1704877200,3.816,3.818,3.809,3.809,5,0,7,4.0
MHG,MHGK24,H1,2024-01-10 10:00:00,1704880800,3.8125,3.8125,3.8125,3.8125,1,0,1,3.0
MHG,MHGK24,H1,2024-01-10 13:00:00,1704891600,3.8145,3.8145,3.8145,3.8145,1,0,3,3.0
MHG,MHGK24,H1,2024-01-10 14:00:00,1704895200,3.8015,3.8015,3.8,3.8,2,0,2,3.0
MHG,MHGK24,H1,2024-01-10 15:00:00,1704898800,3.7975,3.7975,3.7975,3.7975,1,0,1,3.0
MHG,MHGK24,H1,2024-01-10 16:00:00,1704902400,3.7875,3.8005,3.783,3.8005,4,0,4,3.0
MHG,MHGK24,H1,2024-01-10 17:00:00,1704906000,3.8035,3.808,3.8035,3.808,5,0,4,3.0
MHG,MHGK24,H1,2024-01-10 18:00:00,1704909600,3.8085,3.8105,3.8085,3.8105,2,0,2,3.0
MHG,MHGK24,H1,2024-01-11 00:00:00,1704931200,3.8120000000000003,3.8135,3.8120000000000003,3.8135,2,0,2,3.0
MHG,MHGK24,H1,2024-01-11 01:00:00,1704934800,3.8175,3.8205,3.8175,3.8205,3,0,3,3.0
MHG,MHGK24,H1,2024-01-11 02:00:00,1704938400,3.828,3.828,3.827,3.827,2,0,2,3.0
MHG,MHGK24,H1,2024-01-11 03:00:00,1704942000,3.8295,3.8295,3.8295,3.8295,1,0,1,3.0
MHG,MHGK24,H1,2024-01-11 05:00:00,1704949200,3.838,3.838,3.8375,3.8375,2,0,3,3.0
MHG,MHGK24,H1,2024-01-11 07:00:00,1704956400,3.8395,3.8395,3.8395,3.8395,1,0,1,3.0
MHG,MHGK24,H1,2024-01-11 08:00:00,1704960000,3.836,3.836,3.836,3.836,2,0,2,3.0
MHG,MHGK24,H1,2024-01-11 10:00:00,1704967200,3.8255,3.8255,3.825,3.825,2,0,6,3.0
MHG,MHGK24,H1,2024-01-11 13:00:00,1704978000,3.8425000000000002,3.848,3.8295,3.832,15,0,6,3.0
MHG,MHGK24,H1,2024-01-11 14:00:00,1704981600,3.818,3.818,3.8120000000000003,3.8125,9,0,6,3.0
MHG,MHGK24,H1,2024-01-11 15:00:00,1704985200,3.811,3.8145,3.811,3.811,4,0,4,3.0
MHG,MHGK24,H1,2024-01-11 16:00:00,1704988800,3.8005,3.8015,3.798,3.8015,18,0,9,3.0
MHG,MHGK24,H1,2024-01-11 17:00:00,1704992400,3.8025,3.8025,3.8025,3.8025,1,0,0,3.0
MHG,MHGK24,H1,2024-01-11 18:00:00,1704996000,3.8064999999999998,3.8064999999999998,3.8064999999999998,3.8064999999999998,1,0,1,3.0
MHG,MHGK24,H1,2024-01-12 01:00:00,1705021200,3.82,3.825,3.82,3.825,3,0,3,3.0
MHG,MHGK24,H1,2024-01-12 06:00:00,1705039200,3.8285,3.8285,3.8285,3.8285,1,0,2,3.0
MHG,MHGK24,H1,2024-01-12 08:00:00,1705046400,3.832,3.832,3.832,3.832,1,0,1,3.0
MHG,MHGK24,H1,2024-01-12 10:00:00,1705053600,3.8175,3.8175,3.811,3.811,10,0,11,3.0
MHG,MHGK24,H1,2024-01-12 13:00:00,1705064400,3.816,3.816,3.8085,3.8085,2,0,2,3.0
MHG,MHGK24,H1,2024-01-12 14:00:00,1705068000,3.811,3.825,3.8055,3.819,10,0,11,4.0
MHG,MHGK24,H1,2024-01-12 15:00:00,1705071600,3.814,3.814,3.7965,3.7975,17,0,8,4.0
MHG,MHGK24,H1,2024-01-12 16:00:00,1705075200,3.7955,3.7955,3.79,3.79,8,0,4,4.0
MHG,MHGK24,H1,2024-01-12 17:00:00,1705078800,3.786,3.786,3.7685,3.7685,12,0,8,4.0
MHG,MHGK24,H1,2024-01-12 18:00:00,1705082400,3.7695,3.7715,3.7695,3.7705,3,0,8,4.0
MHG,MHGK24,H1,2024-01-12 19:00:00,1705086000,3.769,3.771,3.768,3.771,9,0,5,4.0
MHG,MHGK24,H1,2024-01-12 21:00:00,1705093200,3.77,3.77,3.7645,3.7645,2,0,2,4.0
MHG,MHGK24,H1,2024-01-14 23:00:00,1705273200,3.7725,3.7725,3.7725,3.7725,1,0,2,4.0
MHG,MHGK24,H1,2024-01-15 00:00:00,1705276800,3.783,3.7885,3.783,3.783,111,0,6,4.0
MHG,MHGK24,H1,2024-01-15 02:00:00,1705284000,3.7960000000000003,3.797,3.7960000000000003,3.797,2,0,4,4.0
MHG,MHGK24,H1,2024-01-15 03:00:00,1705287600,3.794,3.794,3.794,3.794,1,0,1,4.0
MHG,MHGK24,H1,2024-01-15 05:00:00,1705294800,3.792,3.792,3.792,3.792,2,0,4,4.0
MHG,MHGK24,H1,2024-01-15 06:00:00,1705298400,3.789,3.789,3.789,3.789,1,0,1,4.0
MHG,MHGK24,H1,2024-01-15 07:00:00,1705302000,3.783,3.783,3.783,3.783,1,0,2,4.0
MHG,MHGK24,H1,2024-01-15 09:00:00,1705309200,3.783,3.783,3.779,3.7800000000000002,31,0,16,5.0
MHG,MHGK24,H1,2024-01-15 10:00:00,1705312800,3.7795,3.7815,3.7785,3.7815,8,0,8,5.0
MHG,MHGK24,H1,2024-01-15 13:00:00,1705323600,3.792,3.8035,3.792,3.7960000000000003,56,0,13,5.0
MHG,MHGK24,H1,2024-01-15 14:00:00,1705327200,3.8055,3.806,3.8055,3.806,6,0,2,5.0
MHG,MHGK24,H1,2024-01-15 15:00:00,1705330800,3.8035,3.8035,3.8035,3.8035,1,0,1,5.0
