continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
MNQ,MNQU19,H1,2019-05-03 20:00:00,1556913600,7896.25,7896.25,7896.25,7896.25,1,0,0,0.0
MNQ,MNQM19,H1,2019-05-05 22:00:00,1557093600,7748.75,7748.75,7713.5,7744.5,28,25,31,16.0
MNQ,MNQM19,H1,2019-05-05 23:00:00,1557097200,7750.0,7750.0,7700.75,7709.5,129,25,157,63.0
MNQ,MNQM19,H1,2019-05-06 00:00:00,1557100800,7701.25,7719.0,7679.75,7683.25,222,25,297,121.0
MNQ,MNQM19,H1,2019-05-06 01:00:00,1557104400,7678.5,7694.5,7668.75,7694.5,87,25,93,116.0
MNQ,MNQM19,H1,2019-05-06 02:00:00,1557108000,7693.75,7703.25,7686.0,7686.75,112,25,155,122.0
MNQ,MNQM19,H1,2019-05-06 03:00:00,1557111600,7694.25,7698.0,7675.25,7681.0,78,25,90,118.0
MNQ,MNQM19,H1,2019-05-06 04:00:00,1557115200,7681.25,7720.5,7681.25,7719.5,121,25,188,126.0
MNQ,MNQM19,H1,2019-05-06 05:00:00,1557118800,7722.25,7722.25,7706.25,7714.5,118,25,158,130.0
MNQ,MNQM19,H1,2019-05-06 06:00:00,1557122400,7719.75,7723.0,7684.75,7692.25,185,25,281,145.0
MNQ,MNQM19,H1,2019-05-06 07:00:00,1557126000,7694.0,7725.0,7688.5,7703.5,218,25,505,178.0
MNQ,MNQM19,H1,2019-05-06 08:00:00,1557129600,7706.0,7707.5,7673.25,7679.5,120,25,156,176.0
MNQ,MNQM19,H1,2019-05-06 09:00:00,1557133200,7680.75,7692.0,7676.0,7691.0,72,25,80,169.0
MNQ,MNQM19,H1,2019-05-06 10:00:00,1557136800,7692.75,7702.0,7685.0,7698.75,153,25,207,171.0
MNQ,MNQM19,H1,2019-05-06 11:00:00,1557140400,7702.0,7711.25,7695.0,7708.25,180,25,338,182.0
MNQ,MNQM19,H1,2019-05-06 12:00:00,1557144000,7707.75,7723.5,7704.0,7717.25,1427,25,2392,320.0
MNQ,MNQM19,H1,2019-05-06 13:00:00,1557147600,7717.0,7752.75,7676.5,7751.0,7628,25,9460,858.0
MNQ,MNQM19,H1,2019-05-06 14:00:00,1557151200,7751.0,7778.5,7733.0,7775.25,11085,25,18503,1838.0
