continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
NE6,NE6Z18,M30,2018-05-01 18:30:00,1525199400,0.7007,0.7007,0.7007,0.7007,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-02 18:30:00,1525285800,0.7013,0.7013,0.7013,0.7013,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-03 18:30:00,1525372200,0.7049,0.7049,0.7049,0.7049,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-04 18:30:00,1525458600,0.7025,0.7025,0.7025,0.7025,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-07 18:30:00,1525717800,0.7026,0.7026,0.7026,0.7026,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-08 18:30:00,1525804200,0.6971,0.6971,0.6971,0.6971,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-09 18:30:00,1525890600,0.6995,0.6995,0.6995,0.6995,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-10 18:30:00,1525977000,0.6972,0.6972,0.6972,0.6972,1,0,0,0.0
NE6,NE6Z18,M30,2018-05-11 18:30:00,1526063400,0.697,0.697,0.697,0.697,1,0,11272192,1252466.0
NE6,NE6Z18,M30,2018-05-14 18:30:00,1526322600,0.6924,0.6924,0.6924,0.6924,1,0,0,1127219.0
NE6,NE6Z18,M30,2018-05-14 23:30:00,1526340600,0.6919,0.6919,0.6919,0.6919,1,0,1,1024745.0
NE6,NE6Z18,M30,2018-05-15 12:30:00,1526387400,0.689,0.689,0.689,0.689,1,0,1,939350.0
NE6,NE6Z18,M30,2018-05-15 18:30:00,1526409000,0.6865,0.6865,0.6865,0.6865,1,0,0,867092.0
NE6,NE6Z18,M30,2018-05-16 18:30:00,1526495400,0.6904,0.6904,0.6904,0.6904,1,0,0,805157.0
NE6,NE6Z18,M30,2018-05-17 18:30:00,1526581800,0.6879,0.6879,0.6879,0.6879,1,0,0,751480.0
NE6,NE6Z18,M30,2018-05-18 18:30:00,1526668200,0.6922,0.6922,0.6922,0.6922,1,0,0,704512.0
NE6,NE6Z18,M30,2018-05-21 18:30:00,1526927400,0.6936,0.6936,0.6936,0.6936,1,0,0,663070.0
NE6,NE6Z18,M30,2018-05-22 18:30:00,1527013800,0.6936,0.6936,0.6936,0.6936,1,0,0,626233.0
NE6,NE6Z18,M30,2018-05-23 18:30:00,1527100200,0.6924,0.6924,0.6924,0.6924,1,0,0,593273.0
NE6,NE6Z18,M30,2018-05-24 18:30:00,1527186600,0.6936,0.6936,0.6936,0.6936,1,0,0,563610.0
NE6,NE6Z18,M30,2018-05-25 16:30:00,1527265800,0.6926,0.6926,0.6926,0.6926,1,0,0,536771.0
NE6,NE6Z18,M30,2018-05-29 18:30:00,1527618600,0.6898,0.6898,0.6898,0.6898,1,0,0,512372.0
NE6,NE6Z18,M30,2018-05-30 18:30:00,1527705000,0.6992,0.6992,0.6992,0.6992,1,0,0,490095.0
NE6,NE6Z18,M30,2018-05-31 18:30:00,1527791400,0.7007,0.7007,0.7007,0.7007,1,0,0,469675.0
NE6,NE6Z18,M30,2018-06-01 18:30:00,1527877800,0.699,0.699,0.699,0.699,1,0,0,450888.0
NE6,NE6Z18,M30,2018-06-04 18:30:00,1528137000,0.704,0.704,0.704,0.704,1,0,0,433546.0
NE6,NE6Z18,M30,2018-06-05 18:30:00,1528223400,0.7033,0.7033,0.7033,0.7033,1,0,0,417489.0
NE6,NE6Z18,M30,2018-06-06 18:30:00,1528309800,0.7041,0.7041,0.7041,0.7041,1,0,0,402578.0
NE6,NE6Z18,M30,2018-06-07 18:30:00,1528396200,0.7037,0.7037,0.7037,0.7037,1,0,0,388696.0
NE6,NE6Z18,M30,2018-06-08 18:30:00,1528482600,0.7042,0.7042,0.7042,0.7042,1,0,0,375740.0
NE6,NE6U18,M30,2018-06-11 04:00:00,1528689600,0.7038,0.704,0.7037,0.7038,7,0,28,28.0
NE6,NE6U18,M30,2018-06-11 04:30:00,1528691400,0.7038,0.7042,0.7038,0.704,4,0,16,22.0
NE6,NE6U18,M30,2018-06-11 05:00:00,1528693200,0.7039,0.704,0.7039,0.704,4,0,8,17.0
NE6,NE6U18,M30,2018-06-11 05:30:00,1528695000,0.704,0.704,0.704,0.704,1,0,2,14.0
NE6,NE6U18,M30,2018-06-11 06:00:00,1528696800,0.704,0.7042,0.7039,0.7039,7,0,10,13.0
NE6,NE6U18,M30,2018-06-11 06:30:00,1528698600,0.7039,0.7039,0.7038,0.7038,1,0,3,11.0
NE6,NE6U18,M30,2018-06-11 07:00:00,1528700400,0.7041,0.7043,0.7041,0.7042,0,0,5,10.0
NE6,NE6U18,M30,2018-06-11 07:30:00,1528702200,0.7039,0.7041,0.7038,0.7038,0,0,8,10.0
NE6,NE6U18,M30,2018-06-11 08:00:00,1528704000,0.7039,0.7041,0.7035,0.7039,0,0,11,10.0
NE6,NE6U18,M30,2018-06-11 08:30:00,1528705800,0.7035,0.7035,0.7032,0.7034,0,0,10,10.0
NE6,NE6U18,M30,2018-06-11 09:00:00,1528707600,0.7031,0.7031,0.7026,0.7027,0,0,19,11.0
NE6,NE6U18,M30,2018-06-11 09:30:00,1528709400,0.7027,0.7028,0.7026,0.7028,0,0,3,10.0
NE6,NE6U18,M30,2018-06-11 10:00:00,1528711200,0.7027,0.7027,0.7027,0.7027,0,0,4,10.0
NE6,NE6U18,M30,2018-06-11 10:30:00,1528713000,0.7029,0.7029,0.7029,0.7029,0,0,2,9.0
NE6,NE6U18,M30,2018-06-11 11:00:00,1528714800,0.7028,0.7028,0.7028,0.7028,0,0,2,9.0
NE6,NE6U18,M30,2018-06-11 11:30:00,1528716600,0.7031,0.7031,0.7031,0.7031,0,0,2,8.0
NE6,NE6U18,M30,2018-06-11 12:00:00,1528718400,0.7029,0.704,0.7028,0.704,0,0,80,13.0
NE6,NE6U18,M30,2018-06-11 12:30:00,1528720200,0.7041,0.7048,0.7041,0.7048,0,0,14,13.0
NE6,NE6U18,M30,2018-06-11 13:00:00,1528722000,0.7048,0.7048,0.7045,0.7047,0,0,15,13.0
NE6,NE6U18,M30,2018-06-11 13:30:00,1528723800,0.7047,0.7054,0.7047,0.7049,0,0,14,13.0
NE6,NE6U18,M30,2018-06-11 14:00:00,1528725600,0.7048,0.705,0.7044,0.705,0,0,52,15.0
NE6,NE6U18,M30,2018-06-11 14:30:00,1528727400,0.705,0.705,0.7032,0.7036,0,0,92,18.0
NE6,NE6U18,M30,2018-06-11 15:00:00,1528729200,0.7037,0.704,0.7035,0.7039,0,0,29,19.0
NE6,NE6U18,M30,2018-06-11 15:30:00,1528731000,0.704,0.704,0.7038,0.7038,0,0,19,19.0
NE6,NE6U18,M30,2018-06-11 16:00:00,1528732800,0.7038,0.7038,0.7033,0.7033,0,0,10,18.0
NE6,NE6U18,M30,2018-06-11 16:30:00,1528734600,0.7033,0.7033,0.7029,0.7029,0,0,22,18.0
NE6,NE6U18,M30,2018-06-11 17:00:00,1528736400,0.7029,0.703,0.7025,0.7026,0,0,93,21.0
NE6,NE6U18,M30,2018-06-11 17:30:00,1528738200,0.7026,0.7027,0.7022,0.7023,0,0,153,26.0
NE6,NE6U18,M30,2018-06-11 18:00:00,1528740000,0.7021,0.7022,0.7018,0.702,0,0,75,28.0
NE6,NE6Z18,M30,2018-06-11 18:30:00,1528741800,0.7023,0.7023,0.7023,0.7023,1,0,0,375740.0
NE6,NE6U18,M30,2018-06-11 19:00:00,1528743600,0.7019,0.7022,0.7019,0.7022,0,0,9,29.0
NE6,NE6U18,M30,2018-06-11 19:30:00,1528745400,0.7024,0.7024,0.7024,0.7024,0,0,1,28.0
NE6,NE6U18,M30,2018-06-11 20:30:00,1528749000,0.7026,0.7027,0.7023,0.7027,0,0,8,28.0
NE6,NE6U18,M30,2018-06-11 22:00:00,1528754400,0.7026,0.7026,0.7026,0.7026,0,0,2,28.0
NE6,NE6U18,M30,2018-06-11 22:30:00,1528756200,0.702,0.702,0.702,0.702,0,0,1,28.0
NE6,NE6U18,M30,2018-06-11 23:00:00,1528758000,0.702,0.7021,0.7017,0.7017,0,0,5,28.0
NE6,NE6U18,M30,2018-06-11 23:30:00,1528759800,0.7018,0.7021,0.7018,0.7021,0,0,4,28.0
NE6,NE6U18,M30,2018-06-12 00:00:00,1528761600,0.7017,0.7017,0.7003,0.7005,13,0,14,28.0
NE6,NE6U18,M30,2018-06-12 00:30:00,1528763400,0.7006,0.7009,0.7006,0.7006,6,0,13,28.0
NE6,NE6U18,M30,2018-06-12 01:00:00,1528765200,0.7012,0.7012,0.7012,0.7012,1,0,1,28.0
NE6,NE6U18,M30,2018-06-12 01:30:00,1528767000,0.701,0.7022,0.701,0.7022,6,0,8,27.0
NE6,NE6U18,M30,2018-06-12 02:30:00,1528770600,0.7027,0.7029,0.7027,0.7029,2,0,10,28.0
NE6,NE6U18,M30,2018-06-12 03:30:00,1528774200,0.7032,0.7032,0.7032,0.7032,1,0,1,28.0
NE6,NE6U18,M30,2018-06-12 04:00:00,1528776000,0.7036,0.7039,0.7032,0.7039,10,0,11,28.0
NE6,NE6U18,M30,2018-06-12 04:30:00,1528777800,0.704,0.7045,0.7038,0.7038,9,0,12,28.0
NE6,NE6U18,M30,2018-06-12 05:00:00,1528779600,0.7045,0.7046,0.704,0.704,7,0,25,29.0
NE6,NE6U18,M30,2018-06-12 05:30:00,1528781400,0.7045,0.7047,0.7042,0.7042,4,0,4,26.0
NE6,NE6U18,M30,2018-06-12 06:00:00,1528783200,0.7041,0.7041,0.7031,0.7034,12,0,24,27.0
NE6,NE6U18,M30,2018-06-12 06:30:00,1528785000,0.7035,0.7035,0.703,0.703,4,0,8,26.0
NE6,NE6U18,M30,2018-06-12 07:00:00,1528786800,0.7033,0.7042,0.7033,0.704,10,0,15,26.0
NE6,NE6U18,M30,2018-06-12 07:30:00,1528788600,0.7043,0.7044,0.7039,0.7039,6,0,6,25.0
NE6,NE6U18,M30,2018-06-12 08:00:00,1528790400,0.704,0.704,0.7037,0.7037,6,0,8,22.0
NE6,NE6U18,M30,2018-06-12 08:30:00,1528792200,0.7036,0.7038,0.7034,0.7035,9,0,17,22.0
NE6,NE6U18,M30,2018-06-12 09:00:00,1528794000,0.7036,0.7039,0.7036,0.7039,5,0,9,21.0
NE6,NE6U18,M30,2018-06-12 09:30:00,1528795800,0.704,0.704,0.7034,0.7034,9,0,18,22.0
NE6,NE6U18,M30,2018-06-12 10:00:00,1528797600,0.7031,0.7032,0.7026,0.7026,8,0,11,21.0
NE6,NE6U18,M30,2018-06-12 10:30:00,1528799400,0.7026,0.7029,0.7026,0.7027,4,0,5,18.0
NE6,NE6U18,M30,2018-06-12 11:00:00,1528801200,0.7028,0.703,0.7028,0.7029,4,0,15,14.0
NE6,NE6U18,M30,2018-06-12 11:30:00,1528803000,0.7027,0.7032,0.7027,0.7032,10,0,31,12.0
NE6,NE6U18,M30,2018-06-12 12:00:00,1528804800,0.7029,0.7029,0.702,0.702,16,0,29,11.0
NE6,NE6U18,M30,2018-06-12 12:30:00,1528806600,0.7018,0.7035,0.7018,0.7034,28,0,68,13.0
NE6,NE6U18,M30,2018-06-12 13:00:00,1528808400,0.7035,0.7036,0.7027,0.7033,16,0,48,14.0
NE6,NE6U18,M30,2018-06-12 13:30:00,1528810200,0.7033,0.7033,0.7031,0.7031,15,0,40,15.0
NE6,NE6U18,M30,2018-06-12 14:00:00,1528812000,0.7029,0.7029,0.7026,0.7026,17,0,36,17.0
NE6,NE6U18,M30,2018-06-12 14:30:00,1528813800,0.7026,0.7036,0.7025,0.7034,22,0,80,19.0
NE6,NE6U18,M30,2018-06-12 15:00:00,1528815600,0.7035,0.7035,0.7027,0.7031,18,0,127,23.0
NE6,NE6U18,M30,2018-06-12 15:30:00,1528817400,0.7031,0.7035,0.7031,0.7033,11,0,58,25.0
NE6,NE6U18,M30,2018-06-12 16:00:00,1528819200,0.7031,0.7031,0.7027,0.7028,10,0,23,25.0
NE6,NE6U18,M30,2018-06-12 16:30:00,1528821000,0.7027,0.7027,0.7021,0.7021,58,0,294,35.0
NE6,NE6U18,M30,2018-06-12 17:00:00,1528822800,0.7022,0.7022,0.7005,0.7012,75,0,193,41.0
NE6,NE6U18,M30,2018-06-12 17:30:00,1528824600,0.7012,0.7015,0.7007,0.7011,49,0,176,47.0
NE6,NE6U18,M30,2018-06-12 18:00:00,1528826400,0.7011,0.7011,0.6998,0.6998,59,0,206,53.0
NE6,NE6Z18,M30,2018-06-12 18:30:00,1528828200,0.7011,0.7011,0.7011,0.7011,1,0,0,375740.0
NE6,NE6U18,M30,2018-06-12 19:00:00,1528830000,0.7005,0.7007,0.7004,0.7007,12,0,186,66.0
NE6,NE6U18,M30,2018-06-12 19:30:00,1528831800,0.7006,0.7006,0.7005,0.7005,5,0,13,66.0
NE6,NE6U18,M30,2018-06-12 20:00:00,1528833600,0.7006,0.7006,0.7006,0.7006,1,0,1,65.0
NE6,NE6U18,M30,2018-06-12 20:30:00,1528835400,0.7006,0.7009,0.7004,0.7004,8,0,100,68.0
NE6,NE6U18,M30,2018-06-12 22:00:00,1528840800,0.7006,0.7011,0.7004,0.7004,14,0,204,74.0
NE6,NE6U18,M30,2018-06-12 22:30:00,1528842600,0.7004,0.7006,0.7002,0.7003,6,0,52,76.0
NE6,NE6U18,M30,2018-06-12 23:00:00,1528844400,0.7003,0.7005,0.7003,0.7005,6,0,26,76.0
NE6,NE6U18,M30,2018-06-13 00:00:00,1528848000,0.7006,0.7006,0.7005,0.7005,4,0,10,76.0
NE6,NE6U18,M30,2018-06-13 00:30:00,1528849800,0.7006,0.7006,0.7003,0.7003,3,0,12,76.0
NE6,NE6U18,M30,2018-06-13 01:00:00,1528851600,0.7004,0.7004,0.6998,0.6999,4,0,13,76.0
NE6,NE6U18,M30,2018-06-13 01:30:00,1528853400,0.7,0.7006,0.7,0.7006,3,0,10,76.0
NE6,NE6U18,M30,2018-06-13 02:00:00,1528855200,0.7006,0.7006,0.7006,0.7006,1,0,1,76.0
NE6,NE6U18,M30,2018-06-13 02:30:00,1528857000,0.7006,0.7006,0.7004,0.7004,2,0,3,76.0
NE6,NE6U18,M30,2018-06-13 03:00:00,1528858800,0.7006,0.7007,0.7004,0.7006,10,0,11,76.0
NE6,NE6U18,M30,2018-06-13 03:30:00,1528860600,0.7004,0.7006,0.7004,0.7006,5,0,10,76.0
NE6,NE6U18,M30,2018-06-13 04:00:00,1528862400,0.7005,0.701,0.7005,0.701,22,0,71,77.0
NE6,NE6U18,M30,2018-06-13 04:30:00,1528864200,0.701,0.7012,0.701,0.7012,14,0,62,78.0
NE6,NE6U18,M30,2018-06-13 05:00:00,1528866000,0.7013,0.7014,0.7011,0.7014,8,0,12,76.0
NE6,NE6U18,M30,2018-06-13 05:30:00,1528867800,0.7013,0.7014,0.7013,0.7013,4,0,5,75.0
NE6,NE6U18,M30,2018-06-13 06:00:00,1528869600,0.7014,0.7014,0.7005,0.7007,10,0,19,74.0
NE6,NE6U18,M30,2018-06-13 06:30:00,1528871400,0.7007,0.7008,0.7005,0.7008,10,0,17,73.0
NE6,NE6U18,M30,2018-06-13 07:00:00,1528873200,0.7006,0.7015,0.7006,0.701,17,0,38,72.0
NE6,NE6U18,M30,2018-06-13 07:30:00,1528875000,0.7009,0.7009,0.7008,0.7009,10,0,17,68.0
NE6,NE6U18,M30,2018-06-13 08:00:00,1528876800,0.701,0.701,0.7005,0.7008,53,0,250,75.0
NE6,NE6U18,M30,2018-06-13 08:30:00,1528878600,0.701,0.7017,0.7008,0.7016,68,0,372,86.0
NE6,NE6U18,M30,2018-06-13 09:00:00,1528880400,0.7016,0.7021,0.7016,0.702,68,0,361,89.0
NE6,NE6U18,M30,2018-06-13 09:30:00,1528882200,0.702,0.7027,0.7019,0.7025,73,0,412,96.0
NE6,NE6U18,M30,2018-06-13 10:00:00,1528884000,0.7026,0.7034,0.7026,0.7032,48,0,283,99.0
NE6,NE6U18,M30,2018-06-13 10:30:00,1528885800,0.7032,0.7033,0.7029,0.703,15,0,43,94.0
NE6,NE6U18,M30,2018-06-13 11:00:00,1528887600,0.7031,0.7039,0.703,0.7037,29,0,225,95.0
NE6,NE6U18,M30,2018-06-13 11:30:00,1528889400,0.7037,0.7037,0.7033,0.7036,24,0,79,91.0
NE6,NE6U18,M30,2018-06-13 12:00:00,1528891200,0.7038,0.7048,0.7038,0.7044,36,0,312,101.0
NE6,NE6U18,M30,2018-06-13 12:30:00,1528893000,0.7044,0.7047,0.7042,0.7046,24,0,102,104.0
NE6,NE6U18,M30,2018-06-13 13:00:00,1528894800,0.7046,0.7051,0.7044,0.7045,30,0,156,106.0
NE6,NE6U18,M30,2018-06-13 13:30:00,1528896600,0.7043,0.7043,0.7034,0.7036,30,0,87,102.0
NE6,NE6U18,M30,2018-06-13 14:00:00,1528898400,0.7037,0.7042,0.7035,0.7042,26,0,82,103.0
NE6,NE6U18,M30,2018-06-13 14:30:00,1528900200,0.7043,0.7043,0.7036,0.704,26,0,97,106.0
NE6,NE6U18,M30,2018-06-13 15:00:00,1528902000,0.7041,0.7047,0.704,0.7046,22,0,65,108.0
NE6,NE6U18,M30,2018-06-13 15:30:00,1528903800,0.7047,0.7052,0.7047,0.7047,21,0,85,110.0
NE6,NE6U18,M30,2018-06-13 16:00:00,1528905600,0.7047,0.705,0.7045,0.7047,56,0,178,116.0
NE6,NE6U18,M30,2018-06-13 16:30:00,1528907400,0.7047,0.7049,0.7044,0.7049,59,0,227,123.0
NE6,NE6U18,M30,2018-06-13 17:00:00,1528909200,0.7049,0.7049,0.7045,0.7047,52,0,254,131.0
NE6,NE6U18,M30,2018-06-13 17:30:00,1528911000,0.7045,0.7053,0.7045,0.7048,67,0,245,139.0
NE6,NE6U18,M30,2018-06-13 18:00:00,1528912800,0.7043,0.7044,0.6983,0.6985,183,0,1013,173.0
NE6,NE6Z18,M30,2018-06-13 18:30:00,1528914600,0.7014,0.7014,0.7014,0.7014,1,0,0,375740.0
NE6,NE6U18,M30,2018-06-13 19:00:00,1528916400,0.7008,0.703,0.7002,0.7013,82,0,253,219.0
NE6,NE6U18,M30,2018-06-13 19:30:00,1528918200,0.7012,0.703,0.7009,0.7025,32,0,130,221.0
NE6,NE6U18,M30,2018-06-13 20:00:00,1528920000,0.7025,0.7025,0.7019,0.702,8,0,134,225.0
NE6,NE6U18,M30,2018-06-13 20:30:00,1528921800,0.7021,0.7025,0.7017,0.7025,15,0,220,233.0
NE6,NE6U18,M30,2018-06-13 22:00:00,1528927200,0.7024,0.7031,0.7023,0.7031,25,0,69,234.0
NE6,NE6U18,M30,2018-06-13 22:30:00,1528929000,0.7031,0.7031,0.7026,0.7026,15,0,100,237.0
