continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
PLE,PLEV18,H1,2018-05-01 04:00:00,1525147200,908.0,908.0,908.0,908.0,1,0,1,1.0
PLE,PLEV18,H1,2018-05-01 06:00:00,1525154400,907.3,907.3,907.3,907.3,1,0,1,1.0
PLE,PLEV18,H1,2018-05-01 07:00:00,1525158000,906.3,906.3,906.0,906.0,2,0,6,3.0
PLE,PLEV18,H1,2018-05-01 08:00:00,1525161600,906.9,906.9,905.2,905.2,3,0,3,3.0
PLE,PLEV18,H1,2018-05-01 09:00:00,1525165200,905.6,905.6,905.6,905.6,1,0,1,2.0
PLE,PLEV18,H1,2018-05-01 10:00:00,1525168800,906.8,906.9,905.8,906.2,6,0,10,4.0
PLE,PLEV18,H1,2018-05-01 11:00:00,1525172400,905.9,905.9,905.5,905.5,2,0,2,3.0
PLE,PLEV18,H1,2018-05-01 12:00:00,1525176000,905.0,905.0,904.9,905.0,3,0,4,4.0
PLE,PLEV18,H1,2018-05-01 13:00:00,1525179600,904.8,905.5,900.8,900.8,46,0,63,10.0
PLE,PLEV18,H1,2018-05-01 14:00:00,1525183200,901.2,902.0,899.1,899.5,58,0,50,14.0
PLE,PLEV18,H1,2018-05-01 15:00:00,1525186800,899.5,901.7,899.1,900.9,31,0,43,17.0
PLE,PLEV18,H1,2018-05-01 16:00:00,1525190400,901.2,901.6,899.5,899.7,15,0,21,17.0
PLE,PLEV18,H1,2018-05-01 17:00:00,1525194000,900.1,900.6,898.3,900.0,59,0,36,19.0
PLE,PLEV18,H1,2018-05-01 18:00:00,1525197600,899.9,899.9,899.9,899.9,1,0,2,17.0
PLE,PLEV18,H1,2018-05-01 19:00:00,1525201200,898.0,900.2,898.0,899.6,27,0,10,17.0
PLE,PLEV18,H1,2018-05-01 22:00:00,1525212000,900.5,900.5,900.5,900.5,1,0,1,16.0
PLE,PLEV18,H1,2018-05-02 00:00:00,1525219200,900.5,900.5,900.5,900.5,1,0,1,15.0
PLE,PLEV18,H1,2018-05-02 01:00:00,1525222800,903.3,903.3,903.3,903.3,1,0,1,14.0
PLE,PLEV18,H1,2018-05-02 03:00:00,1525230000,904.0,904.0,904.0,904.0,1,0,1,14.0
PLE,PLEV18,H1,2018-05-02 04:00:00,1525233600,904.0,904.0,904.0,904.0,1,0,1,13.0
PLE,PLEV18,H1,2018-05-02 05:00:00,1525237200,902.0,902.0,902.0,902.0,2,0,2,12.0
PLE,PLEV18,H1,2018-05-02 06:00:00,1525240800,902.7,905.6,902.7,905.2,7,0,9,12.0
PLE,PLEV18,H1,2018-05-02 07:00:00,1525244400,904.9,905.0,904.6,904.6,3,0,3,12.0
PLE,PLEV18,H1,2018-05-02 08:00:00,1525248000,904.6,904.6,903.4,903.4,4,0,4,12.0
PLE,PLEV18,H1,2018-05-02 10:00:00,1525255200,903.7,903.7,903.0,903.0,3,0,4,11.0
PLE,PLEV18,H1,2018-05-02 11:00:00,1525258800,903.3,903.3,901.0,901.0,3,0,3,11.0
PLE,PLEV18,H1,2018-05-02 12:00:00,1525262400,901.4,903.3,900.7,903.1,28,0,24,11.0
PLE,PLEV18,H1,2018-05-02 13:00:00,1525266000,903.6,903.9,900.0,900.0,30,0,27,12.0
PLE,PLEV18,H1,2018-05-02 14:00:00,1525269600,900.7,902.0,900.3,901.2,42,0,58,14.0
PLE,PLEV18,H1,2018-05-02 15:00:00,1525273200,902.4,904.4,902.3,902.3,44,0,49,15.0
PLE,PLEV18,H1,2018-05-02 16:00:00,1525276800,903.1,903.3,900.0,900.0,14,0,11,15.0
PLE,PLEV18,H1,2018-05-02 17:00:00,1525280400,899.9,901.3,898.9,901.3,22,0,22,16.0
PLE,PLEV18,H1,2018-05-02 18:00:00,1525284000,903.6,907.0,903.6,907.0,11,0,13,16.0
PLE,PLEV18,H1,2018-05-02 19:00:00,1525287600,903.0,903.0,901.0,901.0,4,0,8,16.0
PLE,PLEV18,H1,2018-05-02 20:00:00,1525291200,900.9,900.9,900.2,900.2,2,0,3,16.0
PLE,PLEV18,H1,2018-05-03 00:00:00,1525305600,901.5,903.2,901.5,903.2,5,0,5,16.0
PLE,PLEV18,H1,2018-05-03 01:00:00,1525309200,903.9,903.9,903.9,903.9,1,0,1,16.0
PLE,PLEV18,H1,2018-05-03 04:00:00,1525320000,903.3,903.3,903.3,903.3,1,0,1,16.0
PLE,PLEV18,H1,2018-05-03 05:00:00,1525323600,902.5,903.0,902.0,903.0,3,0,3,14.0
PLE,PLEF19,H1,2018-05-03 06:00:00,1525327200,908.2,908.2,908.2,908.2,1,0,1,1.0
