continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
SIE,SIEZ18,H1,2018-05-01 05:00:00,1525150800,16.51,16.51,16.505,16.51,5,0,6,6.0
SIE,SIEU18,H1,2018-05-01 06:00:00,1525154400,16.38,16.38,16.36,16.36,4,0,10,8.0
SIE,SIEU18,H1,2018-05-01 07:00:00,1525158000,16.385,16.385,16.385,16.385,1,0,2,6.0
SIE,SIEZ18,H1,2018-05-01 08:00:00,1525161600,16.5,16.5,16.495,16.495,12,0,101,38.0
SIE,SIEZ18,H1,2018-05-01 09:00:00,1525165200,16.48,16.48,16.48,16.48,1,0,1,29.0
SIE,SIEZ18,H1,2018-05-01 10:00:00,1525168800,16.53,16.53,16.53,16.53,2,0,6,24.0
SIE,SIEU18,H1,2018-05-01 11:00:00,1525172400,16.36,16.385,16.36,16.385,4,0,11,23.0
SIE,SIEU18,H1,2018-05-01 12:00:00,1525176000,16.4,16.435,16.4,16.425,17,0,18,22.0
SIE,SIEU18,H1,2018-05-01 13:00:00,1525179600,16.43,16.435,16.315,16.32,69,0,49,25.0
SIE,SIEU18,H1,2018-05-01 14:00:00,1525183200,16.35,16.35,16.17,16.2,361,0,164,39.0
SIE,SIEU18,H1,2018-05-01 15:00:00,1525186800,16.19,16.235,16.155,16.225,55,0,51,40.0
SIE,SIEU18,H1,2018-05-01 16:00:00,1525190400,16.235,16.235,16.215,16.23,25,0,8,37.0
SIE,SIEU18,H1,2018-05-01 17:00:00,1525194000,16.22,16.255,16.21,16.255,49,0,51,38.0
SIE,SIEU18,H1,2018-05-01 18:00:00,1525197600,16.265,16.285,16.255,16.28,11,0,26,38.0
SIE,SIEU18,H1,2018-05-01 19:00:00,1525201200,16.265,16.27,16.26,16.265,17,0,16,36.0
SIE,SIEZ18,H1,2018-05-01 20:00:00,1525204800,16.395,16.4,16.385,16.385,3,0,10,25.0
SIE,SIEU18,H1,2018-05-01 22:00:00,1525212000,16.255,16.28,16.255,16.28,2,0,7,34.0
SIE,SIEU18,H1,2018-05-02 00:00:00,1525219200,16.295,16.325,16.295,16.305,21,0,14,33.0
SIE,SIEZ18,H1,2018-05-02 01:00:00,1525222800,16.49,16.55,16.465,16.55,137,0,593,57.0
SIE,SIEZ18,H1,2018-05-02 02:00:00,1525226400,16.545,16.555,16.53,16.55,51,0,124,61.0
