continuous,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
SIE,SIEU18,M30,2018-05-01 05:00:00,1525150800,16.39,16.39,16.38,16.38,2,0,3,3.0
SIE,SIEZ18,M30,2018-05-01 05:30:00,1525152600,16.51,16.51,16.505,16.51,5,0,6,6.0
SIE,SIEZ18,M30,2018-05-01 06:00:00,1525154400,16.515,16.515,16.5,16.5,4,0,7,6.0
SIE,SIEZ18,M30,2018-05-01 06:30:00,1525156200,16.5,16.5,16.5,16.5,1,0,1,5.0
SIE,SIEU18,M30,2018-05-01 07:00:00,1525158000,16.385,16.385,16.385,16.385,1,0,2,3.0
SIE,SIEZ18,M30,2018-05-01 08:00:00,1525161600,16.5,16.5,16.495,16.495,12,0,101,29.0
SIE,SIEU18,M30,2018-05-01 08:30:00,1525163400,16.355,16.355,16.355,16.355,2,0,3,19.0
SIE,SIEZ18,M30,2018-05-01 09:00:00,1525165200,16.48,16.48,16.48,16.48,1,0,1,23.0
SIE,SIEU18,M30,2018-05-01 09:30:00,1525167000,16.39,16.395,16.39,16.395,2,0,2,16.0
SIE,SIEZ18,M30,2018-05-01 10:00:00,1525168800,16.53,16.53,16.53,16.53,2,0,6,20.0
SIE,SIEU18,M30,2018-05-01 10:30:00,1525170600,16.355,16.355,16.355,16.355,1,0,1,15.0
SIE,SIEU18,M30,2018-05-01 11:00:00,1525172400,16.36,16.36,16.36,16.36,1,0,1,13.0
SIE,SIEZ18,M30,2018-05-01 11:30:00,1525174200,16.51,16.51,16.495,16.495,3,0,3,18.0
SIE,SIEU18,M30,2018-05-01 12:00:00,1525176000,16.4,16.41,16.4,16.41,3,0,5,13.0
SIE,SIEZ18,M30,2018-05-01 12:30:00,1525177800,16.555,16.555,16.555,16.555,1,0,1,16.0
SIE,SIEZ18,M30,2018-05-01 13:00:00,1525179600,16.545,16.57,16.495,16.5,16,0,10,15.0
SIE,SIEZ18,M30,2018-05-01 13:30:00,1525181400,16.45,16.47,16.45,16.45,34,0,7,14.0
SIE,SIEZ18,M30,2018-05-01 14:00:00,1525183200,16.48,16.485,16.315,16.4,304,0,77,20.0
SIE,SIEU18,M30,2018-05-01 14:30:00,1525185000,16.285,16.29,16.17,16.2,101,0,113,22.0
SIE,SIEZ18,M30,2018-05-01 15:00:00,1525186800,16.3,16.32,16.29,16.32,24,0,62,24.0
SIE,SIEZ18,M30,2018-05-01 15:30:00,1525188600,16.335,16.335,16.335,16.335,1,0,1,23.0
