a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-119,DA6,DA6Z6,D1,2016-08-01,1470009600,0.7495,0.7497,0.7495,0.7497,5,0,29,29.0
2,-118,DA6,DA6Z6,D1,2016-08-02,1470096000,0.7509,0.7605,0.7476,0.7576,129,0,298,164.0
3,-117,DA6,DA6Z6,D1,2016-08-03,1470182400,0.7568,0.7573,0.7544,0.7558,51,0,86,138.0
4,-116,DA6,DA6Z6,D1,2016-08-04,1470268800,0.7582,0.7606,0.7566,0.7604,67,0,167,184.0
5,-115,DA6,DA6Z6,D1,2016-08-05,1470355200,0.7615,0.7632,0.7575,0.7595,40,0,124,126.0
6,-114,DA6,DA6Z6,D1,2016-08-08,1470614400,0.7584,0.7643,0.7569,0.7623,56,0,96,129.0
7,-113,DA6,DA6Z6,D1,2016-08-09,1470700800,0.7635,0.7658,0.7597,0.7645,75,0,130,117.0
8,-112,DA6,DA6Z6,D1,2016-08-10,1470787200,0.7661,0.7728,0.7656,0.7687,102,0,249,158.0
9,-111,DA6,DA6Z6,D1,2016-08-11,1470873600,0.7688,0.7696,0.7665,0.7668,65,0,474,284.0
10,-110,DA6,DA6Z6,D1,2016-08-12,1470960000,0.7666,0.7698,0.762,0.7625,119,0,594,439.0
11,-109,DA6,DA6Z6,D1,2016-08-14,1471132800,0.7642,0.7642,0.7631,0.7631,3,0,3,357.0
12,-108,DA6,DA6Z6,D1,2016-08-15,1471219200,0.7625,0.766,0.7614,0.7646,53,0,172,256.0
13,-107,DA6,DA6Z6,D1,2016-08-16,1471305600,0.7642,0.7726,0.7633,0.7674,149,0,295,157.0
14,-106,DA6,DA6Z6,D1,2016-08-17,1471392000,0.7674,0.7674,0.7589,0.7639,128,0,237,235.0
15,-105,DA6,DA6Z6,D1,2016-08-18,1471478400,0.7645,0.7696,0.763,0.767,209,0,362,298.0
16,-104,DA6,DA6Z6,D1,2016-08-19,1471564800,0.7645,0.7647,0.7579,0.7602,91,0,260,286.0
17,-103,DA6,DA6Z6,D1,2016-08-21,1471737600,0.7588,0.76,0.7588,0.7594,3,0,4,209.0
18,-102,DA6,DA6Z6,D1,2016-08-22,1471824000,0.7569,0.7612,0.7561,0.761,75,0,129,131.0
19,-101,DA6,DA6Z6,D1,2016-08-23,1471910400,0.7619,0.7632,0.7589,0.7589,76,0,135,89.0
20,-100,DA6,DA6Z6,D1,2016-08-24,1471996800,0.759,0.761,0.7569,0.7591,96,0,296,187.0
21,-99,DA6,DA6Z6,D1,2016-08-25,1472083200,0.7596,0.7615,0.7582,0.7601,55,0,70,167.0
22,-98,DA6,DA6Z6,D1,2016-08-26,1472169600,0.7606,0.7669,0.753,0.7539,327,0,371,246.0
23,-97,DA6,DA6Z6,D1,2016-08-28,1472342400,0.753,0.7539,0.752,0.7521,22,0,28,156.0
24,-96,DA6,DA6Z6,D1,2016-08-29,1472428800,0.7519,0.7561,0.7505,0.7556,120,0,237,212.0
25,-95,DA6,DA6Z6,D1,2016-08-30,1472515200,0.755,0.7552,0.7481,0.75,160,0,305,190.0
26,-94,DA6,DA6Z6,D1,2016-08-31,1472601600,0.749,0.7508,0.7474,0.75,230,0,459,334.0
27,-93,DA6,DA6Z6,D1,2016-09-01,1472688000,0.7502,0.7539,0.7485,0.753,237,0,700,488.0
28,-92,DA6,DA6Z6,D1,2016-09-02,1472774400,0.753,0.7595,0.752,0.7552,598,0,1566,908.0
29,-91,DA6,DA6Z6,D1,2016-09-04,1472947200,0.7536,0.7557,0.7536,0.7545,42,0,26,764.0
30,-90,DA6,DA6Z6,D1,2016-09-05,1473033600,0.7554,0.7587,0.7551,0.7573,252,0,1169,920.0
31,-89,DA6,DA6Z6,D1,2016-09-06,1473120000,0.7574,0.7669,0.7574,0.7668,694,0,2159,1118.0
32,-88,DA6,DA6Z6,D1,2016-09-07,1473206400,0.7669,0.7677,0.7632,0.7649,737,0,1670,1666.0
33,-87,DA6,DA6Z6,D1,2016-09-08,1473292800,0.7649,0.7713,0.7617,0.763,1193,0,3451,2427.0
34,-86,DA6,DA6Z6,D1,2016-09-09,1473379200,0.7627,0.7639,0.7519,0.7519,1360,0,4613,3245.0
35,-85,DA6,DA6Z6,D1,2016-09-11,1473552000,0.7523,0.7527,0.7512,0.7524,114,0,216,2760.0
36,-84,DA6,DA6Z6,D1,2016-09-12,1473638400,0.7521,0.7549,0.7476,0.7548,2252,0,7864,4231.0
37,-83,DA6,DA6Z6,D1,2016-09-13,1473724800,0.7547,0.755,0.7423,0.7449,3177,0,18607,8896.0
38,-82,DA6,DA6Z6,D1,2016-09-14,1473811200,0.7447,0.7477,0.7432,0.7465,3780,0,20403,15625.0
39,-81,DA6,DA6Z6,D1,2016-09-15,1473897600,0.7464,0.7505,0.7429,0.7495,4857,0,28368,22459.0
40,-80,DA6,DA6Z6,D1,2016-09-16,1473984000,0.7491,0.7509,0.7458,0.7476,3921,0,72292,40354.0
41,-79,DA6,DA6Z6,D1,2016-09-18,1474156800,0.7472,0.7489,0.7469,0.7484,263,0,2878,34513.0
42,-78,DA6,DA6Z6,D1,2016-09-19,1474243200,0.7484,0.7555,0.7483,0.7522,3762,0,74420,49863.0
43,-77,DA6,DA6Z6,D1,2016-09-20,1474329600,0.7522,0.7548,0.7514,0.7538,3737,0,64616,47305.0
44,-76,DA6,DA6Z6,D1,2016-09-21,1474416000,0.7539,0.7624,0.7518,0.7616,5881,0,115820,84952.0
45,-75,DA6,DA6Z6,D1,2016-09-22,1474502400,0.7624,0.7658,0.7608,0.7629,4342,0,87788,89408.0
46,-74,DA6,DA6Z6,D1,2016-09-23,1474588800,0.7629,0.7637,0.7593,0.7605,3811,0,69256,90955.0
47,-73,DA6,DA6Z6,D1,2016-09-25,1474761600,0.7598,0.7603,0.7593,0.7599,195,0,1560,52868.0
48,-72,DA6,DA6Z6,D1,2016-09-26,1474848000,0.7601,0.7634,0.7587,0.7615,4042,0,57745,42854.0
49,-71,DA6,DA6Z6,D1,2016-09-27,1474934400,0.7616,0.768,0.7596,0.7653,4705,0,92926,50744.0
50,-70,DA6,DA6Z6,D1,2016-09-28,1475020800,0.7653,0.7682,0.7629,0.768,4303,0,78180,76284.0
51,-69,DA6,DA6Z6,D1,2016-09-29,1475107200,0.7677,0.7696,0.761,0.7614,4969,0,91678,87595.0
52,-68,DA6,DA6Z6,D1,2016-09-30,1475193600,0.7615,0.7659,0.7575,0.7649,4631,0,97278,89045.0
53,-67,DA6,DA6Z6,D1,2016-10-02,1475366400,0.7648,0.7651,0.7629,0.763,228,0,1787,63581.0
