a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-123,FVA,FVAZ6,D1,2016-08-01,1470009600,121.9609,121.9609,121.9609,121.9609,1,0,2,2.0
2,-122,FVA,FVAZ6,D1,2016-08-02,1470096000,121.8359,121.9217,121.8125,121.8125,2434,0,3106,1554.0
3,-121,FVA,FVAZ6,D1,2016-08-03,1470182400,121.8438,121.8828,121.7424,121.8438,12,0,17,1042.0
4,-120,FVA,FVAZ6,D1,2016-08-04,1470268800,121.8594,122.1714,121.8594,122.0856,329,0,322,1148.0
5,-119,FVA,FVAZ6,D1,2016-08-05,1470355200,122.1172,122.1172,121.5712,121.5712,3144,0,121,153.0
6,-118,FVA,FVAZ6,D1,2016-08-08,1470614400,121.4844,121.5312,121.344,121.4454,16,0,50,164.0
1,-145,FVA,FVAH7,D1,2016-08-09,1470700800,121.3281,121.3281,121.3281,121.3281,1,0,2555904,2555904.0
8,-116,FVA,FVAZ6,D1,2016-08-10,1470787200,121.75,121.8748,121.7188,121.8514,340,0,215,98.0
9,-115,FVA,FVAZ6,D1,2016-08-11,1470873600,121.8359,121.8359,121.4303,121.4459,187,0,382,209.0
10,-114,FVA,FVAZ6,D1,2016-08-12,1470960000,121.4922,121.9134,121.4922,121.7106,980,0,539,379.0
11,-113,FVA,FVAZ6,D1,2016-08-15,1471219200,121.7266,121.7266,121.5316,121.5394,189,0,388,436.0
12,-112,FVA,FVAZ6,D1,2016-08-16,1471305600,121.6641,121.7889,121.2975,121.4301,1685,0,2935,1287.0
13,-111,FVA,FVAZ6,D1,2016-08-17,1471392000,121.3672,121.6168,121.3048,121.531,4467,0,4239,2521.0
14,-110,FVA,FVAZ6,D1,2016-08-18,1471478400,121.5938,121.6874,121.4534,121.6094,3894,0,5119,4098.0
2,-144,FVA,FVAH7,D1,2016-08-19,1471564800,121.0781,121.0781,121.0781,121.0781,1,0,15498,1285701.0
16,-108,FVA,FVAZ6,D1,2016-08-21,1471737600,121.25,121.25,121.25,121.25,1,0,2,3929.0
17,-107,FVA,FVAZ6,D1,2016-08-22,1471824000,121.2344,121.5386,121.1876,121.523,7389,0,15453,7373.0
18,-106,FVA,FVAZ6,D1,2016-08-23,1471910400,121.4844,121.6014,121.3986,121.4766,15517,0,26301,13919.0
19,-105,FVA,FVAZ6,D1,2016-08-24,1471996800,121.4688,121.5858,121.4454,121.4766,48415,0,93346,45033.0
20,-104,FVA,FVAZ6,D1,2016-08-25,1472083200,121.4766,121.5234,121.305,121.3284,64781,0,138570,86072.0
21,-103,FVA,FVAZ6,D1,2016-08-26,1472169600,121.3516,121.5388,120.907,120.946,109604,0,288264,173393.0
22,-102,FVA,FVAZ6,D1,2016-08-28,1472342400,120.9141,120.9687,120.8907,120.9609,6798,0,3850,143561.0
23,-101,FVA,FVAZ6,D1,2016-08-29,1472428800,120.9688,121.2886,120.9298,121.2028,97791,0,238421,176845.0
24,-100,FVA,FVAZ6,D1,2016-08-30,1472515200,121.1953,121.2967,121.0627,121.2499,117900,0,305802,182691.0
25,-99,FVA,FVAZ6,D1,2016-08-31,1472601600,121.2422,121.3748,121.1408,121.1486,119660,0,657098,400440.0
26,-98,FVA,FVAZ6,D1,2016-09-01,1472688000,121.1641,121.3123,120.9691,121.2343,155576,0,573269,512056.0
27,-97,FVA,FVAZ6,D1,2016-09-02,1472774400,121.2422,121.5152,121.055,121.2032,167022,0,648869,626412.0
28,-96,FVA,FVAZ6,D1,2016-09-04,1472947200,121.2031,121.2109,121.1485,121.1719,3369,0,2551,408230.0
29,-95,FVA,FVAZ6,D1,2016-09-05,1473033600,121.1563,121.2187,121.1095,121.1563,48182,0,43786,231735.0
30,-94,FVA,FVAZ6,D1,2016-09-06,1473120000,121.1641,121.6555,121.1485,121.5931,143467,0,500750,182362.0
31,-93,FVA,FVAZ6,D1,2016-09-07,1473206400,121.5938,121.703,121.547,121.6016,138165,0,355074,299870.0
32,-92,FVA,FVAZ6,D1,2016-09-08,1473292800,121.5938,121.625,121.1882,121.2506,144457,0,616288,490704.0
33,-91,FVA,FVAZ6,D1,2016-09-09,1473379200,121.2656,121.3124,121.016,121.0394,159316,0,549574,506979.0
34,-90,FVA,FVAZ6,D1,2016-09-11,1473552000,121.0313,121.0937,121.0079,121.0937,7102,0,7464,391109.0
35,-89,FVA,FVAZ6,D1,2016-09-12,1473638400,121.0859,121.2497,120.9611,121.2419,170456,0,512316,356451.0
36,-88,FVA,FVAZ6,D1,2016-09-13,1473724800,121.2344,121.367,120.821,120.9926,187863,0,635870,385217.0
37,-87,FVA,FVAZ6,D1,2016-09-14,1473811200,120.9844,121.273,120.9454,121.2028,146301,0,508776,552321.0
38,-86,FVA,FVAZ6,D1,2016-09-15,1473897600,121.1953,121.5385,121.1017,121.3591,169620,0,657756,600801.0
