a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-636,GLE,GLEV6,M30,2016-08-01 18:00:00,1470074400,114.025,114.1,113.925,114.05,402,0,120,120.0
2,-635,GLE,GLEV6,M30,2016-08-02 13:30:00,1470144600,114.125,114.55,113.75,113.85,6030,0,2058,1089.0
3,-634,GLE,GLEV6,M30,2016-08-02 14:00:00,1470146400,113.925,114.95,113.825,114.6,7380,0,2708,1629.0
4,-633,GLE,GLEV6,M30,2016-08-02 14:30:00,1470148200,114.65,115.05,114.6,114.825,4630,0,1873,1690.0
5,-632,GLE,GLEV6,M30,2016-08-02 15:00:00,1470150000,114.95,115.025,114.475,114.7,4430,0,1178,1587.0
6,-631,GLE,GLEV6,M30,2016-08-02 15:30:00,1470151800,114.675,114.725,114.075,114.1,4430,0,1413,1558.0
7,-630,GLE,GLEV6,M30,2016-08-02 16:00:00,1470153600,114.175,114.8,114.05,114.65,4430,0,942,1470.0
8,-629,GLE,GLEV6,M30,2016-08-02 16:30:00,1470155400,114.575,114.775,113.725,113.8,4730,0,1233,1441.0
9,-628,GLE,GLEV6,M30,2016-08-02 17:00:00,1470157200,113.8,114.35,113.6,114.075,5130,0,1180,1412.0
10,-627,GLE,GLEV6,M30,2016-08-02 17:30:00,1470159000,114.1,114.65,114.075,114.575,7330,0,2537,1524.0
11,-626,GLE,GLEV6,M30,2016-08-02 18:00:00,1470160800,114.45,114.6,114.4,114.45,1155,0,289,1412.0
12,-625,GLE,GLEV6,M30,2016-08-03 13:30:00,1470231000,114.4,115.0,114.175,114.9,5630,0,2296,1486.0
13,-624,GLE,GLEV6,M30,2016-08-03 14:00:00,1470232800,114.95,115.2,114.675,114.75,5030,0,2003,1525.0
14,-623,GLE,GLEV6,M30,2016-08-03 14:30:00,1470234600,114.8,115.2,114.675,114.9,4980,0,1739,1541.0
15,-622,GLE,GLEV6,M30,2016-08-03 15:00:00,1470236400,114.95,115.2,114.875,115.15,2630,0,849,1495.0
16,-621,GLE,GLEV6,M30,2016-08-03 15:30:00,1470238200,115.1,115.2,114.95,115.2,2980,0,872,1456.0
17,-620,GLE,GLEV6,M30,2016-08-03 16:00:00,1470240000,115.2,115.45,115.15,115.35,3230,0,2183,1498.0
18,-619,GLE,GLEV6,M30,2016-08-03 16:30:00,1470241800,115.375,115.575,115.275,115.55,2429,0,1193,1481.0
19,-618,GLE,GLEV6,M30,2016-08-03 17:00:00,1470243600,115.575,115.7,115.425,115.45,2530,0,1234,1468.0
20,-617,GLE,GLEV6,M30,2016-08-03 17:30:00,1470245400,115.45,115.475,115.075,115.2,4180,0,1563,1473.0
21,-616,GLE,GLEV6,M30,2016-08-03 18:00:00,1470247200,115.15,115.225,115.025,115.175,755,0,221,1414.0
22,-615,GLE,GLEV6,M30,2016-08-04 13:30:00,1470317400,115.025,115.35,114.375,115.225,7730,0,2444,1460.0
23,-614,GLE,GLEV6,M30,2016-08-04 14:00:00,1470319200,115.3,115.85,115.225,115.775,6780,0,2562,1508.0
24,-613,GLE,GLEV6,M30,2016-08-04 14:30:00,1470321000,115.875,116.25,115.75,115.8,4980,0,2482,1549.0
25,-612,GLE,GLEV6,M30,2016-08-04 15:00:00,1470322800,115.8,116.325,115.775,116.175,4930,0,1742,1557.0
26,-611,GLE,GLEV6,M30,2016-08-04 15:30:00,1470324600,116.25,116.35,115.9,116.05,3780,0,967,1534.0
27,-610,GLE,GLEV6,M30,2016-08-04 16:00:00,1470326400,115.975,116.125,115.7,115.9,3880,0,1190,1521.0
28,-609,GLE,GLEV6,M30,2016-08-04 16:30:00,1470328200,115.875,115.9,115.425,115.525,2980,0,920,1500.0
29,-608,GLE,GLEV6,M30,2016-08-04 17:00:00,1470330000,115.5,115.575,114.775,114.95,4880,0,1430,1497.0
30,-607,GLE,GLEV6,M30,2016-08-04 17:30:00,1470331800,114.975,115.075,114.55,114.775,5480,0,1672,1503.0
31,-606,GLE,GLEV6,M30,2016-08-04 18:00:00,1470333600,114.6,114.75,114.4,114.55,1555,0,547,1472.0
32,-605,GLE,GLEV6,M30,2016-08-05 13:30:00,1470403800,115.575,115.7,114.425,114.8,9880,0,3967,1550.0
33,-604,GLE,GLEV6,M30,2016-08-05 14:00:00,1470405600,114.8,115.45,114.65,115.45,5580,0,1450,1547.0
34,-603,GLE,GLEV6,M30,2016-08-05 14:30:00,1470407400,115.65,115.875,115.45,115.6,6380,0,1599,1549.0
35,-602,GLE,GLEV6,M30,2016-08-05 15:00:00,1470409200,115.625,115.725,115.425,115.475,4030,0,946,1531.0
36,-601,GLE,GLEV6,M30,2016-08-05 15:30:00,1470411000,115.475,115.7,115.225,115.375,3630,0,897,1514.0
37,-600,GLE,GLEV6,M30,2016-08-05 16:00:00,1470412800,115.45,115.8,115.375,115.55,3780,0,1072,1502.0
38,-599,GLE,GLEV6,M30,2016-08-05 16:30:00,1470414600,115.55,115.7,115.5,115.55,2679,0,701,1481.0
39,-598,GLE,GLEV6,M30,2016-08-05 17:00:00,1470416400,115.575,115.625,115.35,115.5,2530,0,865,1465.0
40,-597,GLE,GLEV6,M30,2016-08-05 17:30:00,1470418200,115.5,115.625,115.275,115.525,4030,0,2304,1486.0
41,-596,GLE,GLEV6,M30,2016-08-05 18:00:00,1470420000,115.35,115.55,115.15,115.525,1405,0,355,1458.0
42,-595,GLE,GLEV6,M30,2016-08-08 13:30:00,1470663000,115.625,115.9,115.0,115.7,7680,0,1969,1471.0
43,-594,GLE,GLEV6,M30,2016-08-08 14:00:00,1470664800,115.6,115.7,114.975,115.525,6280,0,1920,1481.0
44,-593,GLE,GLEV6,M30,2016-08-08 14:30:00,1470666600,115.5,115.55,115.05,115.175,4330,0,1645,1485.0
45,-592,GLE,GLEV6,M30,2016-08-08 15:00:00,1470668400,115.175,115.325,114.95,115.075,3530,0,1510,1485.0
46,-591,GLE,GLEV6,M30,2016-08-08 15:30:00,1470670200,115.025,115.1,114.9,115.075,2680,0,918,1473.0
47,-590,GLE,GLEV6,M30,2016-08-08 16:00:00,1470672000,115.025,115.1,114.85,114.9,2529,0,1058,1464.0
48,-589,GLE,GLEV6,M30,2016-08-08 16:30:00,1470673800,114.925,115.1,114.7,114.8,2429,0,736,1449.0
49,-588,GLE,GLEV6,M30,2016-08-08 17:00:00,1470675600,114.775,115.025,114.55,114.975,4130,0,1005,1440.0
