a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-196,M2K,M2KZ19,D1,2019-05-03,1556841600,1623.3,1623.3,1623.3,1623.3,1,0,0,0.0
2,-45,M2K,M2KM19,D1,2019-05-05,1557014400,1591.4,1591.4,1583.1,1583.1,26,2,44,22.0
3,-44,M2K,M2KM19,D1,2019-05-06,1557100800,1583.1,1621.8,1578.0,1609.6,9230,1,34000,11348.0
4,-43,M2K,M2KM19,D1,2019-05-07,1557187200,1609.0,1615.3,1572.8,1587.4,8246,0,19581,17875.0
5,-42,M2K,M2KM19,D1,2019-05-08,1557273600,1586.0,1594.0,1576.2,1577.9,6436,1,16203,23261.0
6,-41,M2K,M2KM19,D1,2019-05-09,1557360000,1578.6,1578.6,1546.6,1572.8,13353,0,29997,21927.0
7,-40,M2K,M2KM19,D1,2019-05-10,1557446400,1574.1,1582.5,1545.8,1579.2,14336,1,30671,25624.0
8,-39,M2K,M2KM19,D1,2019-05-11,1557532800,1579.2,1579.2,1579.2,1579.2,1,0,1,20223.0
9,-38,M2K,M2KM19,D1,2019-05-12,1557619200,1579.2,1579.2,1560.3,1560.5,200,0,426,10366.0
10,-37,M2K,M2KM19,D1,2019-05-13,1557705600,1560.2,1562.1,1517.3,1518.1,14739,1,32963,11130.0
11,-36,M2K,M2KM19,D1,2019-05-14,1557792000,1519.6,1550.7,1518.3,1547.0,6867,0,11857,15082.0
12,-35,M2K,M2KM19,D1,2019-05-15,1557878400,1547.0,1553.0,1529.4,1548.9,15173,0,23009,22610.0
13,-34,M2K,M2KM19,D1,2019-05-16,1557964800,1548.4,1570.4,1542.9,1561.1,18376,1,29945,21604.0
14,-33,M2K,M2KM19,D1,2019-05-17,1558051200,1560.7,1561.5,1534.8,1537.7,32925,1,55101,36018.0
15,-32,M2K,M2KM19,D1,2019-05-18,1558137600,1537.7,1537.7,1537.7,1537.7,2,0,2,28349.0
16,-31,M2K,M2KM19,D1,2019-05-19,1558224000,1537.7,1545.1,1536.6,1544.1,87,0,92,18398.0
17,-30,M2K,M2KM19,D1,2019-05-20,1558310400,1544.2,1547.2,1522.1,1529.5,25728,1,42880,14325.0
18,-29,M2K,M2KM19,D1,2019-05-21,1558396800,1530.7,1548.7,1527.5,1546.6,10869,1,18912,20628.0
19,-28,M2K,M2KM19,D1,2019-05-22,1558483200,1546.3,1548.3,1528.0,1531.7,11944,1,19574,27122.0
20,-27,M2K,M2KM19,D1,2019-05-23,1558569600,1532.0,1532.2,1493.1,1504.6,21378,0,35656,24714.0
21,-26,M2K,M2KM19,D1,2019-05-24,1558656000,1504.4,1518.5,1504.4,1516.4,17724,1,24686,26639.0
22,-25,M2K,M2KM19,D1,2019-05-26,1558828800,1516.4,1519.6,1516.3,1517.1,82,1,147,20163.0
23,-24,M2K,M2KM19,D1,2019-05-27,1558915200,1517.1,1521.9,1514.8,1517.5,971,0,1552,8795.0
24,-23,M2K,M2KM19,D1,2019-05-28,1559001600,1517.7,1523.8,1502.7,1505.6,20262,0,27166,9622.0
25,-22,M2K,M2KM19,D1,2019-05-29,1559088000,1506.3,1506.3,1480.6,1490.1,26045,0,35589,21436.0
26,-21,M2K,M2KM19,D1,2019-05-30,1559174400,1490.2,1502.4,1471.6,1472.3,20154,1,27299,30018.0
27,-20,M2K,M2KM19,D1,2019-05-31,1559260800,1471.9,1477.2,1459.5,1466.3,21971,1,24860,29249.0
28,-19,M2K,M2KM19,D1,2019-06-01,1559347200,1466.3,1466.3,1466.3,1466.3,1,0,1,17387.0
29,-18,M2K,M2KM19,D1,2019-06-02,1559433600,1466.3,1466.3,1454.4,1457.5,308,0,347,8403.0
30,-17,M2K,M2KM19,D1,2019-06-03,1559520000,1458.0,1478.1,1455.9,1474.7,31533,1,40003,13450.0
31,-16,M2K,M2KM19,D1,2019-06-04,1559606400,1474.8,1511.6,1471.1,1510.6,21455,0,28966,23105.0
32,-15,M2K,M2KM19,D1,2019-06-05,1559692800,1510.6,1516.5,1492.1,1502.4,22608,0,27742,32237.0
33,-14,M2K,M2KM19,D1,2019-06-06,1559779200,1502.4,1513.1,1488.7,1501.7,21905,0,26813,27840.0
34,-13,M2K,M2KM19,D1,2019-06-07,1559865600,1501.5,1521.1,1500.9,1514.0,17039,1,21527,25361.0
35,-12,M2K,M2KM19,D1,2019-06-09,1560038400,1514.0,1527.5,1514.0,1519.8,365,0,452,16264.0
36,-11,M2K,M2KM19,D1,2019-06-10,1560124800,1519.2,1537.3,1515.4,1523.2,14191,1,17094,13024.0
37,-10,M2K,M2KM19,D1,2019-06-11,1560211200,1522.9,1538.2,1511.4,1517.2,13122,1,16806,11451.0
38,-9,M2K,M2KM19,D1,2019-06-12,1560297600,1516.8,1524.6,1511.7,1524.4,9190,1,11827,15242.0
39,-8,M2K,M2KM19,D1,2019-06-13,1560384000,1524.4,1537.4,1514.8,1534.4,9497,0,12129,13587.0
40,-7,M2K,M2KM19,D1,2019-06-14,1560470400,1534.9,1539.9,1522.2,1525.1,4251,1,5282,9746.0
41,-6,M2K,M2KM19,D1,2019-06-15,1560556800,1525.1,1525.1,1525.1,1525.1,1,0,1,5804.0
42,-5,M2K,M2KM19,D1,2019-06-16,1560643200,1525.1,1528.3,1525.1,1526.8,44,1,73,1785.0
40,-88,M2K,M2KU19,D1,2019-06-17,1560729600,1530.3,1543.4,1528.0,1537.8,4650,1,5569,1877.0
41,-87,M2K,M2KU19,D1,2019-06-18,1560816000,1537.9,1566.3,1534.0,1556.3,9772,0,11738,5790.0
42,-86,M2K,M2KU19,D1,2019-06-19,1560902400,1555.8,1565.4,1548.4,1564.8,9352,1,10897,9401.0
43,-85,M2K,M2KU19,D1,2019-06-20,1560988800,1564.3,1575.9,1558.1,1565.2,10841,0,12596,11744.0
44,-84,M2K,M2KU19,D1,2019-06-21,1561075200,1565.4,1566.8,1549.6,1551.1,12884,1,17521,13671.0
45,-83,M2K,M2KU19,D1,2019-06-23,1561248000,1551.1,1555.5,1550.8,1555.0,123,0,154,10090.0
46,-82,M2K,M2KU19,D1,2019-06-24,1561334400,1555.0,1558.9,1533.6,1536.6,10382,0,13598,10424.0
47,-81,M2K,M2KU19,D1,2019-06-25,1561420800,1536.8,1540.5,1521.9,1523.8,14804,0,19774,11175.0
48,-80,M2K,M2KU19,D1,2019-06-26,1561507200,1523.8,1535.7,1520.0,1521.6,10992,0,14811,16061.0
49,-79,M2K,M2KU19,D1,2019-06-27,1561593600,1521.8,1554.0,1520.7,1552.5,15010,0,21357,18647.0
50,-78,M2K,M2KU19,D1,2019-06-28,1561680000,1552.6,1575.0,1548.4,1573.9,18002,0,27187,21118.0
51,-77,M2K,M2KU19,D1,2019-06-29,1561766400,1573.9,1573.9,1573.9,1573.9,1,0,1,16182.0
52,-76,M2K,M2KU19,D1,2019-07-01,1561939200,1585.7,1593.2,1564.8,1572.4,14242,1,18620,15269.0
53,-75,M2K,M2KU19,D1,2019-07-02,1562025600,1572.7,1577.0,1554.7,1565.6,15002,0,19540,12720.0
54,-74,M2K,M2KU19,D1,2019-07-03,1562112000,1565.4,1580.0,1562.6,1577.4,9506,1,11987,16716.0
55,-73,M2K,M2KU19,D1,2019-07-04,1562198400,1577.6,1581.6,1575.2,1578.9,1144,1,1331,10953.0
56,-72,M2K,M2KU19,D1,2019-07-05,1562284800,1578.7,1580.4,1560.6,1579.8,14226,0,17554,10291.0
57,-71,M2K,M2KU19,D1,2019-07-06,1562371200,1579.8,1579.8,1579.8,1579.8,1,0,1,6295.0
58,-70,M2K,M2KU19,D1,2019-07-07,1562457600,1579.8,1581.5,1577.7,1578.0,108,0,121,5892.0
59,-69,M2K,M2KU19,D1,2019-07-08,1562544000,1577.4,1578.5,1560.9,1561.7,12028,0,14307,4810.0
60,-68,M2K,M2KU19,D1,2019-07-09,1562630400,1561.7,1566.6,1555.6,1565.0,15773,0,20013,11480.0
61,-67,M2K,M2KU19,D1,2019-07-10,1562716800,1564.8,1578.0,1560.2,1567.8,19769,1,25752,20024.0
62,-66,M2K,M2KU19,D1,2019-07-11,1562803200,1567.6,1573.6,1553.7,1561.0,21625,1,29768,25178.0
63,-65,M2K,M2KU19,D1,2019-07-12,1562889600,1561.0,1578.5,1560.2,1571.7,17099,0,22293,25938.0
64,-64,M2K,M2KU19,D1,2019-07-13,1562976000,1571.7,1571.7,1571.7,1571.7,1,0,1,17354.0
65,-63,M2K,M2KU19,D1,2019-07-14,1563062400,1571.7,1573.5,1570.4,1570.5,138,0,144,7479.0
66,-62,M2K,M2KU19,D1,2019-07-15,1563148800,1570.6,1579.0,1560.0,1566.1,17114,1,22328,7491.0
67,-61,M2K,M2KU19,D1,2019-07-16,1563235200,1565.9,1573.7,1558.1,1564.7,20816,1,28406,16959.0
68,-60,M2K,M2KU19,D1,2019-07-17,1563321600,1564.4,1568.5,1548.2,1550.5,20716,0,27572,26102.0
69,-59,M2K,M2KU19,D1,2019-07-18,1563408000,1550.6,1564.1,1546.5,1559.5,22760,1,29750,28576.0
70,-58,M2K,M2KU19,D1,2019-07-19,1563494400,1559.8,1565.3,1545.0,1546.9,20603,0,26403,27908.0
71,-57,M2K,M2KU19,D1,2019-07-20,1563580800,1546.9,1546.9,1546.9,1546.9,2,0,2,18718.0
72,-56,M2K,M2KU19,D1,2019-07-21,1563667200,1546.9,1551.4,1546.2,1550.8,222,0,276,8894.0
73,-55,M2K,M2KU19,D1,2019-07-22,1563753600,1550.9,1557.9,1544.6,1548.5,24050,0,34125,11468.0
74,-54,M2K,M2KU19,D1,2019-07-23,1563840000,1548.5,1557.9,1545.8,1557.2,24768,1,36093,23498.0
75,-53,M2K,M2KU19,D1,2019-07-24,1563926400,1557.0,1585.9,1550.6,1585.2,27230,0,38861,36360.0
76,-52,M2K,M2KU19,D1,2019-07-25,1564012800,1584.7,1588.8,1561.4,1564.1,24224,0,32222,35725.0
77,-51,M2K,M2KU19,D1,2019-07-26,1564099200,1564.3,1585.2,1562.6,1580.9,30216,0,33785,34956.0
78,-50,M2K,M2KU19,D1,2019-07-27,1564185600,1580.9,1580.9,1580.9,1580.9,2,0,2,22003.0
79,-49,M2K,M2KU19,D1,2019-07-28,1564272000,1580.9,1582.4,1579.2,1580.9,166,0,185,11324.0
80,-48,M2K,M2KU19,D1,2019-07-29,1564358400,1580.9,1584.4,1566.5,1573.8,24846,0,27162,9116.0
81,-47,M2K,M2KU19,D1,2019-07-30,1564444800,1573.8,1589.3,1557.4,1586.9,38794,0,43877,23741.0
82,-46,M2K,M2KU19,D1,2019-07-31,1564531200,1586.8,1603.4,1566.0,1573.8,64217,1,75182,48740.0
83,-45,M2K,M2KU19,D1,2019-08-01,1564617600,1573.8,1592.1,1545.2,1548.3,77373,0,89995,69685.0
84,-44,M2K,M2KU19,D1,2019-08-02,1564704000,1548.4,1552.0,1522.1,1536.3,53455,0,63885,76354.0
85,-43,M2K,M2KU19,D1,2019-08-04,1564876800,1536.3,1536.3,1531.0,1532.2,362,1,410,51430.0
86,-42,M2K,M2KU19,D1,2019-08-05,1564963200,1532.0,1535.7,1450.7,1453.6,69981,1,79254,47850.0
87,-41,M2K,M2KU19,D1,2019-08-06,1565049600,1453.7,1505.4,1452.9,1494.6,74649,0,81221,53628.0
88,-40,M2K,M2KU19,D1,2019-08-07,1565136000,1494.9,1508.4,1474.8,1495.4,69727,0,77306,79260.0
89,-39,M2K,M2KU19,D1,2019-08-08,1565222400,1495.2,1535.2,1493.1,1530.8,34993,1,38468,65665.0
90,-38,M2K,M2KU19,D1,2019-08-09,1565308800,1531.0,1532.2,1508.3,1516.9,46818,1,51503,55759.0
91,-37,M2K,M2KU19,D1,2019-08-11,1565481600,1516.9,1517.7,1510.6,1511.2,292,0,325,30099.0
92,-36,M2K,M2KU19,D1,2019-08-12,1565568000,1511.6,1521.1,1491.1,1497.1,37245,1,40121,30650.0
