a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-107,M6A,M6AZ6,D1,2016-08-04,1470268800,0.7604,0.7604,0.7604,0.7604,1,0,1,1.0
2,-106,M6A,M6AZ6,D1,2016-08-09,1470700800,0.7632,0.7632,0.7597,0.7597,2,0,2,2.0
3,-105,M6A,M6AZ6,D1,2016-08-10,1470787200,0.7663,0.7703,0.7663,0.77,4,0,4,2.0
4,-104,M6A,M6AZ6,D1,2016-08-12,1470960000,0.765,0.7655,0.765,0.7655,2,0,2,3.0
5,-103,M6A,M6AZ6,D1,2016-08-14,1471132800,0.7649,0.7649,0.7649,0.7649,1,0,3,3.0
6,-102,M6A,M6AZ6,D1,2016-08-15,1471219200,0.7622,0.765,0.7609,0.7609,4,0,8,4.0
7,-101,M6A,M6AZ6,D1,2016-08-16,1471305600,0.77,0.77,0.77,0.77,1,0,1,4.0
8,-100,M6A,M6AZ6,D1,2016-08-17,1471392000,0.7604,0.763,0.7599,0.763,5,0,5,5.0
9,-99,M6A,M6AZ6,D1,2016-08-18,1471478400,0.7671,0.7703,0.7619,0.7649,140,0,16,7.0
10,-98,M6A,M6AZ6,D1,2016-08-19,1471564800,0.7589,0.7612,0.7585,0.7585,3,0,4,8.0
11,-97,M6A,M6AZ6,D1,2016-08-22,1471824000,0.757,0.7619,0.7556,0.7604,7,0,9,10.0
12,-96,M6A,M6AZ6,D1,2016-08-24,1471996800,0.7595,0.7595,0.7595,0.7595,1,0,1,5.0
13,-95,M6A,M6AZ6,D1,2016-08-26,1472169600,0.7611,0.764,0.755,0.755,7,0,18,9.0
14,-94,M6A,M6AZ6,D1,2016-08-29,1472428800,0.7519,0.7539,0.7519,0.7539,4,0,4,8.0
15,-93,M6A,M6AZ6,D1,2016-08-30,1472515200,0.752,0.752,0.7485,0.7485,11,0,12,11.0
16,-92,M6A,M6AZ6,D1,2016-08-31,1472601600,0.75,0.75,0.7485,0.7485,2,0,2,6.0
17,-91,M6A,M6AZ6,D1,2016-09-01,1472688000,0.7517,0.753,0.75,0.753,5,0,6,7.0
18,-90,M6A,M6AZ6,D1,2016-09-02,1472774400,0.7545,0.758,0.7545,0.7546,4,0,8,5.0
19,-89,M6A,M6AZ6,D1,2016-09-05,1473033600,0.7575,0.759,0.7575,0.7575,4,0,4,6.0
20,-88,M6A,M6AZ6,D1,2016-09-06,1473120000,0.7595,0.7665,0.7592,0.7665,18,0,22,11.0
21,-87,M6A,M6AZ6,D1,2016-09-07,1473206400,0.7661,0.7695,0.7648,0.7648,20,0,24,17.0
22,-86,M6A,M6AZ6,D1,2016-09-08,1473292800,0.7633,0.7728,0.7625,0.764,68,0,46,31.0
23,-85,M6A,M6AZ6,D1,2016-09-09,1473379200,0.764,0.7717,0.752,0.7528,236,0,109,60.0
24,-84,M6A,M6AZ6,D1,2016-09-11,1473552000,0.7523,0.753,0.7517,0.753,4,0,4,53.0
25,-83,M6A,M6AZ6,D1,2016-09-12,1473638400,0.753,0.7554,0.7477,0.7545,219,0,403,172.0
26,-82,M6A,M6AZ6,D1,2016-09-13,1473724800,0.7545,0.7563,0.7425,0.745,412,0,222,210.0
27,-81,M6A,M6AZ6,D1,2016-09-14,1473811200,0.7449,0.7475,0.7434,0.7465,457,0,688,438.0
28,-80,M6A,M6AZ6,D1,2016-09-15,1473897600,0.7465,0.7503,0.743,0.7494,1040,0,2063,991.0
29,-79,M6A,M6AZ6,D1,2016-09-16,1473984000,0.7491,0.7509,0.7458,0.7475,1613,0,4360,2370.0
30,-78,M6A,M6AZ6,D1,2016-09-18,1474156800,0.747,0.7489,0.7469,0.7482,116,0,343,2255.0
31,-77,M6A,M6AZ6,D1,2016-09-19,1474243200,0.7485,0.7555,0.7485,0.7521,1385,0,4475,3059.0
32,-76,M6A,M6AZ6,D1,2016-09-20,1474329600,0.7521,0.7548,0.7513,0.7538,1288,0,4194,3004.0
33,-75,M6A,M6AZ6,D1,2016-09-21,1474416000,0.7539,0.7624,0.7512,0.7615,2767,0,6777,5149.0
34,-74,M6A,M6AZ6,D1,2016-09-22,1474502400,0.7622,0.7659,0.7609,0.763,1752,0,5518,5496.0
35,-73,M6A,M6AZ6,D1,2016-09-23,1474588800,0.7628,0.7638,0.7593,0.7608,1463,0,3658,5318.0
36,-72,M6A,M6AZ6,D1,2016-09-25,1474761600,0.7596,0.76,0.7591,0.7599,74,0,205,3127.0
37,-71,M6A,M6AZ6,D1,2016-09-26,1474848000,0.7599,0.7633,0.7588,0.7616,1263,0,2908,2257.0
38,-70,M6A,M6AZ6,D1,2016-09-27,1474934400,0.7615,0.768,0.7596,0.7652,2094,0,6141,3085.0
39,-69,M6A,M6AZ6,D1,2016-09-28,1475020800,0.7653,0.7683,0.763,0.7678,1600,0,4476,4508.0
40,-68,M6A,M6AZ6,D1,2016-09-29,1475107200,0.7677,0.7695,0.761,0.7615,2090,0,5847,5488.0
41,-67,M6A,M6AZ6,D1,2016-09-30,1475193600,0.7615,0.7658,0.7576,0.7645,1933,0,5695,5339.0
42,-66,M6A,M6AZ6,D1,2016-10-02,1475366400,0.7654,0.7654,0.763,0.7631,103,0,305,3949.0
43,-65,M6A,M6AZ6,D1,2016-10-03,1475452800,0.7629,0.7677,0.7628,0.7672,1304,0,3429,3143.0
5,-125,M6A,M6AH7,D1,2016-10-04,1475539200,0.764,0.764,0.7591,0.7591,3,0,12782003,4260670.0
45,-63,M6A,M6AZ6,D1,2016-10-05,1475625600,0.7596,0.7631,0.7579,0.7608,1835,0,5444,4636.0
6,-124,M6A,M6AH7,D1,2016-10-06,1475712000,0.7554,0.7554,0.7554,0.7554,1,0,2,4260669.0
47,-61,M6A,M6AZ6,D1,2016-10-07,1475798400,0.7563,0.7611,0.7541,0.7575,2319,0,5269,5344.0
48,-60,M6A,M6AZ6,D1,2016-10-09,1475971200,0.7589,0.7592,0.7577,0.7587,141,0,235,3607.0
49,-59,M6A,M6AZ6,D1,2016-10-10,1476057600,0.7585,0.7616,0.7568,0.7587,1175,0,3398,2967.0
7,-123,M6A,M6AH7,D1,2016-10-11,1476144000,0.7522,0.7522,0.7522,0.7522,1,0,1,4260669.0
