a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-7242,MNQ,MNQU19,M15,2019-05-03 20:00:00,1556913600,7896.25,7896.25,7896.25,7896.25,1,0,0,0.0
2,-3173,MNQ,MNQM19,M15,2019-05-05 22:00:00,1557093600,7748.75,7748.75,7713.75,7713.75,2,75,2,1.0
3,-3172,MNQ,MNQM19,M15,2019-05-05 22:15:00,1557094500,7713.75,7718.25,7713.5,7718.0,5,25,6,3.0
4,-3171,MNQ,MNQM19,M15,2019-05-05 22:30:00,1557095400,7723.5,7726.25,7716.0,7726.25,9,25,11,5.0
5,-3170,MNQ,MNQM19,M15,2019-05-05 22:45:00,1557096300,7732.25,7746.25,7728.25,7744.5,12,50,12,6.0
6,-3169,MNQ,MNQM19,M15,2019-05-05 23:00:00,1557097200,7750.0,7750.0,7735.75,7738.5,37,25,37,11.0
7,-3168,MNQ,MNQM19,M15,2019-05-05 23:15:00,1557098100,7741.75,7742.75,7737.0,7739.0,24,25,30,14.0
8,-3167,MNQ,MNQM19,M15,2019-05-05 23:30:00,1557099000,7737.0,7743.0,7737.0,7739.25,41,25,63,20.0
9,-3166,MNQ,MNQM19,M15,2019-05-05 23:45:00,1557099900,7740.0,7743.25,7700.75,7709.5,27,25,27,21.0
10,-3165,MNQ,MNQM19,M15,2019-05-06 00:00:00,1557100800,7701.25,7719.0,7696.0,7712.25,40,25,49,24.0
11,-3164,MNQ,MNQM19,M15,2019-05-06 00:15:00,1557101700,7713.0,7714.0,7697.25,7702.0,102,25,165,37.0
12,-3163,MNQ,MNQM19,M15,2019-05-06 00:30:00,1557102600,7694.75,7707.5,7688.5,7693.0,34,25,35,36.0
13,-3162,MNQ,MNQM19,M15,2019-05-06 00:45:00,1557103500,7694.25,7702.0,7679.75,7683.25,46,25,48,37.0
14,-3161,MNQ,MNQM19,M15,2019-05-06 01:00:00,1557104400,7678.5,7682.0,7668.75,7680.5,30,25,30,37.0
15,-3160,MNQ,MNQM19,M15,2019-05-06 01:15:00,1557105300,7676.5,7688.5,7675.25,7688.5,32,25,33,37.0
16,-3159,MNQ,MNQM19,M15,2019-05-06 01:30:00,1557106200,7687.75,7690.5,7681.5,7687.0,17,25,20,36.0
17,-3158,MNQ,MNQM19,M15,2019-05-06 01:45:00,1557107100,7690.25,7694.5,7686.5,7694.5,8,25,10,34.0
18,-3157,MNQ,MNQM19,M15,2019-05-06 02:00:00,1557108000,7693.75,7703.25,7692.75,7703.25,51,25,75,36.0
19,-3156,MNQ,MNQM19,M15,2019-05-06 02:15:00,1557108900,7694.5,7694.5,7686.25,7692.0,28,25,38,36.0
20,-3155,MNQ,MNQM19,M15,2019-05-06 02:30:00,1557109800,7689.0,7691.5,7686.5,7688.5,22,25,31,36.0
21,-3154,MNQ,MNQM19,M15,2019-05-06 02:45:00,1557110700,7688.25,7688.25,7686.0,7686.75,11,25,11,35.0
22,-3153,MNQ,MNQM19,M15,2019-05-06 03:00:00,1557111600,7694.25,7697.5,7692.25,7697.5,25,25,28,35.0
23,-3152,MNQ,MNQM19,M15,2019-05-06 03:15:00,1557112500,7698.0,7698.0,7688.25,7688.25,19,25,22,34.0
24,-3151,MNQ,MNQM19,M15,2019-05-06 03:30:00,1557113400,7688.25,7690.5,7684.25,7686.0,14,25,18,33.0
25,-3150,MNQ,MNQM19,M15,2019-05-06 03:45:00,1557114300,7687.75,7687.75,7675.25,7681.0,20,25,22,33.0
26,-3149,MNQ,MNQM19,M15,2019-05-06 04:00:00,1557115200,7681.25,7682.5,7681.25,7682.5,3,25,4,32.0
27,-3148,MNQ,MNQM19,M15,2019-05-06 04:15:00,1557116100,7682.5,7688.75,7682.5,7686.5,39,25,79,34.0
28,-3147,MNQ,MNQM19,M15,2019-05-06 04:30:00,1557117000,7687.5,7696.0,7687.5,7696.0,10,25,13,33.0
29,-3146,MNQ,MNQM19,M15,2019-05-06 04:45:00,1557117900,7694.25,7720.5,7694.0,7719.5,69,25,92,35.0
30,-3145,MNQ,MNQM19,M15,2019-05-06 05:00:00,1557118800,7722.25,7722.25,7710.0,7710.75,42,25,75,36.0
31,-3144,MNQ,MNQM19,M15,2019-05-06 05:15:00,1557119700,7710.5,7712.75,7706.25,7712.75,39,25,42,36.0
32,-3143,MNQ,MNQM19,M15,2019-05-06 05:30:00,1557120600,7713.25,7717.5,7712.5,7716.5,22,25,25,36.0
33,-3142,MNQ,MNQM19,M15,2019-05-06 05:45:00,1557121500,7718.75,7718.75,7714.5,7714.5,15,25,16,35.0
34,-3141,MNQ,MNQM19,M15,2019-05-06 06:00:00,1557122400,7719.75,7723.0,7712.5,7712.5,16,25,34,35.0
35,-3140,MNQ,MNQM19,M15,2019-05-06 06:15:00,1557123300,7710.75,7713.25,7692.0,7693.5,73,25,120,38.0
36,-3139,MNQ,MNQM19,M15,2019-05-06 06:30:00,1557124200,7691.25,7696.25,7684.75,7696.25,63,25,90,39.0
