a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-85,MSF,MSFZ6,D1,2016-08-09,1470700800,1.0245,1.0245,1.0245,1.0245,1,0,2555904,2555904.0
2,-84,MSF,MSFZ6,D1,2016-09-02,1472774400,1.03,1.03,1.03,1.03,1,0,1,1277952.0
3,-83,MSF,MSFZ6,D1,2016-09-06,1473120000,1.035,1.035,1.035,1.035,1,0,5,851970.0
4,-82,MSF,MSFZ6,D1,2016-09-08,1473292800,1.04,1.04,1.04,1.04,1,0,1,2.0
5,-81,MSF,MSFZ6,D1,2016-09-09,1473379200,1.0285,1.0285,1.0285,1.0285,1,0,1,2.0
6,-80,MSF,MSFZ6,D1,2016-09-12,1473638400,1.03,1.03,1.03,1.03,1,0,7,3.0
7,-79,MSF,MSFZ6,D1,2016-09-13,1473724800,1.0337,1.0337,1.0337,1.0337,1,0,2,3.0
8,-78,MSF,MSFZ6,D1,2016-09-14,1473811200,1.029,1.035,1.028,1.028,44,0,14,8.0
9,-77,MSF,MSFZ6,D1,2016-09-15,1473897600,1.0329,1.035,1.0299,1.0338,64,0,50,22.0
10,-76,MSF,MSFZ6,D1,2016-09-16,1473984000,1.0343,1.0343,1.0248,1.0248,83,0,120,61.0
11,-75,MSF,MSFZ6,D1,2016-09-18,1474156800,1.025,1.0257,1.025,1.0257,5,0,6,59.0
12,-74,MSF,MSFZ6,D1,2016-09-19,1474243200,1.0256,1.0262,1.0243,1.0251,22,0,50,59.0
13,-73,MSF,MSFZ6,D1,2016-09-20,1474329600,1.0273,1.029,1.0256,1.0262,27,0,52,36.0
14,-72,MSF,MSFZ6,D1,2016-09-21,1474416000,1.0262,1.0315,1.0239,1.0315,39,0,78,60.0
15,-71,MSF,MSFZ6,D1,2016-09-22,1474502400,1.033,1.04,1.033,1.0368,88,0,116,82.0
16,-70,MSF,MSFZ6,D1,2016-09-23,1474588800,1.0365,1.0368,1.0315,1.0363,62,0,55,83.0
17,-69,MSF,MSFZ6,D1,2016-09-25,1474761600,1.0368,1.0368,1.0366,1.0366,3,0,8,60.0
18,-68,MSF,MSFZ6,D1,2016-09-26,1474848000,1.0378,1.0398,1.0365,1.0365,21,0,58,40.0
19,-67,MSF,MSFZ6,D1,2016-09-27,1474934400,1.0359,1.0389,1.0331,1.0353,42,0,80,49.0
20,-66,MSF,MSFZ6,D1,2016-09-28,1475020800,1.0338,1.0356,1.0322,1.0347,33,0,65,68.0
21,-65,MSF,MSFZ6,D1,2016-09-29,1475107200,1.0329,1.0414,1.0329,1.0395,40,0,84,76.0
22,-64,MSF,MSFZ6,D1,2016-09-30,1475193600,1.0388,1.0399,1.025,1.034,218,0,127,92.0
23,-63,MSF,MSFZ6,D1,2016-10-02,1475366400,1.0334,1.0334,1.0332,1.0332,2,0,7,73.0
24,-62,MSF,MSFZ6,D1,2016-10-03,1475452800,1.0332,1.0347,1.0311,1.0315,47,0,84,73.0
25,-61,MSF,MSFZ6,D1,2016-10-04,1475539200,1.0309,1.0309,1.0219,1.0261,72,0,151,81.0
26,-60,MSF,MSFZ6,D1,2016-10-05,1475625600,1.0262,1.0308,1.0258,1.0302,47,0,85,107.0
27,-59,MSF,MSFZ6,D1,2016-10-06,1475712000,1.0283,1.0293,1.0227,1.0227,53,0,91,109.0
28,-58,MSF,MSFZ6,D1,2016-10-07,1475798400,1.0223,1.026,1.02,1.026,27,0,39,72.0
29,-57,MSF,MSFZ6,D1,2016-10-09,1475971200,1.0263,1.0263,1.0263,1.0263,3,0,7,46.0
30,-56,MSF,MSFZ6,D1,2016-10-10,1476057600,1.0257,1.0259,1.0207,1.0207,16,0,34,27.0
31,-55,MSF,MSFZ6,D1,2016-10-11,1476144000,1.0209,1.0209,1.0143,1.0148,24,0,50,30.0
32,-54,MSF,MSFZ6,D1,2016-10-12,1476230400,1.0145,1.0155,1.0125,1.0127,27,0,62,49.0
33,-53,MSF,MSFZ6,D1,2016-10-13,1476316800,1.0126,1.0175,1.0126,1.0172,48,0,84,65.0
3,-86,MSF,MSFH7,D1,2016-10-14,1476403200,1.0191,1.0191,1.0191,1.0191,1,0,4063232,1354424.0
35,-51,MSF,MSFZ6,D1,2016-10-17,1476662400,1.0133,1.0153,1.0132,1.0146,28,0,54,85.0
36,-50,MSF,MSFZ6,D1,2016-10-18,1476748800,1.0161,1.0161,1.012,1.0133,19,0,46,72.0
37,-49,MSF,MSFZ6,D1,2016-10-19,1476835200,1.0139,1.0148,1.013,1.0137,34,0,77,59.0
38,-48,MSF,MSFZ6,D1,2016-10-20,1476921600,1.0125,1.0163,1.0096,1.0105,62,0,86,70.0
39,-47,MSF,MSFZ6,D1,2016-10-21,1477008000,1.0097,1.0097,1.0066,1.0093,49,0,75,79.0
40,-46,MSF,MSFZ6,D1,2016-10-23,1477180800,1.0089,1.0089,1.0089,1.0089,1,0,1,54.0
41,-45,MSF,MSFZ6,D1,2016-10-24,1477267200,1.0081,1.0113,1.0081,1.0093,35,0,64,47.0
42,-44,MSF,MSFZ6,D1,2016-10-25,1477353600,1.009,1.0094,1.0033,1.0087,72,0,103,56.0
43,-43,MSF,MSFZ6,D1,2016-10-26,1477440000,1.0076,1.0123,1.0076,1.0091,57,0,97,88.0
44,-42,MSF,MSFZ6,D1,2016-10-27,1477526400,1.0085,1.0112,1.008,1.0091,39,0,84,95.0
45,-41,MSF,MSFZ6,D1,2016-10-28,1477612800,1.009,1.0166,1.0082,1.0149,42,0,63,81.0
