a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-126,MZC,MZCU25,D1,2025-02-21,1740096000,477.5,477.5,477.5,477.5,0,0,0,0.0
2,-81,MZC,MZCN25,D1,2025-02-24,1740355200,510.0,510.0,500.5,502.0,0,0,4870,2435.0
3,-80,MZC,MZCN25,D1,2025-02-25,1740441600,502.0,503.0,494.0,499.5,0,0,4041,2970.0
4,-79,MZC,MZCN25,D1,2025-02-26,1740528000,499.5,504.5,497.5,499.0,0,0,4307,4406.0
5,-78,MZC,MZCN25,D1,2025-02-27,1740614400,499.5,501.0,486.0,486.5,0,0,8377,5575.0
6,-77,MZC,MZCN25,D1,2025-02-28,1740700800,487.5,488.5,475.5,476.0,0,0,7211,6632.0
7,-76,MZC,MZCN25,D1,2025-03-03,1740960000,477.5,478.5,462.5,464.0,0,0,1410,5666.0
8,-75,MZC,MZCN25,D1,2025-03-04,1741046400,462.0,466.5,451.5,460.0,0,0,1770,3464.0
9,-74,MZC,MZCN25,D1,2025-03-05,1741132800,463.0,466.0,456.5,463.5,0,0,2261,1814.0
10,-73,MZC,MZCN25,D1,2025-03-06,1741219200,465.0,479.5,460.0,470.0,0,0,2860,2297.0
11,-72,MZC,MZCN25,D1,2025-03-07,1741305600,472.5,477.0,468.5,476.0,0,0,1015,2045.0
12,-71,MZC,MZCN25,D1,2025-03-10,1741564800,473.5,480.5,473.5,478.5,0,0,584,1486.0
13,-70,MZC,MZCN25,D1,2025-03-11,1741651200,478.0,483.0,476.0,476.0,0,0,1190,930.0
14,-69,MZC,MZCN25,D1,2025-03-12,1741737600,477.5,477.5,463.5,468.0,0,0,1200,991.0
15,-68,MZC,MZCN25,D1,2025-03-13,1741824000,467.5,476.0,467.5,471.0,0,0,830,1073.0
16,-67,MZC,MZCN25,D1,2025-03-14,1741910400,468.0,468.0,466.0,467.5,0,0,97,709.0
17,-66,MZC,MZCN25,D1,2025-03-17,1742169600,470.5,473.0,467.5,470.0,0,0,212,380.0
18,-65,MZC,MZCN25,D1,2025-03-18,1742256000,471.0,471.0,465.0,467.0,0,0,71,127.0
19,-64,MZC,MZCN25,D1,2025-03-19,1742342400,465.0,470.5,465.0,469.5,0,0,376,220.0
20,-63,MZC,MZCN25,D1,2025-03-20,1742428800,470.5,476.0,470.5,474.5,0,0,81,176.0
21,-62,MZC,MZCN25,D1,2025-03-21,1742515200,474.5,476.0,470.0,471.5,0,0,119,192.0
22,-61,MZC,MZCN25,D1,2025-03-24,1742774400,473.5,473.5,468.0,471.5,0,0,300,167.0
23,-60,MZC,MZCN25,D1,2025-03-25,1742860800,470.5,472.0,465.0,465.0,0,0,239,219.0
24,-59,MZC,MZCN25,D1,2025-03-26,1742947200,465.0,466.5,459.0,459.0,0,0,83,207.0
25,-58,MZC,MZCN25,D1,2025-03-27,1743033600,458.0,458.5,456.5,458.0,0,0,55,126.0
26,-57,MZC,MZCN25,D1,2025-03-28,1743120000,455.0,460.0,451.5,460.0,0,0,61,66.0
27,-56,MZC,MZCN25,D1,2025-03-31,1743379200,459.0,465.0,451.0,464.0,0,0,268,128.0
28,-55,MZC,MZCN25,D1,2025-04-01,1743465600,463.0,469.0,461.5,467.0,0,0,28,119.0
29,-54,MZC,MZCN25,D1,2025-04-02,1743552000,466.5,466.5,461.5,465.0,0,0,82,126.0
30,-53,MZC,MZCN25,D1,2025-04-03,1743638400,460.0,469.0,456.0,466.0,0,0,127,79.0
31,-52,MZC,MZCN25,D1,2025-04-04,1743724800,465.5,468.0,458.5,467.5,0,0,190,133.0
32,-51,MZC,MZCN25,D1,2025-04-07,1743984000,462.0,473.0,461.5,471.0,0,0,69,129.0
33,-50,MZC,MZCN25,D1,2025-04-08,1744070400,471.0,476.0,470.5,474.5,0,0,153,137.0
34,-49,MZC,MZCN25,D1,2025-04-09,1744156800,476.0,480.5,472.5,480.5,0,0,131,118.0
35,-48,MZC,MZCN25,D1,2025-04-10,1744243200,482.0,489.0,480.5,489.0,0,0,213,166.0
36,-47,MZC,MZCN25,D1,2025-04-11,1744329600,488.0,497.0,488.0,496.5,0,0,144,163.0
37,-46,MZC,MZCN25,D1,2025-04-14,1744588800,494.0,497.0,493.0,493.0,0,0,86,148.0
38,-45,MZC,MZCN25,D1,2025-04-15,1744675200,494.0,495.0,489.0,489.5,0,0,21,84.0
39,-44,MZC,MZCN25,D1,2025-04-16,1744761600,489.0,494.0,489.0,491.5,0,0,27,45.0
40,-43,MZC,MZCN25,D1,2025-04-17,1744848000,491.5,493.5,489.5,490.5,0,0,25,24.0
