a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-106,MZL,MZLQ25,D1,2025-02-21,1740096000,47.56,47.56,47.56,47.56,0,0,0,0.0
2,-81,MZL,MZLN25,D1,2025-02-24,1740355200,47.62,47.68,46.58,46.68,0,0,2970,1485.0
3,-80,MZL,MZLN25,D1,2025-02-25,1740441600,46.92,47.24,46.28,46.34,0,0,2084,1685.0
4,-79,MZL,MZLN25,D1,2025-02-26,1740528000,46.32,46.42,45.56,45.84,0,0,2724,2593.0
5,-78,MZL,MZLN25,D1,2025-02-27,1740614400,45.84,46.48,45.52,45.66,0,0,6737,3848.0
6,-77,MZL,MZLN25,D1,2025-02-28,1740700800,45.78,46.04,44.46,44.48,0,0,4983,4815.0
7,-76,MZL,MZLN25,D1,2025-03-03,1740960000,44.7,45.0,43.26,43.8,0,0,2236,4652.0
8,-75,MZL,MZLN25,D1,2025-03-04,1741046400,44.3,44.3,43.12,43.34,0,0,935,2718.0
9,-74,MZL,MZLN25,D1,2025-03-05,1741132800,43.58,43.78,42.56,43.52,0,0,813,1328.0
10,-73,MZL,MZLN25,D1,2025-03-06,1741219200,43.54,44.0,43.4,43.68,0,0,850,866.0
11,-72,MZL,MZLN25,D1,2025-03-07,1741305600,43.68,44.28,43.28,43.88,0,0,516,726.0
12,-71,MZL,MZLN25,D1,2025-03-10,1741564800,43.54,43.58,42.46,42.76,0,0,746,704.0
13,-70,MZL,MZLN25,D1,2025-03-11,1741651200,42.52,43.2,42.34,42.34,0,0,730,664.0
14,-69,MZL,MZLN25,D1,2025-03-12,1741737600,42.52,42.52,41.74,42.16,0,0,593,690.0
15,-68,MZL,MZLN25,D1,2025-03-13,1741824000,42.18,42.36,41.56,41.74,0,0,483,602.0
16,-67,MZL,MZLN25,D1,2025-03-14,1741910400,41.84,42.2,41.72,42.06,0,0,307,461.0
17,-66,MZL,MZLN25,D1,2025-03-17,1742169600,42.24,42.68,42.06,42.56,0,0,379,390.0
18,-65,MZL,MZLN25,D1,2025-03-18,1742256000,42.58,43.24,42.56,43.0,0,0,509,398.0
19,-64,MZL,MZLN25,D1,2025-03-19,1742342400,42.84,43.1,42.64,42.86,0,0,439,442.0
20,-63,MZL,MZLN25,D1,2025-03-20,1742428800,42.9,43.22,42.12,43.2,0,0,357,435.0
21,-62,MZL,MZLN25,D1,2025-03-21,1742515200,43.1,43.18,42.46,42.54,0,0,219,338.0
22,-61,MZL,MZLN25,D1,2025-03-24,1742774400,42.64,42.72,42.14,42.66,0,0,238,271.0
23,-60,MZL,MZLN25,D1,2025-03-25,1742860800,42.52,43.06,42.34,42.84,0,0,261,239.0
24,-59,MZL,MZLN25,D1,2025-03-26,1742947200,42.82,43.62,42.8,43.18,0,0,262,254.0
25,-58,MZL,MZLN25,D1,2025-03-27,1743033600,43.14,44.84,42.92,44.76,0,0,525,349.0
