a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-106,MZM,MZMQ25,D1,2025-02-21,1740096000,313.2,313.2,313.2,313.2,0,0,0,0.0
2,-81,MZM,MZMN25,D1,2025-02-24,1740355200,311.2,312.6,308.4,308.8,0,0,984,492.0
3,-80,MZM,MZMN25,D1,2025-02-25,1740441600,308.6,310.8,306.2,310.4,0,0,246,410.0
4,-79,MZM,MZMN25,D1,2025-02-26,1740528000,311.4,311.6,308.4,310.0,0,0,235,488.0
5,-78,MZM,MZMN25,D1,2025-02-27,1740614400,310.0,312.2,307.2,307.6,0,0,2735,1072.0
6,-77,MZM,MZMN25,D1,2025-02-28,1740700800,308.2,309.0,304.6,307.6,0,0,1600,1523.0
7,-76,MZM,MZMN25,D1,2025-03-03,1740960000,307.8,308.6,304.4,304.8,0,0,605,1647.0
8,-75,MZM,MZMN25,D1,2025-03-04,1741046400,304.0,304.6,299.2,301.6,0,0,396,867.0
9,-74,MZM,MZMN25,D1,2025-03-05,1741132800,304.2,307.4,302.6,307.0,0,0,142,381.0
10,-73,MZM,MZMN25,D1,2025-03-06,1741219200,308.6,313.8,307.6,311.2,0,0,218,252.0
11,-72,MZM,MZMN25,D1,2025-03-07,1741305600,311.6,312.4,309.6,311.2,0,0,129,163.0
12,-71,MZM,MZMN25,D1,2025-03-10,1741564800,311.8,314.4,309.4,309.6,0,0,303,217.0
13,-70,MZM,MZMN25,D1,2025-03-11,1741651200,309.4,311.2,308.8,308.8,0,0,167,200.0
14,-69,MZM,MZMN25,D1,2025-03-12,1741737600,309.8,309.8,306.2,307.2,0,0,79,183.0
15,-68,MZM,MZMN25,D1,2025-03-13,1741824000,307.4,316.0,307.4,313.6,0,0,148,131.0
16,-67,MZM,MZMN25,D1,2025-03-14,1741910400,311.2,313.6,310.4,313.2,0,0,206,144.0
17,-66,MZM,MZMN25,D1,2025-03-17,1742169600,313.2,314.6,311.0,311.6,0,0,85,146.0
