a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-93,NQG,NQGZ6,D1,2016-08-01,1470009600,3.225,3.225,3.225,3.225,1,0,1,1.0
2,-92,NQG,NQGZ6,D1,2016-08-02,1470096000,3.265,3.265,3.2,3.2,3,0,2293762,1146882.0
3,-91,NQG,NQGZ6,D1,2016-08-03,1470182400,3.28,3.29,3.28,3.28,3,0,3,764589.0
4,-90,NQG,NQGZ6,D1,2016-08-04,1470268800,3.24,3.24,3.24,3.24,1,0,1,764589.0
3,-112,NQG,NQGF7,D1,2016-08-05,1470355200,3.375,3.375,3.325,3.325,2,0,4,4.0
4,-111,NQG,NQGF7,D1,2016-08-08,1470614400,3.315,3.325,3.315,3.325,2,0,2,2.0
6,-88,NQG,NQGZ6,D1,2016-08-09,1470700800,3.15,3.15,3.105,3.105,4,0,15,6.0
7,-87,NQG,NQGZ6,D1,2016-08-10,1470787200,3.1,3.12,3.07,3.075,5,0,8,9.0
8,-86,NQG,NQGZ6,D1,2016-08-11,1470873600,3.05,3.05,3.03,3.04,3,0,3,9.0
9,-85,NQG,NQGZ6,D1,2016-08-12,1470960000,3.055,3.08,3.055,3.07,6,0,6,6.0
9,-106,NQG,NQGF7,D1,2016-08-15,1471219200,3.21,3.21,3.21,3.21,1,0,1,2.0
10,-84,NQG,NQGZ6,D1,2016-08-16,1471305600,3.085,3.085,3.085,3.085,1,0,1,3.0
11,-83,NQG,NQGZ6,D1,2016-08-17,1471392000,3.075,3.105,3.075,3.105,2,0,2,3.0
12,-103,NQG,NQGF7,D1,2016-08-18,1471478400,3.2,3.25,3.2,3.25,2,0,5,4.0
13,-102,NQG,NQGF7,D1,2016-08-19,1471564800,3.165,3.165,3.165,3.165,1,0,4,4.0
14,-80,NQG,NQGZ6,D1,2016-08-22,1471824000,3.075,3.075,3.04,3.04,3,0,12,7.0
15,-79,NQG,NQGZ6,D1,2016-08-23,1471910400,3.085,3.1,3.07,3.095,4,0,8,8.0
16,-78,NQG,NQGZ6,D1,2016-08-24,1471996800,3.12,3.17,3.12,3.17,16,0,19,13.0
17,-98,NQG,NQGF7,D1,2016-08-25,1472083200,3.315,3.33,3.31,3.33,6,0,18,17.0
18,-76,NQG,NQGZ6,D1,2016-08-26,1472169600,3.195,3.235,3.195,3.235,4,0,6,15.0
19,-75,NQG,NQGZ6,D1,2016-08-29,1472428800,3.22,3.22,3.22,3.22,2,0,11,12.0
20,-95,NQG,NQGF7,D1,2016-08-30,1472515200,3.345,3.345,3.26,3.29,14,0,38,14.0
21,-94,NQG,NQGF7,D1,2016-08-31,1472601600,3.285,3.325,3.285,3.325,5,0,14,18.0
22,-93,NQG,NQGF7,D1,2016-09-01,1472688000,3.31,3.315,3.24,3.24,5,0,47,33.0
23,-92,NQG,NQGF7,D1,2016-09-02,1472774400,3.255,3.255,3.255,3.255,1,0,8,23.0
24,-91,NQG,NQGF7,D1,2016-09-04,1472947200,3.195,3.205,3.19,3.205,12,0,6,20.0
25,-69,NQG,NQGZ6,D1,2016-09-05,1473033600,3.085,3.085,3.08,3.08,2,0,4,7.0
26,-68,NQG,NQGZ6,D1,2016-09-06,1473120000,3.075,3.075,3.05,3.05,15,0,6,6.0
27,-67,NQG,NQGZ6,D1,2016-09-07,1473206400,3.07,3.08,3.045,3.055,7,0,18,9.0
28,-66,NQG,NQGZ6,D1,2016-09-08,1473292800,3.07,3.155,3.07,3.135,30,0,37,20.0
29,-65,NQG,NQGZ6,D1,2016-09-09,1473379200,3.145,3.15,3.115,3.115,7,0,8,21.0
30,-64,NQG,NQGZ6,D1,2016-09-12,1473638400,3.18,3.18,3.155,3.175,7,0,17,21.0
31,-63,NQG,NQGZ6,D1,2016-09-13,1473724800,3.185,3.195,3.165,3.175,10,0,16,14.0
32,-62,NQG,NQGZ6,D1,2016-09-14,1473811200,3.21,3.24,3.15,3.18,15,0,80,38.0
33,-61,NQG,NQGZ6,D1,2016-09-15,1473897600,3.195,3.195,3.145,3.185,7,0,13,36.0
34,-60,NQG,NQGZ6,D1,2016-09-16,1473984000,3.19,3.22,3.15,3.22,15,0,24,39.0
35,-59,NQG,NQGZ6,D1,2016-09-18,1474156800,3.215,3.215,3.215,3.215,1,0,1,13.0
34,-81,NQG,NQGF7,D1,2016-09-19,1474243200,3.3,3.3,3.3,3.3,1,0,1,17.0
35,-80,NQG,NQGF7,D1,2016-09-20,1474329600,3.36,3.36,3.36,3.36,1,0,4,17.0
38,-56,NQG,NQGZ6,D1,2016-09-21,1474416000,3.32,3.33,3.285,3.32,31,0,85,36.0
39,-55,NQG,NQGZ6,D1,2016-09-22,1474502400,3.35,3.355,3.265,3.265,50,0,33,44.0
40,-54,NQG,NQGZ6,D1,2016-09-23,1474588800,3.27,3.29,3.215,3.225,19,0,31,50.0
41,-53,NQG,NQGZ6,D1,2016-09-25,1474761600,3.24,3.24,3.24,3.24,1,0,1,22.0
42,-52,NQG,NQGZ6,D1,2016-09-26,1474848000,3.23,3.265,3.23,3.26,16,0,17,16.0
43,-51,NQG,NQGZ6,D1,2016-09-27,1474934400,3.255,3.27,3.22,3.23,55,0,25,14.0
44,-50,NQG,NQGZ6,D1,2016-09-28,1475020800,3.235,3.235,3.15,3.215,83,0,86,43.0
45,-49,NQG,NQGZ6,D1,2016-09-29,1475107200,3.21,3.235,3.15,3.165,181,0,49,53.0
46,-48,NQG,NQGZ6,D1,2016-09-30,1475193600,3.155,3.18,3.125,3.14,63,0,69,68.0
47,-47,NQG,NQGZ6,D1,2016-10-02,1475366400,3.125,3.125,3.11,3.11,12,0,5,41.0
48,-46,NQG,NQGZ6,D1,2016-10-03,1475452800,3.13,3.17,3.115,3.155,52,0,109,61.0
49,-45,NQG,NQGZ6,D1,2016-10-04,1475539200,3.14,3.2,3.13,3.195,82,0,130,81.0
