a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-2360,SR1,SR1Z24,M30,2024-09-30 09:00:00,1727686800,95.64,95.64,95.635,95.635,5,0,1351,1351.0
2,-2359,SR1,SR1Z24,M30,2024-09-30 09:30:00,1727688600,95.635,95.635,95.635,95.635,1,0,52,702.0
3,-2358,SR1,SR1Z24,M30,2024-09-30 10:00:00,1727690400,95.635,95.635,95.63,95.63,5,0,307,570.0
4,-2357,SR1,SR1Z24,M30,2024-09-30 10:30:00,1727692200,95.63,95.635,95.63,95.635,3,0,231,485.0
5,-2356,SR1,SR1Z24,M30,2024-09-30 11:00:00,1727694000,95.64,95.645,95.64,95.645,6,0,244,437.0
6,-2355,SR1,SR1Z24,M30,2024-09-30 11:30:00,1727695800,95.645,95.645,95.64,95.645,12,0,629,469.0
7,-2354,SR1,SR1Z24,M30,2024-09-30 12:00:00,1727697600,95.645,95.645,95.635,95.635,8,0,1380,599.0
8,-2353,SR1,SR1Z24,M30,2024-09-30 12:30:00,1727699400,95.635,95.635,95.63,95.635,110,0,1079,659.0
9,-2352,SR1,SR1Z24,M30,2024-09-30 13:00:00,1727701200,95.635,95.64,95.635,95.635,163,0,1242,724.0
10,-2351,SR1,SR1Z24,M30,2024-09-30 13:30:00,1727703000,95.64,95.64,95.635,95.64,8,0,420,694.0
11,-2350,SR1,SR1Z24,M30,2024-09-30 14:00:00,1727704800,95.635,95.64,95.635,95.64,2,0,6,631.0
12,-2349,SR1,SR1Z24,M30,2024-09-30 14:30:00,1727706600,95.635,95.635,95.63,95.63,3,0,453,616.0
13,-2348,SR1,SR1Z24,M30,2024-09-30 15:00:00,1727708400,95.635,95.635,95.63,95.63,11,0,2538,764.0
14,-2347,SR1,SR1Z24,M30,2024-09-30 15:30:00,1727710200,95.63,95.63,95.625,95.63,54,0,895,773.0
15,-2346,SR1,SR1Z24,M30,2024-09-30 16:00:00,1727712000,95.63,95.635,95.625,95.63,202,0,397,748.0
16,-3277,SR1,SR1F25,M30,2024-09-30 16:30:00,1727713800,95.87,95.885,95.87,95.88,18,0,1426,777.0
17,-3276,SR1,SR1F25,M30,2024-09-30 17:00:00,1727715600,95.88,95.885,95.88,95.88,6,0,122,739.0
18,-3275,SR1,SR1F25,M30,2024-09-30 17:30:00,1727717400,95.88,95.89,95.87,95.875,44,0,1229,766.0
19,-3274,SR1,SR1F25,M30,2024-09-30 18:00:00,1727719200,95.87,95.87,95.825,95.84,166,0,3302,900.0
20,-3273,SR1,SR1F25,M30,2024-09-30 18:30:00,1727721000,95.84,95.845,95.835,95.84,39,0,788,894.0
21,-3272,SR1,SR1F25,M30,2024-09-30 19:00:00,1727722800,95.84,95.84,95.835,95.84,14,0,275,864.0
