a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-947,SR3,SR3Z24,H3,2024-09-30 09:00:00,1727686800,96.005,96.015,95.985,96.015,1727,0,59302,59302.0
2,-946,SR3,SR3Z24,H3,2024-09-30 12:00:00,1727697600,96.01,96.015,95.995,96.0,4208,0,92041,75672.0
3,-945,SR3,SR3Z24,H3,2024-09-30 15:00:00,1727708400,96.0,96.02,95.985,96.0,4795,0,121475,90939.0
4,-944,SR3,SR3Z24,H3,2024-09-30 18:00:00,1727719200,96.0,96.005,95.94,95.955,7766,0,211339,121039.0
5,-943,SR3,SR3Z24,H3,2024-09-30 21:00:00,1727730000,95.955,95.96,95.955,95.96,72,0,1511,97134.0
6,-942,SR3,SR3Z24,H3,2024-10-01 00:00:00,1727740800,95.96,95.975,95.96,95.97,139,0,12009,82946.0
7,-941,SR3,SR3Z24,H3,2024-10-01 03:00:00,1727751600,95.965,95.965,95.96,95.96,78,0,2023,71386.0
8,-940,SR3,SR3Z24,H3,2024-10-01 06:00:00,1727762400,95.965,95.975,95.96,95.975,578,0,27156,65857.0
9,-939,SR3,SR3Z24,H3,2024-10-01 09:00:00,1727773200,95.975,95.985,95.97,95.98,1185,0,30328,61909.0
10,-938,SR3,SR3Z24,H3,2024-10-01 12:00:00,1727784000,95.975,96.005,95.955,95.99,7460,0,193241,75042.0
11,-937,SR3,SR3Z24,H3,2024-10-01 15:00:00,1727794800,95.99,95.995,95.965,95.975,3109,0,108346,78070.0
12,-936,SR3,SR3Z24,H3,2024-10-01 18:00:00,1727805600,95.975,95.98,95.965,95.975,3439,0,30396,74097.0
13,-935,SR3,SR3Z24,H3,2024-10-01 21:00:00,1727816400,95.98,95.98,95.975,95.975,115,0,1565,68518.0
14,-934,SR3,SR3Z24,H3,2024-10-02 00:00:00,1727827200,95.975,95.98,95.97,95.975,93,0,4130,63919.0
15,-933,SR3,SR3Z24,H3,2024-10-02 03:00:00,1727838000,95.97,95.985,95.965,95.98,103,0,9119,60265.0
16,-932,SR3,SR3Z24,H3,2024-10-02 06:00:00,1727848800,95.98,95.98,95.965,95.975,429,0,29005,58312.0
17,-931,SR3,SR3Z24,H3,2024-10-02 09:00:00,1727859600,95.97,95.985,95.97,95.98,1274,0,18169,55950.0
18,-930,SR3,SR3Z24,H3,2024-10-02 12:00:00,1727870400,95.98,95.985,95.95,95.96,5208,0,111952,59062.0
19,-929,SR3,SR3Z24,H3,2024-10-02 15:00:00,1727881200,95.965,95.98,95.955,95.965,2091,0,81424,60238.0
20,-928,SR3,SR3Z24,H3,2024-10-02 18:00:00,1727892000,95.97,95.97,95.955,95.96,1725,0,22440,58349.0
21,-927,SR3,SR3Z24,H3,2024-10-02 21:00:00,1727902800,95.96,95.965,95.96,95.96,25,0,6428,55876.0
22,-926,SR3,SR3Z24,H3,2024-10-03 00:00:00,1727913600,95.96,95.96,95.955,95.96,31,0,6385,53627.0
23,-925,SR3,SR3Z24,H3,2024-10-03 03:00:00,1727924400,95.96,95.96,95.95,95.96,234,0,5732,51544.0
24,-924,SR3,SR3Z24,H3,2024-10-03 06:00:00,1727935200,95.955,95.96,95.95,95.955,228,0,19379,50204.0
25,-923,SR3,SR3Z24,H3,2024-10-03 09:00:00,1727946000,95.955,95.965,95.95,95.96,870,0,24103,48737.0
26,-922,SR3,SR3Z24,H3,2024-10-03 12:00:00,1727956800,95.96,95.965,95.91,95.94,7215,0,196342,53083.0
27,-921,SR3,SR3Z24,H3,2024-10-03 15:00:00,1727967600,95.945,95.95,95.93,95.935,2200,0,69963,50937.0
28,-920,SR3,SR3Z24,H3,2024-10-03 18:00:00,1727978400,95.93,95.935,95.92,95.92,3044,0,55255,44433.0
29,-919,SR3,SR3Z24,H3,2024-10-03 21:00:00,1727989200,95.93,95.93,95.925,95.925,170,0,4667,44565.0
30,-918,SR3,SR3Z24,H3,2024-10-04 00:00:00,1728000000,95.925,95.93,95.92,95.92,239,0,6972,44355.0
31,-917,SR3,SR3Z24,H3,2024-10-04 03:00:00,1728010800,95.925,95.925,95.915,95.92,38,0,4145,44443.0
32,-916,SR3,SR3Z24,H3,2024-10-04 06:00:00,1728021600,95.92,95.93,95.915,95.92,739,0,23394,44287.0
33,-915,SR3,SR3Z24,H3,2024-10-04 09:00:00,1728032400,95.915,95.92,95.905,95.91,2142,0,69297,45910.0
34,-914,SR3,SR3Z24,H3,2024-10-04 12:00:00,1728043200,95.905,95.92,95.78,95.785,15180,0,490131,58281.0
35,-913,SR3,SR3Z24,H3,2024-10-04 15:00:00,1728054000,95.785,95.79,95.75,95.765,8027,0,239859,63760.0
36,-912,SR3,SR3Z24,H3,2024-10-04 18:00:00,1728064800,95.765,95.775,95.76,95.77,5215,0,75682,65647.0
37,-911,SR3,SR3Z24,H3,2024-10-06 21:00:00,1728248400,95.76,95.76,95.725,95.74,915,0,20090,66419.0
38,-910,SR3,SR3Z24,H3,2024-10-07 00:00:00,1728259200,95.74,95.76,95.735,95.76,569,0,13137,66795.0
39,-909,SR3,SR3Z24,H3,2024-10-07 03:00:00,1728270000,95.76,95.76,95.745,95.745,150,0,10253,66842.0
40,-908,SR3,SR3Z24,H3,2024-10-07 06:00:00,1728280800,95.745,95.75,95.72,95.72,1675,0,29870,66878.0
41,-907,SR3,SR3Z24,H3,2024-10-07 09:00:00,1728291600,95.72,95.72,95.68,95.685,3504,0,102708,70400.0
42,-906,SR3,SR3Z24,H3,2024-10-07 12:00:00,1728302400,95.685,95.715,95.665,95.675,9925,0,213389,74627.0
43,-905,SR3,SR3Z24,H3,2024-10-07 15:00:00,1728313200,95.68,95.71,95.675,95.7,5007,0,72380,74250.0
44,-904,SR3,SR3Z24,H3,2024-10-07 18:00:00,1728324000,95.705,95.71,95.69,95.7,3546,0,47647,75300.0
45,-903,SR3,SR3Z24,H3,2024-10-07 21:00:00,1728334800,95.7,95.715,95.695,95.715,231,0,6404,75299.0
46,-902,SR3,SR3Z24,H3,2024-10-08 00:00:00,1728345600,95.715,95.735,95.715,95.725,675,0,22632,75976.0
47,-901,SR3,SR3Z24,H3,2024-10-08 03:00:00,1728356400,95.73,95.73,95.72,95.725,415,0,11459,76215.0
48,-900,SR3,SR3Z24,H3,2024-10-08 06:00:00,1728367200,95.72,95.735,95.71,95.715,1375,0,37011,76950.0
49,-899,SR3,SR3Z24,H3,2024-10-08 09:00:00,1728378000,95.715,95.72,95.7,95.72,789,0,28685,77140.0
50,-898,SR3,SR3Z24,H3,2024-10-08 12:00:00,1728388800,95.72,95.72,95.695,95.71,8177,0,53972,71208.0
51,-897,SR3,SR3Z24,H3,2024-10-08 15:00:00,1728399600,95.715,95.73,95.71,95.72,7422,0,43374,70101.0
52,-896,SR3,SR3Z24,H3,2024-10-08 18:00:00,1728410400,95.725,95.725,95.705,95.715,5665,0,46475,69735.0
53,-895,SR3,SR3Z24,H3,2024-10-08 21:00:00,1728421200,95.71,95.715,95.71,95.71,69,0,2557,69647.0
54,-894,SR3,SR3Z24,H3,2024-10-09 00:00:00,1728432000,95.71,95.72,95.71,95.72,88,0,3941,69520.0
55,-893,SR3,SR3Z24,H3,2024-10-09 03:00:00,1728442800,95.72,95.72,95.71,95.715,32,0,3625,69499.0
56,-892,SR3,SR3Z24,H3,2024-10-09 06:00:00,1728453600,95.71,95.72,95.705,95.71,860,0,24690,69553.0
57,-891,SR3,SR3Z24,H3,2024-10-09 09:00:00,1728464400,95.71,95.72,95.71,95.71,897,0,23297,67636.0
58,-890,SR3,SR3Z24,H3,2024-10-09 12:00:00,1728475200,95.705,95.715,95.685,95.69,4808,0,83455,50691.0
59,-889,SR3,SR3Z24,H3,2024-10-09 15:00:00,1728486000,95.695,95.695,95.665,95.675,4312,0,85957,44279.0
60,-888,SR3,SR3Z24,H3,2024-10-09 18:00:00,1728496800,95.675,95.68,95.655,95.665,5364,0,91696,44946.0
61,-887,SR3,SR3Z24,H3,2024-10-09 21:00:00,1728507600,95.665,95.67,95.66,95.66,167,0,2637,44219.0
62,-886,SR3,SR3Z24,H3,2024-10-10 00:00:00,1728518400,95.66,95.67,95.66,95.67,37,0,4525,43860.0
63,-885,SR3,SR3Z24,H3,2024-10-10 03:00:00,1728529200,95.67,95.675,95.67,95.675,55,0,3095,43562.0
64,-884,SR3,SR3Z24,H3,2024-10-10 06:00:00,1728540000,95.675,95.68,95.645,95.655,1967,0,42854,44103.0
65,-883,SR3,SR3Z24,H3,2024-10-10 09:00:00,1728550800,95.655,95.655,95.63,95.64,2534,0,61903,42402.0
66,-882,SR3,SR3Z24,H3,2024-10-10 12:00:00,1728561600,95.64,95.715,95.57,95.675,15878,0,285709,45416.0
67,-881,SR3,SR3Z24,H3,2024-10-10 15:00:00,1728572400,95.675,95.705,95.64,95.66,6977,0,170859,49519.0
68,-880,SR3,SR3Z24,H3,2024-10-10 18:00:00,1728583200,95.655,95.69,95.655,95.675,4554,0,64474,50220.0
69,-879,SR3,SR3Z24,H3,2024-10-10 21:00:00,1728594000,95.68,95.68,95.67,95.67,79,0,3751,50110.0
70,-878,SR3,SR3Z24,H3,2024-10-11 00:00:00,1728604800,95.67,95.675,95.665,95.665,235,0,7839,49493.0
71,-877,SR3,SR3Z24,H3,2024-10-11 03:00:00,1728615600,95.67,95.67,95.66,95.665,88,0,7045,49309.0
72,-876,SR3,SR3Z24,H3,2024-10-11 06:00:00,1728626400,95.665,95.675,95.66,95.67,528,0,17718,48506.0
73,-875,SR3,SR3Z24,H3,2024-10-11 09:00:00,1728637200,95.67,95.675,95.66,95.665,382,0,24704,48340.0
74,-874,SR3,SR3Z24,H3,2024-10-11 12:00:00,1728648000,95.665,95.685,95.655,95.665,7627,0,141685,51994.0
75,-873,SR3,SR3Z24,H3,2024-10-11 15:00:00,1728658800,95.665,95.685,95.665,95.685,4517,0,35700,51675.0
76,-872,SR3,SR3Z24,H3,2024-10-11 18:00:00,1728669600,95.685,95.685,95.665,95.67,3658,0,37294,51292.0
77,-871,SR3,SR3Z24,H3,2024-10-13 21:00:00,1728853200,95.665,95.665,95.66,95.665,58,0,1051,51229.0
78,-870,SR3,SR3Z24,H3,2024-10-14 00:00:00,1728864000,95.665,95.665,95.66,95.665,17,0,1088,51110.0
79,-869,SR3,SR3Z24,H3,2024-10-14 03:00:00,1728874800,95.665,95.665,95.66,95.665,67,0,1472,51021.0
80,-868,SR3,SR3Z24,H3,2024-10-14 06:00:00,1728885600,95.67,95.67,95.65,95.655,246,0,7474,50303.0
81,-867,SR3,SR3Z24,H3,2024-10-14 09:00:00,1728896400,95.655,95.665,95.65,95.66,260,0,19399,50141.0
82,-866,SR3,SR3Z24,H3,2024-10-14 12:00:00,1728907200,95.66,95.66,95.645,95.65,1228,0,14554,47270.0
83,-865,SR3,SR3Z24,H3,2024-10-14 15:00:00,1728918000,95.65,95.65,95.645,95.645,399,0,3512,43835.0
84,-864,SR3,SR3Z24,H3,2024-10-14 18:00:00,1728928800,95.645,95.655,95.605,95.65,2494,0,53250,42233.0
85,-863,SR3,SR3Z24,H3,2024-10-14 21:00:00,1728939600,95.655,95.66,95.645,95.66,121,0,3503,42269.0
86,-862,SR3,SR3Z24,H3,2024-10-15 00:00:00,1728950400,95.655,95.665,95.655,95.66,43,0,3611,42231.0
87,-861,SR3,SR3Z24,H3,2024-10-15 03:00:00,1728961200,95.66,95.66,95.65,95.65,72,0,4274,42280.0
88,-860,SR3,SR3Z24,H3,2024-10-15 06:00:00,1728972000,95.655,95.665,95.65,95.66,749,0,17884,41240.0
89,-859,SR3,SR3Z24,H3,2024-10-15 09:00:00,1728982800,95.66,95.665,95.65,95.65,1549,0,22029,39578.0
90,-858,SR3,SR3Z24,H3,2024-10-15 12:00:00,1728993600,95.65,95.675,95.65,95.66,5366,0,92443,31526.0
91,-857,SR3,SR3Z24,H3,2024-10-15 15:00:00,1729004400,95.66,95.665,95.655,95.66,4472,0,43719,26228.0
92,-856,SR3,SR3Z24,H3,2024-10-15 18:00:00,1729015200,95.66,95.68,95.66,95.665,4246,0,41692,25279.0
93,-855,SR3,SR3Z24,H3,2024-10-15 21:00:00,1729026000,95.67,95.67,95.665,95.67,273,0,3230,25257.0
94,-854,SR3,SR3Z24,H3,2024-10-16 00:00:00,1729036800,95.67,95.67,95.66,95.66,123,0,3726,25086.0
95,-853,SR3,SR3Z24,H3,2024-10-16 03:00:00,1729047600,95.66,95.665,95.655,95.665,124,0,4467,24978.0
