a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-106,TYA,TYAZ6,D1,2016-08-18,1471478400,131.296875,131.5,131.09375,131.328125,1375204,0,3612,3612.0
2,-105,TYA,TYAZ6,D1,2016-08-19,1471564800,131.375,131.375,130.828125,130.9375,1406521,0,6120,4866.0
3,-104,TYA,TYAZ6,D1,2016-08-21,1471737600,130.890625,130.90625,130.71875,130.75,187522,0,133,3288.0
4,-103,TYA,TYAZ6,D1,2016-08-22,1471824000,130.796875,131.3125,130.671875,131.203125,2781701,0,10571,5608.0
5,-102,TYA,TYAZ6,D1,2016-08-23,1471910400,131.171875,131.4375,131.0625,131.234375,4219295,0,27344,12683.0
6,-101,TYA,TYAZ6,D1,2016-08-24,1471996800,131.21875,131.390625,131.140625,131.203125,7000704,0,81343,39753.0
7,-100,TYA,TYAZ6,D1,2016-08-25,1472083200,131.203125,131.328125,131.03125,131.0625,11907098,0,123960,77549.0
8,-99,TYA,TYAZ6,D1,2016-08-26,1472169600,131.09375,131.453125,130.390625,130.421875,24969648,0,382691,195998.0
9,-98,TYA,TYAZ6,D1,2016-08-28,1472342400,130.375,130.484375,130.328125,130.484375,1281342,0,4008,170220.0
10,-97,TYA,TYAZ6,D1,2016-08-29,1472428800,130.5,131.03125,130.46875,130.921875,23157468,0,324363,237021.0
11,-96,TYA,TYAZ6,D1,2016-08-30,1472515200,130.90625,131.0625,130.734375,130.953125,27063658,0,510870,279747.0
12,-95,TYA,TYAZ6,D1,2016-08-31,1472601600,130.9375,131.125,130.75,130.765625,32438723,0,1168916,668050.0
1,-144,TYA,TYAH7,D1,2016-09-01,1472688000,130.140625,130.140625,130.140625,130.140625,1,0,13828096,13828096.0
14,-93,TYA,TYAZ6,D1,2016-09-02,1472774400,130.9375,131.375,130.5,130.734375,34532348,0,1313424,1224882.0
15,-92,TYA,TYAZ6,D1,2016-09-04,1472947200,130.734375,130.734375,130.65625,130.6875,843837,0,4938,836889.0
16,-91,TYA,TYAZ6,D1,2016-09-05,1473033600,130.671875,130.78125,130.609375,130.671875,12688338,0,98852,472405.0
17,-90,TYA,TYAZ6,D1,2016-09-06,1473120000,130.6875,131.4375,130.640625,131.359375,33594979,0,1023657,375816.0
18,-89,TYA,TYAZ6,D1,2016-09-07,1473206400,131.359375,131.5625,131.265625,131.359375,31251217,0,816469,646326.0
19,-88,TYA,TYAZ6,D1,2016-09-08,1473292800,131.359375,131.4375,130.671875,130.796875,36282413,0,1196231,1012119.0
2,-143,TYA,TYAH7,D1,2016-09-09,1473379200,129.546875,129.546875,129.546875,129.546875,1,0,32763,6930430.0
21,-86,TYA,TYAZ6,D1,2016-09-11,1473552000,130.3125,130.421875,130.265625,130.40625,2031364,0,21030,808124.0
22,-85,TYA,TYAZ6,D1,2016-09-12,1473638400,130.40625,130.609375,130.171875,130.578125,37938769,0,1133380,787173.0
23,-84,TYA,TYAZ6,D1,2016-09-13,1473724800,130.578125,130.796875,129.8125,130.09375,41001290,0,1390704,848371.0
24,-83,TYA,TYAZ6,D1,2016-09-14,1473811200,130.078125,130.484375,129.9375,130.359375,35095036,0,1001096,1175060.0
25,-82,TYA,TYAZ6,D1,2016-09-15,1473897600,130.375,130.84375,130.109375,130.578125,39157473,0,1349630,1247143.0
26,-81,TYA,TYAZ6,D1,2016-09-16,1473984000,130.5625,130.828125,130.375,130.484375,33282332,0,887423,1079383.0
27,-80,TYA,TYAZ6,D1,2016-09-18,1474156800,130.5,130.546875,130.40625,130.453125,1968851,0,11738,749597.0
28,-79,TYA,TYAZ6,D1,2016-09-19,1474243200,130.453125,130.609375,130.25,130.328125,28657481,0,543037,480733.0
29,-78,TYA,TYAZ6,D1,2016-09-20,1474329600,130.328125,130.6875,130.296875,130.53125,31407453,0,715092,423289.0
3,-142,TYA,TYAH7,D1,2016-09-21,1474416000,129.96875,129.96875,129.96875,129.96875,1,0,4,4620288.0
31,-76,TYA,TYAZ6,D1,2016-09-22,1474502400,130.734375,131.09375,130.65625,130.90625,33626245,0,1012965,932688.0
32,-75,TYA,TYAZ6,D1,2016-09-23,1474588800,130.90625,131.078125,130.859375,131.0,25344883,0,652293,911755.0
33,-74,TYA,TYAZ6,D1,2016-09-25,1474761600,131.0625,131.078125,131.0,131.046875,500072,0,7551,557603.0
34,-73,TYA,TYAZ6,D1,2016-09-26,1474848000,131.046875,131.453125,131.0,131.34375,28626157,0,754681,471508.0
35,-72,TYA,TYAZ6,D1,2016-09-27,1474934400,131.359375,131.671875,131.140625,131.5,34282528,0,1053197,605143.0
36,-71,TYA,TYAZ6,D1,2016-09-28,1475020800,131.484375,131.625,131.25,131.265625,34688753,0,1017298,941725.0
37,-70,TYA,TYAZ6,D1,2016-09-29,1475107200,131.265625,131.671875,131.171875,131.546875,32063741,0,1059144,1043213.0
38,-69,TYA,TYAZ6,D1,2016-09-30,1475193600,131.5625,131.734375,131.0625,131.21875,35251217,0,1603854,1226765.0
39,-68,TYA,TYAZ6,D1,2016-10-02,1475366400,131.1875,131.21875,131.125,131.171875,2312606,0,7762,890253.0
40,-67,TYA,TYAZ6,D1,2016-10-03,1475452800,131.171875,131.234375,130.859375,130.875,36407533,0,760490,790702.0
41,-66,TYA,TYAZ6,D1,2016-10-04,1475539200,130.890625,131.03125,130.4375,130.515625,34595014,0,1351444,706565.0
42,-65,TYA,TYAZ6,D1,2016-10-05,1475625600,130.5,130.609375,130.09375,130.296875,33438767,0,1156562,1089499.0
43,-64,TYA,TYAZ6,D1,2016-10-06,1475712000,130.28125,130.390625,129.9375,130.0625,29126196,0,1247771,1251926.0
44,-63,TYA,TYAZ6,D1,2016-10-07,1475798400,130.0625,130.21875,129.71875,130.1875,36844899,0,1387800,1264044.0
45,-62,TYA,TYAZ6,D1,2016-10-09,1475971200,130.078125,130.171875,130.0625,130.15625,1781337,0,12362,882644.0
46,-61,TYA,TYAZ6,D1,2016-10-10,1476057600,130.15625,130.171875,129.65625,129.78125,25813723,0,286114,562092.0
47,-60,TYA,TYAZ6,D1,2016-10-11,1476144000,129.78125,130.03125,129.6875,129.84375,35220012,0,1070241,456239.0
48,-59,TYA,TYAZ6,D1,2016-10-12,1476230400,129.859375,129.96875,129.53125,129.921875,36688764,0,1121199,825851.0
49,-58,TYA,TYAZ6,D1,2016-10-13,1476316800,129.921875,130.265625,129.90625,130.109375,38345030,0,1085152,1092197.0
50,-57,TYA,TYAZ6,D1,2016-10-14,1476403200,130.125,130.21875,129.765625,129.828125,39688747,0,1162795,1123049.0
51,-56,TYA,TYAZ6,D1,2016-10-16,1476576000,129.78125,129.9375,129.765625,129.90625,2187606,0,12475,753474.0
52,-55,TYA,TYAZ6,D1,2016-10-17,1476662400,129.890625,130.203125,129.703125,130.078125,32845003,0,799032,658101.0
53,-54,TYA,TYAZ6,D1,2016-10-18,1476748800,130.09375,130.390625,129.984375,130.328125,32407488,0,1090860,634122.0
54,-53,TYA,TYAZ6,D1,2016-10-19,1476835200,130.328125,130.453125,130.125,130.28125,29938757,0,935195,941696.0
55,-52,TYA,TYAZ6,D1,2016-10-20,1476921600,130.28125,130.484375,130.125,130.1875,34594961,0,1024110,1016722.0
56,-51,TYA,TYAZ6,D1,2016-10-21,1477008000,130.1875,130.40625,130.15625,130.359375,25876099,0,687604,882303.0
57,-50,TYA,TYAZ6,D1,2016-10-23,1477180800,130.34375,130.359375,130.296875,130.34375,750082,0,9330,573681.0
58,-49,TYA,TYAZ6,D1,2016-10-24,1477267200,130.34375,130.484375,130.078125,130.140625,26626205,0,770768,489234.0
59,-48,TYA,TYAZ6,D1,2016-10-25,1477353600,130.15625,130.3125,129.9375,130.203125,28751183,0,968476,582858.0
60,-47,TYA,TYAZ6,D1,2016-10-26,1477440000,130.203125,130.296875,129.796875,129.84375,33032481,0,1013108,917451.0
61,-46,TYA,TYAZ6,D1,2016-10-27,1477526400,129.859375,129.90625,129.296875,129.4375,37532510,0,1526428,1169337.0
62,-45,TYA,TYAZ6,D1,2016-10-28,1477612800,129.4375,129.671875,129.203125,129.546875,36251185,0,1333343,1290960.0
63,-44,TYA,TYAZ6,D1,2016-10-30,1477785600,129.640625,129.65625,129.578125,129.59375,1468848,0,15670,958480.0
64,-43,TYA,TYAZ6,D1,2016-10-31,1477872000,129.609375,129.71875,129.484375,129.609375,30126213,0,1036443,795152.0
65,-42,TYA,TYAZ6,D1,2016-11-01,1477958400,129.609375,129.90625,129.265625,129.75,32751203,0,1419727,823947.0
66,-41,TYA,TYAZ6,D1,2016-11-02,1478044800,129.75,130.265625,129.734375,130.0,39845029,0,1405367,1287179.0
67,-40,TYA,TYAZ6,D1,2016-11-03,1478131200,130.0,130.3125,129.796875,130.078125,34501275,0,1036470,1287188.0
68,-39,TYA,TYAZ6,D1,2016-11-04,1478217600,130.078125,130.375,129.9375,130.328125,30782425,0,1265125,1235654.0
69,-38,TYA,TYAZ6,D1,2016-11-06,1478390400,129.84375,129.9375,129.765625,129.8125,2781310,0,49586,783727.0
70,-37,TYA,TYAZ6,D1,2016-11-07,1478476800,129.8125,130.0,129.796875,129.890625,27282494,0,695553,670088.0
71,-36,TYA,TYAZ6,D1,2016-11-08,1478563200,129.890625,130.0,129.34375,129.46875,30282455,0,976609,573916.0
72,-35,TYA,TYAZ6,D1,2016-11-09,1478649600,129.5,131.0,127.828125,128.125,117001378,0,4000103,1890755.0
73,-34,TYA,TYAZ6,D1,2016-11-10,1478736000,128.109375,128.5,127.296875,127.40625,69063866,0,2845019,2607244.0
