a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-30,XBT,XBTF8,D1,2017-12-11,1512950400,18150.0,18680.0,17400.0,17790.0,732,1000,900,900.0
2,-29,XBT,XBTF8,D1,2017-12-12,1513036800,17860.0,18760.0,17450.0,17960.0,1274,1000,1419,1160.0
3,-28,XBT,XBTF8,D1,2017-12-13,1513123200,18040.0,18290.0,16160.0,16890.0,1363,0,1575,1298.0
4,-27,XBT,XBTF8,D1,2017-12-14,1513209600,16810.0,17530.0,16500.0,16840.0,854,1000,1030,1341.0
5,-26,XBT,XBTF8,D1,2017-12-15,1513296000,16900.0,18600.0,16900.0,18090.0,1179,1000,1492,1366.0
6,-25,XBT,XBTF8,D1,2017-12-17,1513468800,20000.0,20500.0,19320.0,19550.0,541,1000,663,1062.0
7,-24,XBT,XBTF8,D1,2017-12-18,1513555200,19560.0,19730.0,18170.0,19350.0,2590,1000,3334,1830.0
8,-23,XBT,XBTF8,D1,2017-12-19,1513641600,19340.0,19650.0,17250.0,17970.0,2021,1000,2825,2274.0
9,-22,XBT,XBTF8,D1,2017-12-20,1513728000,17940.0,18200.0,15660.0,16250.0,3478,1000,4734,3631.0
10,-21,XBT,XBTF8,D1,2017-12-21,1513814400,16260.0,17200.0,15080.0,15720.0,2708,1000,3893,3817.0
11,-20,XBT,XBTF8,D1,2017-12-22,1513900800,15770.0,15840.0,11310.0,13950.0,8930,0,12361,6996.0
12,-19,XBT,XBTF8,D1,2017-12-25,1514160000,13950.0,14170.0,13790.0,13790.0,89,0,134,5463.0
13,-18,XBT,XBTF8,D1,2017-12-26,1514246400,13820.0,16070.0,13790.0,15810.0,1504,1000,2207,4901.0
14,-17,XBT,XBTF8,D1,2017-12-27,1514332800,16380.0,16570.0,14460.0,15280.0,1771,1000,2455,1599.0
15,-16,XBT,XBTF8,D1,2017-12-28,1514419200,15250.0,15260.0,13350.0,14250.0,2583,0,3337,2666.0
16,-15,XBT,XBTF8,D1,2017-12-29,1514505600,14300.0,15010.0,13900.0,14570.0,2845,1000,4590,3461.0
17,-14,XBT,XBTF8,D1,2018-01-01,1514764800,14570.0,14570.0,14570.0,14570.0,4,0,4,2644.0
