a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
1,-115,YM,YMZ6,D1,2016-08-02,1470096000,18251.0,18258.0,18106.0,18149.0,83,0,64,64.0
2,-114,YM,YMZ6,D1,2016-08-03,1470182400,18149.0,18186.0,18118.0,18164.0,25,0,25,44.0
3,-113,YM,YMZ6,D1,2016-08-04,1470268800,18177.0,18241.0,18165.0,18176.0,51,0,63,51.0
4,-112,YM,YMZ6,D1,2016-08-05,1470355200,18195.0,18373.0,18195.0,18360.0,115,0,100,63.0
5,-111,YM,YMZ6,D1,2016-08-07,1470528000,18380.0,18380.0,18380.0,18380.0,1,0,1,55.0
6,-110,YM,YMZ6,D1,2016-08-08,1470614400,18378.0,18416.0,18356.0,18360.0,54,0,66,56.0
7,-109,YM,YMZ6,D1,2016-08-09,1470700800,18363.0,18433.0,18347.0,18367.0,27,0,40,36.0
8,-108,YM,YMZ6,D1,2016-08-10,1470787200,18363.0,18418.0,18336.0,18338.0,43,0,49,52.0
9,-107,YM,YMZ6,D1,2016-08-11,1470873600,18362.0,18500.0,18362.0,18480.0,122,0,129,73.0
6,-173,YM,YMH7,D1,2016-08-12,1470960000,18359.0,18359.0,18359.0,18359.0,1,0,32763,10931.0
7,-172,YM,YMH7,D1,2016-08-15,1471219200,18450.0,18450.0,18449.0,18449.0,2,0,10,10931.0
8,-171,YM,YMH7,D1,2016-08-16,1471305600,18380.0,18381.0,18380.0,18380.0,3,0,22,10932.0
13,-103,YM,YMZ6,D1,2016-08-17,1471392000,18465.0,18465.0,18354.0,18444.0,124,0,115,96.0
14,-102,YM,YMZ6,D1,2016-08-18,1471478400,18463.0,18487.0,18411.0,18475.0,58,0,49,80.0
15,-101,YM,YMZ6,D1,2016-08-19,1471564800,18475.0,18480.0,18385.0,18441.0,142,0,198,121.0
16,-100,YM,YMZ6,D1,2016-08-21,1471737600,18450.0,18455.0,18450.0,18455.0,3,0,3,83.0
17,-99,YM,YMZ6,D1,2016-08-22,1471824000,18432.0,18470.0,18357.0,18429.0,156,0,93,98.0
18,-98,YM,YMZ6,D1,2016-08-23,1471910400,18420.0,18520.0,18420.0,18438.0,95,0,117,71.0
19,-97,YM,YMZ6,D1,2016-08-24,1471996800,18450.0,18454.0,18343.0,18386.0,68,0,124,111.0
20,-96,YM,YMZ6,D1,2016-08-25,1472083200,18371.0,18392.0,18326.0,18361.0,128,0,131,124.0
21,-95,YM,YMZ6,D1,2016-08-26,1472169600,18365.0,18460.0,18226.0,18292.0,594,0,371,209.0
22,-94,YM,YMZ6,D1,2016-08-28,1472342400,18275.0,18288.0,18266.0,18288.0,38,0,22,175.0
14,-165,YM,YMH7,D1,2016-08-29,1472428800,18209.0,18340.0,18209.0,18335.0,4,0,18181,6074.0
24,-92,YM,YMZ6,D1,2016-08-30,1472515200,18407.0,18427.0,18318.0,18353.0,110,0,115,127.0
15,-164,YM,YMH7,D1,2016-08-31,1472601600,18273.0,18273.0,18180.0,18236.0,3,0,3,6062.0
16,-163,YM,YMH7,D1,2016-09-01,1472688000,18270.0,18270.0,18218.0,18260.0,5,0,5,6063.0
27,-89,YM,YMZ6,D1,2016-09-02,1472774400,18307.0,18449.0,18297.0,18393.0,808,0,566,422.0
28,-88,YM,YMZ6,D1,2016-09-05,1473033600,18419.0,18429.0,18381.0,18399.0,111,0,259,423.0
29,-87,YM,YMZ6,D1,2016-09-06,1473120000,18399.0,18456.0,18351.0,18434.0,829,0,963,596.0
30,-86,YM,YMZ6,D1,2016-09-07,1473206400,18435.0,18450.0,18387.0,18433.0,2215,0,3780,1667.0
31,-85,YM,YMZ6,D1,2016-09-08,1473292800,18436.0,18468.0,18350.0,18380.0,4465,0,10871,5205.0
32,-84,YM,YMZ6,D1,2016-09-09,1473379200,18379.0,18382.0,17943.0,17953.0,10789,0,184504,66385.0
33,-83,YM,YMZ6,D1,2016-09-11,1473552000,17967.0,17967.0,17903.0,17941.0,902,0,6236,67204.0
34,-82,YM,YMZ6,D1,2016-09-12,1473638400,17938.0,18278.0,17822.0,18222.0,15086,0,275875,155538.0
35,-81,YM,YMZ6,D1,2016-09-13,1473724800,18223.0,18225.0,17948.0,18012.0,15126,0,257796,179969.0
36,-80,YM,YMZ6,D1,2016-09-14,1473811200,18013.0,18085.0,17906.0,17960.0,13057,0,192711,242127.0
37,-79,YM,YMZ6,D1,2016-09-15,1473897600,17956.0,18168.0,17882.0,18085.0,12417,0,210203,220237.0
38,-78,YM,YMZ6,D1,2016-09-16,1473984000,18078.0,18105.0,17982.0,18059.0,10897,0,146431,183115.0
39,-77,YM,YMZ6,D1,2016-09-18,1474156800,18048.0,18122.0,18036.0,18100.0,656,0,2685,119773.0
40,-76,YM,YMZ6,D1,2016-09-19,1474243200,18101.0,18171.0,18004.0,18039.0,9290,0,121097,90071.0
41,-75,YM,YMZ6,D1,2016-09-20,1474329600,18040.0,18145.0,18031.0,18050.0,9840,0,112211,78664.0
42,-74,YM,YMZ6,D1,2016-09-21,1474416000,18053.0,18225.0,18011.0,18206.0,12345,0,188797,140702.0
43,-73,YM,YMZ6,D1,2016-09-22,1474502400,18207.0,18366.0,18193.0,18293.0,8234,0,128291,143100.0
44,-72,YM,YMZ6,D1,2016-09-23,1474588800,18295.0,18309.0,18165.0,18184.0,7777,0,103853,140314.0
45,-71,YM,YMZ6,D1,2016-09-25,1474761600,18168.0,18203.0,18166.0,18195.0,321,0,1166,77770.0
46,-70,YM,YMZ6,D1,2016-09-26,1474848000,18195.0,18203.0,17993.0,18010.0,9695,0,126878,77299.0
47,-69,YM,YMZ6,D1,2016-09-27,1474934400,18006.0,18152.0,17959.0,18132.0,11848,0,153663,93902.0
48,-68,YM,YMZ6,D1,2016-09-28,1475020800,18131.0,18260.0,18090.0,18249.0,10808,0,148314,142952.0
49,-67,YM,YMZ6,D1,2016-09-29,1475107200,18250.0,18279.0,17999.0,18070.0,13012,0,195078,165685.0
50,-66,YM,YMZ6,D1,2016-09-30,1475193600,18064.0,18283.0,17989.0,18193.0,12294,0,163914,169102.0
51,-65,YM,YMZ6,D1,2016-10-02,1475366400,18212.0,18237.0,18203.0,18234.0,516,0,2539,120510.0
52,-64,YM,YMZ6,D1,2016-10-03,1475452800,18228.0,18253.0,18108.0,18170.0,9790,0,119137,95197.0
53,-63,YM,YMZ6,D1,2016-10-04,1475539200,18167.0,18229.0,18022.0,18076.0,12303,0,207951,109876.0
54,-62,YM,YMZ6,D1,2016-10-05,1475625600,18068.0,18234.0,18054.0,18200.0,9471,0,136956,154681.0
55,-61,YM,YMZ6,D1,2016-10-06,1475712000,18200.0,18223.0,18076.0,18164.0,9077,0,131219,158709.0
56,-60,YM,YMZ6,D1,2016-10-07,1475798400,18166.0,18251.0,18061.0,18152.0,12163,0,189074,152416.0
57,-59,YM,YMZ6,D1,2016-10-09,1475971200,18209.0,18214.0,18182.0,18189.0,570,0,2356,107550.0
58,-58,YM,YMZ6,D1,2016-10-10,1476057600,18188.0,18320.0,18171.0,18270.0,7910,0,104690,98707.0
59,-57,YM,YMZ6,D1,2016-10-11,1476144000,18267.0,18273.0,17968.0,18074.0,11459,0,192372,99806.0
60,-56,YM,YMZ6,D1,2016-10-12,1476230400,18075.0,18121.0,17991.0,18035.0,11550,0,146590,147884.0
61,-55,YM,YMZ6,D1,2016-10-13,1476316800,18041.0,18050.0,17868.0,18007.0,13249,0,183937,174300.0
62,-54,YM,YMZ6,D1,2016-10-14,1476403200,18011.0,18177.0,17988.0,18052.0,11657,0,169119,166549.0
63,-53,YM,YMZ6,D1,2016-10-16,1476576000,18068.0,18082.0,17997.0,18031.0,955,0,4250,119102.0
64,-52,YM,YMZ6,D1,2016-10-17,1476662400,18039.0,18079.0,17973.0,18013.0,11579,0,135335,102901.0
65,-51,YM,YMZ6,D1,2016-10-18,1476748800,18015.0,18143.0,18009.0,18070.0,8968,0,119343,86309.0
66,-50,YM,YMZ6,D1,2016-10-19,1476835200,18066.0,18169.0,18031.0,18138.0,7522,0,108345,121008.0
67,-49,YM,YMZ6,D1,2016-10-20,1476921600,18136.0,18178.0,18047.0,18107.0,9702,0,156318,128002.0
68,-48,YM,YMZ6,D1,2016-10-21,1477008000,18106.0,18109.0,17965.0,18072.0,8696,0,142309,135657.0
69,-47,YM,YMZ6,D1,2016-10-23,1477180800,18084.0,18106.0,18073.0,18087.0,527,0,2084,100237.0
70,-46,YM,YMZ6,D1,2016-10-24,1477267200,18086.0,18197.0,18061.0,18139.0,7476,0,110377,84923.0
71,-45,YM,YMZ6,D1,2016-10-25,1477353600,18144.0,18173.0,18057.0,18070.0,7866,0,125483,79315.0
72,-44,YM,YMZ6,D1,2016-10-26,1477440000,18068.0,18156.0,17975.0,18128.0,9900,0,181840,139233.0
73,-43,YM,YMZ6,D1,2016-10-27,1477526400,18122.0,18183.0,18065.0,18113.0,10874,0,181474,162932.0
74,-42,YM,YMZ6,D1,2016-10-28,1477612800,18114.0,18173.0,18010.0,18094.0,12559,0,277959,213758.0
75,-41,YM,YMZ6,D1,2016-10-30,1477785600,18094.0,18094.0,18032.0,18071.0,18442,0,89796,183076.0
76,-40,YM,YMZ6,D1,2016-10-31,1477872000,18071.0,18147.0,18047.0,18076.0,1046062,0,10649489,3672415.0
77,-39,YM,YMZ6,D1,2016-11-01,1477958400,18076.0,18126.0,17856.0,17928.0,1796006,0,18934243,9891176.0
78,-38,YM,YMZ6,D1,2016-11-02,1478044800,17928.0,17960.0,17825.0,17895.0,1901525,0,16272940,15285557.0
79,-37,YM,YMZ6,D1,2016-11-03,1478131200,17895.0,17935.0,17821.0,17858.0,1450660,0,13043136,16083440.0
80,-36,YM,YMZ6,D1,2016-11-04,1478217600,17858.0,17901.0,17799.0,17814.0,1602770,0,15089788,14801955.0
81,-35,YM,YMZ6,D1,2016-11-06,1478390400,17814.0,18049.0,17814.0,18006.0,36757,0,235973,9456299.0
82,-34,YM,YMZ6,D1,2016-11-07,1478476800,18006.0,18209.0,17983.0,18175.0,1178202,0,14300480,9875414.0
83,-33,YM,YMZ6,D1,2016-11-08,1478563200,18175.0,18348.0,18129.0,18329.0,1507506,0,14062041,9532831.0
