symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT$D,D1,2024-04-23,1713830400,485660.0,489180.0,482560.0,483660.0,8403,20,9284
BIT$D,D1,2024-04-24,1713916800,486140.0,487160.0,472340.0,473860.0,11394,20,13470
BIT$D,D1,2024-04-25,1714003200,473940.0,479120.0,471140.0,477640.0,10027,20,11218
BIT$D,D1,2024-04-26,1714089600,472860.0,477000.0,467740.0,471920.0,742,20,872
BIT$D,D1,2024-04-29,1714348800,463580.0,466660.0,458680.0,466660.0,9560,20,10680
BIT$D,D1,2024-04-30,1714435200,457320.0,459180.0,435620.0,440620.0,11670,20,13425
BIT$D,D1,2024-05-02,1714608000,442620.0,445600.0,437320.0,440600.0,11726,20,13760
BIT$D,D1,2024-05-03,1714694400,442300.0,464560.0,440700.0,463620.0,12739,20,14854
BIT$D,D1,2024-05-06,1714953600,464760.0,467960.0,458140.0,460420.0,14204,20,16188
BIT$D,D1,2024-05-07,1715040000,462000.0,464680.0,457880.0,458020.0,15910,20,18197
BIT$D,D1,2024-05-08,1715126400,455740.0,459860.0,452180.0,455760.0,15557,20,18880
BIT$D,D1,2024-05-09,1715212800,453520.0,463580.0,453100.0,460200.0,15822,20,19288
BIT$D,D1,2024-05-10,1715299200,463960.0,465780.0,450020.0,451240.0,23516,20,29533
BIT$D,D1,2024-05-13,1715558400,460920.0,466920.0,459580.0,466200.0,20496,20,23969
BIT$D,D1,2024-05-14,1715644800,459780.0,459780.0,452620.0,453120.0,19542,20,23028
BIT$D,D1,2024-05-15,1715731200,459620.0,481100.0,459240.0,479220.0,26306,20,33379
BIT$D,D1,2024-05-16,1715817600,479220.0,482460.0,471180.0,476960.0,23788,20,29516
BIT$D,D1,2024-05-17,1715904000,479860.0,484260.0,476100.0,479520.0,23228,20,30534
BIT$D,D1,2024-05-20,1716163200,481620.0,498400.0,479200.0,493560.0,32109,20,41370
BIT$D,D1,2024-05-21,1716249600,500580.0,503460.0,492640.0,494920.0,32766,20,40123
BIT$D,D1,2024-05-22,1716336000,495800.0,502520.0,494740.0,495620.0,28445,20,35905
BIT$D,D1,2024-05-23,1716422400,499240.0,499900.0,481620.0,486200.0,36247,20,46853
BIT$D,D1,2024-05-24,1716508800,485300.0,497240.0,483240.0,497220.0,32072,20,40911
BIT$D,D1,2024-05-27,1716768000,492800.0,503860.0,491040.0,500500.0,45997,20,57725
BIT$D,D1,2024-05-28,1716854400,493460.0,493920.0,485280.0,489120.0,58902,20,85239
BIT$D,D1,2024-05-29,1716940800,487340.0,492260.0,486020.0,486020.0,35462,20,48385
BIT$D,D1,2024-05-31,1717113600,489860.0,498660.0,488260.0,494960.0,21026,20,25911
BIT$D,D1,2024-06-03,1717372800,499360.0,507760.0,497060.0,502220.0,45207,20,55464
BIT$D,D1,2024-06-04,1717459200,500920.0,514140.0,499980.0,513940.0,53204,20,70165
BIT$D,D1,2024-06-05,1717545600,514200.0,518320.0,510120.0,513080.0,53437,20,68576
BIT$D,D1,2024-06-06,1717632000,514400.0,516700.0,505920.0,506440.0,47894,20,59980
BIT$D,D1,2024-06-07,1717718400,514480.0,516820.0,498800.0,509640.0,61959,20,79266
BIT$D,D1,2024-06-10,1717977600,508200.0,513720.0,505820.0,511440.0,47840,20,60897
BIT$D,D1,2024-06-11,1718064000,497080.0,499520.0,491140.0,495740.0,47829,20,58920
BIT$D,D1,2024-06-12,1718150400,499520.0,515100.0,499520.0,506040.0,46264,20,58936
BIT$D,D1,2024-06-13,1718236800,502940.0,505960.0,489400.0,489640.0,44768,20,57656
BIT$D,D1,2024-06-14,1718323200,496140.0,498960.0,484180.0,487700.0,45534,20,59137
BIT$D,D1,2024-06-17,1718582400,489840.0,500320.0,486760.0,499260.0,61432,20,80741
BIT$D,D1,2024-06-18,1718668800,492140.0,492180.0,482700.0,487780.0,62807,20,78522
BIT$D,D1,2024-06-19,1718755200,488900.0,492600.0,485060.0,485880.0,39216,20,50011
BIT$D,D1,2024-06-20,1718841600,492380.0,493640.0,485100.0,491360.0,49960,20,63022
BIT$D,D1,2024-06-21,1718928000,484640.0,485560.0,478980.0,483920.0,49764,20,62190
BIT$D,D1,2024-06-24,1719187200,468400.0,469040.0,449920.0,450720.0,74629,20,95415
BIT$D,D1,2024-06-25,1719273600,462140.0,474640.0,462140.0,471120.0,65875,20,84568
BIT$D,D1,2024-06-26,1719360000,471100.0,475500.0,468780.0,470820.0,56221,20,71022
BIT$D,D1,2024-06-27,1719446400,472340.0,478480.0,469740.0,470340.0,53206,20,67017
BIT$D,D1,2024-06-28,1719532800,472340.0,475380.0,467160.0,470540.0,30512,20,40070
BIT$D,D1,2024-07-01,1719792000,480860.0,493560.0,480860.0,488700.0,43141,20,54094
BIT$D,D1,2024-07-02,1719878400,487440.0,489480.0,481880.0,483080.0,55928,20,68455
BIT$D,D1,2024-07-03,1719964800,472500.0,473540.0,461880.0,463660.0,55497,20,66534
BIT$D,D1,2024-07-04,1720051200,449920.0,452660.0,442080.0,450280.0,64446,20,80867
BIT$D,D1,2024-07-05,1720137600,434740.0,444360.0,433760.0,438600.0,66039,20,84535
BIT$D,D1,2024-07-08,1720396800,443940.0,447000.0,433360.0,441280.0,85424,20,108547
BIT$D,D1,2024-07-09,1720483200,445800.0,447740.0,440940.0,445760.0,72674,20,94151
BIT$D,D1,2024-07-10,1720569600,447720.0,448320.0,440620.0,441220.0,84576,20,105545
BIT$D,D1,2024-07-11,1720656000,448860.0,452260.0,441820.0,443140.0,91008,20,109321
BIT$D,D1,2024-07-12,1720742400,441820.0,449440.0,440760.0,444620.0,88868,20,108272
BIT$D,D1,2024-07-15,1721001600,463920.0,479440.0,463920.0,479120.0,86786,20,109765
BIT$D,D1,2024-07-16,1721088000,478040.0,486300.0,472860.0,481220.0,112245,20,142798
BIT$D,D1,2024-07-17,1721174400,482120.0,488640.0,481240.0,484720.0,91497,20,113048
