symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT$D,M5,2024-04-23 09:00:00,1713862800,485660.0,486880.0,485060.0,486280.0,125,20,160
BIT$D,M5,2024-04-23 09:05:00,1713863100,486480.0,487480.0,486360.0,487460.0,114,20,127
BIT$D,M5,2024-04-23 09:10:00,1713863400,487460.0,487540.0,486640.0,487040.0,106,20,110
BIT$D,M5,2024-04-23 09:15:00,1713863700,487120.0,487280.0,486780.0,487020.0,57,20,58
BIT$D,M5,2024-04-23 09:20:00,1713864000,487000.0,487720.0,486900.0,487600.0,111,20,111
BIT$D,M5,2024-04-23 09:25:00,1713864300,487620.0,487640.0,487180.0,487400.0,58,20,58
BIT$D,M5,2024-04-23 09:30:00,1713864600,487300.0,487480.0,486160.0,486980.0,155,20,198
BIT$D,M5,2024-04-23 09:35:00,1713864900,487000.0,487000.0,486260.0,486700.0,99,20,120
BIT$D,M5,2024-04-23 09:40:00,1713865200,486720.0,486740.0,486280.0,486460.0,69,20,74
BIT$D,M5,2024-04-23 09:45:00,1713865500,486480.0,486520.0,485780.0,486080.0,197,20,206
BIT$D,M5,2024-04-23 09:50:00,1713865800,486080.0,486160.0,485760.0,485860.0,74,20,78
BIT$D,M5,2024-04-23 09:55:00,1713866100,486000.0,487400.0,485860.0,487000.0,238,20,271
BIT$D,M5,2024-04-23 10:00:00,1713866400,486740.0,487780.0,486740.0,487380.0,170,20,187
BIT$D,M5,2024-04-23 10:05:00,1713866700,487480.0,487560.0,485900.0,487040.0,277,20,305
BIT$D,M5,2024-04-23 10:10:00,1713867000,486900.0,488060.0,486380.0,487280.0,244,20,337
BIT$D,M5,2024-04-23 10:15:00,1713867300,487300.0,487720.0,486980.0,487720.0,133,20,158
BIT$D,M5,2024-04-23 10:20:00,1713867600,487660.0,488000.0,487360.0,487840.0,152,20,180
BIT$D,M5,2024-04-23 10:25:00,1713867900,487700.0,487860.0,487540.0,487580.0,55,20,57
BIT$D,M5,2024-04-23 10:30:00,1713868200,487680.0,488160.0,487620.0,487980.0,103,20,108
BIT$D,M5,2024-04-23 10:35:00,1713868500,487980.0,488740.0,487980.0,488460.0,240,20,260
BIT$D,M5,2024-04-23 10:40:00,1713868800,488620.0,488640.0,488080.0,488260.0,105,20,105
BIT$D,M5,2024-04-23 10:45:00,1713869100,488320.0,488700.0,488120.0,488140.0,106,20,120
BIT$D,M5,2024-04-23 10:50:00,1713869400,488140.0,488540.0,487660.0,488260.0,106,20,108
BIT$D,M5,2024-04-23 10:55:00,1713869700,488180.0,488520.0,488180.0,488340.0,46,20,47
BIT$D,M5,2024-04-23 11:00:00,1713870000,488320.0,488660.0,488260.0,488540.0,97,20,106
BIT$D,M5,2024-04-23 11:05:00,1713870300,488540.0,488720.0,488220.0,488600.0,124,20,140
BIT$D,M5,2024-04-23 11:10:00,1713870600,488620.0,488820.0,488400.0,488600.0,90,20,92
