symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT$,H1,2024-04-23 09:00:00,1713862800,451399.0,454115.0,450608.0,453315.0,1403,20,1571
BIT$,H1,2024-04-23 10:00:00,1713866400,452975.0,455475.0,451855.0,454935.0,1737,20,1972
BIT$,H1,2024-04-23 11:00:00,1713870000,454915.0,455975.0,454375.0,455175.0,912,20,1005
BIT$,H1,2024-04-23 12:00:00,1713873600,455275.0,455375.0,453515.0,453955.0,757,20,824
BIT$,H1,2024-04-23 13:00:00,1713877200,453855.0,455395.0,453795.0,455015.0,596,20,633
BIT$,H1,2024-04-23 14:00:00,1713880800,455055.0,455255.0,453735.0,454215.0,569,20,609
BIT$,H1,2024-04-23 15:00:00,1713884400,454315.0,454335.0,452075.0,453995.0,1006,20,1094
BIT$,H1,2024-04-23 16:00:00,1713888000,454015.0,454235.0,451515.0,452555.0,713,20,784
BIT$,H1,2024-04-23 17:00:00,1713891600,452495.0,452655.0,448255.0,449475.0,530,20,555
BIT$,H1,2024-04-23 18:00:00,1713895200,449455.0,450315.0,447515.0,448935.0,180,20,237
BIT$,H1,2024-04-24 09:00:00,1713949200,452032.0,453406.0,450951.0,452966.0,1000,20,1081
BIT$,H1,2024-04-24 10:00:00,1713952800,452946.0,452946.0,449606.0,451426.0,1726,20,1861
BIT$,H1,2024-04-24 11:00:00,1713956400,451546.0,452726.0,445626.0,446806.0,1977,20,2325
BIT$,H1,2024-04-24 12:00:00,1713960000,446806.0,448666.0,443346.0,445146.0,1487,20,1818
BIT$,H1,2024-04-24 13:00:00,1713963600,444946.0,446846.0,443566.0,445046.0,853,20,1137
BIT$,H1,2024-04-24 14:00:00,1713967200,444866.0,447046.0,444206.0,444826.0,696,20,856
BIT$,H1,2024-04-24 15:00:00,1713970800,444786.0,444966.0,440706.0,441206.0,1491,20,1829
BIT$,H1,2024-04-24 16:00:00,1713974400,441326.0,441886.0,440246.0,440866.0,1048,20,1271
BIT$,H1,2024-04-24 17:00:00,1713978000,441126.0,441426.0,437986.0,438346.0,713,20,779
BIT$,H1,2024-04-24 18:00:00,1713981600,438366.0,438466.0,434346.0,436326.0,403,20,513
BIT$,H1,2024-04-25 09:00:00,1714035600,435953.0,437221.0,433281.0,436561.0,1673,20,1815
BIT$,H1,2024-04-25 10:00:00,1714039200,436741.0,440201.0,432241.0,433441.0,1709,20,1930
BIT$,H1,2024-04-25 11:00:00,1714042800,433581.0,438441.0,433401.0,434421.0,1362,20,1515
BIT$,H1,2024-04-25 12:00:00,1714046400,434321.0,437381.0,432541.0,437181.0,1137,20,1273
BIT$,H1,2024-04-25 13:00:00,1714050000,437061.0,439181.0,436101.0,438861.0,905,20,1045
BIT$,H1,2024-04-25 14:00:00,1714053600,438961.0,440721.0,437841.0,440041.0,1133,20,1289
BIT$,H1,2024-04-25 15:00:00,1714057200,439781.0,442421.0,439221.0,441081.0,851,20,958
BIT$,H1,2024-04-25 16:00:00,1714060800,441141.0,442021.0,440421.0,441701.0,586,20,660
BIT$,H1,2024-04-25 17:00:00,1714064400,441521.0,442181.0,440461.0,441461.0,484,20,527
BIT$,H1,2024-04-25 18:00:00,1714068000,441261.0,442801.0,439721.0,440901.0,187,20,206
BIT$,H1,2024-04-26 09:00:00,1714122000,434632.0,437863.0,434632.0,436423.0,104,20,140
BIT$,H1,2024-04-26 10:00:00,1714125600,436783.0,438203.0,433363.0,438203.0,117,20,120
BIT$,H1,2024-04-26 11:00:00,1714129200,438083.0,440003.0,434883.0,434903.0,106,20,114
BIT$,H1,2024-04-26 12:00:00,1714132800,434523.0,434643.0,429763.0,432723.0,89,20,92
BIT$,H1,2024-04-26 13:00:00,1714136400,432723.0,432743.0,431163.0,432423.0,27,20,28
BIT$,H1,2024-04-26 14:00:00,1714140000,432063.0,432603.0,429923.0,431143.0,75,20,93
BIT$,H1,2024-04-26 15:00:00,1714143600,431163.0,432143.0,428883.0,432143.0,64,20,74
BIT$,H1,2024-04-26 16:00:00,1714147200,432083.0,432083.0,428223.0,429623.0,88,20,102
BIT$,H1,2024-04-26 17:00:00,1714150800,429563.0,430783.0,428523.0,429403.0,44,20,70
BIT$,H1,2024-04-26 18:00:00,1714154400,429083.0,433643.0,429083.0,433643.0,28,20,39
BIT$,H1,2024-04-29 09:00:00,1714381200,422601.0,422653.0,418804.0,421764.0,765,20,806
BIT$,H1,2024-04-29 10:00:00,1714384800,421804.0,422304.0,416484.0,417864.0,1125,20,1220
BIT$,H1,2024-04-29 11:00:00,1714388400,417824.0,422664.0,416844.0,422604.0,1395,20,1481
BIT$,H1,2024-04-29 12:00:00,1714392000,422624.0,426624.0,422024.0,425344.0,1693,20,1887
BIT$,H1,2024-04-29 13:00:00,1714395600,425304.0,426224.0,422144.0,422444.0,929,20,1099
BIT$,H1,2024-04-29 14:00:00,1714399200,422444.0,425484.0,422264.0,424624.0,996,20,1098
BIT$,H1,2024-04-29 15:00:00,1714402800,424624.0,424924.0,420964.0,422284.0,1094,20,1229
BIT$,H1,2024-04-29 16:00:00,1714406400,422264.0,424884.0,420564.0,424884.0,837,20,1007
BIT$,H1,2024-04-29 17:00:00,1714410000,424584.0,425124.0,422224.0,422404.0,573,20,667
BIT$,H1,2024-04-29 18:00:00,1714413600,422404.0,426824.0,422324.0,426824.0,153,20,186
BIT$,H1,2024-04-30 09:00:00,1714467600,414485.0,416138.0,410498.0,412198.0,1650,20,1875
BIT$,H1,2024-04-30 10:00:00,1714471200,412218.0,414278.0,411158.0,411838.0,1372,20,1534
BIT$,H1,2024-04-30 11:00:00,1714474800,411858.0,416778.0,411178.0,415638.0,1394,20,1572
BIT$,H1,2024-04-30 12:00:00,1714478400,415678.0,416738.0,411518.0,413178.0,1132,20,1299
BIT$,H1,2024-04-30 13:00:00,1714482000,413138.0,413338.0,411178.0,411718.0,1117,20,1294
BIT$,H1,2024-04-30 14:00:00,1714485600,411518.0,412298.0,408118.0,409658.0,1211,20,1368
BIT$,H1,2024-04-30 15:00:00,1714489200,409658.0,410378.0,407438.0,409338.0,980,20,1169
BIT$,H1,2024-04-30 16:00:00,1714492800,409458.0,409918.0,405558.0,405938.0,1563,20,1793
BIT$,H1,2024-04-30 17:00:00,1714496400,405838.0,407058.0,404758.0,405078.0,831,20,1002
BIT$,H1,2024-04-30 18:00:00,1714500000,405098.0,405498.0,386598.0,393058.0,420,20,519
BIT$,H1,2024-05-02 09:00:00,1714640400,395427.0,399246.0,392806.0,393126.0,1726,20,1934
BIT$,H1,2024-05-02 10:00:00,1714644000,393126.0,395306.0,390366.0,391326.0,1706,20,2020
BIT$,H1,2024-05-02 11:00:00,1714647600,391326.0,396626.0,390546.0,395286.0,1429,20,1612
BIT$,H1,2024-05-02 12:00:00,1714651200,395226.0,398126.0,394646.0,396866.0,1151,20,1404
BIT$,H1,2024-05-02 13:00:00,1714654800,396986.0,397166.0,394706.0,395946.0,794,20,977
BIT$,H1,2024-05-02 14:00:00,1714658400,396246.0,398766.0,395406.0,397346.0,1322,20,1552
BIT$,H1,2024-05-02 15:00:00,1714662000,397366.0,398346.0,395706.0,397826.0,1210,20,1409
BIT$,H1,2024-05-02 16:00:00,1714665600,397766.0,399166.0,396506.0,398626.0,1025,20,1245
BIT$,H1,2024-05-02 17:00:00,1714669200,398606.0,398926.0,389246.0,390766.0,1099,20,1322
BIT$,H1,2024-05-02 18:00:00,1714672800,390006.0,393966.0,388606.0,392806.0,264,20,285
BIT$,H1,2024-05-03 09:00:00,1714726800,395012.0,403967.0,393007.0,402447.0,2262,20,2627
BIT$,H1,2024-05-03 10:00:00,1714730400,402507.0,408987.0,401627.0,408427.0,1922,20,2167
BIT$,H1,2024-05-03 11:00:00,1714734000,408747.0,410367.0,406127.0,407087.0,1848,20,2236
BIT$,H1,2024-05-03 12:00:00,1714737600,407047.0,409147.0,404947.0,408387.0,1091,20,1298
BIT$,H1,2024-05-03 13:00:00,1714741200,408387.0,410927.0,407367.0,409587.0,1231,20,1477
BIT$,H1,2024-05-03 14:00:00,1714744800,409587.0,410527.0,408467.0,409567.0,848,20,961
BIT$,H1,2024-05-03 15:00:00,1714748400,409547.0,410067.0,407507.0,408467.0,955,20,1103
BIT$,H1,2024-05-03 16:00:00,1714752000,408447.0,410527.0,407327.0,410287.0,790,20,967
BIT$,H1,2024-05-03 17:00:00,1714755600,410107.0,420087.0,408567.0,417487.0,1443,20,1632
BIT$,H1,2024-05-03 18:00:00,1714759200,417707.0,423487.0,416747.0,422247.0,349,20,386
BIT$,H1,2024-05-06 09:00:00,1714986000,424131.0,428274.0,422534.0,424614.0,1663,20,1852
BIT$,H1,2024-05-06 10:00:00,1714989600,424474.0,427334.0,423334.0,425414.0,1550,20,1711
BIT$,H1,2024-05-06 11:00:00,1714993200,425374.0,426734.0,418754.0,419874.0,1506,20,1729
BIT$,H1,2024-05-06 12:00:00,1714996800,419874.0,422494.0,417254.0,421614.0,2043,20,2356
BIT$,H1,2024-05-06 13:00:00,1715000400,421574.0,422554.0,417334.0,417874.0,1532,20,1766
BIT$,H1,2024-05-06 14:00:00,1715004000,417914.0,421234.0,416134.0,417874.0,1625,20,1861
BIT$,H1,2024-05-06 15:00:00,1715007600,418014.0,421234.0,416614.0,420154.0,1538,20,1802
BIT$,H1,2024-05-06 16:00:00,1715011200,420354.0,420414.0,415574.0,419734.0,1694,20,1955
BIT$,H1,2024-05-06 17:00:00,1715014800,419774.0,421454.0,418314.0,420814.0,805,20,878
BIT$,H1,2024-05-06 18:00:00,1715018400,420834.0,421934.0,418054.0,418434.0,248,20,278
BIT$,H1,2024-05-07 09:00:00,1715072400,420552.0,423935.0,419904.0,422515.0,2136,20,2391
BIT$,H1,2024-05-07 10:00:00,1715076000,422695.0,422975.0,418555.0,419175.0,2360,20,2533
BIT$,H1,2024-05-07 11:00:00,1715079600,419155.0,422815.0,417915.0,422655.0,1962,20,2148
BIT$,H1,2024-05-07 12:00:00,1715083200,422715.0,423575.0,421215.0,422055.0,1874,20,2264
BIT$,H1,2024-05-07 13:00:00,1715086800,422295.0,423795.0,420975.0,422655.0,1135,20,1289
BIT$,H1,2024-05-07 14:00:00,1715090400,422675.0,422675.0,419955.0,420575.0,1519,20,1770
BIT$,H1,2024-05-07 15:00:00,1715094000,420575.0,420575.0,418555.0,420255.0,1556,20,1863
BIT$,H1,2024-05-07 16:00:00,1715097600,420395.0,420875.0,418235.0,419435.0,1641,20,1973
BIT$,H1,2024-05-07 17:00:00,1715101200,419535.0,419895.0,418415.0,418655.0,1047,20,1192
BIT$,H1,2024-05-07 18:00:00,1715104800,418655.0,420095.0,415595.0,415755.0,680,20,774
BIT$,H1,2024-05-08 09:00:00,1715158800,412436.0,415380.0,411347.0,414060.0,1596,20,1900
BIT$,H1,2024-05-08 10:00:00,1715162400,414020.0,415060.0,412040.0,414980.0,2253,20,2697
BIT$,H1,2024-05-08 11:00:00,1715166000,414960.0,416900.0,413080.0,416100.0,1656,20,2001
BIT$,H1,2024-05-08 12:00:00,1715169600,415900.0,416380.0,412720.0,413720.0,1768,20,2157
BIT$,H1,2024-05-08 13:00:00,1715173200,413720.0,415780.0,412780.0,415780.0,1164,20,1395
BIT$,H1,2024-05-08 14:00:00,1715176800,415780.0,416960.0,415260.0,416660.0,1470,20,1922
BIT$,H1,2024-05-08 15:00:00,1715180400,416720.0,417540.0,416080.0,416320.0,1246,20,1562
BIT$,H1,2024-05-08 16:00:00,1715184000,416320.0,416900.0,412940.0,413340.0,2324,20,2901
BIT$,H1,2024-05-08 17:00:00,1715187600,413460.0,414460.0,408820.0,409840.0,1712,20,1937
BIT$,H1,2024-05-08 18:00:00,1715191200,409720.0,412300.0,407680.0,412300.0,368,20,408
BIT$,H1,2024-05-09 09:00:00,1715245200,409558.0,414151.0,409013.0,413691.0,1692,20,1910
