symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT$,M5,2024-04-23 09:00:00,1713862800,456142.0,457768.0,455343.0,456968.0,125,20,160
BIT$,M5,2024-04-23 09:05:00,1713863100,457228.0,458548.0,457068.0,458528.0,114,20,127
BIT$,M5,2024-04-23 09:10:00,1713863400,458528.0,458628.0,457448.0,457988.0,106,20,110
BIT$,M5,2024-04-23 09:15:00,1713863700,458088.0,458288.0,457648.0,457968.0,57,20,58
BIT$,M5,2024-04-23 09:20:00,1713864000,457948.0,458888.0,457828.0,458728.0,111,20,111
BIT$,M5,2024-04-23 09:25:00,1713864300,458748.0,458768.0,458208.0,458488.0,58,20,58
BIT$,M5,2024-04-23 09:30:00,1713864600,458368.0,458608.0,456888.0,457988.0,155,20,198
BIT$,M5,2024-04-23 09:35:00,1713864900,458008.0,458008.0,457048.0,457648.0,99,20,120
BIT$,M5,2024-04-23 09:40:00,1713865200,457668.0,457688.0,457088.0,457308.0,69,20,74
BIT$,M5,2024-04-23 09:45:00,1713865500,457328.0,457368.0,456428.0,456828.0,197,20,206
BIT$,M5,2024-04-23 09:50:00,1713865800,456828.0,456928.0,456428.0,456568.0,74,20,78
BIT$,M5,2024-04-23 09:55:00,1713866100,456748.0,458608.0,456568.0,458068.0,238,20,271
BIT$,M5,2024-04-23 10:00:00,1713866400,457728.0,459088.0,457728.0,458568.0,170,20,187
BIT$,M5,2024-04-23 10:05:00,1713866700,458688.0,458788.0,456628.0,458128.0,277,20,305
BIT$,M5,2024-04-23 10:10:00,1713867000,457948.0,459488.0,457268.0,458448.0,244,20,337
BIT$,M5,2024-04-23 10:15:00,1713867300,458468.0,458988.0,458028.0,458988.0,133,20,158
BIT$,M5,2024-04-23 10:20:00,1713867600,458908.0,459348.0,458508.0,459128.0,152,20,180
BIT$,M5,2024-04-23 10:25:00,1713867900,458948.0,459148.0,458728.0,458788.0,55,20,57
BIT$,M5,2024-04-23 10:30:00,1713868200,458908.0,459508.0,458828.0,459288.0,103,20,108
BIT$,M5,2024-04-23 10:35:00,1713868500,459288.0,460288.0,459288.0,459908.0,240,20,260
BIT$,M5,2024-04-23 10:40:00,1713868800,460108.0,460128.0,459428.0,459628.0,105,20,105
BIT$,M5,2024-04-23 10:45:00,1713869100,459708.0,460208.0,459448.0,459488.0,106,20,120
BIT$,M5,2024-04-23 10:50:00,1713869400,459488.0,460008.0,458868.0,459628.0,106,20,108
BIT$,M5,2024-04-23 10:55:00,1713869700,459528.0,459968.0,459528.0,459768.0,46,20,47
BIT$,M5,2024-04-23 11:00:00,1713870000,459748.0,460188.0,459668.0,460048.0,97,20,106
BIT$,M5,2024-04-23 11:05:00,1713870300,460048.0,460268.0,459608.0,460108.0,124,20,140
BIT$,M5,2024-04-23 11:10:00,1713870600,460128.0,460388.0,459828.0,460088.0,90,20,92
BIT$,M5,2024-04-23 11:15:00,1713870900,460248.0,460268.0,460008.0,460068.0,31,20,34
