a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-120,BP6,BP6Z6,D1,2016-08-01,1470009600,1.3223,1.3223,1.3219,1.3223,9,0,1,2016-07-31/2016-08-06,1181
2,-119,BP6,BP6Z6,D1,2016-08-02,1470096000,1.3236,1.3392,1.321,1.3373,71,0,102,2016-07-31/2016-08-06,1181
3,-118,BP6,BP6Z6,D1,2016-08-03,1470182400,1.3362,1.34,1.3315,1.3355,61,0,67,2016-07-31/2016-08-06,1181
4,-117,BP6,BP6Z6,D1,2016-08-04,1470268800,1.3372,1.3372,1.3138,1.3143,450,0,310,2016-07-31/2016-08-06,1181
5,-116,BP6,BP6Z6,D1,2016-08-05,1470355200,1.3157,1.32,1.3055,1.3103,386,0,701,2016-07-31/2016-08-06,1181
6,-115,BP6,BP6Z6,D1,2016-08-07,1470528000,1.3111,1.3111,1.3111,1.3111,1,0,8,2016-08-07/2016-08-13,2127
7,-114,BP6,BP6Z6,D1,2016-08-08,1470614400,1.3116,1.312,1.3065,1.3071,53,0,118,2016-08-07/2016-08-13,2127
8,-113,BP6,BP6Z6,D1,2016-08-09,1470700800,1.305,1.305,1.2992,1.3048,177,0,339,2016-08-07/2016-08-13,2127
9,-112,BP6,BP6Z6,D1,2016-08-10,1470787200,1.3061,1.3126,1.3031,1.3043,161,0,355,2016-08-07/2016-08-13,2127
10,-111,BP6,BP6Z6,D1,2016-08-11,1470873600,1.3047,1.3061,1.2974,1.2982,187,0,425,2016-08-07/2016-08-13,2127
11,-110,BP6,BP6Z6,D1,2016-08-12,1470960000,1.3001,1.3066,1.2937,1.2939,267,0,882,2016-08-07/2016-08-13,2127
12,-109,BP6,BP6Z6,D1,2016-08-14,1471132800,1.2942,1.2943,1.2932,1.2932,3,0,8,2016-08-14/2016-08-20,3196
6,-170,BP6,BP6H7,D1,2016-08-15,1471219200,1.2945,1.2945,1.2945,1.2945,1,0,1,2016-08-14/2016-08-20,13163
7,-169,BP6,BP6H7,D1,2016-08-16,1471305600,1.2977,1.3103,1.2977,1.3103,2,0,2,2016-08-14/2016-08-20,13163
8,-168,BP6,BP6H7,D1,2016-08-17,1471392000,1.31,1.31,1.305,1.3066,31,0,11,2016-08-14/2016-08-20,13163
9,-167,BP6,BP6H7,D1,2016-08-18,1471478400,1.3138,1.321,1.3138,1.321,4,0,14,2016-08-14/2016-08-20,13163
10,-166,BP6,BP6H7,D1,2016-08-19,1471564800,1.3135,1.3135,1.3135,1.3135,1,0,13135,2016-08-14/2016-08-20,13163
18,-103,BP6,BP6Z6,D1,2016-08-21,1471737600,1.3095,1.3112,1.3095,1.3111,19,0,5,2016-08-21/2016-08-27,1734
19,-102,BP6,BP6Z6,D1,2016-08-22,1471824000,1.3091,1.3185,1.307,1.3162,163,0,231,2016-08-21/2016-08-27,1734
20,-101,BP6,BP6Z6,D1,2016-08-23,1471910400,1.3168,1.324,1.316,1.3225,168,0,295,2016-08-21/2016-08-27,1734
21,-100,BP6,BP6Z6,D1,2016-08-24,1471996800,1.3212,1.3302,1.3196,1.3268,276,0,448,2016-08-21/2016-08-27,1734
22,-99,BP6,BP6Z6,D1,2016-08-25,1472083200,1.3269,1.3294,1.3199,1.3222,140,0,209,2016-08-21/2016-08-27,1734
23,-98,BP6,BP6Z6,D1,2016-08-26,1472169600,1.3244,1.3307,1.3156,1.3157,383,0,546,2016-08-21/2016-08-27,1734
24,-97,BP6,BP6Z6,D1,2016-08-28,1472342400,1.315,1.3162,1.315,1.316,14,0,18,2016-08-28/2016-09-03,4147
25,-96,BP6,BP6Z6,D1,2016-08-29,1472428800,1.315,1.316,1.309,1.3149,147,0,274,2016-08-28/2016-09-03,4147
26,-95,BP6,BP6Z6,D1,2016-08-30,1472515200,1.3135,1.3145,1.3093,1.3109,107,0,200,2016-08-28/2016-09-03,4147
