a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-89,DG,DGZ6,D1,2016-08-04,1470268800,111.98,111.98,111.975,111.975,2,0,151,2016-07-31/2016-08-06,151
2,-88,DG,DGZ6,D1,2016-08-08,1470614400,111.985,111.99,111.98,111.98,4,0,128,2016-08-07/2016-08-13,1237
3,-87,DG,DGZ6,D1,2016-08-09,1470700800,112.0,112.0,111.99,111.99,4,0,125,2016-08-07/2016-08-13,1237
4,-86,DG,DGZ6,D1,2016-08-10,1470787200,112.005,112.035,112.005,112.035,21,0,515,2016-08-07/2016-08-13,1237
5,-85,DG,DGZ6,D1,2016-08-11,1470873600,112.045,112.045,112.015,112.015,8,0,465,2016-08-07/2016-08-13,1237
6,-84,DG,DGZ6,D1,2016-08-12,1470960000,112.0,112.005,112.0,112.005,2,0,4,2016-08-07/2016-08-13,1237
7,-83,DG,DGZ6,D1,2016-08-15,1471219200,112.01,112.01,111.98,111.98,17,0,14,2016-08-14/2016-08-20,1230
8,-82,DG,DGZ6,D1,2016-08-16,1471305600,111.995,111.995,111.98,111.98,6,0,58,2016-08-14/2016-08-20,1230
9,-81,DG,DGZ6,D1,2016-08-17,1471392000,111.985,111.99,111.98,111.985,15,0,282,2016-08-14/2016-08-20,1230
10,-80,DG,DGZ6,D1,2016-08-18,1471478400,111.985,111.985,111.97,111.985,4,0,253,2016-08-14/2016-08-20,1230
11,-79,DG,DGZ6,D1,2016-08-19,1471564800,111.985,111.985,111.96,111.96,8,0,623,2016-08-14/2016-08-20,1230
12,-78,DG,DGZ6,D1,2016-08-22,1471824000,111.97,111.98,111.96,111.98,39,0,4714,2016-08-21/2016-08-27,30248
13,-77,DG,DGZ6,D1,2016-08-23,1471910400,111.98,111.995,111.98,111.99,31,0,9031,2016-08-21/2016-08-27,30248
14,-76,DG,DGZ6,D1,2016-08-24,1471996800,111.99,111.99,111.975,111.975,24,0,4972,2016-08-21/2016-08-27,30248
15,-75,DG,DGZ6,D1,2016-08-25,1472083200,111.975,111.975,111.96,111.96,63,0,4767,2016-08-21/2016-08-27,30248
16,-74,DG,DGZ6,D1,2016-08-26,1472169600,111.96,111.98,111.955,111.965,41,0,6764,2016-08-21/2016-08-27,30248
17,-73,DG,DGZ6,D1,2016-08-29,1472428800,111.95,112.0,111.95,112.0,126,0,4569,2016-08-28/2016-09-03,125695
18,-72,DG,DGZ6,D1,2016-08-30,1472515200,111.995,111.995,111.975,111.995,144,0,9720,2016-08-28/2016-09-03,125695
19,-71,DG,DGZ6,D1,2016-08-31,1472601600,111.99,112.0,111.985,111.99,121,0,10393,2016-08-28/2016-09-03,125695
20,-70,DG,DGZ6,D1,2016-09-01,1472688000,111.99,112.005,111.98,111.99,1870,0,39293,2016-08-28/2016-09-03,125695
21,-69,DG,DGZ6,D1,2016-09-02,1472774400,111.995,112.045,111.99,112.045,1969,0,61720,2016-08-28/2016-09-03,125695
22,-68,DG,DGZ6,D1,2016-09-05,1473033600,112.04,112.055,112.025,112.05,1449,0,67374,2016-09-04/2016-09-10,951049
23,-67,DG,DGZ6,D1,2016-09-06,1473120000,112.045,112.115,112.04,112.11,2182,0,129901,2016-09-04/2016-09-10,951049
24,-66,DG,DGZ6,D1,2016-09-07,1473206400,112.11,112.115,112.09,112.1,3389,0,205708,2016-09-04/2016-09-10,951049
25,-65,DG,DGZ6,D1,2016-09-08,1473292800,112.11,112.115,112.02,112.04,3099,0,316743,2016-09-04/2016-09-10,951049
26,-64,DG,DGZ6,D1,2016-09-09,1473379200,112.04,112.045,112.0,112.0,3136,0,231323,2016-09-04/2016-09-10,951049
1,-97,DG,DGH7,D1,2016-09-12,1473638400,112.015,112.015,112.015,112.015,1,0,2555904,2016-09-11/2016-09-17,2555904
