a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-114,EEU,EEUZ6,D1,2016-08-02,1470096000,1.1237,1.1294,1.1237,1.1288,12,0,16,2016-07-31/2016-08-06,54
2,-113,EEU,EEUZ6,D1,2016-08-03,1470182400,1.128,1.128,1.1215,1.1215,5,0,5,2016-07-31/2016-08-06,54
3,-112,EEU,EEUZ6,D1,2016-08-04,1470268800,1.121,1.121,1.1192,1.1192,50,0,18,2016-07-31/2016-08-06,54
4,-111,EEU,EEUZ6,D1,2016-08-05,1470355200,1.122,1.122,1.1112,1.1141,32,0,15,2016-07-31/2016-08-06,54
5,-110,EEU,EEUZ6,D1,2016-08-08,1470614400,1.1156,1.1156,1.1141,1.1141,4,0,6,2016-08-07/2016-08-13,38
6,-109,EEU,EEUZ6,D1,2016-08-09,1470700800,1.1154,1.1179,1.1154,1.117,4,0,4,2016-08-07/2016-08-13,38
7,-108,EEU,EEUZ6,D1,2016-08-10,1470787200,1.1204,1.1251,1.1204,1.1234,8,0,10,2016-08-07/2016-08-13,38
8,-107,EEU,EEUZ6,D1,2016-08-11,1470873600,1.1231,1.1231,1.12,1.12,7,0,7,2016-08-07/2016-08-13,38
9,-106,EEU,EEUZ6,D1,2016-08-12,1470960000,1.1199,1.127,1.1199,1.1231,8,0,11,2016-08-07/2016-08-13,38
10,-105,EEU,EEUZ6,D1,2016-08-15,1471219200,1.1221,1.125,1.1221,1.1241,8,0,9,2016-08-14/2016-08-20,73
11,-104,EEU,EEUZ6,D1,2016-08-16,1471305600,1.1254,1.1356,1.1254,1.1331,22,0,26,2016-08-14/2016-08-20,73
12,-103,EEU,EEUZ6,D1,2016-08-17,1471392000,1.133,1.1358,1.1317,1.1358,8,0,9,2016-08-14/2016-08-20,73
13,-102,EEU,EEUZ6,D1,2016-08-18,1471478400,1.1371,1.1419,1.1368,1.1403,72,0,20,2016-08-14/2016-08-20,73
14,-101,EEU,EEUZ6,D1,2016-08-19,1471564800,1.1397,1.1397,1.137,1.1377,9,0,9,2016-08-14/2016-08-20,73
15,-100,EEU,EEUZ6,D1,2016-08-22,1471824000,1.1342,1.1376,1.1336,1.1376,7,0,8,2016-08-21/2016-08-27,98
16,-99,EEU,EEUZ6,D1,2016-08-23,1471910400,1.1381,1.1401,1.1357,1.1357,90,0,19,2016-08-21/2016-08-27,98
