a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-88,EMD,EMDZ6,D1,2016-08-29,1472428800,1564.8,1564.8,1564.8,1564.8,1,0,35,2016-08-28/2016-09-03,35
2,-87,EMD,EMDZ6,D1,2016-09-06,1473120000,1576.2,1577.1,1566.3,1569.4,351,0,84,2016-09-04/2016-09-10,24423
3,-86,EMD,EMDZ6,D1,2016-09-07,1473206400,1568.8,1578.6,1568.2,1578.0,4538,0,1952,2016-09-04/2016-09-10,24423
4,-85,EMD,EMDZ6,D1,2016-09-08,1473292800,1578.6,1578.6,1568.9,1571.1,10863,0,1633,2016-09-04/2016-09-10,24423
5,-84,EMD,EMDZ6,D1,2016-09-09,1473379200,1569.0,1569.5,1518.3,1518.3,53872,0,20754,2016-09-04/2016-09-10,24423
6,-83,EMD,EMDZ6,D1,2016-09-11,1473552000,1521.9,1524.0,1516.6,1519.9,1438,0,148,2016-09-11/2016-09-17,107352
7,-82,EMD,EMDZ6,D1,2016-09-12,1473638400,1518.9,1544.1,1508.5,1539.7,73641,0,22019,2016-09-11/2016-09-17,107352
8,-81,EMD,EMDZ6,D1,2016-09-13,1473724800,1539.9,1539.9,1506.5,1516.3,82635,0,24563,2016-09-11/2016-09-17,107352
9,-80,EMD,EMDZ6,D1,2016-09-14,1473811200,1517.4,1522.0,1505.8,1507.9,73407,0,24632,2016-09-11/2016-09-17,107352
10,-79,EMD,EMDZ6,D1,2016-09-15,1473897600,1508.9,1528.0,1501.8,1520.4,59119,0,16411,2016-09-11/2016-09-17,107352
11,-78,EMD,EMDZ6,D1,2016-09-16,1473984000,1519.2,1521.7,1511.8,1517.7,54371,0,19579,2016-09-11/2016-09-17,107352
12,-77,EMD,EMDZ6,D1,2016-09-18,1474156800,1518.3,1524.0,1517.4,1522.4,1502,0,102,2016-09-18/2016-09-24,83351
13,-76,EMD,EMDZ6,D1,2016-09-19,1474243200,1522.5,1538.4,1522.0,1527.3,47682,0,16733,2016-09-18/2016-09-24,83351
14,-75,EMD,EMDZ6,D1,2016-09-20,1474329600,1527.4,1535.9,1520.0,1521.3,39878,0,11246,2016-09-18/2016-09-24,83351
