a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-84,FBTP,FBTPZ6,D1,2016-08-03,1470182400,142.33,142.33,142.33,142.33,1,0,1,2016-07-31/2016-08-06,55
2,-83,FBTP,FBTPZ6,D1,2016-08-04,1470268800,143.29,143.29,143.12,143.25,11,0,54,2016-07-31/2016-08-06,55
3,-82,FBTP,FBTPZ6,D1,2016-08-11,1470873600,144.33,144.43,144.33,144.43,5,0,52,2016-08-07/2016-08-13,53
4,-81,FBTP,FBTPZ6,D1,2016-08-12,1470960000,144.34,144.34,144.34,144.34,1,0,1,2016-08-07/2016-08-13,53
5,-80,FBTP,FBTPZ6,D1,2016-08-17,1471392000,143.48,143.78,143.48,143.78,4,0,11,2016-08-14/2016-08-20,29
6,-79,FBTP,FBTPZ6,D1,2016-08-18,1471478400,143.8,144.15,143.8,144.15,2,0,11,2016-08-14/2016-08-20,29
7,-78,FBTP,FBTPZ6,D1,2016-08-19,1471564800,143.86,143.86,143.62,143.63,3,0,7,2016-08-14/2016-08-20,29
8,-77,FBTP,FBTPZ6,D1,2016-08-23,1471910400,143.3,143.3,143.3,143.3,1,0,2,2016-08-21/2016-08-27,265
9,-76,FBTP,FBTPZ6,D1,2016-08-24,1471996800,143.72,143.72,143.0,143.67,177,0,86,2016-08-21/2016-08-27,265
10,-75,FBTP,FBTPZ6,D1,2016-08-25,1472083200,143.64,143.71,143.37,143.63,8,0,98,2016-08-21/2016-08-27,265
11,-74,FBTP,FBTPZ6,D1,2016-08-26,1472169600,143.64,143.94,143.55,143.55,20,0,79,2016-08-21/2016-08-27,265
12,-73,FBTP,FBTPZ6,D1,2016-08-29,1472428800,143.49,143.92,143.31,143.87,47,0,1021,2016-08-28/2016-09-03,14095
13,-72,FBTP,FBTPZ6,D1,2016-08-30,1472515200,143.78,144.08,143.7,144.0,112,0,3065,2016-08-28/2016-09-03,14095
14,-71,FBTP,FBTPZ6,D1,2016-08-31,1472601600,143.94,144.06,143.44,143.5,136,0,816,2016-08-28/2016-09-03,14095
15,-70,FBTP,FBTPZ6,D1,2016-09-01,1472688000,143.48,143.61,143.0,143.25,428,0,3104,2016-08-28/2016-09-03,14095
16,-69,FBTP,FBTPZ6,D1,2016-09-02,1472774400,143.1,143.71,142.95,143.22,1132,0,6089,2016-08-28/2016-09-03,14095
17,-68,FBTP,FBTPZ6,D1,2016-09-05,1473033600,143.32,143.55,143.09,143.38,1362,0,8192,2016-09-04/2016-09-10,383898
18,-67,FBTP,FBTPZ6,D1,2016-09-06,1473120000,143.43,144.32,143.38,144.26,2260,0,26948,2016-09-04/2016-09-10,383898
19,-66,FBTP,FBTPZ6,D1,2016-09-07,1473206400,144.31,144.54,144.05,144.37,2960,0,88651,2016-09-04/2016-09-10,383898
20,-65,FBTP,FBTPZ6,D1,2016-09-08,1473292800,144.4,144.75,143.3,143.35,4397,0,140736,2016-09-04/2016-09-10,383898
21,-64,FBTP,FBTPZ6,D1,2016-09-09,1473379200,143.31,143.49,142.24,142.39,3978,0,119371,2016-09-04/2016-09-10,383898
22,-63,FBTP,FBTPZ6,D1,2016-09-12,1473638400,141.98,142.12,141.59,141.96,3929,0,118987,2016-09-11/2016-09-17,517866
23,-62,FBTP,FBTPZ6,D1,2016-09-13,1473724800,142.16,142.36,141.22,141.29,3441,0,116939,2016-09-11/2016-09-17,517866
24,-61,FBTP,FBTPZ6,D1,2016-09-14,1473811200,141.45,141.96,141.23,141.65,3549,0,104488,2016-09-11/2016-09-17,517866
25,-60,FBTP,FBTPZ6,D1,2016-09-15,1473897600,141.63,141.74,141.11,141.31,3445,0,94935,2016-09-11/2016-09-17,517866
26,-59,FBTP,FBTPZ6,D1,2016-09-16,1473984000,141.52,141.82,141.17,141.22,3537,0,82517,2016-09-11/2016-09-17,517866
27,-58,FBTP,FBTPZ6,D1,2016-09-19,1474243200,141.27,141.67,141.14,141.59,2805,0,63861,2016-09-18/2016-09-24,370423
28,-57,FBTP,FBTPZ6,D1,2016-09-20,1474329600,141.67,142.43,141.55,142.31,2883,0,83546,2016-09-18/2016-09-24,370423
29,-56,FBTP,FBTPZ6,D1,2016-09-21,1474416000,142.09,142.48,141.83,141.99,2852,0,67910,2016-09-18/2016-09-24,370423
30,-55,FBTP,FBTPZ6,D1,2016-09-22,1474502400,142.41,143.38,142.37,143.12,3368,0,92277,2016-09-18/2016-09-24,370423
31,-54,FBTP,FBTPZ6,D1,2016-09-23,1474588800,143.08,143.18,142.72,143.02,2741,0,62829,2016-09-18/2016-09-24,370423
32,-53,FBTP,FBTPZ6,D1,2016-09-26,1474848000,142.9,143.2,142.66,143.2,2813,0,68711,2016-09-25/2016-10-01,451216
33,-52,FBTP,FBTPZ6,D1,2016-09-27,1474934400,143.08,143.4,142.33,142.95,4096,0,122287,2016-09-25/2016-10-01,451216
