a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-2116,FVA,FVAZ6,H1,2016-08-01 18:00:00,1470074400,121.9609,121.9609,121.9609,121.9609,1,0,2,2016-07-31/2016-08-06,3568
2,-2115,FVA,FVAZ6,H1,2016-08-02 14:00:00,1470146400,121.8359,121.8359,121.8359,121.8359,1,0,1,2016-07-31/2016-08-06,3568
3,-2114,FVA,FVAZ6,H1,2016-08-02 16:00:00,1470153600,121.8281,121.8983,121.8125,121.8983,1280,0,1409,2016-07-31/2016-08-06,3568
4,-2113,FVA,FVAZ6,H1,2016-08-02 17:00:00,1470157200,121.9217,121.9217,121.8905,121.8905,333,0,446,2016-07-31/2016-08-06,3568
5,-2112,FVA,FVAZ6,H1,2016-08-02 18:00:00,1470160800,121.8749,121.8905,121.8671,121.8671,486,0,738,2016-07-31/2016-08-06,3568
6,-2111,FVA,FVAZ6,H1,2016-08-02 19:00:00,1470164400,121.8671,121.8749,121.8515,121.8671,164,0,31,2016-07-31/2016-08-06,3568
7,-2110,FVA,FVAZ6,H1,2016-08-02 20:00:00,1470168000,121.8437,121.8515,121.8125,121.8125,170,0,481,2016-07-31/2016-08-06,3568
8,-2109,FVA,FVAZ6,H1,2016-08-03 11:00:00,1470222000,121.8438,121.8438,121.8438,121.8438,1,0,1,2016-07-31/2016-08-06,3568
9,-2108,FVA,FVAZ6,H1,2016-08-03 13:00:00,1470229200,121.875,121.8828,121.875,121.8828,2,0,3,2016-07-31/2016-08-06,3568
10,-2107,FVA,FVAZ6,H1,2016-08-03 14:00:00,1470232800,121.8516,121.8516,121.7424,121.7736,7,0,11,2016-07-31/2016-08-06,3568
11,-2106,FVA,FVAZ6,H1,2016-08-03 16:00:00,1470240000,121.797,121.797,121.797,121.797,1,0,1,2016-07-31/2016-08-06,3568
12,-2105,FVA,FVAZ6,H1,2016-08-03 18:00:00,1470247200,121.8438,121.8438,121.8438,121.8438,1,0,1,2016-07-31/2016-08-06,3568
13,-2104,FVA,FVAZ6,H1,2016-08-04 00:00:00,1470268800,121.8594,121.8594,121.8594,121.8594,1,0,1,2016-07-31/2016-08-06,3568
14,-2103,FVA,FVAZ6,H1,2016-08-04 11:00:00,1470308400,121.9998,122.0232,121.9998,122.0232,2,0,2,2016-07-31/2016-08-06,3568
15,-2102,FVA,FVAZ6,H1,2016-08-04 12:00:00,1470312000,121.953,122.0232,121.953,122.0232,2,0,7,2016-07-31/2016-08-06,3568
16,-2101,FVA,FVAZ6,H1,2016-08-04 13:00:00,1470315600,122.0544,122.0934,122.0544,122.0934,316,0,41,2016-07-31/2016-08-06,3568
17,-2100,FVA,FVAZ6,H1,2016-08-04 14:00:00,1470319200,122.1402,122.1636,122.1402,122.1636,3,0,232,2016-07-31/2016-08-06,3568
18,-2099,FVA,FVAZ6,H1,2016-08-04 15:00:00,1470322800,122.1714,122.1714,122.1714,122.1714,1,0,1,2016-07-31/2016-08-06,3568
19,-2098,FVA,FVAZ6,H1,2016-08-04 17:00:00,1470330000,122.148,122.148,122.148,122.148,1,0,10,2016-07-31/2016-08-06,3568
20,-2097,FVA,FVAZ6,H1,2016-08-04 18:00:00,1470333600,122.1168,122.1168,122.109,122.109,2,0,23,2016-07-31/2016-08-06,3568
21,-2096,FVA,FVAZ6,H1,2016-08-04 19:00:00,1470337200,122.0856,122.0856,122.0856,122.0856,1,0,5,2016-07-31/2016-08-06,3568
22,-2095,FVA,FVAZ6,H1,2016-08-05 11:00:00,1470394800,122.1172,122.1172,122.086,122.0938,4,0,26,2016-07-31/2016-08-06,3568
23,-2094,FVA,FVAZ6,H1,2016-08-05 12:00:00,1470398400,122.1172,122.1172,121.7506,121.774,3131,0,60,2016-07-31/2016-08-06,3568
24,-2093,FVA,FVAZ6,H1,2016-08-05 13:00:00,1470402000,121.7974,121.7974,121.7896,121.7896,2,0,3,2016-07-31/2016-08-06,3568
25,-2092,FVA,FVAZ6,H1,2016-08-05 14:00:00,1470405600,121.618,121.6336,121.6102,121.6336,4,0,28,2016-07-31/2016-08-06,3568
26,-2091,FVA,FVAZ6,H1,2016-08-05 16:00:00,1470412800,121.6102,121.6102,121.5712,121.5712,3,0,4,2016-07-31/2016-08-06,3568
27,-2090,FVA,FVAZ6,H1,2016-08-08 06:00:00,1470636000,121.4844,121.4844,121.4844,121.4844,1,0,1,2016-08-07/2016-08-13,1215
28,-2089,FVA,FVAZ6,H1,2016-08-08 10:00:00,1470650400,121.5078,121.5078,121.5078,121.5078,1,0,1,2016-08-07/2016-08-13,1215
29,-2088,FVA,FVAZ6,H1,2016-08-08 11:00:00,1470654000,121.4454,121.4454,121.4454,121.4454,1,0,1,2016-08-07/2016-08-13,1215
30,-2087,FVA,FVAZ6,H1,2016-08-08 13:00:00,1470661200,121.344,121.344,121.344,121.344,1,0,1,2016-08-07/2016-08-13,1215
31,-2086,FVA,FVAZ6,H1,2016-08-08 14:00:00,1470664800,121.422,121.5234,121.422,121.5234,4,0,25,2016-08-07/2016-08-13,1215
32,-2085,FVA,FVAZ6,H1,2016-08-08 15:00:00,1470668400,121.4922,121.5312,121.4922,121.5312,2,0,3,2016-08-07/2016-08-13,1215
33,-2084,FVA,FVAZ6,H1,2016-08-08 17:00:00,1470675600,121.4844,121.4844,121.4844,121.4844,2,0,11,2016-08-07/2016-08-13,1215
34,-2083,FVA,FVAZ6,H1,2016-08-08 18:00:00,1470679200,121.4688,121.5,121.4688,121.5,2,0,3,2016-08-07/2016-08-13,1215
35,-2082,FVA,FVAZ6,H1,2016-08-08 19:00:00,1470682800,121.461,121.461,121.4454,121.4454,2,0,4,2016-08-07/2016-08-13,1215
36,-2081,FVA,FVAZ6,H1,2016-08-09 11:00:00,1470740400,121.4531,121.4531,121.4531,121.4531,1,0,1,2016-08-07/2016-08-13,1215
37,-2080,FVA,FVAZ6,H1,2016-08-09 12:00:00,1470744000,121.4375,121.4375,121.4297,121.4297,2,0,15,2016-08-07/2016-08-13,1215
38,-2079,FVA,FVAZ6,H1,2016-08-09 14:00:00,1470751200,121.4999,121.4999,121.4999,121.4999,2,0,2,2016-08-07/2016-08-13,1215
39,-2078,FVA,FVAZ6,H1,2016-08-09 15:00:00,1470754800,121.5389,121.5389,121.5389,121.5389,1,0,2,2016-08-07/2016-08-13,1215
40,-2077,FVA,FVAZ6,H1,2016-08-09 17:00:00,1470762000,121.5935,121.5935,121.5935,121.5935,1,0,1,2016-08-07/2016-08-13,1215
1,-2375,FVA,FVAH7,H1,2016-08-09 18:00:00,1470765600,121.3281,121.3281,121.3281,121.3281,1,0,2555904,2016-08-07/2016-08-13,2555904
42,-2075,FVA,FVAZ6,H1,2016-08-09 19:00:00,1470769200,121.6247,121.6637,121.6247,121.6637,2,0,3,2016-08-07/2016-08-13,1215
43,-2074,FVA,FVAZ6,H1,2016-08-10 12:00:00,1470830400,121.75,121.828,121.75,121.8046,6,0,48,2016-08-07/2016-08-13,1215
44,-2073,FVA,FVAZ6,H1,2016-08-10 13:00:00,1470834000,121.789,121.789,121.7344,121.7344,320,0,111,2016-08-07/2016-08-13,1215
45,-2072,FVA,FVAZ6,H1,2016-08-10 14:00:00,1470837600,121.7188,121.7188,121.7188,121.7188,1,0,2,2016-08-07/2016-08-13,1215
46,-2071,FVA,FVAZ6,H1,2016-08-10 16:00:00,1470844800,121.789,121.828,121.789,121.828,7,0,34,2016-08-07/2016-08-13,1215
47,-2070,FVA,FVAZ6,H1,2016-08-10 17:00:00,1470848400,121.8358,121.8748,121.8358,121.8748,4,0,16,2016-08-07/2016-08-13,1215
48,-2069,FVA,FVAZ6,H1,2016-08-10 18:00:00,1470852000,121.8748,121.8748,121.8748,121.8748,1,0,1,2016-08-07/2016-08-13,1215
49,-2068,FVA,FVAZ6,H1,2016-08-10 19:00:00,1470855600,121.8514,121.8514,121.8514,121.8514,1,0,3,2016-08-07/2016-08-13,1215
50,-2067,FVA,FVAZ6,H1,2016-08-11 06:00:00,1470895200,121.8359,121.8359,121.8203,121.8203,2,0,12,2016-08-07/2016-08-13,1215
51,-2066,FVA,FVAZ6,H1,2016-08-11 12:00:00,1470916800,121.8359,121.8359,121.8359,121.8359,2,0,11,2016-08-07/2016-08-13,1215
52,-2065,FVA,FVAZ6,H1,2016-08-11 14:00:00,1470924000,121.7267,121.7423,121.7189,121.7189,4,0,5,2016-08-07/2016-08-13,1215
