a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-93,FXXP,FXXPZ20,D1,2020-08-11,1597104000,368.9,368.9,368.9,368.9,1,0,0,2020-08-09/2020-08-15,0
2,-92,FXXP,FXXPZ20,D1,2020-08-12,1597190400,373.3,373.3,373.3,373.3,1,0,0,2020-08-09/2020-08-15,0
3,-91,FXXP,FXXPZ20,D1,2020-08-13,1597276800,371.8,371.8,371.8,371.8,1,0,0,2020-08-09/2020-08-15,0
4,-90,FXXP,FXXPZ20,D1,2020-08-14,1597363200,366.8,366.8,366.8,366.8,1,0,0,2020-08-09/2020-08-15,0
5,-89,FXXP,FXXPZ20,D1,2020-08-17,1597622400,368.3,368.3,368.3,368.3,1,0,0,2020-08-16/2020-08-22,0
6,-88,FXXP,FXXPZ20,D1,2020-08-18,1597708800,365.4,365.4,365.4,365.4,1,0,0,2020-08-16/2020-08-22,0
7,-87,FXXP,FXXPZ20,D1,2020-08-19,1597795200,368.3,368.3,368.3,368.3,1,0,0,2020-08-16/2020-08-22,0
8,-86,FXXP,FXXPZ20,D1,2020-08-20,1597881600,364.6,364.6,364.6,364.6,1,0,0,2020-08-16/2020-08-22,0
9,-85,FXXP,FXXPZ20,D1,2020-08-21,1597968000,363.7,363.7,363.7,363.7,1,0,0,2020-08-16/2020-08-22,0
10,-84,FXXP,FXXPZ20,D1,2020-08-24,1598227200,368.9,369.9,368.9,369.9,2,0,1,2020-08-23/2020-08-29,1
11,-83,FXXP,FXXPZ20,D1,2020-08-25,1598313600,369.0,369.0,369.0,369.0,1,0,0,2020-08-23/2020-08-29,1
12,-82,FXXP,FXXPZ20,D1,2020-08-26,1598400000,371.8,371.8,371.8,371.8,1,0,0,2020-08-23/2020-08-29,1
13,-81,FXXP,FXXPZ20,D1,2020-08-27,1598486400,369.6,369.6,369.6,369.6,1,0,0,2020-08-23/2020-08-29,1
14,-80,FXXP,FXXPZ20,D1,2020-08-28,1598572800,368.0,368.0,368.0,368.0,1,0,0,2020-08-23/2020-08-29,1
15,-79,FXXP,FXXPZ20,D1,2020-08-31,1598832000,364.5,364.5,364.5,364.5,1,0,0,2020-08-30/2020-09-05,148
16,-78,FXXP,FXXPZ20,D1,2020-09-01,1598918400,368.2,368.2,364.0,364.0,3,0,3,2020-08-30/2020-09-05,148
17,-77,FXXP,FXXPZ20,D1,2020-09-02,1599004800,369.9,369.9,369.9,369.9,1,0,0,2020-08-30/2020-09-05,148
18,-76,FXXP,FXXPZ20,D1,2020-09-03,1599091200,371.2,371.2,363.0,363.0,4,0,100,2020-08-30/2020-09-05,148
19,-75,FXXP,FXXPZ20,D1,2020-09-04,1599177600,366.4,366.4,358.7,359.7,5,0,45,2020-08-30/2020-09-05,148
20,-74,FXXP,FXXPZ20,D1,2020-09-07,1599436800,363.3,366.3,363.3,365.9,4,0,61,2020-09-06/2020-09-12,5698
21,-73,FXXP,FXXPZ20,D1,2020-09-08,1599523200,365.6,365.6,359.0,362.1,31,0,890,2020-09-06/2020-09-12,5698
