a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-3506,HOE,HOEZ6,M30,2016-08-01 20:30:00,1470083400,1.3308,1.3308,1.3308,1.3308,1,0,1,2016-07-31/2016-08-06,12632
1,-2684,HOE,HOEX6,M30,2016-08-01 22:00:00,1470088800,1.3111,1.3111,1.3111,1.3111,1,0,1,2016-07-31/2016-08-06,12707
2,-2683,HOE,HOEX6,M30,2016-08-01 22:30:00,1470090600,1.3123,1.3123,1.3123,1.3123,1,0,1,2016-07-31/2016-08-06,12707
3,-2682,HOE,HOEX6,M30,2016-08-02 00:00:00,1470096000,1.3128,1.3128,1.3128,1.3128,1,0,1,2016-07-31/2016-08-06,12707
3,-3504,HOE,HOEZ6,M30,2016-08-02 02:00:00,1470103200,1.3337,1.3337,1.3337,1.3337,1,0,1,2016-07-31/2016-08-06,12632
4,-3503,HOE,HOEZ6,M30,2016-08-02 03:00:00,1470106800,1.3328,1.3328,1.3328,1.3328,1,0,1,2016-07-31/2016-08-06,12632
4,-2681,HOE,HOEX6,M30,2016-08-02 05:30:00,1470115800,1.3111,1.3111,1.3111,1.3111,1,0,1,2016-07-31/2016-08-06,12707
5,-2680,HOE,HOEX6,M30,2016-08-02 06:30:00,1470119400,1.3141,1.3141,1.3141,1.3141,1,0,1,2016-07-31/2016-08-06,12707
6,-2679,HOE,HOEX6,M30,2016-08-02 07:00:00,1470121200,1.3177,1.3177,1.3133,1.3142,28,0,11,2016-07-31/2016-08-06,12707
7,-2678,HOE,HOEX6,M30,2016-08-02 07:30:00,1470123000,1.3127,1.3152,1.3084,1.3084,35,0,17,2016-07-31/2016-08-06,12707
8,-2677,HOE,HOEX6,M30,2016-08-02 08:00:00,1470124800,1.3105,1.3123,1.3098,1.3117,30,0,8,2016-07-31/2016-08-06,12707
9,-2676,HOE,HOEX6,M30,2016-08-02 08:30:00,1470126600,1.3102,1.3162,1.3097,1.3161,10,0,9,2016-07-31/2016-08-06,12707
10,-2675,HOE,HOEX6,M30,2016-08-02 09:00:00,1470128400,1.3167,1.325,1.3162,1.325,65,0,28,2016-07-31/2016-08-06,12707
11,-2674,HOE,HOEX6,M30,2016-08-02 09:30:00,1470130200,1.3249,1.3273,1.3249,1.3267,4,0,4,2016-07-31/2016-08-06,12707
12,-2673,HOE,HOEX6,M30,2016-08-02 10:00:00,1470132000,1.327,1.3281,1.327,1.3278,8,0,8,2016-07-31/2016-08-06,12707
