a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-114,JY6,JY6Z6,D1,2016-08-01,1470009600,0.0098275,0.0098275,0.0098165,0.009818,13,0,8,2016-07-31/2016-08-06,670
2,-113,JY6,JY6Z6,D1,2016-08-02,1470096000,0.00982,0.009981,0.009795,0.009947,372,0,154,2016-07-31/2016-08-06,670
3,-112,JY6,JY6Z6,D1,2016-08-03,1470182400,0.0099315,0.009971,0.0099075,0.009922,210,0,77,2016-07-31/2016-08-06,670
4,-111,JY6,JY6Z6,D1,2016-08-04,1470268800,0.0099305,0.009946,0.009896,0.009937,45,0,35,2016-07-31/2016-08-06,670
5,-110,JY6,JY6Z6,D1,2016-08-05,1470355200,0.00993,0.009963,0.009856,0.009884,1152,0,396,2016-07-31/2016-08-06,670
6,-109,JY6,JY6Z6,D1,2016-08-07,1470528000,0.0098325,0.009833,0.0098325,0.009833,2,0,2,2016-08-07/2016-08-13,1012
7,-108,JY6,JY6Z6,D1,2016-08-08,1470614400,0.009855,0.009857,0.009795,0.009825,67,0,102,2016-08-07/2016-08-13,1012
4,-163,JY6,JY6H7,D1,2016-08-09,1470700800,0.009912,0.009912,0.009912,0.009912,1,0,2555904,2016-08-07/2016-08-13,2555904
9,-106,JY6,JY6Z6,D1,2016-08-10,1470787200,0.00989,0.0099565,0.009881,0.009932,948,0,209,2016-08-07/2016-08-13,1012
10,-105,JY6,JY6Z6,D1,2016-08-11,1470873600,0.009947,0.00995,0.0098535,0.0098585,153,0,129,2016-08-07/2016-08-13,1012
11,-104,JY6,JY6Z6,D1,2016-08-12,1470960000,0.0098625,0.0099695,0.009833,0.009924,1057,0,406,2016-08-07/2016-08-13,1012
12,-103,JY6,JY6Z6,D1,2016-08-14,1471132800,0.00996,0.00996,0.009919,0.009919,7,0,13,2016-08-14/2016-08-20,2748
5,-162,JY6,JY6H7,D1,2016-08-15,1471219200,0.009997,0.009997,0.009997,0.009997,1,0,1,2016-08-14/2016-08-20,32772
6,-161,JY6,JY6H7,D1,2016-08-16,1471305600,0.0101435,0.0101435,0.0100815,0.0100815,2,0,3,2016-08-14/2016-08-20,32772
7,-160,JY6,JY6H7,D1,2016-08-17,1471392000,0.010028,0.010028,0.010028,0.010028,1,0,5,2016-08-14/2016-08-20,32772
16,-99,JY6,JY6Z6,D1,2016-08-18,1471478400,0.010059,0.010083,0.0099995,0.0100405,2213,0,604,2016-08-14/2016-08-20,2748
8,-159,JY6,JY6H7,D1,2016-08-19,1471564800,0.01007,0.01007,0.01007,0.01007,1,0,32763,2016-08-14/2016-08-20,32772
18,-97,JY6,JY6Z6,D1,2016-08-21,1471737600,0.009985,0.010015,0.009985,0.0099915,135,0,24,2016-08-21/2016-08-27,2952
19,-96,JY6,JY6Z6,D1,2016-08-22,1471824000,0.009988,0.010025,0.0099575,0.01001,1292,0,714,2016-08-21/2016-08-27,2952
20,-95,JY6,JY6Z6,D1,2016-08-23,1471910400,0.0100435,0.0100525,0.010013,0.010018,567,0,309,2016-08-21/2016-08-27,2952
21,-94,JY6,JY6Z6,D1,2016-08-24,1471996800,0.0100125,0.0100355,0.0099895,0.009993,984,0,764,2016-08-21/2016-08-27,2952
22,-93,JY6,JY6Z6,D1,2016-08-25,1472083200,0.0099865,0.010014,0.0099865,0.009989,176,0,121,2016-08-21/2016-08-27,2952
23,-92,JY6,JY6Z6,D1,2016-08-26,1472169600,0.009996,0.01004,0.0098565,0.0098715,5296,0,1020,2016-08-21/2016-08-27,2952
24,-91,JY6,JY6Z6,D1,2016-08-28,1472342400,0.009857,0.0098605,0.0098465,0.009855,120,0,42,2016-08-28/2016-09-03,5025
25,-90,JY6,JY6Z6,D1,2016-08-29,1472428800,0.009857,0.00987,0.0098135,0.00987,1117,0,715,2016-08-28/2016-09-03,5025
26,-89,JY6,JY6Z6,D1,2016-08-30,1472515200,0.009869,0.009873,0.009742,0.009763,1618,0,587,2016-08-28/2016-09-03,5025
27,-88,JY6,JY6Z6,D1,2016-08-31,1472601600,0.0097595,0.009761,0.009705,0.00972,1379,0,1042,2016-08-28/2016-09-03,5025
28,-87,JY6,JY6Z6,D1,2016-09-01,1472688000,0.0097305,0.009742,0.0096595,0.0097275,2924,0,1253,2016-08-28/2016-09-03,5025
29,-86,JY6,JY6Z6,D1,2016-09-02,1472774400,0.0097285,0.009766,0.00963,0.0096645,5989,0,1386,2016-08-28/2016-09-03,5025
30,-85,JY6,JY6Z6,D1,2016-09-04,1472947200,0.009656,0.00966,0.009645,0.009658,885,0,134,2016-09-04/2016-09-10,17835
31,-84,JY6,JY6Z6,D1,2016-09-05,1473033600,0.0096715,0.009737,0.0096565,0.0097085,2422,0,1102,2016-09-04/2016-09-10,17835
32,-83,JY6,JY6Z6,D1,2016-09-06,1473120000,0.0097055,0.009919,0.009677,0.0098865,11023,0,3331,2016-09-04/2016-09-10,17835
33,-82,JY6,JY6Z6,D1,2016-09-07,1473206400,0.009888,0.0099225,0.00986,0.0098625,5761,0,2301,2016-09-04/2016-09-10,17835
34,-81,JY6,JY6Z6,D1,2016-09-08,1473292800,0.00986,0.0099025,0.0097875,0.009815,9797,0,3594,2016-09-04/2016-09-10,17835
35,-80,JY6,JY6Z6,D1,2016-09-09,1473379200,0.009808,0.009848,0.009744,0.009776,17902,0,7373,2016-09-04/2016-09-10,17835
36,-79,JY6,JY6Z6,D1,2016-09-11,1473552000,0.009789,0.009815,0.009785,0.0098005,1565,0,375,2016-09-11/2016-09-17,187817
37,-78,JY6,JY6Z6,D1,2016-09-12,1473638400,0.0097965,0.0098855,0.009783,0.00987,24082,0,10679,2016-09-11/2016-09-17,187817
38,-77,JY6,JY6Z6,D1,2016-09-13,1473724800,0.0098655,0.009901,0.009772,0.009797,36025,0,20660,2016-09-11/2016-09-17,187817
39,-76,JY6,JY6Z6,D1,2016-09-14,1473811200,0.0097945,0.0098215,0.0097155,0.009791,42911,0,29361,2016-09-11/2016-09-17,187817
40,-75,JY6,JY6Z6,D1,2016-09-15,1473897600,0.009793,0.0098705,0.00977,0.009843,48552,0,42285,2016-09-11/2016-09-17,187817
41,-74,JY6,JY6Z6,D1,2016-09-16,1473984000,0.009842,0.0098655,0.0097985,0.009819,43219,0,84457,2016-09-11/2016-09-17,187817
42,-73,JY6,JY6Z6,D1,2016-09-18,1474156800,0.009819,0.009825,0.009803,0.009813,2872,0,2876,2016-09-18/2016-09-24,606321
43,-72,JY6,JY6Z6,D1,2016-09-19,1474243200,0.0098095,0.009885,0.009807,0.0098525,36289,0,77754,2016-09-18/2016-09-24,606321
44,-71,JY6,JY6Z6,D1,2016-09-20,1474329600,0.009853,0.0098905,0.0098365,0.009878,38625,0,73366,2016-09-18/2016-09-24,606321
45,-70,JY6,JY6Z6,D1,2016-09-21,1474416000,0.009879,0.0100125,0.0097645,0.0099965,110274,0,254083,2016-09-18/2016-09-24,606321
46,-69,JY6,JY6Z6,D1,2016-09-22,1474502400,0.0100005,0.0100275,0.0099435,0.009952,51456,0,100109,2016-09-18/2016-09-24,606321
47,-68,JY6,JY6Z6,D1,2016-09-23,1474588800,0.0099575,0.009968,0.0099125,0.0099355,44707,0,98133,2016-09-18/2016-09-24,606321
48,-67,JY6,JY6Z6,D1,2016-09-25,1474761600,0.0099345,0.00995,0.009931,0.009943,2041,0,1356,2016-09-25/2016-10-01,612085
49,-66,JY6,JY6Z6,D1,2016-09-26,1474848000,0.009946,0.0100105,0.0099275,0.0099975,48368,0,95572,2016-09-25/2016-10-01,612085
50,-65,JY6,JY6Z6,D1,2016-09-27,1474934400,0.01,0.0100265,0.0099365,0.0099855,58715,0,131051,2016-09-25/2016-10-01,612085
51,-64,JY6,JY6Z6,D1,2016-09-28,1475020800,0.009986,0.0099945,0.0099305,0.009937,45941,0,94418,2016-09-25/2016-10-01,612085
52,-63,JY6,JY6Z6,D1,2016-09-29,1475107200,0.0099395,0.0099475,0.0098485,0.0099115,55727,0,149401,2016-09-25/2016-10-01,612085
53,-62,JY6,JY6Z6,D1,2016-09-30,1475193600,0.009911,0.009957,0.00985,0.0098985,57178,0,140287,2016-09-25/2016-10-01,612085
54,-61,JY6,JY6Z6,D1,2016-10-02,1475366400,0.0099005,0.0099035,0.0098735,0.0098785,4530,0,5044,2016-10-02/2016-10-08,657161
55,-60,JY6,JY6Z6,D1,2016-10-03,1475452800,0.00988,0.00991,0.0098465,0.009848,41249,0,82070,2016-10-02/2016-10-08,657161
56,-59,JY6,JY6Z6,D1,2016-10-04,1475539200,0.009849,0.00985,0.009738,0.009747,54918,0,158230,2016-10-02/2016-10-08,657161
57,-58,JY6,JY6Z6,D1,2016-10-05,1475625600,0.0097485,0.0097665,0.009671,0.0096905,45346,0,127611,2016-10-02/2016-10-08,657161
58,-57,JY6,JY6Z6,D1,2016-10-06,1475712000,0.0096945,0.0097005,0.009624,0.009661,47732,0,119620,2016-10-02/2016-10-08,657161
59,-56,JY6,JY6Z6,D1,2016-10-07,1475798400,0.009661,0.0097475,0.0096405,0.009744,59762,0,164586,2016-10-02/2016-10-08,657161
60,-55,JY6,JY6Z6,D1,2016-10-09,1475971200,0.00972,0.0097385,0.0097165,0.00973,5053,0,5264,2016-10-09/2016-10-15,562107
61,-54,JY6,JY6Z6,D1,2016-10-10,1476057600,0.0097275,0.0097525,0.0096595,0.009667,30927,0,62852,2016-10-09/2016-10-15,562107
62,-53,JY6,JY6Z6,D1,2016-10-11,1476144000,0.009663,0.0097165,0.009633,0.0096985,48422,0,122611,2016-10-09/2016-10-15,562107
63,-52,JY6,JY6Z6,D1,2016-10-12,1476230400,0.009704,0.0097045,0.0095925,0.0096075,47142,0,115563,2016-10-09/2016-10-15,562107
64,-51,JY6,JY6Z6,D1,2016-10-13,1476316800,0.009606,0.009699,0.0095775,0.00966,58691,0,133753,2016-10-09/2016-10-15,562107
65,-50,JY6,JY6Z6,D1,2016-10-14,1476403200,0.0096595,0.0096705,0.009592,0.00962,50611,0,122064,2016-10-09/2016-10-15,562107
66,-49,JY6,JY6Z6,D1,2016-10-16,1476576000,0.0096095,0.0096325,0.0096055,0.0096315,2726,0,2792,2016-10-16/2016-10-22,452299
67,-48,JY6,JY6Z6,D1,2016-10-17,1476662400,0.0096275,0.0096575,0.009602,0.009648,41112,0,98287,2016-10-16/2016-10-22,452299
68,-47,JY6,JY6Z6,D1,2016-10-18,1476748800,0.0096485,0.009666,0.0096165,0.0096465,35410,0,84850,2016-10-16/2016-10-22,452299
69,-46,JY6,JY6Z6,D1,2016-10-19,1476835200,0.009644,0.0097125,0.0096395,0.0096895,36635,0,83322,2016-10-16/2016-10-22,452299
70,-45,JY6,JY6Z6,D1,2016-10-20,1476921600,0.0096865,0.009689,0.009617,0.009622,38980,0,96456,2016-10-16/2016-10-22,452299
71,-44,JY6,JY6Z6,D1,2016-10-21,1477008000,0.009621,0.0096775,0.009613,0.009647,35416,0,86592,2016-10-16/2016-10-22,452299
