a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-7067,M2K,M2KZ19,M15,2019-05-03 20:00:00,1556913600,1623.3,1623.3,1623.3,1623.3,1,0,0,2019-04-28/2019-05-04,0
2,-2983,M2K,M2KM19,M15,2019-05-05 22:00:00,1557093600,1591.4,1591.4,1591.0,1591.0,3,3,20,2019-05-05/2019-05-11,130497
3,-2982,M2K,M2KM19,M15,2019-05-05 22:30:00,1557095400,1587.3,1588.0,1585.5,1588.0,7,3,8,2019-05-05/2019-05-11,130497
4,-2981,M2K,M2KM19,M15,2019-05-05 22:45:00,1557096300,1588.9,1589.8,1588.6,1589.8,5,2,5,2019-05-05/2019-05-11,130497
5,-2980,M2K,M2KM19,M15,2019-05-05 23:00:00,1557097200,1589.6,1589.6,1589.4,1589.4,2,2,2,2019-05-05/2019-05-11,130497
6,-2979,M2K,M2KM19,M15,2019-05-05 23:15:00,1557098100,1589.7,1591.3,1589.7,1590.6,3,3,3,2019-05-05/2019-05-11,130497
7,-2978,M2K,M2KM19,M15,2019-05-05 23:30:00,1557099000,1590.6,1590.6,1590.6,1590.6,1,2,1,2019-05-05/2019-05-11,130497
8,-2977,M2K,M2KM19,M15,2019-05-05 23:45:00,1557099900,1587.6,1587.7,1583.1,1583.1,5,2,5,2019-05-05/2019-05-11,130497
9,-2976,M2K,M2KM19,M15,2019-05-06 00:00:00,1557100800,1583.1,1583.3,1582.1,1583.3,3,4,3,2019-05-05/2019-05-11,130497
10,-2975,M2K,M2KM19,M15,2019-05-06 00:15:00,1557101700,1585.4,1586.0,1585.4,1586.0,2,1,2,2019-05-05/2019-05-11,130497
11,-2974,M2K,M2KM19,M15,2019-05-06 00:30:00,1557102600,1584.3,1584.3,1582.5,1582.5,7,1,9,2019-05-05/2019-05-11,130497
12,-2973,M2K,M2KM19,M15,2019-05-06 00:45:00,1557103500,1583.8,1583.8,1581.4,1581.4,5,1,5,2019-05-05/2019-05-11,130497
13,-2972,M2K,M2KM19,M15,2019-05-06 01:00:00,1557104400,1578.5,1580.1,1578.0,1579.2,19,1,21,2019-05-05/2019-05-11,130497
14,-2971,M2K,M2KM19,M15,2019-05-06 01:30:00,1557106200,1583.4,1583.4,1583.3,1583.3,2,3,3,2019-05-05/2019-05-11,130497
15,-2970,M2K,M2KM19,M15,2019-05-06 01:45:00,1557107100,1583.8,1585.6,1583.8,1585.6,5,1,5,2019-05-05/2019-05-11,130497
16,-2969,M2K,M2KM19,M15,2019-05-06 02:00:00,1557108000,1586.0,1586.5,1585.5,1585.8,17,1,19,2019-05-05/2019-05-11,130497
17,-2968,M2K,M2KM19,M15,2019-05-06 02:15:00,1557108900,1585.9,1585.9,1583.9,1583.9,2,1,2,2019-05-05/2019-05-11,130497
18,-2967,M2K,M2KM19,M15,2019-05-06 02:45:00,1557110700,1583.8,1584.1,1583.0,1583.0,14,1,14,2019-05-05/2019-05-11,130497
19,-2966,M2K,M2KM19,M15,2019-05-06 03:15:00,1557112500,1585.0,1585.1,1584.2,1584.3,7,1,7,2019-05-05/2019-05-11,130497
20,-2965,M2K,M2KM19,M15,2019-05-06 03:45:00,1557114300,1581.6,1581.9,1581.6,1581.9,3,1,3,2019-05-05/2019-05-11,130497
21,-2964,M2K,M2KM19,M15,2019-05-06 04:00:00,1557115200,1581.0,1581.4,1581.0,1581.4,4,1,5,2019-05-05/2019-05-11,130497
22,-2963,M2K,M2KM19,M15,2019-05-06 04:15:00,1557116100,1581.7,1581.7,1581.7,1581.7,1,3,1,2019-05-05/2019-05-11,130497
23,-2962,M2K,M2KM19,M15,2019-05-06 04:45:00,1557117900,1584.3,1584.6,1584.3,1584.6,11,2,15,2019-05-05/2019-05-11,130497
24,-2961,M2K,M2KM19,M15,2019-05-06 05:00:00,1557118800,1587.5,1587.6,1586.9,1586.9,5,1,6,2019-05-05/2019-05-11,130497
25,-2960,M2K,M2KM19,M15,2019-05-06 05:15:00,1557119700,1586.4,1586.5,1586.4,1586.5,2,3,2,2019-05-05/2019-05-11,130497
26,-2959,M2K,M2KM19,M15,2019-05-06 05:30:00,1557120600,1587.4,1587.9,1587.1,1587.9,5,1,5,2019-05-05/2019-05-11,130497
27,-2958,M2K,M2KM19,M15,2019-05-06 05:45:00,1557121500,1587.8,1588.4,1587.8,1588.3,3,2,3,2019-05-05/2019-05-11,130497
28,-2957,M2K,M2KM19,M15,2019-05-06 06:00:00,1557122400,1589.8,1589.8,1589.7,1589.7,2,1,2,2019-05-05/2019-05-11,130497
29,-2956,M2K,M2KM19,M15,2019-05-06 06:30:00,1557124200,1586.2,1587.2,1586.1,1587.2,3,3,3,2019-05-05/2019-05-11,130497
30,-2955,M2K,M2KM19,M15,2019-05-06 06:45:00,1557125100,1587.3,1587.3,1585.8,1585.8,4,1,4,2019-05-05/2019-05-11,130497
31,-2954,M2K,M2KM19,M15,2019-05-06 07:15:00,1557126900,1589.0,1589.4,1589.0,1589.4,2,1,2,2019-05-05/2019-05-11,130497
32,-2953,M2K,M2KM19,M15,2019-05-06 07:45:00,1557128700,1588.6,1588.6,1588.6,1588.6,1,1,1,2019-05-05/2019-05-11,130497
33,-2952,M2K,M2KM19,M15,2019-05-06 08:45:00,1557132300,1585.1,1585.5,1585.1,1585.3,3,1,3,2019-05-05/2019-05-11,130497
