a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-112,M6B,M6BZ6,D1,2016-08-01,1470009600,1.3212,1.3212,1.3212,1.3212,1,0,2,2016-07-31/2016-08-06,12
2,-111,M6B,M6BZ6,D1,2016-08-03,1470182400,1.336,1.336,1.336,1.336,1,0,1,2016-07-31/2016-08-06,12
3,-110,M6B,M6BZ6,D1,2016-08-04,1470268800,1.325,1.325,1.315,1.315,6,0,5,2016-07-31/2016-08-06,12
4,-109,M6B,M6BZ6,D1,2016-08-05,1470355200,1.31,1.3101,1.305,1.305,5,0,4,2016-07-31/2016-08-06,12
5,-108,M6B,M6BZ6,D1,2016-08-09,1470700800,1.305,1.305,1.3,1.3,6,0,6,2016-08-07/2016-08-13,15
6,-107,M6B,M6BZ6,D1,2016-08-10,1470787200,1.3093,1.3118,1.3093,1.3118,2,0,2,2016-08-07/2016-08-13,15
7,-106,M6B,M6BZ6,D1,2016-08-11,1470873600,1.2978,1.3008,1.2978,1.3005,3,0,3,2016-08-07/2016-08-13,15
8,-105,M6B,M6BZ6,D1,2016-08-12,1470960000,1.2997,1.2999,1.2938,1.2938,4,0,4,2016-08-07/2016-08-13,15
9,-104,M6B,M6BZ6,D1,2016-08-15,1471219200,1.292,1.292,1.292,1.292,1,0,1,2016-08-14/2016-08-20,17
10,-103,M6B,M6BZ6,D1,2016-08-16,1471305600,1.3011,1.305,1.3011,1.305,2,0,2,2016-08-14/2016-08-20,17
11,-102,M6B,M6BZ6,D1,2016-08-17,1471392000,1.3078,1.3078,1.3078,1.3078,1,0,1,2016-08-14/2016-08-20,17
12,-101,M6B,M6BZ6,D1,2016-08-18,1471478400,1.3158,1.3158,1.3146,1.3158,25,0,9,2016-08-14/2016-08-20,17
13,-100,M6B,M6BZ6,D1,2016-08-19,1471564800,1.3149,1.3149,1.3111,1.3111,3,0,4,2016-08-14/2016-08-20,17
14,-99,M6B,M6BZ6,D1,2016-08-22,1471824000,1.315,1.3195,1.314,1.314,3,0,4,2016-08-21/2016-08-27,16
15,-98,M6B,M6BZ6,D1,2016-08-24,1471996800,1.325,1.3288,1.325,1.3288,3,0,4,2016-08-21/2016-08-27,16
16,-97,M6B,M6BZ6,D1,2016-08-25,1472083200,1.3245,1.3245,1.3214,1.3214,2,0,2,2016-08-21/2016-08-27,16
17,-96,M6B,M6BZ6,D1,2016-08-26,1472169600,1.3254,1.3254,1.316,1.316,6,0,6,2016-08-21/2016-08-27,16
18,-95,M6B,M6BZ6,D1,2016-08-28,1472342400,1.315,1.3159,1.3149,1.3149,3,0,3,2016-08-28/2016-09-03,44
19,-94,M6B,M6BZ6,D1,2016-08-29,1472428800,1.315,1.315,1.31,1.31,2,0,2,2016-08-28/2016-09-03,44
20,-93,M6B,M6BZ6,D1,2016-08-30,1472515200,1.313,1.3142,1.313,1.3142,2,0,2,2016-08-28/2016-09-03,44
21,-92,M6B,M6BZ6,D1,2016-08-31,1472601600,1.318,1.318,1.31,1.3159,5,0,5,2016-08-28/2016-09-03,44
22,-91,M6B,M6BZ6,D1,2016-09-01,1472688000,1.3254,1.3326,1.323,1.3326,26,0,18,2016-08-28/2016-09-03,44
23,-90,M6B,M6BZ6,D1,2016-09-02,1472774400,1.3331,1.3385,1.332,1.3321,28,0,14,2016-08-28/2016-09-03,44
24,-89,M6B,M6BZ6,D1,2016-09-05,1473033600,1.3295,1.34,1.3295,1.33,8,0,11,2016-09-04/2016-09-10,114
25,-88,M6B,M6BZ6,D1,2016-09-06,1473120000,1.3337,1.3466,1.332,1.342,84,0,27,2016-09-04/2016-09-10,114
