a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-7464,MES,MESU19,M15,2019-05-03 20:00:00,1556913600,2953.5,2953.5,2953.5,2953.5,1,0,0,2019-04-28/2019-05-04,0
2,-3196,MES,MESM19,M15,2019-05-05 22:00:00,1557093600,2925.75,2926.75,2895.5,2896.0,44,25,56,2019-05-05/2019-05-11,1397014
3,-3195,MES,MESM19,M15,2019-05-05 22:15:00,1557094500,2899.25,2902.0,2894.75,2899.0,28,25,30,2019-05-05/2019-05-11,1397014
4,-3194,MES,MESM19,M15,2019-05-05 22:30:00,1557095400,2900.0,2906.0,2900.0,2906.0,41,25,55,2019-05-05/2019-05-11,1397014
5,-3193,MES,MESM19,M15,2019-05-05 22:45:00,1557096300,2905.75,2908.5,2905.0,2908.5,45,25,61,2019-05-05/2019-05-11,1397014
6,-3192,MES,MESM19,M15,2019-05-05 23:00:00,1557097200,2909.0,2909.0,2904.75,2906.25,70,25,100,2019-05-05/2019-05-11,1397014
7,-3191,MES,MESM19,M15,2019-05-05 23:15:00,1557098100,2906.25,2908.75,2905.75,2907.5,63,25,82,2019-05-05/2019-05-11,1397014
8,-3190,MES,MESM19,M15,2019-05-05 23:30:00,1557099000,2907.0,2908.75,2907.0,2907.5,67,25,78,2019-05-05/2019-05-11,1397014
9,-3189,MES,MESM19,M15,2019-05-05 23:45:00,1557099900,2907.25,2908.75,2892.75,2893.75,258,25,325,2019-05-05/2019-05-11,1397014
10,-3188,MES,MESM19,M15,2019-05-06 00:00:00,1557100800,2895.25,2900.0,2891.0,2898.25,202,25,369,2019-05-05/2019-05-11,1397014
11,-3187,MES,MESM19,M15,2019-05-06 00:15:00,1557101700,2898.5,2899.5,2894.0,2896.25,176,25,219,2019-05-05/2019-05-11,1397014
12,-3186,MES,MESM19,M15,2019-05-06 00:30:00,1557102600,2895.75,2897.75,2891.25,2893.75,281,25,437,2019-05-05/2019-05-11,1397014
13,-3185,MES,MESM19,M15,2019-05-06 00:45:00,1557103500,2894.25,2895.5,2888.0,2888.0,157,25,299,2019-05-05/2019-05-11,1397014
14,-3184,MES,MESM19,M15,2019-05-06 01:00:00,1557104400,2888.0,2889.25,2883.75,2887.75,192,25,225,2019-05-05/2019-05-11,1397014
15,-3183,MES,MESM19,M15,2019-05-06 01:15:00,1557105300,2887.0,2891.0,2886.0,2890.5,172,25,304,2019-05-05/2019-05-11,1397014
16,-3182,MES,MESM19,M15,2019-05-06 01:30:00,1557106200,2890.75,2892.5,2889.25,2892.0,106,25,141,2019-05-05/2019-05-11,1397014
17,-3181,MES,MESM19,M15,2019-05-06 01:45:00,1557107100,2892.0,2894.5,2891.5,2894.0,115,25,145,2019-05-05/2019-05-11,1397014
18,-3180,MES,MESM19,M15,2019-05-06 02:00:00,1557108000,2894.0,2896.0,2892.75,2895.75,181,25,331,2019-05-05/2019-05-11,1397014
19,-3179,MES,MESM19,M15,2019-05-06 02:15:00,1557108900,2895.75,2895.75,2891.25,2892.5,171,25,214,2019-05-05/2019-05-11,1397014
20,-3178,MES,MESM19,M15,2019-05-06 02:30:00,1557109800,2892.0,2893.0,2891.0,2892.25,89,25,130,2019-05-05/2019-05-11,1397014
