a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-91,MHG,MHGK24,D1,2024-01-10,1704844800,3.8,3.818,3.783,3.8105,37,0,42,2024-01-07/2024-01-13,153
2,-90,MHG,MHGK24,D1,2024-01-11,1704931200,3.812,3.848,3.798,3.8065,63,0,46,2024-01-07/2024-01-13,153
3,-89,MHG,MHGK24,D1,2024-01-12,1705017600,3.82,3.832,3.7645,3.7645,78,0,65,2024-01-07/2024-01-13,153
4,-88,MHG,MHGK24,D1,2024-01-14,1705190400,3.7725,3.7725,3.7725,3.7725,1,0,2,2024-01-14/2024-01-20,390
5,-87,MHG,MHGK24,D1,2024-01-15,1705276800,3.783,3.81,3.7785,3.81,223,0,61,2024-01-14/2024-01-20,390
6,-86,MHG,MHGK24,D1,2024-01-16,1705363200,3.802,3.81,3.7845,3.7915,59,0,55,2024-01-14/2024-01-20,390
7,-85,MHG,MHGK24,D1,2024-01-17,1705449600,3.7905,3.7905,3.752,3.769,148,0,113,2024-01-14/2024-01-20,390
8,-84,MHG,MHGK24,D1,2024-01-18,1705536000,3.769,3.7805,3.744,3.7805,79,0,72,2024-01-14/2024-01-20,390
9,-83,MHG,MHGK24,D1,2024-01-19,1705622400,3.785,3.8165,3.772,3.815,123,0,87,2024-01-14/2024-01-20,390
10,-82,MHG,MHGK24,D1,2024-01-21,1705795200,3.8165,3.8165,3.8155,3.8155,2,0,2,2024-01-21/2024-01-27,324
11,-81,MHG,MHGK24,D1,2024-01-22,1705881600,3.8125,3.8125,3.781,3.781,76,0,53,2024-01-21/2024-01-27,324
12,-80,MHG,MHGK24,D1,2024-01-23,1705968000,3.7855,3.83,3.785,3.83,30,0,40,2024-01-21/2024-01-27,324
13,-79,MHG,MHGK24,D1,2024-01-24,1706054400,3.826,3.909,3.82,3.896,234,0,108,2024-01-21/2024-01-27,324
14,-78,MHG,MHGK24,D1,2024-01-25,1706140800,3.895,3.9095,3.883,3.894,64,0,71,2024-01-21/2024-01-27,324
15,-77,MHG,MHGK24,D1,2024-01-26,1706227200,3.8955,3.908,3.875,3.881,58,0,50,2024-01-21/2024-01-27,324
16,-76,MHG,MHGK24,D1,2024-01-28,1706400000,3.8785,3.881,3.8785,3.881,3,0,6,2024-01-28/2024-02-03,531
17,-75,MHG,MHGK24,D1,2024-01-29,1706486400,3.8775,3.9155,3.86,3.913,125,0,68,2024-01-28/2024-02-03,531
18,-74,MHG,MHGK24,D1,2024-01-30,1706572800,3.897,3.94,3.888,3.935,87,0,74,2024-01-28/2024-02-03,531
19,-73,MHG,MHGK24,D1,2024-01-31,1706659200,3.9335,3.965,3.908,3.919,178,0,108,2024-01-28/2024-02-03,531
20,-72,MHG,MHGK24,D1,2024-02-01,1706745600,3.9175,3.9175,3.8735,3.8795,215,0,127,2024-01-28/2024-02-03,531
21,-71,MHG,MHGK24,D1,2024-02-02,1706832000,3.885,3.885,3.845,3.845,564,0,148,2024-01-28/2024-02-03,531
22,-70,MHG,MHGK24,D1,2024-02-04,1707004800,3.844,3.852,3.844,3.8455,165,0,16,2024-02-04/2024-02-10,891
23,-69,MHG,MHGK24,D1,2024-02-05,1707091200,3.8435,3.852,3.799,3.8,107,0,91,2024-02-04/2024-02-10,891
24,-68,MHG,MHGK24,D1,2024-02-06,1707177600,3.798,3.822,3.797,3.812,91,0,76,2024-02-04/2024-02-10,891
25,-67,MHG,MHGK24,D1,2024-02-07,1707264000,3.8145,3.8205,3.7605,3.765,390,0,286,2024-02-04/2024-02-10,891
26,-66,MHG,MHGK24,D1,2024-02-08,1707350400,3.765,3.7895,3.707,3.731,545,0,280,2024-02-04/2024-02-10,891
27,-65,MHG,MHGK24,D1,2024-02-09,1707436800,3.7275,3.738,3.6855,3.7065,321,0,142,2024-02-04/2024-02-10,891
28,-64,MHG,MHGK24,D1,2024-02-11,1707609600,3.7075,3.7075,3.6935,3.6935,19,0,14,2024-02-11/2024-02-17,1291
29,-63,MHG,MHGK24,D1,2024-02-12,1707696000,3.7055,3.745,3.69,3.741,231,0,129,2024-02-11/2024-02-17,1291
30,-62,MHG,MHGK24,D1,2024-02-13,1707782400,3.7435,3.773,3.722,3.7235,424,0,201,2024-02-11/2024-02-17,1291
31,-61,MHG,MHGK24,D1,2024-02-14,1707868800,3.721,3.7395,3.712,3.7225,250,0,163,2024-02-11/2024-02-17,1291
32,-60,MHG,MHGK24,D1,2024-02-15,1707955200,3.722,3.776,3.722,3.7725,473,0,377,2024-02-11/2024-02-17,1291
