a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-86,MNG,MNGK24,D1,2024-01-10,1704844800,2.6870000000000003,2.6870000000000003,2.586,2.588,13,0,12,2024-01-07/2024-01-13,131
2,-85,MNG,MNGK24,D1,2024-01-11,1704931200,2.556,2.664,2.5540000000000003,2.566,36,0,32,2024-01-07/2024-01-13,131
3,-84,MNG,MNGK24,D1,2024-01-12,1705017600,2.586,2.641,2.57,2.629,91,0,87,2024-01-07/2024-01-13,131
4,-83,MNG,MNGK24,D1,2024-01-15,1705276800,2.545,2.545,2.516,2.516,19,0,16,2024-01-14/2024-01-20,320
5,-82,MNG,MNGK24,D1,2024-01-16,1705363200,2.514,2.537,2.465,2.505,73,0,72,2024-01-14/2024-01-20,320
6,-81,MNG,MNGK24,D1,2024-01-17,1705449600,2.478,2.55,2.461,2.519,61,0,50,2024-01-14/2024-01-20,320
7,-80,MNG,MNGK24,D1,2024-01-18,1705536000,2.523,2.523,2.441,2.479,115,0,94,2024-01-14/2024-01-20,320
8,-79,MNG,MNGK24,D1,2024-01-19,1705622400,2.448,2.448,2.332,2.353,99,0,88,2024-01-14/2024-01-20,320
9,-78,MNG,MNGK24,D1,2024-01-21,1705795200,2.259,2.265,2.259,2.265,4,0,4,2024-01-21/2024-01-27,180
10,-77,MNG,MNGK24,D1,2024-01-22,1705881600,2.264,2.281,2.233,2.233,35,0,37,2024-01-21/2024-01-27,180
11,-76,MNG,MNGK24,D1,2024-01-23,1705968000,2.235,2.295,2.208,2.295,10,0,9,2024-01-21/2024-01-27,180
12,-75,MNG,MNGK24,D1,2024-01-24,1706054400,2.33,2.385,2.307,2.385,70,0,111,2024-01-21/2024-01-27,180
13,-74,MNG,MNGK24,D1,2024-01-25,1706140800,2.402,2.408,2.295,2.295,19,0,15,2024-01-21/2024-01-27,180
14,-73,MNG,MNGK24,D1,2024-01-26,1706227200,2.31,2.32,2.24,2.301,5,0,4,2024-01-21/2024-01-27,180
15,-72,MNG,MNGK24,D1,2024-01-29,1706486400,2.274,2.274,2.188,2.189,16,0,21,2024-01-28/2024-02-03,102
16,-71,MNG,MNGK24,D1,2024-01-30,1706572800,2.207,2.209,2.181,2.201,7,0,7,2024-01-28/2024-02-03,102
17,-70,MNG,MNGK24,D1,2024-01-31,1706659200,2.191,2.259,2.18,2.23,14,0,35,2024-01-28/2024-02-03,102
18,-69,MNG,MNGK24,D1,2024-02-01,1706745600,2.26,2.26,2.15,2.158,21,0,23,2024-01-28/2024-02-03,102
19,-68,MNG,MNGK24,D1,2024-02-02,1706832000,2.175,2.177,2.137,2.17,16,0,16,2024-01-28/2024-02-03,102
20,-67,MNG,MNGK24,D1,2024-02-05,1707091200,2.164,2.167,2.127,2.145,24,0,25,2024-02-04/2024-02-10,207
21,-66,MNG,MNGK24,D1,2024-02-06,1707177600,2.141,2.141,2.084,2.084,21,0,45,2024-02-04/2024-02-10,207
22,-65,MNG,MNGK24,D1,2024-02-07,1707264000,2.095,2.11,2.058,2.072,15,0,24,2024-02-04/2024-02-10,207
23,-64,MNG,MNGK24,D1,2024-02-08,1707350400,2.076,2.076,2.01,2.012,28,0,58,2024-02-04/2024-02-10,207
24,-63,MNG,MNGK24,D1,2024-02-09,1707436800,2.01,2.01,1.957,1.992,32,0,55,2024-02-04/2024-02-10,207
25,-62,MNG,MNGK24,D1,2024-02-11,1707609600,1.932,1.953,1.917,1.953,18,0,4,2024-02-11/2024-02-17,446
26,-61,MNG,MNGK24,D1,2024-02-12,1707696000,1.95,2.0,1.892,1.916,22,0,27,2024-02-11/2024-02-17,446
27,-60,MNG,MNGK24,D1,2024-02-13,1707782400,1.915,1.924,1.837,1.857,31,0,144,2024-02-11/2024-02-17,446
28,-59,MNG,MNGK24,D1,2024-02-14,1707868800,1.853,1.86,1.773,1.78,38,0,49,2024-02-11/2024-02-17,446
