a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-95,MNK,MNKM25,D1,2025-02-14,1739491200,39010.0,39010.0,39010.0,39010.0,0,0,0,2025-02-09/2025-02-15,0
2,-94,MNK,MNKM25,D1,2025-02-18,1739836800,39170.0,39170.0,39170.0,39170.0,0,0,0,2025-02-16/2025-02-22,0
3,-93,MNK,MNKM25,D1,2025-02-19,1739923200,38850.0,38850.0,38850.0,38850.0,0,0,0,2025-02-16/2025-02-22,0
4,-92,MNK,MNKM25,D1,2025-02-20,1740009600,38435.0,38435.0,38435.0,38435.0,0,0,0,2025-02-16/2025-02-22,0
5,-91,MNK,MNKM25,D1,2025-02-21,1740096000,38030.0,38030.0,38030.0,38030.0,0,0,0,2025-02-16/2025-02-22,0
6,-90,MNK,MNKM25,D1,2025-02-24,1740355200,37945.0,37945.0,37945.0,37945.0,0,0,0,2025-02-23/2025-03-01,0
7,-89,MNK,MNKM25,D1,2025-02-25,1740441600,37855.0,37855.0,37855.0,37855.0,0,0,0,2025-02-23/2025-03-01,0
8,-88,MNK,MNKM25,D1,2025-02-26,1740528000,37955.0,37955.0,37955.0,37955.0,0,0,0,2025-02-23/2025-03-01,0
1,-137,MNK,MNKU25,D1,2025-02-27,1740614400,37570.0,37570.0,37570.0,37570.0,0,0,0,2025-02-23/2025-03-01,0
2,-136,MNK,MNKU25,D1,2025-02-28,1740700800,37610.0,37610.0,37610.0,37610.0,0,0,0,2025-02-23/2025-03-01,0
11,-85,MNK,MNKM25,D1,2025-03-03,1740960000,37195.0,37195.0,37195.0,37195.0,0,0,0,2025-03-02/2025-03-08,11
12,-84,MNK,MNKM25,D1,2025-03-04,1741046400,37170.0,37170.0,36660.0,36840.0,0,0,8,2025-03-02/2025-03-08,11
13,-83,MNK,MNKM25,D1,2025-03-05,1741132800,37285.0,37565.0,37285.0,37565.0,0,0,1,2025-03-02/2025-03-08,11
14,-82,MNK,MNKM25,D1,2025-03-06,1741219200,36785.0,36785.0,36785.0,36785.0,0,0,0,2025-03-02/2025-03-08,11
15,-81,MNK,MNKM25,D1,2025-03-07,1741305600,36850.0,37155.0,36600.0,37155.0,0,0,2,2025-03-02/2025-03-08,11
16,-80,MNK,MNKM25,D1,2025-03-10,1741564800,36480.0,36480.0,36235.0,36260.0,0,0,7,2025-03-09/2025-03-15,2286
17,-79,MNK,MNKM25,D1,2025-03-11,1741651200,36120.0,36765.0,35970.0,36510.0,0,0,122,2025-03-09/2025-03-15,2286
18,-78,MNK,MNKM25,D1,2025-03-12,1741737600,36735.0,37095.0,36590.0,37035.0,0,0,258,2025-03-09/2025-03-15,2286
19,-77,MNK,MNKM25,D1,2025-03-13,1741824000,37085.0,37190.0,36415.0,36585.0,0,0,997,2025-03-09/2025-03-15,2286
20,-76,MNK,MNKM25,D1,2025-03-14,1741910400,36570.0,37480.0,36505.0,37385.0,0,0,902,2025-03-09/2025-03-15,2286
21,-75,MNK,MNKM25,D1,2025-03-16,1742083200,37355.0,37415.0,37300.0,37415.0,0,0,35,2025-03-16/2025-03-22,3468
22,-74,MNK,MNKM25,D1,2025-03-17,1742169600,37350.0,37885.0,37270.0,37815.0,0,0,477,2025-03-16/2025-03-22,3468
23,-73,MNK,MNKM25,D1,2025-03-18,1742256000,37800.0,37820.0,37495.0,37700.0,0,0,944,2025-03-16/2025-03-22,3468
24,-72,MNK,MNKM25,D1,2025-03-19,1742342400,37710.0,37970.0,37510.0,37750.0,0,0,835,2025-03-16/2025-03-22,3468
25,-71,MNK,MNKM25,D1,2025-03-20,1742428800,37710.0,37720.0,37290.0,37460.0,0,0,433,2025-03-16/2025-03-22,3468
26,-70,MNK,MNKM25,D1,2025-03-21,1742515200,37465.0,37775.0,37200.0,37410.0,0,0,744,2025-03-16/2025-03-22,3468
27,-69,MNK,MNKM25,D1,2025-03-23,1742688000,37600.0,37675.0,37590.0,37655.0,0,0,40,2025-03-23/2025-03-29,3076
28,-68,MNK,MNKM25,D1,2025-03-24,1742774400,37660.0,37870.0,37440.0,37830.0,0,0,620,2025-03-23/2025-03-29,3076
