a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-51,MTNA,MTNAM24,D1,2024-03-25,1711324800,114.21875,114.390625,114.046875,114.15625,140798,0,3453,2024-03-24/2024-03-30,8174
2,-50,MTNA,MTNAM24,D1,2024-03-26,1711411200,114.1875,114.3125,113.9375,114.25,62618,0,2187,2024-03-24/2024-03-30,8174
3,-49,MTNA,MTNAM24,D1,2024-03-27,1711497600,114.3125,114.6875,114.234375,114.65625,78209,0,1330,2024-03-24/2024-03-30,8174
4,-48,MTNA,MTNAM24,D1,2024-03-28,1711584000,114.453125,114.6875,114.375,114.5,250083,0,1204,2024-03-24/2024-03-30,8174
5,-47,MTNA,MTNAM24,D1,2024-04-01,1711929600,114.5,114.5,113.34375,113.515625,187640,0,2517,2024-03-31/2024-04-06,36835
6,-46,MTNA,MTNAM24,D1,2024-04-02,1712016000,113.515625,113.515625,112.765625,113.21875,250135,0,2538,2024-03-31/2024-04-06,36835
7,-45,MTNA,MTNAM24,D1,2024-04-03,1712102400,113.203125,113.234375,112.53125,113.234375,640893,0,6005,2024-03-31/2024-04-06,36835
8,-44,MTNA,MTNAM24,D1,2024-04-04,1712188800,113.046875,113.640625,112.984375,113.546875,1375400,0,14833,2024-03-31/2024-04-06,36835
9,-43,MTNA,MTNAM24,D1,2024-04-05,1712275200,113.484375,113.546875,112.703125,112.703125,1687902,0,10942,2024-03-31/2024-04-06,36835
10,-42,MTNA,MTNAM24,D1,2024-04-07,1712448000,112.46875,112.65625,112.46875,112.640625,4,0,10,2024-04-07/2024-04-13,31557
11,-41,MTNA,MTNAM24,D1,2024-04-08,1712534400,112.625,112.65625,112.203125,112.53125,625247,0,8895,2024-04-07/2024-04-13,31557
12,-40,MTNA,MTNAM24,D1,2024-04-09,1712620800,112.53125,113.140625,112.484375,113.09375,739,0,5310,2024-04-07/2024-04-13,31557
13,-39,MTNA,MTNAM24,D1,2024-04-10,1712707200,113.015625,113.265625,111.265625,111.515625,878,15625,4918,2024-04-07/2024-04-13,31557
