a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-106,MZS,MZSQ25,D1,2025-02-21,1740096000,1071.5,1071.5,1071.5,1071.5,0,0,0,2025-02-16/2025-02-22,0
2,-81,MZS,MZSN25,D1,2025-02-24,1740355200,1072.0,1076.0,1061.5,1063.5,0,0,6241,2025-02-23/2025-03-01,29411
3,-80,MZS,MZSN25,D1,2025-02-25,1740441600,1064.0,1066.5,1053.0,1063.5,0,0,3451,2025-02-23/2025-03-01,29411
4,-79,MZS,MZSN25,D1,2025-02-26,1740528000,1060.0,1063.0,1053.0,1056.5,0,0,4361,2025-02-23/2025-03-01,29411
5,-78,MZS,MZSN25,D1,2025-02-27,1740614400,1057.0,1065.0,1050.5,1053.0,0,0,8625,2025-02-23/2025-03-01,29411
6,-77,MZS,MZSN25,D1,2025-02-28,1740700800,1053.5,1059.0,1039.5,1039.5,0,0,6733,2025-02-23/2025-03-01,29411
7,-76,MZS,MZSN25,D1,2025-03-03,1740960000,1045.0,1045.0,1023.0,1024.5,0,0,2400,2025-03-02/2025-03-08,8835
8,-75,MZS,MZSN25,D1,2025-03-04,1741046400,1025.5,1026.5,1006.5,1016.0,0,0,2204,2025-03-02/2025-03-08,8835
9,-74,MZS,MZSN25,D1,2025-03-05,1741132800,1023.5,1027.0,1011.0,1025.5,0,0,1554,2025-03-02/2025-03-08,8835
10,-73,MZS,MZSN25,D1,2025-03-06,1741219200,1029.5,1047.0,1027.0,1040.0,0,0,1801,2025-03-02/2025-03-08,8835
11,-72,MZS,MZSN25,D1,2025-03-07,1741305600,1041.0,1044.5,1034.0,1039.0,0,0,876,2025-03-02/2025-03-08,8835
12,-95,MZS,MZSQ25,D1,2025-03-10,1741564800,1041.0,1041.5,1024.5,1025.5,0,0,686,2025-03-09/2025-03-15,3375
13,-94,MZS,MZSQ25,D1,2025-03-11,1741651200,1022.5,1031.5,1022.0,1022.0,0,0,1188,2025-03-09/2025-03-15,3375
14,-93,MZS,MZSQ25,D1,2025-03-12,1741737600,1024.5,1025.0,1008.5,1015.0,0,0,688,2025-03-09/2025-03-15,3375
15,-92,MZS,MZSQ25,D1,2025-03-13,1741824000,1014.5,1029.0,1013.0,1019.5,0,0,502,2025-03-09/2025-03-15,3375
16,-91,MZS,MZSQ25,D1,2025-03-14,1741910400,1018.0,1027.0,1017.5,1027.0,0,0,311,2025-03-09/2025-03-15,3375
17,-90,MZS,MZSQ25,D1,2025-03-17,1742169600,1030.0,1031.5,1023.0,1026.0,0,0,215,2025-03-16/2025-03-22,914
18,-89,MZS,MZSQ25,D1,2025-03-18,1742256000,1028.0,1030.0,1023.0,1023.5,0,0,214,2025-03-16/2025-03-22,914
19,-88,MZS,MZSQ25,D1,2025-03-19,1742342400,1024.5,1026.5,1017.0,1017.5,0,0,216,2025-03-16/2025-03-22,914
20,-87,MZS,MZSQ25,D1,2025-03-20,1742428800,1021.0,1021.0,1014.0,1021.0,0,0,148,2025-03-16/2025-03-22,914
21,-86,MZS,MZSQ25,D1,2025-03-21,1742515200,1022.0,1022.0,1013.0,1017.0,0,0,121,2025-03-16/2025-03-22,914
22,-61,MZS,MZSN25,D1,2025-03-24,1742774400,1022.5,1022.5,1017.0,1019.5,0,0,60,2025-03-23/2025-03-29,416
23,-60,MZS,MZSN25,D1,2025-03-25,1742860800,1017.5,1017.5,1014.5,1016.0,0,0,44,2025-03-23/2025-03-29,416
24,-59,MZS,MZSN25,D1,2025-03-26,1742947200,1016.0,1020.5,1015.0,1015.5,0,0,56,2025-03-23/2025-03-29,416
25,-58,MZS,MZSN25,D1,2025-03-27,1743033600,1015.5,1030.5,1015.5,1030.5,0,0,180,2025-03-23/2025-03-29,416
26,-57,MZS,MZSN25,D1,2025-03-28,1743120000,1029.0,1037.5,1024.5,1037.5,0,0,76,2025-03-23/2025-03-29,416
27,-56,MZS,MZSN25,D1,2025-03-31,1743379200,1043.5,1044.5,1028.0,1028.0,0,0,209,2025-03-30/2025-04-05,1137
28,-55,MZS,MZSN25,D1,2025-04-01,1743465600,1028.0,1049.5,1025.0,1049.5,0,0,143,2025-03-30/2025-04-05,1137
29,-54,MZS,MZSN25,D1,2025-04-02,1743552000,1046.0,1048.0,1041.5,1045.5,0,0,111,2025-03-30/2025-04-05,1137
30,-53,MZS,MZSN25,D1,2025-04-03,1743638400,1031.5,1033.0,1022.0,1026.5,0,0,255,2025-03-30/2025-04-05,1137
31,-52,MZS,MZSN25,D1,2025-04-04,1743724800,1027.5,1027.5,988.0,993.0,0,0,419,2025-03-30/2025-04-05,1137
32,-51,MZS,MZSN25,D1,2025-04-07,1743984000,988.0,1008.0,978.5,997.0,0,0,621,2025-04-06/2025-04-12,1846
33,-50,MZS,MZSN25,D1,2025-04-08,1744070400,1000.0,1015.0,999.5,1004.0,0,0,239,2025-04-06/2025-04-12,1846
34,-49,MZS,MZSN25,D1,2025-04-09,1744156800,1002.0,1023.5,998.5,1023.5,0,0,207,2025-04-06/2025-04-12,1846
35,-48,MZS,MZSN25,D1,2025-04-10,1744243200,1029.5,1037.0,1023.0,1037.0,0,0,372,2025-04-06/2025-04-12,1846
36,-47,MZS,MZSN25,D1,2025-04-11,1744329600,1034.5,1053.0,1029.5,1053.0,0,0,407,2025-04-06/2025-04-12,1846
37,-46,MZS,MZSN25,D1,2025-04-14,1744588800,1052.5,1058.5,1047.5,1050.5,0,0,168,2025-04-13/2025-04-19,451
