a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-128,NGE,NGEF7,D1,2016-08-01,1470009600,3.353,3.353,3.353,3.353,1,0,5,2016-07-31/2016-08-06,18498
2,-127,NGE,NGEF7,D1,2016-08-02,1470096000,3.352,3.377,3.308,3.308,1129,0,5851,2016-07-31/2016-08-06,18498
3,-126,NGE,NGEF7,D1,2016-08-03,1470182400,3.31,3.401,3.308,3.386,1103,0,5404,2016-07-31/2016-08-06,18498
4,-125,NGE,NGEF7,D1,2016-08-04,1470268800,3.384,3.411,3.345,3.38,1276,0,4263,2016-07-31/2016-08-06,18498
5,-124,NGE,NGEF7,D1,2016-08-05,1470355200,3.382,3.387,3.318,3.32,692,0,2975,2016-07-31/2016-08-06,18498
6,-123,NGE,NGEF7,D1,2016-08-07,1470528000,3.315,3.315,3.31,3.31,2,0,4,2016-08-07/2016-08-13,22970
7,-122,NGE,NGEF7,D1,2016-08-08,1470614400,3.306,3.327,3.282,3.314,828,0,2860,2016-08-07/2016-08-13,22970
8,-121,NGE,NGEF7,D1,2016-08-09,1470700800,3.297,3.308,3.226,3.231,900,0,4435,2016-08-07/2016-08-13,22970
9,-120,NGE,NGEF7,D1,2016-08-10,1470787200,3.23,3.252,3.193,3.2,1019,0,4319,2016-08-07/2016-08-13,22970
10,-119,NGE,NGEF7,D1,2016-08-11,1470873600,3.199,3.234,3.166,3.168,961,0,7668,2016-08-07/2016-08-13,22970
11,-118,NGE,NGEF7,D1,2016-08-12,1470960000,3.162,3.231,3.161,3.204,746,0,3684,2016-08-07/2016-08-13,22970
12,-117,NGE,NGEF7,D1,2016-08-14,1471132800,3.176,3.192,3.176,3.179,42,0,75,2016-08-14/2016-08-20,17623
13,-116,NGE,NGEF7,D1,2016-08-15,1471219200,3.181,3.236,3.179,3.204,946,0,3662,2016-08-14/2016-08-20,17623
14,-115,NGE,NGEF7,D1,2016-08-16,1471305600,3.198,3.235,3.198,3.223,783,0,2459,2016-08-14/2016-08-20,17623
15,-114,NGE,NGEF7,D1,2016-08-17,1471392000,3.222,3.242,3.193,3.207,1010,0,3513,2016-08-14/2016-08-20,17623
