a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-102,NKD,NKDZ20,D1,2020-08-11,1597104000,22620.0,22620.0,22600.0,22600.0,2,0,1,2020-08-09/2020-08-15,28
2,-101,NKD,NKDZ20,D1,2020-08-12,1597190400,22700.0,23120.0,22700.0,23115.0,3,0,2,2020-08-09/2020-08-15,28
3,-100,NKD,NKDZ20,D1,2020-08-13,1597276800,23115.0,23125.0,23100.0,23120.0,4,0,6,2020-08-09/2020-08-15,28
4,-99,NKD,NKDZ20,D1,2020-08-14,1597363200,23130.0,23150.0,23010.0,23065.0,25,0,19,2020-08-09/2020-08-15,28
5,-98,NKD,NKDZ20,D1,2020-08-17,1597622400,23070.0,23070.0,23070.0,23070.0,1,0,0,2020-08-16/2020-08-22,22
6,-97,NKD,NKDZ20,D1,2020-08-18,1597708800,22910.0,23045.0,22910.0,22980.0,5,0,6,2020-08-16/2020-08-22,22
7,-96,NKD,NKDZ20,D1,2020-08-19,1597795200,23030.0,23030.0,23030.0,23030.0,1,0,0,2020-08-16/2020-08-22,22
8,-95,NKD,NKDZ20,D1,2020-08-20,1597881600,22790.0,22880.0,22790.0,22880.0,4,0,8,2020-08-16/2020-08-22,22
9,-94,NKD,NKDZ20,D1,2020-08-21,1597968000,22870.0,22870.0,22755.0,22805.0,7,0,8,2020-08-16/2020-08-22,22
10,-93,NKD,NKDZ20,D1,2020-08-23,1598140800,22880.0,22890.0,22875.0,22880.0,28,0,20,2020-08-23/2020-08-29,153
11,-92,NKD,NKDZ20,D1,2020-08-24,1598227200,22805.0,23090.0,22805.0,23090.0,6,0,6,2020-08-23/2020-08-29,153
12,-91,NKD,NKDZ20,D1,2020-08-25,1598313600,23190.0,23330.0,23130.0,23215.0,38,0,23,2020-08-23/2020-08-29,153
13,-90,NKD,NKDZ20,D1,2020-08-26,1598400000,23190.0,23205.0,23175.0,23200.0,5,0,4,2020-08-23/2020-08-29,153
14,-89,NKD,NKDZ20,D1,2020-08-27,1598486400,23085.0,23180.0,23085.0,23140.0,8,0,14,2020-08-23/2020-08-29,153
15,-88,NKD,NKDZ20,D1,2020-08-28,1598572800,23195.0,23285.0,22495.0,22860.0,414,0,86,2020-08-23/2020-08-29,153
16,-87,NKD,NKDZ20,D1,2020-08-30,1598745600,23045.0,23120.0,23000.0,23120.0,6,0,21,2020-08-30/2020-09-05,1907
17,-86,NKD,NKDZ20,D1,2020-08-31,1598832000,23125.0,23255.0,22950.0,23020.0,36,0,56,2020-08-30/2020-09-05,1907
18,-85,NKD,NKDZ20,D1,2020-09-01,1598918400,23020.0,23200.0,22970.0,23175.0,60,0,62,2020-08-30/2020-09-05,1907
19,-84,NKD,NKDZ20,D1,2020-09-02,1599004800,23170.0,23535.0,23085.0,23515.0,127,0,187,2020-08-30/2020-09-05,1907
20,-83,NKD,NKDZ20,D1,2020-09-03,1599091200,23475.0,23475.0,22880.0,22990.0,425,0,1091,2020-08-30/2020-09-05,1907
21,-82,NKD,NKDZ20,D1,2020-09-04,1599177600,23020.0,23230.0,22755.0,23105.0,731,0,490,2020-08-30/2020-09-05,1907
