a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-2664,RBE,RBEX6,M30,2016-08-01 22:00:00,1470088800,1.206,1.206,1.206,1.206,1,0,1,2016-07-31/2016-08-06,13658
2,-2663,RBE,RBEX6,M30,2016-08-01 23:30:00,1470094200,1.2034,1.2034,1.2034,1.2034,1,0,1,2016-07-31/2016-08-06,13658
1,-3479,RBE,RBEZ6,M30,2016-08-02 00:00:00,1470096000,1.199,1.199,1.199,1.199,1,0,1,2016-07-31/2016-08-06,16226
4,-2661,RBE,RBEX6,M30,2016-08-02 01:00:00,1470099600,1.2054,1.2054,1.2054,1.2054,1,0,1,2016-07-31/2016-08-06,13658
2,-3478,RBE,RBEZ6,M30,2016-08-02 01:30:00,1470101400,1.1998,1.1998,1.1997,1.1998,3,0,3,2016-07-31/2016-08-06,16226
3,-3477,RBE,RBEZ6,M30,2016-08-02 02:00:00,1470103200,1.2003,1.2003,1.2003,1.2003,1,0,2,2016-07-31/2016-08-06,16226
4,-3476,RBE,RBEZ6,M30,2016-08-02 02:30:00,1470105000,1.2,1.2,1.2,1.2,1,0,14,2016-07-31/2016-08-06,16226
5,-3475,RBE,RBEZ6,M30,2016-08-02 03:00:00,1470106800,1.2011,1.2011,1.2011,1.2011,1,0,1,2016-07-31/2016-08-06,16226
6,-2659,RBE,RBEX6,M30,2016-08-02 04:30:00,1470112200,1.2051,1.2051,1.2051,1.2051,1,0,1,2016-07-31/2016-08-06,13658
7,-2658,RBE,RBEX6,M30,2016-08-02 05:00:00,1470114000,1.2036,1.2036,1.2036,1.2036,1,0,1,2016-07-31/2016-08-06,13658
6,-3474,RBE,RBEZ6,M30,2016-08-02 06:30:00,1470119400,1.201,1.202,1.201,1.202,3,0,3,2016-07-31/2016-08-06,16226
7,-3473,RBE,RBEZ6,M30,2016-08-02 07:00:00,1470121200,1.2029,1.2034,1.2012,1.2026,37,0,28,2016-07-31/2016-08-06,16226
10,-2655,RBE,RBEX6,M30,2016-08-02 07:30:00,1470123000,1.2069,1.2079,1.199,1.1991,18,0,16,2016-07-31/2016-08-06,13658
11,-2654,RBE,RBEX6,M30,2016-08-02 08:00:00,1470124800,1.201,1.2015,1.199,1.199,48,0,28,2016-07-31/2016-08-06,13658
8,-3472,RBE,RBEZ6,M30,2016-08-02 08:30:00,1470126600,1.2004,1.2005,1.2004,1.2004,3,0,2,2016-07-31/2016-08-06,16226
9,-3471,RBE,RBEZ6,M30,2016-08-02 09:00:00,1470128400,1.2025,1.2045,1.2015,1.2045,22,0,4,2016-07-31/2016-08-06,16226
10,-3470,RBE,RBEZ6,M30,2016-08-02 09:30:00,1470130200,1.2073,1.2073,1.2063,1.2064,4,0,10,2016-07-31/2016-08-06,16226
11,-3469,RBE,RBEZ6,M30,2016-08-02 10:00:00,1470132000,1.2051,1.2051,1.2051,1.2051,1,0,1,2016-07-31/2016-08-06,16226
12,-3468,RBE,RBEZ6,M30,2016-08-02 10:30:00,1470133800,1.2118,1.215,1.2118,1.2131,15,0,9,2016-07-31/2016-08-06,16226
13,-3467,RBE,RBEZ6,M30,2016-08-02 11:00:00,1470135600,1.2143,1.2153,1.2111,1.2122,99,0,47,2016-07-31/2016-08-06,16226
14,-3466,RBE,RBEZ6,M30,2016-08-02 11:30:00,1470137400,1.2108,1.2116,1.2098,1.2108,42,0,19,2016-07-31/2016-08-06,16226
15,-3465,RBE,RBEZ6,M30,2016-08-02 12:00:00,1470139200,1.2112,1.214,1.2106,1.2131,78,0,61,2016-07-31/2016-08-06,16226
